position	identifier	name
0	D000006	Abdomen, Acute
1	D000270	Adie Syndrome
2	D000326	Adrenoleukodystrophy
3	D000334	Aerophagy
4	D000370	Ageusia
5	D000377	Agnosia
6	D000381	Agraphia
7	D000419	Albuminuria
8	D000425	Alcohol Amnestic Disorder
9	D000472	Alkalosis, Respiratory
10	D000550	Amblyopia
11	D000647	Amnesia
12	D000648	Amnesia, Retrograde
13	D000787	Angina Pectoris
14	D000788	Angina Pectoris, Variant
15	D000789	Angina, Unstable
16	D000849	Anomia
17	D000855	Anorexia
18	D000857	Olfaction Disorders
19	D000860	Anoxia
20	D001037	Aphasia
21	D001039	Aphasia, Broca
22	D001041	Aphasia, Wernicke
23	D001044	Aphonia
24	D001049	Apnea
25	D001072	Apraxias
26	D001184	Articulation Disorders
27	D001247	Asthenia
28	D001259	Ataxia
29	D001260	Ataxia Telangiectasia
30	D001264	Athetosis
31	D001308	Auditory Perceptual Disorders
32	D001416	Back Pain
33	D001724	Birth Weight
34	D001750	Urinary Bladder, Neurogenic
35	D001766	Blindness
36	D001832	Body Temperature Changes
37	D001835	Body Weight
38	D001836	Body Weight Changes
39	D001926	Brain Death
40	D002032	Bulimia
41	D002100	Cachexia
42	D002303	Cardiac Output, Low
43	D002375	Catalepsy
44	D002385	Cataplexy
45	D002389	Catatonia
46	D002422	Causalgia
47	D002524	Cerebellar Ataxia
48	D002558	Cerebrospinal Fluid Otorrhea
49	D002559	Cerebrospinal Fluid Rhinorrhea
50	D002637	Chest Pain
51	D002639	Cheyne-Stokes Respiration
52	D002819	Chorea
53	D002832	Choroid Hemorrhage
54	D003085	Colic
55	D003117	Color Vision Defects
56	D003128	Coma
57	D003147	Communication Disorders
58	D003221	Confusion
59	D003244	Consciousness Disorders
60	D003248	Constipation
61	D003371	Cough
62	D003410	Cri-du-Chat Syndrome
63	D003490	Cyanosis
64	D003635	De Lange Syndrome
65	D003638	Deafness
66	D003639	Hearing Loss, Sudden
67	D003655	Decerebrate State
68	D003693	Delirium
69	D003967	Diarrhea
70	D003968	Diarrhea, Infantile
71	D004172	Diplopia
72	D004244	Dizziness
73	D004314	Down Syndrome
74	D004401	Dysarthria
75	D004408	Dysgeusia
76	D004409	Dyskinesia, Drug-Induced
77	D004410	Dyslexia
78	D004411	Dyslexia, Acquired
79	D004412	Dysmenorrhea
80	D004415	Dyspepsia
81	D004417	Dyspnea
82	D004418	Dyspnea, Paroxysmal
83	D004421	Dystonia
84	D004433	Earache
85	D004438	Ecchymosis
86	D004454	Echolalia
87	D004487	Edema
88	D004489	Edema, Cardiac
89	D004614	Emaciation
90	D004688	Encopresis
91	D004884	Eructation
92	D005130	Eye Hemorrhage
93	D005132	Eye Manifestations
94	D005157	Facial Pain
95	D005158	Facial Paralysis
96	D005183	Failure to Thrive
97	D005207	Fasciculation
98	D005221	Fatigue
99	D005222	Mental Fatigue
100	D005262	Feminization
101	D005311	Fetal Hypoxia
102	D005316	Fetal Distress
103	D005320	Fetal Macrosomia
104	D005334	Fever
105	D005335	Fever of Unknown Origin
106	D005414	Flatulence
107	D005483	Flushing
108	D005600	Fragile X Syndrome
109	D005683	Gagging
110	D005862	Gerstmann Syndrome
111	D005884	Gingival Hemorrhage
112	D005926	Glossalgia
113	D006209	Halitosis
114	D006212	Hallucinations
115	D006261	Headache
116	D006311	Hearing Disorders
117	D006312	Hearing Loss, Bilateral
118	D006313	Hearing Loss, Central
119	D006314	Hearing Loss, Conductive
120	D006315	Hearing Loss, Functional
121	D006316	Hearing Loss, High-Frequency
122	D006317	Hearing Loss, Noise-Induced
123	D006319	Hearing Loss, Sensorineural
124	D006337	Heart Murmurs
125	D006356	Heartburn
126	D006396	Hematemesis
127	D006423	Hemianopsia
128	D006429	Hemiplegia
129	D006456	Hemoglobinuria
130	D006469	Hemoptysis
131	D006472	Oral Hemorrhage
132	D006606	Hiccup
133	D006628	Hirsutism
134	D006685	Hoarseness
135	D006732	Horner Syndrome
136	D006816	Huntington Disease
137	D006930	Hyperalgesia
138	D006935	Hypercapnia
139	D006939	Hyperemesis Gravidarum
140	D006941	Hyperesthesia
141	D006942	Hypergammaglobulinemia
142	D006948	Hyperkinesis
143	D006963	Hyperphagia
144	D006970	Disorders of Excessive Somnolence
145	D006985	Hyperventilation
146	D006987	Hypesthesia
147	D006988	Hyphema
148	D007024	Hypotension, Orthostatic
149	D007035	Hypothermia
150	D007040	Hypoventilation
151	D007088	Illusions
152	D007319	Sleep Initiation and Maintenance Disorders
153	D007331	Insulin Coma
154	D007383	Intermittent Claudication
155	D007565	Jaundice
156	D007625	Kearns-Sayre Syndrome
157	D007706	Menkes Kinky Hair Syndrome
158	D007805	Language Development Disorders
159	D007806	Language Disorders
160	D007859	Learning Disorders
161	D007926	Lesch-Nyhan Syndrome
162	D008065	Lipoid Proteinosis of Urbach and Wiethe
163	D008569	Memory Disorders
164	D008580	Meningism
165	D008607	Intellectual Disability
166	D008998	Monoclonal Gammopathy of Undetermined Significance
167	D009041	Motion Sickness
168	D009058	Mouth Breathing
169	D009120	Muscle Cramp
170	D009122	Muscle Hypertonia
171	D009123	Muscle Hypotonia
172	D009127	Muscle Rigidity
173	D009128	Muscle Spasticity
174	D009133	Muscular Atrophy
175	D009155	Mutism
176	D009207	Myoclonus
177	D009222	Myotonia
178	D009290	Narcolepsy
179	D009325	Nausea
180	D009437	Neuralgia
181	D009461	Neurologic Manifestations
182	D009755	Night Blindness
183	D009765	Obesity
184	D009767	Obesity, Morbid
185	D009846	Oliguria
186	D009886	Ophthalmoplegia
187	D009903	Optical Illusions
188	D009912	Oral Manifestations
189	D010146	Pain
190	D010148	Pain, Intractable
191	D010149	Pain, Postoperative
192	D010167	Pallor
193	D010243	Paralysis
194	D010264	Paraplegia
195	D010291	Paresis
196	D010292	Paresthesia
197	D010468	Perceptual Disorders
198	D010591	Phantom Limb
199	D010845	Obesity Hypoventilation Syndrome
200	D011141	Polyuria
201	D011218	Prader-Willi Syndrome
202	D011304	Presbycusis
203	D011507	Proteinuria
204	D011537	Pruritus
205	D011538	Pruritus Ani
206	D011539	Pruritus Vulvae
207	D011595	Psychomotor Agitation
208	D011596	Psychomotor Disorders
209	D011602	Psychophysiologic Disorders
210	D011681	Pupil Disorders
211	D011693	Purpura
212	D011694	Purpura, Hyperglobulinemic
