source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	1098	0	0.0	0.0
0	1037	3	0	0.0	0.0
0	1180	3	0	0.0	0.0
0	1563	3	0	0.0	0.0
0	1656	3	0	0.0	0.0
0	1658	3	0	0.0	0.0
0	1815	3	0	0.0	0.0
0	1858	3	0	0.0	0.0
0	2055	3	0	0.0	0.0
0	2069	3	0	0.0	0.0
0	2125	3	0	0.0	0.0
0	2285	3	0	0.0	0.0
0	2294	3	0	0.0	0.0
0	2299	3	0	0.0	0.0
0	2436	3	0	0.0	0.0
0	2469	3	0	0.0	0.0
0	2543	3	0	0.0	0.0
0	2545	3	0	0.0	0.0
0	2617	3	0	0.0	0.0
0	2626	3	0	0.0	0.0
0	2642	3	0	0.0	0.0
0	2645	3	0	0.0	0.0
0	2739	3	0	0.0	0.0
0	2812	3	0	0.0	0.0
0	2841	3	0	0.0	0.0
0	2846	3	0	0.0	0.0
0	2869	3	0	0.0	0.0
0	2872	3	0	0.0	0.0
0	3113	3	0	0.0	0.0
0	3210	3	0	0.0	0.0
0	3441	3	0	0.0	0.0
0	3728	3	0	0.0	0.0
0	3845	3	0	0.0	0.0
0	4461	3	0	0.0	0.0
0	4623	3	0	0.0	0.0
0	4939	3	0	0.0	0.0
0	5092	3	0	0.0	0.0
1	0	1830	0	0.0	0.0
1	1037	5	3	5.792339759647399	11.279073964713872
1	1180	5	2	3.6402812466789056	7.353884587794439
1	1563	5	2	2.67883525823208	4.98008061590724
1	1656	5	3	5.265797975353868	9.970674942353172
1	1658	5	2	3.772365696866855	7.136042692044828
1	1815	5	3	4.445176994014656	8.364260971000904
1	1858	5	2	3.7759309488447683	7.394172460838382
1	2055	5	2	3.2161197437048497	5.935568050860035
1	2069	5	2	3.862341954889674	8.009495372486258
1	2125	5	3	5.494483144124102	11.232293900036142
1	2285	5	3	3.5969668317450334	5.980357633468986
1	2294	5	3	6.20100719206679	12.838854287712005
1	2299	5	4	5.619654063096593	10.068766155829216
1	2436	5	4	5.805996917162417	10.202485358626877
1	2469	5	4	5.008223429115571	8.869479062722199
1	2543	5	4	6.510365775525997	13.026597099406935
1	2545	5	4	7.441569690277402	15.293494270476158
1	2617	5	3	5.260318870218879	10.379177410916688
1	2626	5	4	6.220702816547187	11.155154453768933
1	2642	5	4	7.226103651548538	15.184133338053757
1	2645	5	2	4.073018228959791	8.735752099124122
1	2739	5	4	7.019992081186	14.625335223900311
1	2812	5	4	5.9439282775335185	10.697959980461189
1	2841	5	4	5.957006154573003	10.683936685435562
1	2846	5	4	6.554950710640235	11.977028006446169
1	2869	5	3	4.619060180767067	9.357880791827546
1	2872	5	2	4.432582332652351	10.52167776701333
1	3113	5	3	4.561135025419846	9.079924611484063
1	3210	5	4	6.04562107565751	11.877146452991813
1	3441	5	4	6.547580313409027	12.924670896772676
1	3728	5	4	6.724211961095055	12.874038981751973
1	3845	5	3	4.34987439579057	7.672189514998609
1	4461	5	4	5.647170942291152	10.970184386175223
1	4623	5	4	7.196245643088647	14.688359354162785
1	4939	5	4	7.011914007185451	15.442776115094672
1	5092	5	4	6.285290483806378	12.354058142859495
2	0	366	0	0.0	0.0
2	1037	1	0	0.0	0.0
2	1180	1	1	1.6929961841104366	2.8662360794124995
2	1563	1	1	1.696468383379841	2.8780049758074115
2	1656	1	0	0.0	0.0
2	1658	1	1	2.566318549227604	6.585990896109675
2	1815	1	1	1.7395572214585464	3.0260593267285785
2	1858	1	1	2.054822209226607	4.222294311530913
2	2055	1	1	0.9256363940656871	0.8568027340189279
2	2069	1	1	0.8731816661099603	0.7624462220305662
2	2125	1	1	1.6397012537168485	2.688620201440605
2	2285	1	0	0.0	0.0
2	2294	1	1	1.2558817557205804	1.5772389843518075
2	2299	1	1	1.8276316321235282	3.3402373827385117
2	2436	1	1	1.6969712773124055	2.879711516023297
2	2469	1	1	1.199121871506012	1.4378932627240806
2	2543	1	1	1.2471701063530405	1.5554332741806542
2	2545	1	1	0.6795063572334713	0.4617288895207019
2	2617	1	1	1.5876990214512303	2.5207881827171943
2	2626	1	0	0.0	0.0
2	2642	1	1	1.8751526762213198	3.5161975591399774
2	2645	1	1	1.0818523479216693	1.1704045027036285
2	2739	1	1	0.7222366810150661	0.5216258234036584
2	2812	1	1	1.705815918347089	2.909807947286322
2	2841	1	1	1.8405685018265447	3.3876924099160113
2	2846	1	1	1.4673744815076606	2.1531878689798756
2	2869	1	1	1.0777113375191343	1.1614617270172813
2	2872	1	1	1.446778770486162	2.093168810729451
2	3113	1	1	2.258253004102408	5.0997066305375505
2	3210	1	1	1.7412883823719338	3.032085230583466
2	3441	1	1	0.5637330680425886	0.31779497200470985
2	3728	1	1	2.2376094621911355	5.006896105287303
2	3845	1	1	2.017912970229629	4.071972755420964
2	4461	1	1	1.389844645210993	1.931668137821671
2	4623	1	1	1.9877323350177019	3.9510798356749253
2	4939	1	1	1.6525482947627974	2.7309158665234294
2	5092	1	1	1.6846413394920698	2.8380164427256354
3	0	1098	0	0.0	0.0
3	1037	3	2	2.8154631511779638	4.24634267913778
3	1180	3	2	2.854529598809042	4.514166742545743
3	1563	3	2	3.0375539165293866	4.747584430133604
3	1656	3	3	4.254559153851271	6.753674232832802
3	1658	3	2	2.1315268887255856	2.3496506316073793
3	1815	3	2	2.908938114769744	4.23483798558015
