source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	543864	0	0.0	0.0
0	1	146382	0	0.0	0.0
0	2	145545	0	0.0	0.0
0	3	132990	0	0.0	0.0
0	4	131130	0	0.0	0.0
0	5	130758	0	0.0	0.0
0	6	123411	0	0.0	0.0
0	7	109182	0	0.0	0.0
0	8	91140	0	0.0	0.0
0	9	75981	0	0.0	0.0
0	10	58962	0	0.0	0.0
0	11	48360	0	0.0	0.0
0	12	37386	0	0.0	0.0
0	13	31248	0	0.0	0.0
0	14	24180	0	0.0	0.0
0	15	19530	0	0.0	0.0
0	16	15903	0	0.0	0.0
0	17	13392	0	0.0	0.0
0	18	10695	0	0.0	0.0
0	19	10416	0	0.0	0.0
0	20	7905	0	0.0	0.0
0	21	7998	0	0.0	0.0
0	22	5673	0	0.0	0.0
0	23	6603	0	0.0	0.0
0	24	5952	0	0.0	0.0
0	25	5115	0	0.0	0.0
0	26	3348	0	0.0	0.0
0	27	2418	0	0.0	0.0
0	28	1209	0	0.0	0.0
0	29	651	0	0.0	0.0
0	30	372	0	0.0	0.0
0	31	186	0	0.0	0.0
1	0	5848	0	0.0	0.0
1	1	1574	1186	320.5459338135298	93.30482226594991
1	2	1565	1474	448.305053609638	156.220005240997
1	3	1430	1410	511.2749631001518	207.3475018162703
1	4	1410	1403	571.8679543208559	253.78351290186302
1	5	1406	1406	633.3676201653554	304.9365660063569
1	6	1327	1327	653.0007625453047	340.216351730528
1	7	1174	1174	624.3919771449131	348.1687561081248
1	8	980	980	553.0345136824885	322.32134121849094
1	9	817	817	491.9441197399175	306.1776954181496
1	10	634	634	396.46260672366134	255.20914898110905
1	11	520	520	335.75384889311255	222.08496411426333
1	12	402	402	276.0637042702645	193.17114192774824
1	13	336	336	234.95302339541095	167.7761517714443
1	14	260	260	192.0053605048926	143.9046316300112
1	15	210	210	159.22778034777758	122.5066287403404
1	16	171	171	133.24545894936355	105.2037106367103
1	17	144	144	115.60574267019229	93.91411684330312
1	18	115	115	94.2259304600599	77.92467973193693
1	19	112	112	94.36909218497263	80.3325782373262
1	20	85	85	72.46149185083388	62.219521556432184
1	21	86	86	73.86746245437502	63.955788531080245
1	22	61	61	54.487221027634625	48.92432352399313
1	23	71	71	64.65007743432976	59.22452382052401
1	24	64	64	59.56850217560071	55.779114918745016
1	25	55	55	51.713197173694724	48.83887018294257
1	26	36	36	34.86806282405312	33.94675458700887
1	27	26	26	25.07236972507346	24.231214007581602
1	28	13	13	13.14715581115409	13.332403061293
1	29	7	7	7.171765769871766	7.362171048996335
1	30	4	4	3.9889519532620263	3.9869887574810807
1	31	2	2	2.0912319079523924	2.18827196423144
2	0	5848	0	0.0	0.0
2	1	1574	1574	370.11650777784246	99.64593212656538
2	2	1565	1565	516.0056482336997	182.00880646812283
2	3	1430	1430	578.2301650500378	243.5681336621177
2	4	1410	1410	653.546982401549	312.2048550719677
2	5	1406	1406	734.764222866992	392.92406063404565
2	6	1327	1327	751.7920488306423	433.85162336163046
2	7	1174	1174	715.7965110597789	442.80662673459153
2	8	980	980	637.3744391539059	419.20487281592216
2	9	817	817	560.0086706141062	387.7112424329871
2	10	634	634	457.93612423257383	333.26979405270066
2	11	520	520	393.59680440374905	300.35632959431825
2	12	402	402	316.3201716660537	250.40192917405835
2	13	336	336	274.0450743169192	224.78907798024156
2	14	260	260	218.55445903513646	184.61202793279335
2	15	210	210	184.38313245971892	162.54907138109024
2	16	171	171	154.31477519503156	139.69454861956194
2	17	144	144	132.87975138861063	123.13126426508646
2	18	115	115	108.63905129272285	102.92943450721359
2	19	112	112	108.27330674050523	104.89970700157086
2	20	85	85	84.26764166752207	83.76483611444202
2	21	86	86	87.56869982018841	89.3354215246947
2	22	61	61	62.51672361365218	64.2087183196873
2	23	71	71	74.84650186784913	79.02243006096718
2	24	64	64	68.7176766228778	73.88972560988547
2	25	55	55	60.552236597323486	66.73608263572059
2	26	36	36	39.84777816709786	44.14110491557987
2	27	26	26	29.856994109066	34.302455129687075
2	28	13	13	14.989492741552844	17.29702986801708
2	29	7	7	8.089737001535811	9.35587318065143
2	30	4	4	4.755138819605616	5.6564113321930805
2	31	2	2	2.429069333227479	2.9502904469754636
3	0	11696	0	0.0	0.0
3	1	3148	2922	832.5694207519723	300.10256048776716
3	2	3130	3108	1153.178565715654	507.171399087172
3	3	2860	2860	1287.170291447066	654.2354665350093
3	4	2820	2819	1461.1967034963552	828.0031421529479
3	5	2812	2812	1633.0980462222137	1025.9138452953007
3	6	2654	2654	1675.3516078507314	1130.1870291525001
3	7	2348	2348	1588.5504274836221	1138.0152130617016
3	8	1960	1960	1417.0279821496533	1076.697433499224
3	9	1634	1634	1237.684316635005	981.2363688891069
3	10	1268	1268	1015.4446117389784	845.343220739459
3	11	1040	1040	871.4054025259105	758.3433215748067
3	12	804	804	701.3578499232133	632.2423443594541
3	13	672	672	609.0720841750904	569.2459975577627
3	14	520	520	484.79908454422844	465.1066206695151
3	15	420	420	408.3610474286644	407.4902724819819
3	16	342	342	342.7516302665153	351.4682344265616
3	17	288	288	295.3248914454507	309.61916240235803
3	18	230	230	241.0405874144232	257.7510432502287
3	19	224	224	240.43526394761577	263.2570258529945
3	20	170	170	186.69591087034786	208.36094929530634
3	21	172	172	193.921430065195	222.16970874495541
3	22	122	122	139.1022280718401	160.9754766002475
3	23	142	142	165.71519389049047	196.1073006252384
3	24	128	128	152.23652752514164	183.71648393579972
3	25	110	110	134.7741188697029	167.04518441892094
3	26	72	72	89.16982455829924	111.67402518253292
3	27	52	52	66.17207295802703	85.12321039582548
3	28	26	26	33.57315991550007	43.79923465898794
3	29	14	14	17.990469400946903	23.371143287059407
3	30	8	8	10.551165223158048	14.010662116066033
3	31	4	4	5.526838696895175	7.683121525532977
8	0	11696	0	0.0	0.0
8	1	3148	3148	1329.296991245587	623.3547734850904
8	2	3130	3130	1820.1298238074191	1112.531007376769
8	3	2860	2860	2008.3436137068925	1451.6280334174999
8	4	2820	2820	2259.7897774800254	1846.4546192596322
8	5	2812	2812	2470.817473900188	2201.903498232973
8	6	2654	2654	2521.9117664282853	2424.1733729170905
8	7	2348	2348	2365.275145309515	2404.4462667758153
8	8	1960	1960	2090.425810671176	2245.7243348585844
8	9	1634	1634	1821.9297417186456	2043.8554757300546
8	10	1268	1268	1477.2991380299313	1729.0540483976542
8	11	1040	1040	1256.0434923144244	1523.7004450816257
8	12	804	804	1004.5554146440948	1259.7909794329366
8	13	672	672	863.9601272748218	1114.305707377218
8	14	520	520	684.8058224199651	904.0688282964447
8	15	420	420	569.3969571829215	773.783756450575
8	16	342	342	473.8993143424165	658.0747353085942
8	17	288	288	408.4745433089158	580.4303519469727
8	18	230	230	331.3860633379011	478.15449606044217
8	19	224	224	330.3670130535087	487.96245097487486
8	20	170	170	255.0800983179571	383.2250450478588
8	21	172	172	262.56677044824323	401.3957443388697
8	22	122	122	188.25663755714768	290.79469228197684
8	23	142	142	223.8078765555033	353.11240276464446
8	24	128	128	204.0996731254652	325.734324488775
8	25	110	110	178.63305750441623	290.36786016361515
8	26	72	72	118.775104010145	196.08576217969363
8	27	52	52	86.45754048283551	143.83622818863634
8	28	26	26	43.6690327491763	73.38719383901068
8	29	14	14	23.919431536537086	40.890014151149614
8	30	8	8	13.709096051572512	23.50055909252991
8	31	4	4	7.048631955361306	12.426612937071718
16	0	5848	0	0.0	0.0
16	1	1574	1574	1019.7293934273306	702.2311740424201
16	2	1565	1565	1356.2414645045453	1206.994092745953
16	3	1430	1430	1451.9451185004887	1497.6681948662701
16	4	1410	1410	1607.561369647734	1850.843280582092
16	5	1406	1406	1737.1644901061668	2161.293766962408
16	6	1327	1327	1748.5325780016205	2316.301367734496
16	7	1174	1174	1622.862502640427	2252.9382364133817
16	8	980	980	1419.8763218652807	2063.87723424575
16	9	817	817	1226.0357181814088	1845.195729539856
16	10	634	634	988.8474268142243	1545.6568734014154
16	11	520	520	832.6414487973766	1335.9326469648513
16	12	402	402	661.9642827690859	1092.0915840678163
16	13	336	336	565.3951416994322	952.7132358586712
16	14	260	260	446.73357966865325	768.4845390449573
16	15	210	210	369.39140805743034	650.5080111090265
16	16	171	171	306.2418891372006	548.9577221377305
16	17	144	144	262.52236813541504	478.960496962152
16	18	115	115	213.40262112393046	396.2276543507487
16	19	112	112	210.9165608958985	397.3977795357888
16	20	85	85	162.05698346717614	309.1399095393516
16	21	86	86	166.61650723842712	322.985983097707
16	22	61	61	119.02837231912044	232.34138850757978
16	23	71	71	140.9681140827916	279.9911906282579
16	24	64	64	128.20118907708212	256.8856595684202
16	25	55	55	111.8877635286722	227.66042913098386
16	26	36	36	74.28715907542518	153.34187449344572
16	27	26	26	54.01894580772161	112.25791099054864
16	28	13	13	27.300125699185386	57.343287896813116
16	29	7	7	14.864532453872673	31.570333789872933
16	30	4	4	8.533184335346016	18.205051372340293
16	31	2	2	4.355471412692449	9.485154168894155
31	0	5848	0	0.0	0.0
31	1	1574	1574	1144.245230969232	892.4590058072522
31	2	1565	1565	1507.6525686760422	1495.456225017971
31	3	1430	1430	1611.5981955725206	1846.0645288345902
31	4	1410	1410	1781.0308064681021	2273.466450491633
31	5	1406	1406	1906.022178959474	2603.9883891913137
31	6	1327	1327	1911.0711022677438	2768.2540831184233
31	7	1174	1174	1776.1363032139566	2698.40515599852
31	8	980	980	1547.863279808303	2453.515939292918
31	9	817	817	1336.478972994094	2192.9423992494794
31	10	634	634	1075.5199479224812	1828.6418550050812
31	11	520	520	905.1212226439761	1578.7342665727783
31	12	402	402	717.3601893095301	1282.2664312933516
31	13	336	336	614.2691232084271	1124.576270210414
31	14	260	260	483.22915872777963	899.1873261378104
31	15	210	210	399.62455936965006	761.4200418700543
31	16	171	171	331.2994919431145	642.4456317779366
31	17	144	144	282.8548423022315	556.0699662389234
31	18	115	115	230.32612710913114	461.63467533227896
31	19	112	112	226.9004483822091	459.9955372395856
31	20	85	85	175.13430639400593	361.07352729867574
31	21	86	86	179.48336991726094	374.83885351854167
31	22	61	61	128.1622923455213	269.3622404493903
31	23	71	71	151.65261382649086	324.04880790366957
31	24	64	64	137.53780722635156	295.6708811965499
31	25	55	55	119.93329697229413	261.58394197765534
31	26	36	36	79.47434655485273	175.51228889511145
31	27	26	26	57.78698881928252	128.46588883281277
31	28	13	13	29.086769558646374	65.08667129429871
31	29	7	7	15.85682737148662	35.92517261423704
31	30	4	4	9.122056008487798	20.805420494698343
31	31	2	2	4.630794597002877	10.722264729794787
37	0	5848	0	0.0	0.0
37	1	1574	1574	1267.006237349136	1071.5045377275621
37	2	1565	1565	1665.0116830403053	1808.4226450757078
37	3	1430	1430	1765.0656361774163	2202.982974404012
37	4	1410	1410	1929.8451590250925	2659.229156374485
37	5	1406	1406	2062.446934501634	3041.9085205747742
37	6	1327	1327	2061.0779136459983	3213.3498985178144
37	7	1174	1174	1907.9170873978892	3110.6991669271047
37	8	980	980	1656.4568883663737	2806.965989752398
37	9	817	817	1426.6111088381724	2496.3531215830603
37	10	634	634	1146.903308892318	2078.2260682999386
37	11	520	520	960.7400674070839	1777.6541144092234
37	12	402	402	763.7237101386809	1452.8211237795117
37	13	336	336	651.2811238499118	1263.7722541366638
37	14	260	260	511.98622278989706	1008.9829559170166
37	15	210	210	422.1389386121142	849.3634375711553
37	16	171	171	350.87663818690334	720.4293146512634
37	17	144	144	298.5945302374488	619.5414437368142
37	18	115	115	242.8804890197366	513.2600262591133
37	19	112	112	239.45209478471003	512.1350486172821
37	20	85	85	183.9137861820972	398.0793281418987
37	21	86	86	188.1934589565557	411.97807109299765
37	22	61	61	134.8293650101967	298.1030819991021
37	23	71	71	158.63460800475113	354.58611756670547
37	24	64	64	144.34879650395396	325.6626895921263
37	25	55	55	125.55648496554976	286.6700632360143
37	26	36	36	83.23816481450389	192.50728432785414
37	27	26	26	60.59587480324231	141.2432913633291
37	28	13	13	30.52610113632549	71.68809174159357
37	29	7	7	16.643270953152815	39.573594459619905
37	30	4	4	9.51644398317471	22.64124651019995
37	31	2	2	4.838743562353336	11.706719975137617
45	0	5848	0	0.0	0.0
45	1	1574	1574	1356.384792967914	1209.2680313244446
45	2	1565	1565	1756.5662837171049	1997.538471926003
45	3	1430	1430	1854.4843991185091	2423.0666376045883
45	4	1410	1410	2019.2050813350627	2904.656355373913
45	5	1406	1406	2160.173453127073	3329.4051370412276
45	6	1327	1327	2153.3680414394084	3502.615815086893
45	7	1174	1174	1990.2738724857204	3380.4112850006914
45	8	980	980	1729.0444296569485	3054.956609619108
45	9	817	817	1488.0453055573455	2713.396965103405
45	10	634	634	1191.6938625732796	2241.939474459663
45	11	520	520	1000.5266749010998	1926.65668039849
45	12	402	402	792.664383596501	1564.1687312680112
45	13	336	336	676.0800553290848	1361.1674289265252
45	14	260	260	532.9976295307539	1093.2479178129252
45	15	210	210	439.94447310840667	922.15430185547
45	16	171	171	364.04737358923876	775.3206601462714
45	17	144	144	310.5348718697854	669.9242264413169
45	18	115	115	251.50200117210224	550.1784668131659
45	19	112	112	247.77512952142555	548.288684061119
45	20	85	85	190.8349718593925	428.55277873396847
45	21	86	86	195.16775539564796	443.01217985844863
45	22	61	61	139.6573842653973	319.7895510666997
45	23	71	71	164.60330652646357	381.67212174627406
45	24	64	64	149.65548999833877	350.0046391304101
45	25	55	55	130.12062109222384	307.8701463468388
45	26	36	36	86.11029131280597	205.99824092012875
45	27	26	26	62.604925162690094	150.75860675410058
45	28	13	13	31.633314827882774	76.978676252733
45	29	7	7	17.180407163808997	42.16918696128607
45	30	4	4	9.873145305889532	24.372235929628822
45	31	2	2	5.003878551784917	12.519401934600118
51	0	5848	0	0.0	0.0
51	1	1574	1574	1436.8559333853968	1383.546058560617
51	2	1565	1565	1855.7281479845165	2246.531492635651
51	3	1430	1430	1958.2258200536794	2712.5395586681634
51	4	1410	1410	2129.180389432666	3238.76929352806
51	5	1406	1406	2266.4978454228094	3673.245040196916
