source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	5324	0	0.0	0.0
0	1	544	0	0.0	0.0
0	2	172	0	0.0	0.0
0	3	68	0	0.0	0.0
0	4	60	0	0.0	0.0
0	5	28	0	0.0	0.0
0	6	4	0	0.0	0.0
0	7	4	0	0.0	0.0
0	9	4	0	0.0	0.0
4	0	3993	0	0.0	0.0
4	1	408	97	251.59978606123227	707.9191387812084
4	2	129	57	136.38049523748475	355.90252947921647
4	3	51	20	48.55325264563895	124.6479283381482
4	4	45	26	51.70385792624252	116.16108588702221
4	5	21	17	37.65376053269035	90.42489713887142
4	6	3	3	8.142360246249304	23.82787193704052
4	7	3	3	8.713195124045377	25.525287167179687
4	9	3	3	6.66571705031441	17.309821109046506
6	0	6655	0	0.0	0.0
6	1	680	341	741.3655873768646	1765.8520118523707
6	2	215	165	365.5040907056106	891.9687528633549
6	3	85	75	156.44387179698828	359.1275937254786
6	4	75	69	161.6955009876142	412.9902341875999
6	5	35	34	83.25646081250538	216.84004781805535
6	6	5	5	14.195109097298129	41.11233422851419
6	7	5	5	14.613888633979194	43.011012865699186
6	9	5	5	11.90699486632271	29.983615829693612
7	0	1331	0	0.0	0.0
7	1	136	38	100.60520523062286	277.20300631049713
7	2	43	26	65.90996607195615	175.26255690211113
7	3	17	9	21.265807699070415	56.5926093767241
7	4	15	10	22.91192755478436	57.43319227379327
7	5	7	7	15.316174513542837	36.32018967204361
7	6	1	1	2.1990974307418956	4.8360295098956065
7	7	1	1	2.3170629323704124	5.368780632564974
7	9	1	1	2.740271644604142	7.509088686221489
8	0	7986	0	0.0	0.0
8	1	816	473	957.8038464685634	2247.933289201751
8	2	258	218	486.58803231346894	1197.7504337553862
8	3	102	92	211.54978553185896	525.183146216354
8	4	90	84	193.7192804996463	489.1149321267639
8	5	42	42	115.31703152635866	330.3701529443811
8	6	6	6	15.956306067921272	43.67149626620288
8	7	6	6	17.86020813304921	53.82293276035712
8	9	6	6	17.33101572424192	50.75862481528367
9	0	5324	0	0.0	0.0
9	1	544	304	682.3130838802952	1666.790305844454
9	2	172	147	336.8189197110735	846.2644854943826
9	3	68	60	133.1630363453528	318.48171707439343
9	4	60	57	132.9095307167105	328.2653711898851
9	5	28	27	70.20357432957616	195.46330693943233
9	6	4	4	9.615736495095097	23.428989378842992
9	7	4	4	12.204510614957874	38.2465268046299
9	9	4	4	12.144721544677555	37.63775758942517
11	0	3993	0	0.0	0.0
11	1	408	274	632.6900370918414	1585.5011035298332
11	2	129	120	281.6533852676047	718.1323332216778
11	3	51	51	115.72417124052062	285.42097972839093
11	4	45	45	114.62178267693675	308.05683929806764
11	5	21	21	60.90232207365836	183.53054080348292
11	6	3	3	6.824488882708508	16.788385312752443
11	7	3	3	9.528451509140927	30.412587536635755
11	9	3	3	9.739886437186984	32.05475249216759
12	0	6655	0	0.0	0.0
12	1	680	424	910.8559485889547	2199.60289893553
12	2	215	197	452.81043151978895	1151.5977787929482
12	3	85	80	183.1320256200809	464.12625501840716
12	4	75	73	186.2311192015549	491.73887082369305
12	5	35	35	100.0051557725621	294.53997345719796
12	6	5	5	12.117143776352387	30.923631253425086
12	7	5	5	14.615312620980063	44.10461553455299
12	9	5	5	16.352992796217556	53.81717338820951
13	0	1331	0	0.0	0.0
13	1	136	67	175.62895085049905	483.00000954823855
13	2	43	28	76.51130838859743	223.7085234222784
13	3	17	11	26.506850223399677	69.78703714392043
13	4	15	13	31.704594732881603	83.07193326355893
13	5	7	6	17.076182794877237	51.934245984890595
13	6	1	1	2.250912882794423	5.066608805929899
13	7	1	1	3.2003835863745924	10.242455099935897
13	9	1	1	3.1753617709603135	10.082922376476219
14	0	7986	0	0.0	0.0
14	1	816	544	1218.9772051848067	2954.9769226018057
