source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	912000	0	0.0	0.0
0	1	259980	0	0.0	0.0
0	2	63900	0	0.0	0.0
0	3	15360	0	0.0	0.0
0	4	4200	0	0.0	0.0
0	5	840	0	0.0	0.0
0	6	420	0	0.0	0.0
1	0	212800	0	0.0	0.0
1	1	60662	546	3308.017596786819	20429.264200293175
1	2	14910	257	1466.646185880602	8545.846617235531
1	3	3584	83	458.19977141786256	2581.1346260288624
1	4	980	30	164.65051786072166	925.5235763787632
1	5	196	8	44.20520166497199	248.1309952928721
1	6	98	3	16.005798063007788	86.29543299571533
2	0	76000	0	0.0	0.0
2	1	21665	131	785.5656794355134	4710.789593183052
2	2	5325	78	440.7091393034516	2490.0582751998604
2	3	1280	26	141.63216083592323	771.5257301174162
2	4	350	11	58.33911544911656	309.40476285321375
2	5	70	2	10.383980717823501	53.91352777406514
2	6	35	2	10.201671530098391	52.037051004010024
3	0	60800	0	0.0	0.0
3	1	17332	0	0.0	0.0
3	2	4260	0	0.0	0.0
3	3	1024	0	0.0	0.0
3	4	280	0	0.0	0.0
3	5	56	0	0.0	0.0
3	6	28	0	0.0	0.0
4	0	106400	0	0.0	0.0
4	1	30331	2	18.36211558092657	168.58364430365316
4	2	7455	1	8.834484210786453	78.04811127063513
4	3	1792	0	0.0	0.0
4	4	490	0	0.0	0.0
4	5	98	0	0.0	0.0
4	6	49	0	0.0	0.0
5	0	30400	0	0.0	0.0
5	1	8666	457	2076.0171563743756	9492.949873431277
5	2	2130	223	941.9056067582045	4011.0631191860066
5	3	512	71	292.5379787949335	1220.2476297811804
5	4	140	24	92.78842522092017	363.32396801712275
5	5	28	6	23.783099113833355	95.47741164648208
5	6	14	3	11.892252442053096	47.45787259675295
6	0	60800	0	0.0	0.0
6	1	17332	645	3265.2235937468804	16771.599254795037
6	2	4260	332	1557.1758066914995	7419.627631880776
6	3	1024	118	517.7314118695833	2317.0261995392384
6	4	280	43	186.72561877138236	828.6097184466995
6	5	56	11	49.47130235040124	225.2703712542591
6	6	28	6	24.696427280571257	102.8956308310701
7	0	76000	0	0.0	0.0
7	1	21665	921	4704.123924623084	24526.35025871321
7	2	5325	474	2241.0179154535135	10857.363234587341
7	3	1280	166	753.3774827125362	3531.1077629705173
7	4	350	57	252.72890270822802	1157.2473150929295
7	5	70	15	65.75241599841591	295.1915409914582
7	6	35	9	36.727351676052024	155.27274768299662
8	0	45600	0	0.0	0.0
8	1	12999	1159	5436.328465337956	26164.752024874415
8	2	3195	568	2490.4758658710393	11286.114995756316
8	3	768	187	800.2627528964449	3551.645299336087
8	4	210	65	259.2800141642513	1072.4366032789767
8	5	42	17	73.53056185708549	325.04243744723834
8	6	21	7	31.446847530468027	143.94950724164633
9	0	76000	0	0.0	0.0
9	1	21665	294	1226.174325505603	5113.957403160275
9	2	5325	144	550.7029001799939	2106.0672518517804
9	3	1280	38	137.62958887943913	498.4711509243009
9	4	350	18	62.608108046391976	217.76528850826062
9	5	70	4	13.467577016799089	45.343907675853764
9	6	35	2	6.551942222923116	21.46397344626135
10	0	45600	0	0.0	0.0
10	1	12999	428	1927.345699219415	8773.77245765269
10	2	3195	215	896.725283502679	3789.026072147815
10	3	768	65	251.20551912616753	982.4175509375975
10	4	210	26	98.71624041686485	380.6831930489444
10	5	42	8	31.811158551805182	128.39105666142947
10	6	21	4	15.073985146805576	57.78493876586727
11	0	76000	0	0.0	0.0
