source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	240	0	0.0	0.0
0	1	780	0	0.0	0.0
0	2	840	0	0.0	0.0
0	3	1320	0	0.0	0.0
0	4	2100	0	0.0	0.0
0	5	1500	0	0.0	0.0
0	6	1860	0	0.0	0.0
0	7	1680	0	0.0	0.0
0	8	1500	0	0.0	0.0
0	9	2400	0	0.0	0.0
0	10	2340	0	0.0	0.0
0	11	1380	0	0.0	0.0
0	12	900	0	0.0	0.0
0	13	1260	0	0.0	0.0
0	14	600	0	0.0	0.0
0	15	600	0	0.0	0.0
0	16	720	0	0.0	0.0
0	17	480	0	0.0	0.0
0	18	480	0	0.0	0.0
0	19	300	0	0.0	0.0
0	20	240	0	0.0	0.0
0	21	60	0	0.0	0.0
0	22	240	0	0.0	0.0
0	23	60	0	0.0	0.0
0	24	60	0	0.0	0.0
0	27	60	0	0.0	0.0
0	36	120	0	0.0	0.0
1	0	56	0	0.0	0.0
1	1	182	0	0.0	0.0
1	2	196	3	10.858647490771435	39.47441382697883
1	3	308	6	23.544953702017878	94.08819507882683
1	4	490	6	22.203498072910364	83.74187118261742
1	5	350	9	29.554043990840473	100.19796332375489
1	6	434	14	47.176009882395974	166.19665564913475
1	7	392	11	35.876855450233336	122.13336725502153
1	8	350	13	42.30378942513971	146.72746912673801
1	9	560	37	115.27489543803529	382.36965405584436
1	10	546	22	69.59203436777722	232.74487084992828
1	11	322	27	84.25368369335212	275.8958279855953
1	12	210	6	17.949963423215785	56.407337863035096
1	13	294	19	58.965318469658904	192.28894593500118
1	14	140	4	12.639999823660945	40.69220999706728
1	15	140	10	30.212191157343923	95.33141136393323
1	16	168	10	32.549553191526414	110.4673034529169
1	17	112	7	19.733853453888102	59.00551178098669
1	18	112	6	17.34255009631726	53.08128066753415
1	19	70	0	0.0	0.0
1	20	56	3	8.376791843682254	25.07040938398347
1	21	14	1	2.628489866368655	6.90895897760271
1	22	56	9	25.039488802460774	74.45949198255147
1	23	14	0	0.0	0.0
1	24	14	1	2.5515025696964333	6.510165363167502
1	27	14	1	1.9977193930831334	3.990882773500443
1	36	28	3	8.810324296165064	26.44718133040106
2	0	20	0	0.0	0.0
2	1	65	0	0.0	0.0
2	2	70	0	0.0	0.0
2	3	110	1	3.6034137798135584	12.984590868550235
2	4	175	2	6.919639275285555	23.940703850037202
2	5	125	2	6.696989146852535	22.42483181653032
2	6	155	5	16.287901620776005	53.0591478416155
2	7	140	3	9.542253994055555	30.35153709568973
2	8	125	0	0.0	0.0
2	9	200	3	9.166758799732307	28.009822297489894
2	10	195	5	15.015759057992705	45.094604017538
2	11	115	2	5.9114846874385965	17.4728256049105
2	12	75	4	11.649928386862106	33.930207854753874
2	13	105	6	17.23623602479434	49.514638717069715
2	14	50	1	2.8358970993654604	8.042312358189433
2	15	50	2	5.603291130562341	15.698435746919298
2	16	60	6	16.61772616207819	46.0248037996363
2	17	40	1	2.73955325933838	7.505152060751541
2	18	40	4	10.844873667502423	29.402821216021863
2	19	25	2	5.368857984422542	14.412318028448839
2	20	20	1	2.659026352791135	7.0704211448377245
2	21	5	0	0.0	0.0
2	22	20	2	5.223717489995993	13.643612207645019
2	23	5	0	0.0	0.0
2	24	5	0	0.0	0.0
2	27	5	1	2.510677145602057	6.303499729448492
2	36	10	2	4.738026286176908	11.22444654425167
3	0	16	0	0.0	0.0
3	1	52	0	0.0	0.0
3	2	56	0	0.0	0.0
3	3	88	0	0.0	0.0
3	4	140	0	0.0	0.0
3	5	100	0	0.0	0.0
3	6	124	0	0.0	0.0
3	7	112	0	0.0	0.0
3	8	100	0	0.0	0.0
3	9	160	0	0.0	0.0
3	10	156	0	0.0	0.0
3	11	92	0	0.0	0.0
3	12	60	0	0.0	0.0
3	13	84	0	0.0	0.0
3	14	40	0	0.0	0.0
3	15	40	0	0.0	0.0
3	16	48	0	0.0	0.0
3	17	32	0	0.0	0.0
3	18	32	0	0.0	0.0
3	19	20	0	0.0	0.0
3	20	16	0	0.0	0.0
3	21	4	0	0.0	0.0
3	22	16	0	0.0	0.0
3	23	4	0	0.0	0.0
3	24	4	0	0.0	0.0
3	27	4	0	0.0	0.0
3	36	8	0	0.0	0.0
4	0	28	0	0.0	0.0
4	1	91	1	5.444970540450532	29.64770418637416
4	2	98	0	0.0	0.0
4	3	154	0	0.0	0.0
4	4	245	3	14.255637866034105	67.7410703225018
4	5	175	1	4.640326153865008	21.532626814243617
4	6	217	2	9.098368030539575	41.39015040957229
4	7	196	2	8.94425462823145	39.999845427319855
4	8	175	2	8.81076051104194	38.81475039146801
4	9	280	2	8.693014748736703	37.78425271087692
4	10	273	3	12.88153725651963	55.31133403036776
4	11	161	3	12.738627890589438	54.09088017830104
4	12	105	0	0.0	0.0
4	13	147	0	0.0	0.0
4	14	70	0	0.0	0.0
4	15	70	0	0.0	0.0
4	16	84	2	8.117911458964736	32.95024322779548
4	17	56	0	0.0	0.0
4	18	56	2	8.000202934605927	32.00162349743864
4	19	35	1	3.9730864829311967	15.785416200850586
4	20	28	0	0.0	0.0
