source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	480	0	0.0	0.0
0	1	480	0	0.0	0.0
0	2	660	0	0.0	0.0
0	3	840	0	0.0	0.0
0	4	660	0	0.0	0.0
0	5	540	0	0.0	0.0
0	6	540	0	0.0	0.0
0	7	420	0	0.0	0.0
0	8	540	0	0.0	0.0
0	9	420	0	0.0	0.0
0	10	240	0	0.0	0.0
0	11	300	0	0.0	0.0
0	12	180	0	0.0	0.0
0	13	300	0	0.0	0.0
0	14	180	0	0.0	0.0
0	15	360	0	0.0	0.0
0	16	300	0	0.0	0.0
0	17	120	0	0.0	0.0
0	18	120	0	0.0	0.0
0	19	120	0	0.0	0.0
0	20	120	0	0.0	0.0
0	22	60	0	0.0	0.0
0	23	60	0	0.0	0.0
0	25	60	0	0.0	0.0
0	28	60	0	0.0	0.0
0	33	60	0	0.0	0.0
1	0	112	0	0.0	0.0
1	1	112	1	2.6026251978114097	6.773657920282879
1	2	154	5	11.678714500045825	29.235500607731677
1	3	196	17	41.16311690433878	107.8191554036282
1	4	154	9	18.619880741189878	40.18166861229835
1	5	126	18	34.18198500580515	71.15439459139951
1	6	126	11	23.459817088120907	53.7754074981861
1	7	98	9	17.232889643795673	37.986954764739494
1	8	126	23	47.14454232679926	105.13876593760291
1	9	98	16	28.467817635999154	56.45676738257117
1	10	56	19	37.460992821985236	79.96563845449539
1	11	70	10	16.83777750474333	30.973451931799765
1	12	42	10	18.266328032581168	36.844990955785924
1	13	70	20	35.183688912167845	67.85816195719022
1	14	42	20	37.23699611336616	74.5220086105187
1	15	84	36	63.39008463260069	121.69813377437848
1	16	70	28	51.41750585636314	102.21618151933126
1	17	28	7	9.667781047909406	14.881197431819885
1	18	28	10	16.76318380968536	29.759127953861313
1	19	28	12	21.87723882329386	43.51125957295782
1	20	28	15	26.769318340077536	50.55714983109226
1	22	14	5	6.13853272668222	7.90856752763231
1	23	14	7	10.858393038784884	18.382151313848546
1	25	14	9	15.360303121217814	29.571550462829933
1	28	14	9	14.851909500981414	25.626766931608174
1	33	14	8	12.44015806941549	22.569200459715567
2	0	40	0	0.0	0.0
2	1	40	1	2.392469932996903	5.723912380294205
2	2	55	2	4.006386098080633	8.025564783446882
2	3	70	3	6.5128281962647865	14.702056569119412
2	4	55	3	5.022112306855911	8.407204007557866
2	5	45	6	10.131730656550397	17.503911500749403
2	6	45	4	6.208790403086136	9.820128495177375
2	7	35	4	8.085451845983776	18.153140697427986
2	8	45	5	7.709646540000107	12.775957552732498
2	9	35	5	7.99261827091563	13.825912642289808
2	10	20	1	1.851841009892688	3.429315125920371
2	11	25	3	4.880843853474183	8.134488140135968
2	12	15	2	2.1618426977836287	2.3591740947866557
2	13	25	3	4.635096192476695	7.351077241736295
2	14	15	2	2.933842298623895	4.539477005257815
2	15	30	6	8.790718584030657	13.654414475836901
2	16	25	5	6.858384672798952	9.79645925070091
2	17	10	1	1.5311201591482222	2.3443289417500774
2	18	10	1	1.5051598889227205	2.265506291221856
2	19	10	3	5.570847900004197	10.778079805405444
2	20	10	3	4.880016502808495	8.909603675358067
2	22	5	1	1.4853044346230497	2.2061292635108973
2	23	5	1	1.5313745133680305	2.3451079001931725
2	25	5	2	2.8298350267749224	4.961075454571073
