source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	31095	0	0.0	0.0
0	1	4860	0	0.0	0.0
0	2	3921	0	0.0	0.0
0	3	2865	0	0.0	0.0
0	4	2940	0	0.0	0.0
0	5	2682	0	0.0	0.0
0	6	2001	0	0.0	0.0
0	7	1920	0	0.0	0.0
0	8	1665	0	0.0	0.0
0	9	1230	0	0.0	0.0
0	10	1185	0	0.0	0.0
0	11	822	0	0.0	0.0
0	12	738	0	0.0	0.0
0	13	750	0	0.0	0.0
0	14	786	0	0.0	0.0
0	15	492	0	0.0	0.0
0	16	399	0	0.0	0.0
0	17	333	0	0.0	0.0
0	18	276	0	0.0	0.0
0	19	288	0	0.0	0.0
0	20	153	0	0.0	0.0
0	21	192	0	0.0	0.0
0	22	126	0	0.0	0.0
0	23	126	0	0.0	0.0
0	24	90	0	0.0	0.0
0	25	111	0	0.0	0.0
0	26	105	0	0.0	0.0
0	27	75	0	0.0	0.0
0	28	72	0	0.0	0.0
0	29	51	0	0.0	0.0
0	30	57	0	0.0	0.0
0	31	63	0	0.0	0.0
0	32	51	0	0.0	0.0
0	33	42	0	0.0	0.0
0	34	15	0	0.0	0.0
0	35	21	0	0.0	0.0
0	36	45	0	0.0	0.0
0	37	15	0	0.0	0.0
0	38	21	0	0.0	0.0
0	39	9	0	0.0	0.0
0	40	21	0	0.0	0.0
0	41	21	0	0.0	0.0
0	42	12	0	0.0	0.0
0	43	6	0	0.0	0.0
0	44	12	0	0.0	0.0
0	45	15	0	0.0	0.0
0	47	6	0	0.0	0.0
0	48	12	0	0.0	0.0
0	49	6	0	0.0	0.0
0	50	6	0	0.0	0.0
0	52	6	0	0.0	0.0
0	53	6	0	0.0	0.0
0	54	3	0	0.0	0.0
0	55	3	0	0.0	0.0
0	59	3	0	0.0	0.0
0	62	3	0	0.0	0.0
0	65	3	0	0.0	0.0
0	66	3	0	0.0	0.0
1	0	51825	0	0.0	0.0
1	1	8100	336	485.349507849803	999.3010757598361
1	2	6535	467	534.4637576983552	918.9571698979203
1	3	4775	512	528.1985310055645	807.0172396137666
1	4	4900	684	636.2326753186735	929.4809781458001
1	5	4470	703	622.7341336905391	907.2772322985061
1	6	3335	644	537.4127642503935	739.0949674489646
1	7	3200	735	611.7425700445516	869.3243398980278
1	8	2775	692	537.8590214650133	719.9754658997442
1	9	2050	543	402.3189134435048	496.37214740845945
1	10	1975	585	432.81733838030493	551.4916851499537
1	11	1370	436	348.4009639401613	485.73163509105194
1	12	1230	426	326.78267396778756	444.0465920773727
1	13	1250	450	355.6120176870519	493.71814849196556
1	14	1310	512	383.68765614321455	516.3831089598411
1	15	820	319	223.17139558506813	277.2417113689714
1	16	665	277	199.90821264184018	267.2945584190559
1	17	555	249	164.61188047521452	183.9043063827025
1	18	460	188	131.7723874004417	159.51142027144004
1	19	480	211	146.9682641637388	170.31358039262523
1	20	255	116	79.61801358759934	92.18669761719477
1	21	320	143	100.76142419651406	133.70883212457218
1	22	210	95	77.23023602117009	117.35916832324423
1	23	210	111	83.51177132399368	100.17866586261341
1	24	150	78	58.714474956962434	72.94029478305356
1	25	185	91	64.11726499904863	88.39442662539764
1	26	175	85	55.865344324440116	70.13372624806699
1	27	125	58	38.83145323941742	54.56215701234848
1	28	120	66	39.531913229206324	45.27800036213381
