source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	2139	0	0.0	0.0
0	1	3906	0	0.0	0.0
0	2	4650	0	0.0	0.0
0	3	3999	0	0.0	0.0
0	4	3348	0	0.0	0.0
0	5	3348	0	0.0	0.0
0	6	1674	0	0.0	0.0
0	7	2325	0	0.0	0.0
0	8	2232	0	0.0	0.0
0	9	1674	0	0.0	0.0
0	10	837	0	0.0	0.0
0	11	1302	0	0.0	0.0
0	12	837	0	0.0	0.0
0	13	1116	0	0.0	0.0
0	14	651	0	0.0	0.0
0	15	930	0	0.0	0.0
0	16	1302	0	0.0	0.0
0	17	651	0	0.0	0.0
0	18	837	0	0.0	0.0
0	19	279	0	0.0	0.0
0	20	279	0	0.0	0.0
0	21	465	0	0.0	0.0
0	23	279	0	0.0	0.0
0	24	93	0	0.0	0.0
0	25	279	0	0.0	0.0
0	26	93	0	0.0	0.0
0	28	372	0	0.0	0.0
0	29	93	0	0.0	0.0
0	31	93	0	0.0	0.0
0	34	186	0	0.0	0.0
0	38	93	0	0.0	0.0
0	39	93	0	0.0	0.0
0	40	93	0	0.0	0.0
0	42	93	0	0.0	0.0
0	49	93	0	0.0	0.0
1	0	23	0	0.0	0.0
1	1	42	0	0.0	0.0
1	2	50	0	0.0	0.0
1	3	43	0	0.0	0.0
1	4	36	0	0.0	0.0
1	5	36	0	0.0	0.0
1	6	18	0	0.0	0.0
1	7	25	0	0.0	0.0
1	8	24	0	0.0	0.0
1	9	18	0	0.0	0.0
1	10	9	0	0.0	0.0
1	11	14	0	0.0	0.0
1	12	9	0	0.0	0.0
1	13	12	0	0.0	0.0
1	14	7	0	0.0	0.0
1	15	10	0	0.0	0.0
1	16	14	0	0.0	0.0
1	17	7	0	0.0	0.0
1	18	9	0	0.0	0.0
1	19	3	0	0.0	0.0
1	20	3	0	0.0	0.0
1	21	5	0	0.0	0.0
1	23	3	0	0.0	0.0
1	24	1	0	0.0	0.0
1	25	3	0	0.0	0.0
1	26	1	0	0.0	0.0
1	28	4	0	0.0	0.0
1	29	1	0	0.0	0.0
1	31	1	0	0.0	0.0
1	34	2	0	0.0	0.0
1	38	1	0	0.0	0.0
1	39	1	0	0.0	0.0
1	40	1	0	0.0	0.0
1	42	1	0	0.0	0.0
1	49	1	0	0.0	0.0
2	0	23	0	0.0	0.0
2	1	42	1	2.541965850531221	6.461590385266913
2	2	50	4	11.80841157400631	37.11375490341068
2	3	43	2	7.030631746774255	24.714891379375008
2	4	36	2	5.915895637766779	19.88011392183737
2	5	36	3	5.283049537895329	9.30353747328535
2	6	18	3	5.026638711246039	8.42236557779908
2	7	25	2	6.185685979725692	19.131355519887496
2	8	24	5	7.714046661215281	11.901303178281326
2	9	18	3	4.4680137030790785	6.6543821503008065
2	10	9	3	5.469471294206527	10.84341835594874
2	11	14	4	7.036882891124224	13.931409958428123
2	12	9	3	4.083793239527311	5.559122407736323
2	13	12	3	3.9790307296950913	5.27756184928595
2	14	7	3	5.336950685918737	10.903760155643791
2	15	10	3	7.7461366748228215	20.061074328249482
2	16	14	6	11.855992694753166	26.740920629661428
2	17	7	4	6.258002044233014	11.282568302466743
2	18	9	5	8.714556843704704	17.498229593413498
2	19	3	1	1.1657338240412738	1.3589353485138915
2	20	3	1	1.144717343918727	1.3103777974683453
2	21	5	4	7.709318352809952	17.434315830458566
2	23	3	3	6.737318757938665	17.386894248091174
2	24	1	1	1.0714974527013608	1.148106791145505
2	25	3	2	3.68661321954149	8.03704350163275
2	26	1	1	2.4422801727125125	5.96473244202466
2	28	4	4	5.634060384370787	9.82703956538298
2	29	1	1	0.9981096587671151	0.9962228909242069
2	31	1	1	2.3262079246677643	5.411243308787107
2	34	2	2	3.4422687876993736	7.1492202126008655
2	38	1	1	2.2559817500991164	5.089453656780272
2	39	1	1	3.0170235472568256	9.10243108470216
2	40	1	1	0.8800760544002932	0.7745338615287879
2	42	1	1	2.14053598113603	4.581894286537987
2	49	1	1	2.903506493516098	8.430349957890146
3	0	46	0	0.0	0.0
3	1	84	0	0.0	0.0
3	2	100	1	2.4763156907716994	6.132139400362119
3	3	86	1	2.9124695002432452	8.482478589847139
3	4	72	2	5.114306833014652	13.43165460851613
3	5	72	8	18.167346266638525	41.79207894416847
3	6	36	1	2.2145729229032765	4.904333230856361
3	7	50	5	10.85896290215127	23.976214280675038
3	8	48	2	3.878219258345986	7.557027736651596
3	9	36	6	12.893156092993449	28.64986755129486
3	10	18	4	7.94968534700729	15.992470101175837
3	11	28	4	9.087995201698169	21.24364113892498
3	12	18	5	10.623043574187278	23.766875594728216
3	13	24	4	7.389410883085083	14.096011220922358
3	14	14	1	1.5430287622955798	2.380937761271429
3	15	20	5	9.449827580516772	18.626469695125706
3	16	28	8	14.195334856181882	26.50468654167818
3	17	14	2	3.9772483851916274	8.059226066179637
3	18	18	5	7.148161356665844	10.219242156186176
3	19	6	3	5.368331209475999	10.49035661555666
3	20	6	1	1.6390212698391489	2.686390722985136
3	21	10	2	3.768023513335026	7.242192044205842
3	23	6	0	0.0	0.0
3	24	2	0	0.0	0.0
3	25	6	2	2.5716891995484197	3.306792669536996
3	26	2	1	2.367699439149761	5.606000634150093
3	28	8	3	5.388264517666895	10.276719528334263
3	29	2	0	0.0	0.0
3	31	2	1	1.1949242421498036	1.4278439444772826
3	34	4	2	3.6580657639280214	7.594597707495933
3	38	2	1	1.34933019569226	1.820691977006913
3	39	2	1	2.065684017026345	4.267050458198097
3	40	2	0	0.0	0.0
3	42	2	1	1.0716874167389407	1.148513919196584
3	49	2	1	1.745276974042942	3.0459917161244876
8	0	46	0	0.0	0.0
8	1	84	3	8.545309754166064	24.48959876195522
8	2	100	7	18.587703419309523	50.06833253513777
8	3	86	6	14.475162706399702	35.66706051975655
8	4	72	7	15.415048075583103	34.124748263605376
8	5	72	17	40.465550822326726	98.42531311446797
8	6	36	11	23.297002614641276	51.123792538984716
8	7	50	10	21.83879896943371	48.02724394620737
8	8	48	16	30.767764968055673	60.82528059802996
8	9	36	6	13.897514622038312	33.43788526704043
8	10	18	4	6.655011557972648	11.269003155825622
8	11	28	10	18.23657604101403	34.413360826221734
8	12	18	7	12.22875448364297	21.94625463176039
8	13	24	10	17.72532291655216	32.698499916566945
8	14	14	4	5.89809224753698	8.83697588854362
8	15	20	9	17.39033332009461	35.08543111857576
8	16	28	19	32.19085234788689	56.996328663588706
8	17	14	9	17.196021367370022	35.58391436105532
8	18	18	11	19.45353660486911	36.8952929970475
8	19	6	1	2.0703794005604825	4.286470862265183
8	20	6	3	6.114707229492429	13.706314003602012
8	21	10	7	12.893917371402374	26.515288834083027
8	23	6	2	2.9740338081360536	4.769434300286469
8	24	2	1	1.6650970348162284	2.772548135353796
8	25	6	4	7.055689489814763	12.707315878044586
8	26	2	1	2.117001120522496	4.481693744293504
8	28	8	8	14.25784250368526	27.505918980624138
8	29	2	1	1.5775991353335608	2.488819031805199
8	31	2	1	1.3640843963017717	1.860726240233969
8	34	4	4	6.071160895580817	9.492777830328764
8	38	2	1	1.933786711933561	3.7395310472508134
8	39	2	2	3.61933546938163	7.143608979797706
8	40	2	2	3.081971716143629	5.09307386036187
8	42	2	1	2.113230358922035	4.465742549869753
8	49	2	2	3.4343548266072763	6.498215553788225
16	0	23	0	0.0	0.0
16	1	42	2	3.697946904506463	6.913010350400622
16	2	50	10	19.332342771549023	38.68100418643965
16	3	43	12	24.102709087264113	51.21698660484568
16	4	36	13	22.89366718056517	43.59991542495696
16	5	36	15	23.594294067756913	40.65351039146009
16	6	18	10	16.437492066651963	28.838689589402776
16	7	25	12	17.683195337523845	28.035777387915992
16	8	24	15	21.307206786270243	33.631371771395166
16	9	18	9	15.945168720926556	30.657546273955436
16	10	9	3	3.895193353808338	5.206635447803576
16	11	14	9	12.02593013759186	18.98648051320843
16	12	9	4	6.67525327912229	13.977455572591829
16	13	12	9	13.771746592783689	23.95353023763678
16	14	7	2	3.098387760319837	5.666024632530079
16	15	10	9	13.38310623061043	22.48273863125407
16	16	14	9	12.04248955589418	18.567596758313357
16	17	7	7	9.644615199304143	17.12523170408726
16	18	9	8	11.501932525490492	18.20675771022529
16	19	3	2	4.038449358542553	8.6104993889546
16	20	3	3	4.234251722469093	7.340580110755251
16	21	5	4	6.357380987458253	12.577974892586854
16	23	3	3	4.943813428949705	9.03350603197497
16	24	1	1	1.4782857075205782	2.1853286330596164
16	25	3	3	6.15994545669814	13.157480153083087
16	26	1	1	1.0401718361653671	1.0819574487516312
16	28	4	4	6.470368762859132	11.76380072477491
16	29	1	1	2.049000246675065	4.198402010874478
16	31	1	1	1.6575622467577915	2.7475126018767377
16	34	2	2	3.0968673885071425	5.158287593830021
16	38	1	1	1.5262680098115802	2.329494037774202
16	39	1	1	2.5156460204712086	6.328474900312628
16	40	1	1	2.2273788346023573	4.961216472834556
16	42	1	1	1.9399935062726148	3.763574804379914
16	49	1	1	1.7374478750232925	3.0187251184229544
31	0	23	0	0.0	0.0
31	1	42	7	14.146638667617685	30.253212195347395
31	2	50	11	19.400223405107006	36.9651456722099
31	3	43	14	24.74400417599104	47.28075134634777
31	4	36	14	20.117368034886375	32.95537763439468
31	5	36	18	25.484322499818504	41.345451492762436
31	6	18	16	24.772999077557472	43.664237891786726
31	7	25	15	24.538403014603	43.14914725352776
31	8	24	15	22.316654148286542	40.90230988649516
31	9	18	13	21.351199474062135	38.77064060483488
31	10	9	7	11.934016991698943	21.330717542952584
31	11	14	11	16.661921274809167	27.56241842514283
31	12	9	9	13.343641884189289	24.692424346506517
31	13	12	12	17.29181451075254	28.76345945086776
