source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	1413600	0	0.0	0.0
0	1	402969	0	0.0	0.0
0	2	99045	0	0.0	0.0
0	3	23808	0	0.0	0.0
0	4	6510	0	0.0	0.0
0	5	1302	0	0.0	0.0
0	6	651	0	0.0	0.0
1	0	15200	0	0.0	0.0
1	1	4333	0	0.0	0.0
1	2	1065	0	0.0	0.0
1	3	256	0	0.0	0.0
1	4	70	0	0.0	0.0
1	5	14	0	0.0	0.0
1	6	7	0	0.0	0.0
2	0	15200	0	0.0	0.0
2	1	4333	0	0.0	0.0
2	2	1065	0	0.0	0.0
2	3	256	0	0.0	0.0
2	4	70	0	0.0	0.0
2	5	14	0	0.0	0.0
2	6	7	0	0.0	0.0
3	0	30400	0	0.0	0.0
3	1	8666	504	2111.352672079047	8874.52815807674
3	2	2130	241	936.7006950109953	3661.226600167423
3	3	512	79	299.11037473913353	1142.8166086641443
3	4	140	25	91.38691223330167	337.5857917198913
3	5	28	7	25.641367666108856	94.69108486578733
3	6	14	4	13.13402087191783	43.15625892854077
8	0	30400	0	0.0	0.0
8	1	8666	439	1593.9677933381608	5835.025509569744
8	2	2130	215	702.8871393182145	2320.3107847589545
8	3	512	60	187.3182000006457	591.6698693579599
8	4	140	20	59.5782685218181	179.76231465255157
8	5	28	8	22.80720127479501	65.91101272419995
8	6	14	3	7.507490765295545	18.78747253033263
16	0	15200	0	0.0	0.0
16	1	4333	285	1144.1158707302973	4613.316094423404
16	2	1065	136	497.05357124328134	1827.2452048818127
16	3	256	50	172.872779930972	601.2602460047237
16	4	70	20	66.74047267674446	224.58388990098942
16	5	14	5	15.747520089809132	49.93772161372067
16	6	7	1	3.378307387899089	11.412960807133565
31	0	15200	0	0.0	0.0
31	1	4333	1972	6621.544261974541	22635.645066517347
31	2	1065	790	2551.9100361631126	8459.398258807398
31	3	256	223	730.2347548141292	2463.241926875659
31	4	70	60	200.55515605714703	694.7535708780347
31	5	14	14	44.07211043220502	141.43870343674874
31	6	7	6	21.959546026460373	82.73970465318887
37	0	15200	0	0.0	0.0
37	1	4333	1786	5412.697995745286	16907.816410018557
37	2	1065	703	2013.259413124108	5998.051039870568
37	3	256	217	617.6772980149022	1834.4690750161853
37	4	70	65	180.7275132578418	525.9755728838479
37	5	14	12	36.98773139212835	117.96987824143585
37	6	7	7	20.808290261766594	64.35933637256349
45	0	15200	0	0.0	0.0
45	1	4333	1572	5009.5614148151735	16347.768698793272
45	2	1065	641	1918.5750520170905	5948.937245424745
45	3	256	182	538.9257176798747	1666.2366487171014
45	4	70	61	186.7671723290281	591.7211767575886
45	5	14	11	33.6462879146735	108.29519056193476
45	6	7	6	15.284046008588673	41.57618791599181
51	0	15200	0	0.0	0.0
51	1	4333	2671	7886.099067368819	23923.61374819996
51	2	1065	903	2632.677089509811	7987.414902569532
51	3	256	248	749.0021845339387	2351.890146306551
51	4	70	68	213.4540427549635	690.0347946541051
51	5	14	14	48.51044074285892	170.73207987332083
51	6	7	7	22.332762497538248	72.22191543454859
54	0	15200	0	0.0	0.0
54	1	4333	2159	6227.640794814764	18467.247510676425
54	2	1065	791	2222.4201485098524	6547.359000266601
54	3	256	217	611.6627355536034	1803.947443624382
54	4	70	66	192.3761771594904	583.3845583017277
54	5	14	14	43.35065217054795	137.47829392109088
54	6	7	6	19.539100019612857	65.27197209678597
73	0	15200	0	0.0	0.0
73	1	4333	2967	8695.2494428535	26044.283670631095
73	2	1065	975	2858.1599657664547	8644.7274561636
73	3	256	247	784.9475074735334	2556.4105417579494
73	4	70	68	218.9106997777406	720.3810280466199
73	5	14	14	49.29348413004709	174.7104044724809
73	6	7	7	24.47020965563668	86.0146239993974
108	0	15200	0	0.0	0.0
108	1	4333	2774	8462.509275095457	26539.705238844963
108	2	1065	904	2755.5851681546146	8714.623789068395
108	3	256	246	770.763510035218	2490.4647468221765
108	4	70	69	230.35260987463815	786.4351041182229
