source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	11404	0	0.0	0.0
0	1	1720	0	0.0	0.0
0	2	1176	0	0.0	0.0
0	3	1192	0	0.0	0.0
0	4	2624	0	0.0	0.0
0	5	1708	0	0.0	0.0
0	6	1520	0	0.0	0.0
0	7	1492	0	0.0	0.0
0	8	1724	0	0.0	0.0
0	9	1508	0	0.0	0.0
0	10	1480	0	0.0	0.0
0	11	1376	0	0.0	0.0
0	12	1556	0	0.0	0.0
0	13	1356	0	0.0	0.0
0	14	1264	0	0.0	0.0
0	15	1232	0	0.0	0.0
0	16	1200	0	0.0	0.0
0	17	1276	0	0.0	0.0
0	18	1236	0	0.0	0.0
0	19	1304	0	0.0	0.0
0	20	1188	0	0.0	0.0
0	21	1144	0	0.0	0.0
0	22	1292	0	0.0	0.0
0	23	1096	0	0.0	0.0
0	24	1080	0	0.0	0.0
0	25	1132	0	0.0	0.0
0	26	1080	0	0.0	0.0
0	27	988	0	0.0	0.0
0	28	1060	0	0.0	0.0
0	29	1104	0	0.0	0.0
0	30	912	0	0.0	0.0
0	31	912	0	0.0	0.0
0	32	892	0	0.0	0.0
0	33	972	0	0.0	0.0
0	34	840	0	0.0	0.0
0	35	960	0	0.0	0.0
0	36	920	0	0.0	0.0
0	37	840	0	0.0	0.0
0	38	1024	0	0.0	0.0
0	39	1132	0	0.0	0.0
0	40	1068	0	0.0	0.0
0	41	960	0	0.0	0.0
0	42	1100	0	0.0	0.0
0	43	1104	0	0.0	0.0
0	44	1180	0	0.0	0.0
0	45	1040	0	0.0	0.0
0	46	1104	0	0.0	0.0
0	47	1104	0	0.0	0.0
0	48	1080	0	0.0	0.0
0	49	1116	0	0.0	0.0
0	50	960	0	0.0	0.0
0	51	1008	0	0.0	0.0
0	52	956	0	0.0	0.0
0	53	908	0	0.0	0.0
0	54	836	0	0.0	0.0
0	55	868	0	0.0	0.0
0	56	752	0	0.0	0.0
0	57	716	0	0.0	0.0
0	58	636	0	0.0	0.0
0	59	536	0	0.0	0.0
0	60	640	0	0.0	0.0
0	61	496	0	0.0	0.0
0	62	424	0	0.0	0.0
0	63	460	0	0.0	0.0
0	64	380	0	0.0	0.0
0	65	344	0	0.0	0.0
0	66	300	0	0.0	0.0
0	67	256	0	0.0	0.0
0	68	272	0	0.0	0.0
0	69	196	0	0.0	0.0
0	70	196	0	0.0	0.0
0	71	128	0	0.0	0.0
0	72	124	0	0.0	0.0
0	73	120	0	0.0	0.0
0	74	80	0	0.0	0.0
0	75	84	0	0.0	0.0
0	76	68	0	0.0	0.0
0	77	60	0	0.0	0.0
0	78	52	0	0.0	0.0
0	79	28	0	0.0	0.0
0	80	24	0	0.0	0.0
0	81	28	0	0.0	0.0
0	82	12	0	0.0	0.0
0	83	16	0	0.0	0.0
0	84	12	0	0.0	0.0
0	86	8	0	0.0	0.0
0	87	8	0	0.0	0.0
0	88	8	0	0.0	0.0
0	90	4	0	0.0	0.0
0	98	4	0	0.0	0.0
4	0	8553	0	0.0	0.0
4	1	1290	0	0.0	0.0
4	2	882	0	0.0	0.0
4	3	894	0	0.0	0.0
4	4	1968	0	0.0	0.0
4	5	1281	1	3.1543109099994973	9.949677316941857
4	6	1140	0	0.0	0.0
4	7	1119	0	0.0	0.0
4	8	1293	1	2.9203976578932704	8.528722480228499
4	9	1131	0	0.0	0.0
4	10	1110	0	0.0	0.0
4	11	1032	2	5.833889237129315	17.06498906537969
4	12	1167	1	3.028322518163679	9.170737274017204
4	13	1017	2	6.475439013645452	21.08988008331798
4	14	948	0	0.0	0.0
4	15	924	1	2.917334425186433	8.510840148377856
4	16	900	1	2.8852594990292264	8.324722376738382
4	17	957	0	0.0	0.0
4	18	927	3	8.351485063290243	23.671382100454714
4	19	978	4	11.379147055016155	32.69578442384246
4	20	891	2	4.933142859206946	12.167949234672239
4	21	858	0	0.0	0.0
4	22	969	7	20.028759317096714	59.78412499624458
4	23	822	5	13.705472307659878	37.89325796830795
4	24	810	4	10.121831262673284	25.70726313653691
4	25	849	4	11.452788191045919	35.86905188788244
4	26	810	2	4.9819708920184755	12.457115269305653
4	27	741	4	10.50306271921321	27.578581620931597
4	28	795	6	16.02670358639245	43.46638574983622
4	29	828	4	9.748829789995487	23.85381944164746
4	30	684	2	4.841060137040779	11.764831659221409
4	31	684	4	9.61763324800165	23.21841879858377
4	32	669	2	5.083559980388678	12.921291037104668
4	33	729	3	7.273974032778781	17.69923602607631
4	34	630	3	7.420198591011204	18.7814029810579
4	35	720	5	13.59353795291745	39.84603115094605
4	36	690	5	14.213017844216896	44.2611268848121
4	37	630	3	6.8001572900842895	15.476122617014656
4	38	768	10	24.150526806770014	58.83167536254693
4	39	849	8	19.00998669404621	46.08077491782791
4	40	801	5	14.14383409078022	44.05929366516666
4	41	720	10	24.223365470878843	61.543275185608266
4	42	825	11	26.61837466089438	65.92665210630258
4	43	828	11	28.34062563338228	76.70659856652267
4	44	885	14	35.52899198586083	95.8426515703569
4	45	780	12	32.6681401541196	91.40670363718611
4	46	828	6	14.902344554884884	37.54828443973936
4	47	828	16	39.01527641357549	99.24412258874939
4	48	810	18	40.112368512749484	90.56558337259091
4	49	837	21	46.1301892772624	102.20424544600112
4	50	720	16	35.70637760841065	80.76628781521134
4	51	756	19	41.771223602045445	93.41004551224815
4	52	717	19	45.56151653532399	115.29565314894322
4	53	681	25	61.80571434635375	160.87520707799595
4	54	627	16	34.92600164242318	76.95827564457466
4	55	651	25	55.01607490934639	123.18495158856058
4	56	564	21	48.958063728555985	117.91918807406455
4	57	537	16	37.9654152650325	91.79032766431153
4	58	477	18	37.77238684929986	79.67409486971698
4	59	402	18	37.80442039646513	80.18509647167346
4	60	480	25	57.34035099388519	134.0845406945979
4	61	372	22	49.963263256518474	117.87085737969076
4	62	318	23	50.21034750712161	114.05122690504996
4	63	345	28	64.13977215667278	154.6816273395048
4	64	285	28	64.78830462401382	155.59383380170604
4	65	258	22	47.26238197243552	103.40249133447863
4	66	225	30	65.98687194750568	147.69637264579146
4	67	192	21	46.625599033261636	105.59081399390118
4	68	204	24	58.57603939853278	155.76467520045912
4	69	147	21	46.98301611671899	111.92626359495249
4	70	147	15	32.068092853499934	69.84777311813721
4	71	96	13	29.18718265761283	66.95222928996324
4	72	93	13	30.75137008316839	76.13726337666172
4	73	90	17	36.5392737954493	80.07845611100905
4	74	60	12	26.49555353998124	60.054300921155956
4	75	63	13	30.92898932201969	79.63290228352177
4	76	51	8	19.899274343765146	51.98027319813402
4	77	45	12	27.341450011027653	65.65803115136204
4	78	39	8	17.116995150058933	37.69382933191639
4	79	21	7	16.265253021391267	40.424444122274096
4	80	18	5	10.549053365718468	23.003464125552522
4	81	21	5	12.718615996724072	34.79616201545509
4	82	9	3	6.483307730908541	14.371415895300078
4	83	12	1	2.5649952920729437	6.579200848356366
4	84	9	1	2.5590780542973204	6.548880487986159
4	86	6	3	6.6628762367917735	14.957872441985863
4	87	6	1	2.0521171269816474	4.211184702851411
4	88	6	2	3.7958381269483716	7.2483992414177605
4	90	3	2	5.098955546962831	13.000871526268327
4	98	3	1	2.531883401199519	6.410433557269645
6	0	14255	0	0.0	0.0
6	1	2150	33	75.19704842969398	172.10231653203778
6	2	1470	51	102.06966773816916	206.17360826438033
6	3	1490	81	144.52067037584268	260.1959232171612
6	4	3280	216	361.6600380443385	613.2851318130798
6	5	2135	200	315.0106808192134	505.24907679146844
6	6	1900	220	330.92693382986374	506.42403643855573
6	7	1865	237	344.47233909010714	514.2329509160552
6	8	2155	324	450.8635925099096	647.718464828592
6	9	1885	333	451.3430603994419	631.7086745344287
6	10	1850	312	402.34650013020246	535.7049973456933
6	11	1720	349	444.464780250905	589.3494934775294
6	12	1945	402	503.01195472725556	657.9040705486268
6	13	1695	400	497.624968268201	651.7839289651204
6	14	1580	415	497.3937928537471	622.7850389718208
6	15	1540	442	521.4807759509924	654.8416262725195
6	16	1500	444	513.927054665184	639.0065628462073
6	17	1595	504	571.7171632289035	692.5698355540791
6	18	1545	516	569.4448128442432	665.9727792789975
6	19	1630	568	633.5096782518026	760.2293048147378
6	20	1485	510	558.6896261301163	655.6055163851294
6	21	1430	525	570.7467905451585	668.8980828746064
6	22	1615	652	718.0559432416063	871.0687442722724
6	23	1370	550	594.0532352772849	706.2566773212857
6	24	1350	529	576.1694513683631	692.2630059971476
6	25	1415	593	616.8653857076647	716.0132533313309
6	26	1350	569	591.962756503577	680.3516871347067
6	27	1235	560	579.2012134995157	660.6950436813916
6	28	1325	621	634.5805021728271	705.1338746123125
6	29	1380	664	687.5751269444766	782.1552509439307
6	30	1140	553	572.1651294123043	670.3719239725044
6	31	1140	552	557.3866575803728	632.1094436097185
6	32	1115	574	578.5748139247851	644.3342435224474
6	33	1215	636	631.4527007447771	694.5817296867941
6	34	1050	533	539.0940667844636	613.8969908486392
6	35	1200	666	675.259137296213	763.201480867416
6	36	1150	644	646.4920512375538	722.6386719873211
6	37	1050	583	577.9803284637729	640.3009021530265
6	38	1280	718	721.586680378354	820.15790978256
6	39	1415	833	831.0378195715339	942.066596770133
6	40	1335	799	765.3132323117113	819.3881608363711
6	41	1200	720	713.7339243399049	802.1973020876226
6	42	1375	822	805.3326081052559	897.03232619486
6	43	1380	835	815.3339034082932	902.1086072739608
6	44	1475	930	894.0384319278297	975.0914944142853
6	45	1300	814	798.7954725439918	900.273979250505
6	46	1380	898	876.0231821396856	979.9672870594366
6	47	1380	919	904.012090784612	1023.8155173768182
6	48	1350	871	854.9136874833093	973.0538262940588
6	49	1395	909	895.2321677348281	1024.6745434299
6	50	1200	820	804.2932207708391	915.5664426956874
6	51	1260	880	850.9896666679517	974.7642203606292
6	52	1195	803	791.171926155353	917.9073621600106
6	53	1135	806	789.2581259874042	916.0513072410663
6	54	1045	740	747.8396740654924	911.3200032153161
6	55	1085	785	764.346454973537	867.4682959972909
6	56	940	689	695.1272483035511	850.8366266608973
6	57	895	659	674.1835143944685	838.7169575078742
6	58	795	600	605.7562819212989	743.0307504496827
6	59	670	502	506.4746213504248	629.7201380685008
6	60	800	623	631.6260914596589	794.972902028389
6	61	620	478	494.93205469082926	635.5204691562279
6	62	530	414	412.14428261502115	507.17769759978916
6	63	575	476	480.4572246940322	598.8374125517763
6	64	475	379	406.0933658959814	573.040884782815
6	65	430	363	363.20286807341336	451.11610463293164
6	66	375	313	338.8222998618456	473.1772978530414
6	67	320	274	294.29965821758054	417.7152515421641
6	68	340	288	305.8636379741431	429.01470227971265
6	69	245	207	219.74405330099992	307.94280051815724
6	70	245	211	229.87001753842918	320.16117521638273
