source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	8091	0	0.0	0.0
0	1	87	0	0.0	0.0
0	2	87	0	0.0	0.0
0	3	174	0	0.0	0.0
0	8	174	0	0.0	0.0
0	16	87	0	0.0	0.0
0	31	87	0	0.0	0.0
0	37	87	0	0.0	0.0
0	45	87	0	0.0	0.0
0	51	87	0	0.0	0.0
0	54	87	0	0.0	0.0
0	73	87	0	0.0	0.0
0	108	87	0	0.0	0.0
0	132	87	0	0.0	0.0
0	143	87	0	0.0	0.0
0	160	87	0	0.0	0.0
0	248	87	0	0.0	0.0
0	250	2262	0	0.0	0.0
1	0	930	0	0.0	0.0
1	1	10	0	0.0	0.0
1	2	10	0	0.0	0.0
1	3	20	0	0.0	0.0
1	8	20	0	0.0	0.0
1	16	10	0	0.0	0.0
1	31	10	0	0.0	0.0
1	37	10	0	0.0	0.0
1	45	10	0	0.0	0.0
1	51	10	1	4.59192042088377	21.085733151729375
1	54	10	0	0.0	0.0
1	73	10	0	0.0	0.0
1	108	10	0	0.0	0.0
1	132	10	0	0.0	0.0
1	143	10	1	4.702771985813391	22.116064350551227
1	160	10	0	0.0	0.0
1	248	10	0	0.0	0.0
1	250	260	17	67.4833095325028	278.7914514378192
2	0	744	0	0.0	0.0
2	1	8	0	0.0	0.0
2	2	8	0	0.0	0.0
2	3	16	0	0.0	0.0
2	8	16	0	0.0	0.0
2	16	8	1	5.861742456821419	34.36002463010281
2	31	8	0	0.0	0.0
2	37	8	1	6.294947212666618	39.626360410259224
2	45	8	0	0.0	0.0
2	51	8	1	4.780535265659227	22.853517426211532
2	54	8	0	0.0	0.0
2	73	8	1	4.982265007887817	24.822964608823384
2	108	8	1	3.940921677059853	15.530863664720243
2	132	8	0	0.0	0.0
2	143	8	0	0.0	0.0
2	160	8	1	4.411670574982571	19.462837262167046
2	248	8	0	0.0	0.0
2	250	208	35	139.69868044878572	580.2471665442378
3	0	279	0	0.0	0.0
3	1	3	0	0.0	0.0
3	2	3	0	0.0	0.0
3	3	6	0	0.0	0.0
3	8	6	0	0.0	0.0
3	16	3	1	3.919738173792153	15.364347351083442
3	31	3	0	0.0	0.0
3	37	3	0	0.0	0.0
3	45	3	2	8.002791551916582	32.088376652172485
3	51	3	1	3.6944033323081458	13.648615981769531
3	54	3	0	0.0	0.0
3	73	3	0	0.0	0.0
3	108	3	2	9.13282477548188	42.272299196063926
3	132	3	2	7.619814154913573	34.17234166851384
3	143	3	2	8.28491324397284	35.650611277428084
3	160	3	1	2.7288187180261945	7.446451595850124
3	248	3	2	7.10647172593161	26.485212634214413
3	250	78	49	173.9842827178286	651.9065506660849
4	0	279	0	0.0	0.0
4	1	3	0	0.0	0.0
4	2	3	0	0.0	0.0
4	3	6	0	0.0	0.0
4	8	6	0	0.0	0.0
4	16	3	0	0.0	0.0
4	31	3	1	4.2720151663559065	18.250113581574883
4	37	3	1	4.289197780468781	18.397217599978315
4	45	3	0	0.0	0.0
4	51	3	1	5.238638381469286	27.443332091803143
4	54	3	0	0.0	0.0
4	73	3	0	0.0	0.0
4	108	3	0	0.0	0.0
4	132	3	0	0.0	0.0
4	143	3	1	5.238721909713427	27.444207247311496
4	160	3	0	0.0	0.0
4	248	3	0	0.0	0.0
4	250	78	28	97.25994589070433	361.1683710746364
5	0	372	0	0.0	0.0
5	1	4	0	0.0	0.0
5	2	4	0	0.0	0.0
5	3	8	0	0.0	0.0
5	8	8	0	0.0	0.0
5	16	4	0	0.0	0.0
5	31	4	0	0.0	0.0
5	37	4	0	0.0	0.0
5	45	4	0	0.0	0.0
5	51	4	2	8.221576624230067	33.8868009622176
5	54	4	0	0.0	0.0
5	73	4	0	0.0	0.0
5	108	4	0	0.0	0.0
5	132	4	1	3.8369865669406793	14.72246591488322
5	143	4	1	4.702771985813391	22.116064350551227
5	160	4	1	3.538447937833011	12.520613808754687
5	248	4	1	3.248479812572991	10.552621092694253
5	250	104	25	100.7028899997755	422.0993760327283
6	0	186	0	0.0	0.0
6	1	2	0	0.0	0.0
6	2	2	0	0.0	0.0
6	3	4	0	0.0	0.0
6	8	4	0	0.0	0.0
6	16	2	0	0.0	0.0
6	31	2	0	0.0	0.0
6	37	2	1	1.6495297691257964	2.7209484592322033
6	45	2	0	0.0	0.0
6	51	2	1	3.0696784866000946	9.422926011095447
6	54	2	2	9.363389722261498	54.0626298956932
6	73	2	1	2.690088045994317	7.236573695201523
6	108	2	1	2.930219670127728	8.586187315203452
6	132	2	1	2.7801862557405106	7.7294356166084395
6	143	2	1	4.1017464296377675	16.824323773046174
6	160	2	1	2.1979173940499352	4.830840871067259
6	248	2	1	4.998395790691382	24.983960480401326
6	250	52	32	108.98067856312048	389.19585252542316
7	0	186	0	0.0	0.0
7	1	2	0	0.0	0.0
7	2	2	0	0.0	0.0
7	3	4	0	0.0	0.0
7	8	4	0	0.0	0.0
7	16	2	1	3.4272771259431734	11.746228498013298
7	31	2	0	0.0	0.0
7	37	2	2	3.15667485408782	4.982298067215179
7	45	2	0	0.0	0.0
7	51	2	1	2.992961565891163	8.957818934901683
7	54	2	2	7.983382644531531	37.29224022855021
7	73	2	0	0.0	0.0
7	108	2	2	6.091793440580274	18.62891614821139
7	132	2	1	2.7037490724917714	7.310259047000114
7	143	2	1	3.012157147616183	9.073090681935259
7	160	2	2	5.69302323509889	17.25258362885235
7	248	2	2	3.7808859974339293	8.088394469223072
7	250	52	49	145.1061488759461	471.2661203530515
8	0	93	0	0.0	0.0
8	1	1	0	0.0	0.0
8	2	1	0	0.0	0.0
8	3	2	0	0.0	0.0
8	8	2	0	0.0	0.0
8	16	1	1	3.3606619000513707	11.29404840645689
8	31	1	0	0.0	0.0
8	37	1	1	1.5173554262471776	2.302367489561754
8	45	1	0	0.0	0.0
8	51	1	0	0.0	0.0
8	54	1	1	3.445423319815691	11.870941852729779
8	73	1	1	4.3509265888466055	18.93056218153236
8	108	1	1	4.952960648902968	24.53181918958131
8	132	1	0	0.0	0.0
8	143	1	1	4.217517406258073	17.787453072089825
8	160	1	1	4.050236274682069	16.404413880750486
8	248	1	1	3.144579725070639	9.888381647325335
8	250	26	25	88.48111199889203	335.88683297284507
9	0	186	0	0.0	0.0
9	1	2	0	0.0	0.0
9	2	2	0	0.0	0.0
9	3	4	0	0.0	0.0
9	8	4	0	0.0	0.0
9	16	2	0	0.0	0.0
9	31	2	2	6.985502892993212	24.405253236557094
9	37	2	0	0.0	0.0
9	45	2	0	0.0	0.0
9	51	2	0	0.0	0.0
9	54	2	0	0.0	0.0
9	73	2	0	0.0	0.0
9	108	2	2	6.367290321277038	20.796740957056535
9	132	2	1	3.6063556878853404	13.005801347542947
9	143	2	2	6.971891267061904	25.620581739312318
9	160	2	0	0.0	0.0
9	248	2	2	6.796200295406651	23.898710916699393
9	250	52	38	129.2920352619937	463.7739332981035
10	0	279	0	0.0	0.0
10	1	3	0	0.0	0.0
10	2	3	0	0.0	0.0
10	3	6	0	0.0	0.0
10	8	6	0	0.0	0.0
10	16	3	0	0.0	0.0
10	31	3	0	0.0	0.0
10	37	3	1	2.5083802432178115	6.291971444565447
10	45	3	0	0.0	0.0
10	51	3	3	11.185705002490073	42.20094030575885
10	54	3	0	0.0	0.0
10	73	3	0	0.0	0.0
10	108	3	1	3.806109417678325	14.486468899339638
