source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	2001	0	0.0	0.0
0	1	3654	0	0.0	0.0
0	2	4350	0	0.0	0.0
0	3	3741	0	0.0	0.0
0	4	3132	0	0.0	0.0
0	5	3132	0	0.0	0.0
0	6	1566	0	0.0	0.0
0	7	2175	0	0.0	0.0
0	8	2088	0	0.0	0.0
0	9	1566	0	0.0	0.0
0	10	783	0	0.0	0.0
0	11	1218	0	0.0	0.0
0	12	783	0	0.0	0.0
0	13	1044	0	0.0	0.0
0	14	609	0	0.0	0.0
0	15	870	0	0.0	0.0
0	16	1218	0	0.0	0.0
0	17	609	0	0.0	0.0
0	18	783	0	0.0	0.0
0	19	261	0	0.0	0.0
0	20	261	0	0.0	0.0
0	21	435	0	0.0	0.0
0	23	261	0	0.0	0.0
0	24	87	0	0.0	0.0
0	25	261	0	0.0	0.0
0	26	87	0	0.0	0.0
0	28	348	0	0.0	0.0
0	29	87	0	0.0	0.0
0	31	87	0	0.0	0.0
0	34	174	0	0.0	0.0
0	38	87	0	0.0	0.0
0	39	87	0	0.0	0.0
0	40	87	0	0.0	0.0
0	42	87	0	0.0	0.0
0	49	87	0	0.0	0.0
1	0	230	0	0.0	0.0
1	1	420	0	0.0	0.0
1	2	500	5	22.612771956046664	102.50745036609827
1	3	430	3	13.317359316654235	59.25063403989511
1	4	360	2	7.994558358020482	31.956481669897574
1	5	360	3	12.551427389098766	52.64599809502451
1	6	180	1	4.2416915466410146	17.99194717684584
1	7	250	3	11.600098824817438	44.98725984125184
1	8	240	3	11.400004643642907	43.45316790471969
1	9	180	5	18.85483062472917	71.3405129423289
1	10	90	0	0.0	0.0
1	11	140	2	7.4308642282429	27.708654406979257
1	12	90	1	3.448646712395895	11.893164146919014
1	13	120	3	11.119385117783363	41.346559721138576
1	14	70	3	11.454954846720401	43.73866351346774
1	15	100	3	10.905039792883986	39.77288977028111
1	16	140	2	7.056763472229083	24.998627306188062
1	17	70	2	6.996257314870858	24.57345802104065
1	18	90	3	10.632016156353648	37.81275942541398
1	19	30	0	0.0	0.0
1	20	30	1	3.6401874101555576	13.250964381055025
