source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	744	0	0.0	0.0
0	1	8	0	0.0	0.0
0	2	8	0	0.0	0.0
0	4	16	0	0.0	0.0
0	5	8	0	0.0	0.0
0	9	8	0	0.0	0.0
0	10	8	0	0.0	0.0
0	24	8	0	0.0	0.0
0	27	8	0	0.0	0.0
0	43	8	0	0.0	0.0
0	50	8	0	0.0	0.0
0	63	8	0	0.0	0.0
0	74	8	0	0.0	0.0
0	77	8	0	0.0	0.0
0	163	8	0	0.0	0.0
0	190	8	0	0.0	0.0
0	235	8	0	0.0	0.0
0	250	216	0	0.0	0.0
1	0	744	0	0.0	0.0
1	1	8	0	0.0	0.0
1	2	8	0	0.0	0.0
1	4	16	0	0.0	0.0
1	5	8	1	3.1124303147014274	9.687222463872427
1	9	8	0	0.0	0.0
1	10	8	1	2.7094257306904432	7.340987790127442
1	24	8	1	2.8201138039398206	7.953041867171925
1	27	8	0	0.0	0.0
1	43	8	2	4.670336965449769	10.947599646312131
1	50	8	1	1.2864933449237839	1.655065126533186
1	63	8	2	4.744465816272008	11.391065599021598
1	74	8	2	4.2657658846679505	9.182054240949544
1	77	8	3	7.912844835039715	21.321250573789634
1	163	8	5	12.154921954346761	32.002993407872815
1	190	8	5	12.133573003841361	30.85265238774972
1	235	8	5	13.560599950004505	37.96192888764401
1	250	216	124	317.6885232510913	874.3606918679352
2	0	1023	0	0.0	0.0
2	1	11	0	0.0	0.0
2	2	11	0	0.0	0.0
2	4	22	0	0.0	0.0
2	5	11	0	0.0	0.0
2	9	11	0	0.0	0.0
2	10	11	0	0.0	0.0
2	24	11	1	1.9000399374940418	3.610151764072362
2	27	11	1	2.1780113628052886	4.74373349650895
2	43	11	0	0.0	0.0
2	50	11	0	0.0	0.0
2	63	11	0	0.0	0.0
2	74	11	1	1.0882434873450304	1.1842738877488734
2	77	11	0	0.0	0.0
2	163	11	1	0.7990124634983462	0.638420916825696
2	190	11	1	1.2714138939616113	1.6164932897586275
2	235	11	0	0.0	0.0
2	250	297	21	32.89120096808302	60.606846257089956
3	0	1302	0	0.0	0.0
3	1	14	0	0.0	0.0
3	2	14	0	0.0	0.0
3	4	28	0	0.0	0.0
3	5	14	0	0.0	0.0
3	9	14	1	3.1649129451694793	10.016673950501348
3	10	14	1	1.6992570792127226	2.8874746212545532
3	24	14	1	1.7080743714057762	2.9175180582532376
3	27	14	4	7.946844343309347	16.683337509343314
3	43	14	4	7.942740780481623	16.30863050465492
3	50	14	2	3.51384480024427	7.794679675544257
