source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	54195	0	0.0	0.0
0	1	2829	0	0.0	0.0
0	2	1434	0	0.0	0.0
0	3	762	0	0.0	0.0
0	4	501	0	0.0	0.0
0	5	390	0	0.0	0.0
0	6	339	0	0.0	0.0
0	7	279	0	0.0	0.0
0	8	195	0	0.0	0.0
0	9	168	0	0.0	0.0
0	10	159	0	0.0	0.0
0	11	102	0	0.0	0.0
0	12	114	0	0.0	0.0
0	13	66	0	0.0	0.0
0	14	117	0	0.0	0.0
0	15	72	0	0.0	0.0
0	16	93	0	0.0	0.0
0	17	57	0	0.0	0.0
0	18	84	0	0.0	0.0
0	19	30	0	0.0	0.0
0	20	66	0	0.0	0.0
0	21	48	0	0.0	0.0
0	22	51	0	0.0	0.0
0	23	30	0	0.0	0.0
0	24	27	0	0.0	0.0
0	25	39	0	0.0	0.0
0	26	36	0	0.0	0.0
0	27	30	0	0.0	0.0
0	28	30	0	0.0	0.0
0	29	18	0	0.0	0.0
0	30	27	0	0.0	0.0
0	31	33	0	0.0	0.0
0	32	12	0	0.0	0.0
0	33	18	0	0.0	0.0
0	34	27	0	0.0	0.0
0	35	12	0	0.0	0.0
0	36	21	0	0.0	0.0
0	37	12	0	0.0	0.0
0	38	21	0	0.0	0.0
0	39	18	0	0.0	0.0
0	40	21	0	0.0	0.0
0	41	24	0	0.0	0.0
0	42	9	0	0.0	0.0
0	43	9	0	0.0	0.0
0	44	15	0	0.0	0.0
0	45	6	0	0.0	0.0
0	46	3	0	0.0	0.0
0	47	3	0	0.0	0.0
0	48	6	0	0.0	0.0
0	49	6	0	0.0	0.0
0	50	3	0	0.0	0.0
0	51	6	0	0.0	0.0
0	53	6	0	0.0	0.0
0	54	18	0	0.0	0.0
0	56	6	0	0.0	0.0
0	57	18	0	0.0	0.0
0	58	3	0	0.0	0.0
0	59	3	0	0.0	0.0
0	61	6	0	0.0	0.0
0	62	9	0	0.0	0.0
0	63	9	0	0.0	0.0
0	64	6	0	0.0	0.0
0	65	6	0	0.0	0.0
0	66	9	0	0.0	0.0
0	70	3	0	0.0	0.0
0	72	3	0	0.0	0.0
0	73	6	0	0.0	0.0
0	76	3	0	0.0	0.0
0	77	3	0	0.0	0.0
0	79	3	0	0.0	0.0
0	80	3	0	0.0	0.0
0	81	6	0	0.0	0.0
0	83	3	0	0.0	0.0
0	84	6	0	0.0	0.0
0	85	3	0	0.0	0.0
0	88	3	0	0.0	0.0
0	94	3	0	0.0	0.0
0	95	3	0	0.0	0.0
0	116	3	0	0.0	0.0
0	117	3	0	0.0	0.0
0	127	3	0	0.0	0.0
0	164	3	0	0.0	0.0
1	0	90325	0	0.0	0.0
1	1	4715	44	209.19835541704867	1011.8323976482799
1	2	2390	26	115.08545945690858	524.2492483803657
1	3	1270	28	115.40786740382484	490.1706041925567
1	4	835	25	98.13108985778194	392.06856242573826
1	5	650	26	98.77675813062598	382.2779346029881
1	6	565	20	74.43348327615988	282.1563796729654
1	7	465	14	49.753069343640824	177.76504535894153
1	8	325	16	54.839940976567654	188.91164635295686
1	9	280	21	76.20304320019771	286.2201760547704
1	10	265	13	47.50304684601718	181.5754160328855
1	11	170	10	35.88538900475912	134.37061559536562
1	12	190	15	47.680062516658595	154.57235580516402
1	13	110	9	30.654890293607917	107.84572908559164
1	14	195	13	45.63447450077983	163.7141111957592
1	15	120	9	31.67610012767528	116.92595678942916
1	16	155	11	36.09551656734	121.87415609496757
1	17	95	3	8.628227859689588	24.81543866624118
1	18	140	14	49.428051343473356	182.2128248690621
1	19	50	5	17.10851743049562	61.28848445623739
1	20	110	10	33.57173938071047	118.59925781880311
1	21	80	9	31.661553343627904	119.17493713703709
1	22	85	11	30.871692358328435	86.89367244055903
1	23	50	9	32.69145456340396	125.9724164999806
1	24	45	6	18.773737031691322	61.77454472979713
1	25	65	8	22.09320193756493	61.254523917139146
1	26	60	9	28.749838850703377	97.87835838787116
1	27	50	9	30.146670543201722	106.79795161256153
1	28	50	9	27.943279094933217	90.42217883068476
1	29	30	4	13.294448503189807	46.39304880108526
1	30	45	7	28.10894920256861	116.69106118460067
1	31	55	10	31.297836623623006	103.55924376480579
1	32	20	3	10.332129080783236	40.245985067456715
1	33	30	7	21.65658008153421	70.47555852248448
1	34	45	8	24.39689354415506	78.0172796189777
1	35	20	3	9.890156079578613	34.317743085560636
1	36	35	5	12.575714131332102	31.630575845290153
1	37	20	3	8.56619014461333	24.630962308284865
1	38	35	7	25.63562004342708	98.06200766153893
1	39	30	5	17.50646669079699	64.97817750677248
1	40	35	8	27.542547387308886	103.43428670302852
1	41	40	13	47.92280624126133	184.51876584426026
1	42	15	2	4.883635584055627	11.925304510515904
1	43	15	4	10.226854458139337	26.35332278359841
1	44	25	4	9.622314201234142	23.147232646818058
1	45	10	1	2.394525543495325	5.733752578451582
1	46	5	1	2.410374332876594	5.809904424590285
1	47	5	2	4.772944546588902	11.390854813442056
1	48	10	4	13.825441446410833	50.00682815599077
1	49	10	2	4.705358643588324	11.070199982395678
1	50	5	0	0.0	0.0
1	51	10	3	10.127472623032876	36.03218211135749
1	53	10	2	6.607030032526361	21.826422925352645
1	54	30	9	28.69127817260498	95.72251991108503
1	56	10	4	15.862909367411383	63.33068226800318
1	57	30	8	25.46179363598179	87.8254702230881
1	58	5	1	4.0674621422277095	16.544248278455626
1	59	5	1	3.2500449349195977	10.562792078996532
1	61	10	2	7.487857860083706	32.52553903792682
1	62	15	3	8.714543246979842	25.930646807770785
1	63	15	4	15.337261924060467	63.39386252461295
1	64	10	4	12.15820443266276	41.78673128960935
1	65	10	4	8.910197448406283	19.84860569437781
1	66	15	5	16.611101373840345	57.95479688702724
1	70	5	1	4.220860559309435	17.81566386113396
1	72	5	2	6.150272752268046	20.476847163339222
1	73	10	3	10.681411871786768	38.574567698599886
1	76	5	2	6.0969111266250025	20.148906134651735
1	77	5	1	3.117368578718125	9.717986855579062
1	79	5	2	5.250257264454412	14.242382752119912
1	80	5	2	6.198078529184325	21.049364218939324
1	81	10	3	11.25863036000204	46.358951132589056
1	83	5	1	2.6232158170290027	6.881261222711139
1	84	10	3	9.67013540695957	33.087876611771684
1	85	5	1	3.0681488524973988	9.413537381081104
1	88	5	2	6.104162015470077	20.469113382174196
1	94	5	1	3.01805553185236	9.10865919334463
1	95	5	2	6.833246831510065	27.04830835953235
1	116	5	2	7.459929670349163	28.018202360325027
