source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	45945	0	0.0	0.0
0	1	12474	0	0.0	0.0
0	2	3153	0	0.0	0.0
0	3	822	0	0.0	0.0
0	4	315	0	0.0	0.0
0	5	93	0	0.0	0.0
0	6	21	0	0.0	0.0
0	7	3	0	0.0	0.0
0	8	6	0	0.0	0.0
0	9	3	0	0.0	0.0
1	0	76575	0	0.0	0.0
1	1	20790	411	1622.2814677763522	6505.447058014677
1	2	5255	213	773.6756585422601	2848.7763112377984
1	3	1370	84	289.552045997935	1027.6359020050638
1	4	525	37	121.73844733971262	410.77156038421765
1	5	155	17	53.462540544369986	169.47735657930662
1	6	35	3	9.008337663721857	27.249477901156943
1	7	5	2	6.034507842343961	18.35700015496643
1	8	10	1	3.2239602644901493	10.393919787011393
1	9	5	1	2.6194972480963816	6.861765832784516
2	0	15315	0	0.0	0.0
2	1	4158	0	0.0	0.0
2	2	1051	0	0.0	0.0
2	3	274	0	0.0	0.0
2	4	105	0	0.0	0.0
2	5	31	0	0.0	0.0
2	6	7	0	0.0	0.0
2	7	1	0	0.0	0.0
2	8	2	0	0.0	0.0
2	9	1	0	0.0	0.0
3	0	45945	0	0.0	0.0
3	1	12474	505	1800.414101841805	6472.233064032026
3	2	3153	274	896.3495100036164	2953.4972765748407
3	3	822	107	327.0951272023043	1007.2083204671692
3	4	315	56	165.53369471924768	493.6977847546599
3	5	93	18	49.0484709446319	135.30285026825723
3	6	21	6	17.61327960734441	52.10190969235229
3	7	3	0	0.0	0.0
3	8	6	4	10.711207410336167	28.682491046810103
3	9	3	1	2.6194972480963816	6.861765832784516
4	0	61260	0	0.0	0.0
4	1	16632	975	3175.1025062279055	10647.26277471269
4	2	4204	437	1282.3179623592055	3902.8096903274463
4	3	1096	161	435.4724231818412	1237.3029108468897
4	4	420	81	210.87564323289598	578.8126274564046
4	5	124	27	71.09013954358865	196.86940350446454
4	6	28	9	23.440514231858963	62.56891214717388
4	7	4	3	6.397377612090013	14.962192109321704
4	8	8	0	0.0	0.0
4	9	4	0	0.0	0.0
5	0	15315	0	0.0	0.0
5	1	4158	560	1353.2785580012085	3541.5975682382286
5	2	1051	258	578.192149438083	1459.5547373436227
5	3	274	87	170.04453799775553	366.9467408748818
5	4	105	45	83.4778641969481	171.77541726185711
5	5	31	17	32.527819924868496	72.489225657207
5	6	7	5	8.756477904654286	15.881093070150088
5	7	1	1	1.083727933160825	1.1744662331130336
5	8	2	2	2.0626862275536917	2.12733723666984
5	9	1	1	0.9862805905216694	0.9727494032397729
6	0	30630	0	0.0	0.0
6	1	8316	821	2014.0650511447693	5199.8323349293005
6	2	2102	378	807.6727925653017	1846.0504455669275
6	3	548	131	266.21364905279074	584.2877486513453
6	4	210	69	141.9182866728672	313.5885868627719
6	5	62	25	44.26742285059562	84.92535780397957
6	6	14	8	15.687125800739022	34.51487208681836
6	7	2	1	2.0427014068557465	4.172629037570446
6	8	4	3	6.229463525994884	14.204092431557399
6	9	2	1	2.158746467523241	4.660186311044071
7	0	30630	0	0.0	0.0
7	1	8316	1399	3181.7660158515773	7562.941440619976
7	2	2102	696	1384.1500818088882	2928.5258434257566
