source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	20064	0	0.0	0.0
0	1	4372	0	0.0	0.0
0	2	5960	0	0.0	0.0
0	3	6640	0	0.0	0.0
0	4	7168	0	0.0	0.0
0	5	7140	0	0.0	0.0
0	6	6936	0	0.0	0.0
0	7	5904	0	0.0	0.0
0	8	4864	0	0.0	0.0
0	9	3876	0	0.0	0.0
0	10	2988	0	0.0	0.0
0	11	2296	0	0.0	0.0
0	12	1584	0	0.0	0.0
0	13	1152	0	0.0	0.0
0	14	912	0	0.0	0.0
0	15	652	0	0.0	0.0
0	16	432	0	0.0	0.0
0	17	320	0	0.0	0.0
0	18	196	0	0.0	0.0
0	19	156	0	0.0	0.0
0	20	72	0	0.0	0.0
0	21	32	0	0.0	0.0
0	22	40	0	0.0	0.0
0	23	12	0	0.0	0.0
0	24	12	0	0.0	0.0
4	0	15048	0	0.0	0.0
4	1	3279	24	89.4482044741719	333.37422015221944
4	2	4470	64	216.38484501071912	731.6000179736398
4	3	4980	101	321.06465015825205	1020.6189067449584
4	4	5376	182	552.4779555564279	1677.098304262694
4	5	5355	185	541.0503839437404	1582.3541511657777
4	6	5202	257	728.340617685825	2064.1247290699184
4	7	4428	236	650.7719243762964	1794.5088879509663
4	8	3648	239	643.2242335190596	1731.1188894819315
4	9	2907	207	545.0298854170205	1435.0607536120315
4	10	2241	163	420.684211345818	1085.73745813284
4	11	1722	161	407.9416464273236	1033.6421545952512
4	12	1188	112	278.97652098730737	694.8919576980494
4	13	864	95	232.88375185493328	570.8930724003174
4	14	684	81	195.6085558059811	472.3791000555757
4	15	489	63	150.00234253564378	357.15401216159694
4	16	324	40	93.9713963481368	220.76558329046557
4	17	240	30	69.58608762073179	161.4074530120054
4	18	147	22	50.41343467336517	115.52338161662081
4	19	117	17	38.50581457333792	87.21751505625195
4	20	54	6	13.439772595601989	30.1045812369157
4	21	24	5	11.080634562915929	24.55609246337742
4	22	30	3	6.580277605907059	14.433351123600648
4	23	9	0	0.0	0.0
4	24	9	1	2.1510353269889197	4.626952977954329
6	0	25080	0	0.0	0.0
6	1	5465	293	942.2278995756772	3048.3921784623444
6	2	7450	690	2003.1055471876657	5854.0605488457995
6	3	8300	1154	3104.7920892836855	8435.044776033117
6	4	8960	1581	4101.77358903728	10754.441256509665
6	5	8925	1943	4837.42654700642	12196.550808570175
6	6	8670	2242	5404.0569608501555	13210.292694395353
6	7	7380	2193	5147.04721960423	12269.302494890719
6	8	6080	2048	4682.0636222925	10903.1162957646
6	9	4845	1841	4138.848050781094	9485.680674495648
6	10	3735	1486	3290.37345340951	7439.084373164813
6	11	2870	1275	2764.7103244117575	6134.914268398174
6	12	1980	951	2049.4368342547014	4531.833167259747
6	13	1440	722	1560.5152551765127	3465.222738041748
6	14	1140	647	1371.9105336049863	2991.349678206763
6	15	815	468	968.5494993224002	2067.3049716071473
6	16	540	336	695.0577232231817	1487.2966629297393
6	17	400	246	508.83789765969357	1086.331458758823
6	18	245	159	332.00381232210555	715.2743298217554
6	19	195	131	267.49112485237214	560.8998059501424
6	20	90	65	136.5642811334403	294.5254302208027
6	21	40	29	55.961827807040265	113.31065007289288
6	22	50	33	65.88306195098339	138.51654795698485
6	23	15	14	27.708155466281205	56.134269004092
6	24	15	10	20.312682964789364	42.42538381570831
7	0	5016	0	0.0	0.0
7	1	1093	0	0.0	0.0
7	2	1490	0	0.0	0.0
7	3	1660	0	0.0	0.0
7	4	1792	0	0.0	0.0
7	5	1785	0	0.0	0.0
7	6	1734	0	0.0	0.0
7	7	1476	0	0.0	0.0
7	8	1216	0	0.0	0.0
7	9	969	0	0.0	0.0
7	10	747	0	0.0	0.0
7	11	574	0	0.0	0.0
7	12	396	0	0.0	0.0
7	13	288	0	0.0	0.0
7	14	228	0	0.0	0.0
7	15	163	0	0.0	0.0
7	16	108	0	0.0	0.0
7	17	80	0	0.0	0.0
7	18	49	0	0.0	0.0
7	19	39	0	0.0	0.0
7	20	18	0	0.0	0.0
7	21	8	0	0.0	0.0
7	22	10	0	0.0	0.0
7	23	3	0	0.0	0.0
7	24	3	0	0.0	0.0
8	0	30096	0	0.0	0.0
8	1	6558	372	1108.1588948107315	3322.504405029553
8	2	8940	978	2586.3553374263884	6899.8561557980465
8	3	9960	1573	3840.9258938565335	9473.461559115787
8	4	10752	2216	5157.297917050484	12157.443150653024
8	5	10710	2695	5973.499541344509	13444.149820338233
8	6	10404	3085	6599.2086635783035	14373.518505072394
8	7	8856	3053	6344.756309451657	13447.85241116886
8	8	7296	2879	5804.586132742343	11978.47332760723
8	9	5814	2472	4899.539650120846	9953.375247153546
8	10	4482	2079	4028.643716033721	8030.337526699532
8	11	3444	1742	3304.742380056965	6454.663583325944
8	12	2376	1282	2393.4527426425648	4618.361281274576
8	13	1728	1006	1865.1501159510458	3581.2132030482207
8	14	1368	830	1512.1554496667127	2861.9399032299016
8	15	978	650	1182.4851480614004	2245.362886660841
8	16	648	435	791.2027835434795	1508.0473682636652
8	17	480	344	604.990562134614	1107.1524670717076
8	18	294	226	407.29796853246637	767.0979752340643
8	19	234	182	317.90357703553974	584.7957967204459
8	20	108	80	135.0640341556058	237.288997212623
8	21	48	37	64.42149565862366	119.47609156702177
8	22	60	54	92.987453836665	169.7225420806509
8	23	18	17	27.982041469341166	48.75268941782174
8	24	18	12	17.991723045060102	27.945581463554472
9	0	20064	0	0.0	0.0
9	1	4372	54	163.53348721253582	496.1544463552158
9	2	5960	151	402.39786479372566	1074.836689352322
9	3	6640	238	586.9421633234488	1451.384687975397
9	4	7168	355	821.0352413965104	1904.4742490084523
9	5	7140	457	1006.809979586045	2225.222687834102
9	6	6936	510	1077.524035680317	2284.431326878307
9	7	5904	537	1097.624136388311	2251.872859987447
9	8	4864	501	990.7989391136355	1967.1112317120048
9	9	3876	439	843.9815234744262	1629.2456021750163
9	10	2988	380	711.5551228292434	1338.1359744744195
9	11	2296	312	569.664743066178	1044.7745352608836
9	12	1584	232	414.2521813308098	743.1151770285322
9	13	1152	197	345.92815033231886	610.3931931063512
9	14	912	153	262.03460461760193	450.99853178475087
9	15	652	128	216.38966903127647	367.7059612990955
9	16	432	91	151.77936103312942	254.49618494352566
9	17	320	70	113.37015855781829	184.5957097371641
9	18	196	44	71.4052140735472	116.51760577827855
9	19	156	45	71.5417801765428	114.38655648921002
9	20	72	21	33.06806426804666	52.37080978308646
9	21	32	7	10.707846792014566	16.476959434457413
