source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	92	0	0.0	0.0
0	1	168	0	0.0	0.0
0	2	200	0	0.0	0.0
0	3	172	0	0.0	0.0
0	4	144	0	0.0	0.0
0	5	144	0	0.0	0.0
0	6	72	0	0.0	0.0
0	7	100	0	0.0	0.0
0	8	96	0	0.0	0.0
0	9	72	0	0.0	0.0
0	10	36	0	0.0	0.0
0	11	56	0	0.0	0.0
0	12	36	0	0.0	0.0
0	13	48	0	0.0	0.0
0	14	28	0	0.0	0.0
0	15	40	0	0.0	0.0
0	16	56	0	0.0	0.0
0	17	28	0	0.0	0.0
0	18	36	0	0.0	0.0
0	19	12	0	0.0	0.0
0	20	12	0	0.0	0.0
0	21	20	0	0.0	0.0
0	23	12	0	0.0	0.0
0	24	4	0	0.0	0.0
0	25	12	0	0.0	0.0
0	26	4	0	0.0	0.0
0	28	16	0	0.0	0.0
0	29	4	0	0.0	0.0
0	31	4	0	0.0	0.0
0	34	8	0	0.0	0.0
0	38	4	0	0.0	0.0
0	39	4	0	0.0	0.0
0	40	4	0	0.0	0.0
0	42	4	0	0.0	0.0
0	49	4	0	0.0	0.0
1	0	23	0	0.0	0.0
1	1	42	1	2.713386717206076	7.362467477110367
1	2	50	1	-2.0002599394850287e-14	4.0010398255086505e-28
1	3	43	0	0.0	0.0
1	4	36	2	4.066245642707607	8.267176813419299
1	5	36	1	1.9257381439484804	3.7084673990581383
1	6	18	1	1.8387132313882801	3.380866347282331
1	7	25	0	0.0	0.0
1	8	24	1	1.7029956428280852	2.900194159491443
1	9	18	2	3.2961885505691533	5.432429480451588
1	10	9	2	3.1987161566466544	5.1158925253961725
1	11	14	1	1.5556021192639728	2.4198979534585634
1	12	9	0	0.0	0.0
1	13	12	1	1.4797429626693424	2.1896392355694427
1	14	7	2	2.892919667594449	4.184492101577389
1	15	10	0	0.0	0.0
1	16	14	2	2.774229288765193	3.8481740733213146
1	17	7	0	0.0	0.0
1	18	9	0	0.0	0.0
1	19	3	2	2.6240621677627884	3.4428511301419724
1	20	3	0	0.0	0.0
1	21	5	1	1.269034276112126	1.6104479939474279
1	23	3	1	1.2304544679221923	1.5140181976296854
1	24	1	0	0.0	0.0
1	25	3	1	1.1955367674717698	1.4293081623768487
1	26	1	0	0.0	0.0
1	28	4	0	0.0	0.0
1	29	1	0	0.0	0.0
1	31	1	1	1.1075556755208957	1.2266795743785477
1	34	2	1	1.070767072363703	1.1465421232583357
1	38	1	0	0.0	0.0
1	39	1	0	0.0	0.0
1	40	1	0	0.0	0.0
1	42	1	0	0.0	0.0
1	49	1	0	0.0	0.0
3	0	69	0	0.0	0.0
3	1	126	58	19.29389558319284	13.43215360252776
3	2	150	95	25.366077457100886	11.742126074008942
3	3	129	102	29.746441097065002	18.25838918316637
3	4	108	96	30.82537238531579	16.98420809870082
3	5	108	98	31.012860218775614	16.34266477051367
3	6	54	54	15.653745090253869	6.750289428549901
3	7	75	74	27.250991435926494	15.482957503637627
3	8	72	69	23.369981975700227	12.765052942450582
3	9	54	54	19.95488377138322	10.979194987088059
3	10	27	27	10.695709817171744	6.6765625231611345
3	11	42	42	18.690528355622128	10.638677609329937
3	12	27	27	10.950271857479873	5.454286725990768
3	13	36	36	16.148558545213447	9.888277410925044
3	14	21	21	8.897497748164097	4.768745926297076
3	15	30	30	16.13736376254389	10.21213670548481
3	16	42	42	22.517597961368182	14.781479576884367
3	17	21	21	9.573905716530371	5.660984174417886
3	18	27	27	13.843997528350398	8.439203693395246
3	19	9	9	6.221880640574755	4.801802033753496
3	20	9	9	5.355246808347442	3.7673297320900536
3	21	15	15	9.638733536078519	7.236870098474242
3	23	9	9	6.086671665486223	4.262925911980294
3	24	3	3	1.6964502402916442	1.080477546241116
3	25	9	9	6.429344438675821	5.290894564269216
3	26	3	3	2.0914026968171235	1.6039956233257135
3	28	12	12	7.67207704276563	5.627190979516662
3	29	3	3	2.352186745176671	1.9209242554690684
3	31	3	3	2.1574315017504033	1.5635073522927445
3	34	6	6	3.016752656297557	1.9440014640089691
3	38	3	3	2.543739124047848	2.1700689653397953
3	39	3	3	2.068794623537661	1.608576461188059
3	40	3	3	2.616544375954214	2.341204184293051
3	42	3	3	2.5289526980006967	2.1493427338027953
3	49	3	3	2.2779876495653024	1.8284682968621562
4	0	46	0	0.0	0.0
4	1	84	42	14.156185885159449	6.351291923055376
4	2	100	77	24.744150718302276	10.992586107739188
4	3	86	79	28.52884427414919	14.10941429090968
4	4	72	69	27.981945408576582	15.029677040365208
4	5	72	71	27.835990606676916	13.903067492210742
4	6	36	36	15.801851050032084	8.60748959564317
4	7	50	50	25.668849468894052	15.663207024844283
4	8	48	48	24.738209750718088	15.478514661302192
4	9	36	36	20.247210017396437	13.49400568087433
4	10	18	18	10.781429041882282	6.841918695621315
4	11	28	28	16.162913402571544	10.295929447185394
4	12	18	18	11.211100477650326	7.601235298232997
4	13	24	24	13.848820102112237	9.195316850272013
4	14	14	14	7.975570033408215	5.031429933977128
4	15	20	20	12.533755561861895	8.806244814006
4	16	28	28	18.02098340826583	12.801502244165349
4	17	14	14	10.212794915378007	7.910731350844387
4	18	18	18	13.244095144570583	10.157098330752396
4	19	6	6	4.346601004593717	3.3957029247278956
4	20	6	6	4.655434124295252	4.100349186270477
4	21	10	10	8.109383677033247	6.938108815784088
4	23	6	6	5.067019848620956	4.368116676542161
4	24	2	2	1.6547749505070568	1.3729954189109392
4	25	6	6	5.564968487361649	5.402532556225638
4	26	2	2	1.761438820376533	1.574150547464762
4	28	8	8	6.572103801578286	5.560144821352898
4	29	2	2	1.9836920607482447	1.9860629567770642
4	31	2	2	2.2570541053441007	2.5478776686351665
4	34	4	4	3.971572484205385	4.167862127395758
4	38	2	2	1.6736139667239134	1.4005023515649238
4	39	2	2	1.8699933439046785	1.754469936346484
4	40	2	2	2.1680299228502427	2.3807001931739866
4	42	2	2	2.340503553317788	2.741365437432851
4	49	2	2	2.163075862169994	2.3497812596865755
5	0	92	0	0.0	0.0
5	1	168	99	31.561625334662928	14.898615486538441
5	2	200	165	59.817389227532914	33.32331312339504
5	3	172	163	62.10353355919187	35.51303613825144
5	4	144	141	53.26882183279762	26.00916100428709
5	5	144	144	63.24605963646794	36.369485361592744
5	6	72	70	34.741437960436826	21.5239287656536
5	7	100	99	52.95463441446899	34.88215875370168
5	8	96	96	54.16089206881899	35.533578489442235
5	9	72	72	42.86560408613291	29.965329642065445
5	10	36	36	23.249537952798264	18.18356734044103
5	11	56	56	35.3538437947555	25.955304328185676
5	12	36	36	22.058092081460096	14.836579298858027
5	13	48	48	30.724429928801968	21.24114438926864
5	14	28	28	20.68015818584377	15.934160825666636
5	15	40	40	28.536711480982234	22.012756232202214
5	16	56	56	41.85234839741406	33.31991893474479
5	17	28	28	22.32314325910595	18.949326639125864
5	18	36	36	27.27781998516968	22.367268738912273
5	19	12	12	8.70481182420463	6.510487631526782
5	20	12	12	9.064336877924235	7.381016702970915
5	21	20	20	16.552559821587902	14.602461260973966
5	23	12	12	10.71190270424043	9.83928770508696
5	24	4	4	3.5948812045856946	3.3786515607580436
5	25	12	12	9.824444319237891	8.455567021971609
5	26	4	4	3.2147430536287294	2.6173300745160395
5	28	16	16	17.173455480375647	18.75990924272277
5	29	4	4	3.7410790599189028	3.53709873180497
5	31	4	4	3.9905327587710717	4.054245160177842
5	34	8	8	8.27776199273387	8.636814561146782
5	38	4	4	4.145331814644981	4.3135748263270095
5	39	4	4	4.036121028876341	4.226232617583069
5	40	4	4	4.317135919201085	4.764873208435431
5	42	4	4	4.162222650238559	4.453550989597666
5	49	4	4	4.844468941947902	6.0515631481463315
6	0	46	0	0.0	0.0
6	1	84	52	15.450539250898412	7.003383738803728
6	2	100	88	32.67291859944802	20.414580692020028
6	3	86	81	30.928884758414974	18.336463744766284
