source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	4660	0	0.0	0.0
0	1	1032	0	0.0	0.0
0	2	284	0	0.0	0.0
0	3	76	0	0.0	0.0
0	4	52	0	0.0	0.0
0	5	4	0	0.0	0.0
0	6	24	0	0.0	0.0
0	7	16	0	0.0	0.0
0	8	8	0	0.0	0.0
0	9	8	0	0.0	0.0
0	10	8	0	0.0	0.0
0	11	12	0	0.0	0.0
0	12	4	0	0.0	0.0
0	13	4	0	0.0	0.0
0	14	4	0	0.0	0.0
0	15	4	0	0.0	0.0
0	17	4	0	0.0	0.0
0	19	4	0	0.0	0.0
1	0	1165	0	0.0	0.0
1	1	258	4	18.343212523953866	84.11836142473449
1	2	71	3	12.718000389329209	53.91584463432598
1	3	19	1	4.036704799071883	16.29498563484997
1	4	13	1	3.892967620499625	15.155196894258513
1	5	1	0	0.0	0.0
1	6	6	0	0.0	0.0
1	7	4	1	3.613471105541044	13.057173430580015
1	8	2	1	3.5468091376557167	12.579855058958088
1	9	2	1	3.4880213160035836	12.16629270089537
1	10	2	1	3.4354447221221256	11.80228043875677
1	11	3	1	3.387893263961061	11.477820767992732
1	12	1	0	0.0	0.0
1	13	1	0	0.0	0.0
1	14	1	0	0.0	0.0
1	15	1	0	0.0	0.0
1	17	1	1	3.1708553436880167	10.054323610594851
1	19	1	0	0.0	0.0
3	0	3495	0	0.0	0.0
3	1	774	257	378.5211809174697	693.9964392427728
3	2	213	119	157.73324580758904	272.1827719523811
3	3	57	43	58.7676564627747	100.79228789447313
3	4	39	30	41.57658602636165	71.27102558124128
3	5	3	1	2.31116423111487	5.3414801031847885
3	6	18	16	26.412404754775668	54.16943860808163
3	7	12	12	19.936307443508348	39.551347290530465
3	8	6	6	8.58112436717069	13.43722159211562
3	9	6	6	14.781269046093168	37.649611193067685
3	10	6	6	12.178147641298267	26.959159772059838
3	11	9	8	13.186256663754754	24.824724034493638
3	12	3	3	5.234426058436609	10.289990824494817
3	13	3	3	6.642854524251345	15.526220516604369
3	14	3	3	4.182915907231795	6.884339173627001
3	15	3	3	6.449408083877872	14.841139620075888
3	17	3	3	6.987876186553054	16.305172773761015
3	19	3	3	7.127190114850141	17.355983103673772
4	0	2330	0	0.0	0.0
4	1	516	201	373.9143657337732	753.5473833887022
4	2	142	87	149.43739657266957	283.65138787776016
4	3	38	29	48.6264499628436	96.52023093888634
4	4	26	20	31.278666834555253	59.28159518058154
4	5	2	0	0.0	0.0
4	6	12	11	21.955965027705698	46.33588210986808
4	7	8	8	13.606528215568037	24.839622262298196
4	8	4	4	9.594808318084024	23.683822773887965
4	9	4	4	8.141999207477557	17.847113950127774
4	10	4	4	6.8772827401363585	13.273628980363812
4	11	6	6	14.44693052998396	36.074119945034184
4	12	2	2	3.6984656275341043	6.886787522115817
4	13	2	2	5.316538017615123	14.134225168104816
4	14	2	2	3.649718373317003	6.683745490342716
4	15	2	2	4.791854574658565	12.238766802815885
4	17	2	2	3.908395107061442	7.754404579549499
4	19	2	2	5.213817690277976	13.596012221893565
5	0	4660	0	0.0	0.0
5	1	1032	546	901.3113341122869	1793.8215507785937
5	2	284	232	370.0224522721898	702.0637928686233
5	3	76	66	121.084556820276	263.8158777259915
5	4	52	48	82.23976270056812	158.862275664898
5	5	4	4	6.600468131271952	14.398775450684859
5	6	24	24	48.405134074357996	104.9985792747862
5	7	16	15	34.25130640746616	82.76303558814581
5	8	8	8	18.797129255639355	47.37905045323173
5	9	8	8	16.640689357240433	37.68169745458749
5	10	8	8	19.16710408400813	46.565796098099774
5	11	12	12	28.87141075637156	71.11359494842043
5	12	4	4	10.080114149424693	25.866577762249534
5	13	4	4	10.412006505771533	27.335330686527552
5	14	4	4	9.972345318510788	25.328128710778785
5	15	4	4	10.148712176078474	26.780677814354902
5	17	4	4	8.902590892394493	19.97186587268146
5	19	4	4	12.169876343938608	37.1033668370732
6	0	2330	0	0.0	0.0
6	1	516	230	404.51824074125227	789.5625132779055
6	2	142	108	171.0839669750635	306.61146383010527
6	3	38	33	60.97205727547981	126.54056615566702
6	4	26	25	49.57518772971034	103.81007518290707
6	5	2	2	6.672118237021229	22.481690896680128
6	6	12	12	23.812632828263073	51.421141622985736
6	7	8	8	15.729670627084824	32.74564893846736
6	8	4	4	7.4963164033016945	15.726783422166216
6	9	4	4	10.105618310208435	25.573369799392854
6	10	4	4	8.347450780208458	18.60576989070659
6	11	6	6	15.135321984082465	39.88512544677144
6	12	2	2	4.699105456104096	11.211486940897029
6	13	2	2	3.6666048697016205	6.778436894039277
6	14	2	2	4.775094463352118	11.400862042497552
6	15	2	2	4.3380597928544224	9.557827496985926
6	17	2	2	4.8340279336161736	11.73622613948866
6	19	2	2	4.379078252947763	10.546829180007911
7	0	9320	0	0.0	0.0
7	1	2064	1253	2002.5727445491902	3815.9647285263923
7	2	568	480	780.9520916926142	1480.782465263284
7	3	152	142	235.0629175989031	468.4168024982304
7	4	104	99	178.11820889135822	368.1195116664954
7	5	8	8	16.712208830292667	40.295914537527175
7	6	48	48	106.19951571801359	250.10068714854992
7	7	32	32	74.49880393943873	178.50687339687641
7	8	16	16	38.25872341290463	94.21592451135962
7	9	16	16	38.41520919841833	95.38915658673724
7	10	16	16	40.26328926435131	102.27357298900012
7	11	24	24	62.78186654660151	168.84449507949648
7	12	8	8	19.25108828522437	46.99382521659031
7	13	8	8	21.018717087812846	56.04712690088798
7	14	8	8	20.76980093901564	55.03776630479078
7	15	8	8	23.173224170442804	67.91260777935318
7	17	8	8	20.587778144259943	53.56364059489508
7	19	8	8	24.61971223685384	75.97321771930778
8	0	6990	0	0.0	0.0
8	1	1548	878	1433.0331538820271	2816.7076682398256
8	2	426	343	560.5093852418408	1080.6739351042586
8	3	114	103	177.62699231165055	371.05834315878445
8	4	78	72	133.26587457433854	285.52564292880095
8	5	6	6	15.339930329097742	46.49031797784857
8	6	36	35	75.31763340829762	175.97813544801426
8	7	24	24	52.78345771472929	123.03669284063182
8	8	12	12	30.47818563449941	79.05080038213188
8	9	12	12	31.19461239973392	82.26746460080588
8	10	12	12	27.561872214325845	65.24527601384378
8	11	18	18	45.9280194163081	119.85192944614234
8	12	6	6	15.210104660068254	38.909293393929794
8	13	6	6	16.01307768097332	43.17394724470214
8	14	6	6	15.404271627127802	40.60542545743195
8	15	6	6	16.805932636170766	48.78053546259535
8	17	6	6	16.339649492080568	45.128033962130225
8	19	6	6	18.6573505866225	58.4378983951571
10	0	1165	0	0.0	0.0
10	1	258	193	291.9584484250796	576.5149648775155
10	2	71	69	119.13766436214688	246.07969337527803
10	3	19	19	32.69749183965667	69.81548330922554
10	4	13	13	28.706665889672777	64.98310672116561
10	5	1	1	0.9288502201278004	0.8627627314314632
10	6	6	6	12.540834407619323	26.843079595230094
10	7	4	4	8.778298254249574	19.894001623338347
10	8	2	2	5.553686501520299	15.46001114638462
10	9	2	2	5.609128407672576	15.998362813474737
10	10	2	2	5.22484604212832	13.650585697353321
10	11	3	3	8.055252026027016	21.637800514445274
10	12	1	1	2.92181708065828	8.537015052826474
10	13	1	1	3.137143932215402	9.841672051435916
10	14	1	1	2.4293291570861104	5.901640153468712
10	15	1	1	2.7689034355218465	7.6668262352446845
10	17	1	1	3.106783029233847	9.652100790735439
10	19	1	1	2.8068648453517167	7.878490260071316
11	0	2330	0	0.0	0.0
11	1	516	278	539.4589351421387	1147.7099948888645
11	2	142	115	214.72816461217315	451.7230409949409
11	3	38	33	66.60352855906261	145.1702786607585
11	4	26	25	49.90093639330175	106.35800033458338
11	5	2	2	3.729870827335047	6.971002882559543
11	6	12	12	30.021949216363044	77.16131084792167
11	7	8	8	19.566765898038483	48.84166693207564
11	8	4	4	10.094141600276624	25.594484681728108
11	9	4	4	10.034562617075169	25.725689621262603
11	10	4	4	11.011752467249412	30.519673231124745
11	11	6	6	16.592498082561676	46.95829438874506
11	12	2	2	5.248975794953071	13.812693266996167
11	13	2	2	5.498837550910062	15.222635285795647
11	14	2	2	6.31583963561382	19.967198048153072
11	15	2	2	5.303428585506097	14.08816501557546
11	17	2	2	5.78585188318002	16.834554367690878
11	19	2	2	6.35775460487042	20.22606485022694
12	0	5825	0	0.0	0.0
12	1	1290	924	1583.7691207988064	3137.9311218795942
12	2	355	331	603.5563785432	1244.5222405012469
12	3	95	93	183.36271216827657	407.22070173037
12	4	65	65	146.08591622805076	352.8684458281452
12	5	5	5	11.608462332776606	29.17150030244823
12	6	30	30	75.99750903143665	204.61004712568132
12	7	20	20	49.59763045904121	126.12679318529061
12	8	10	10	27.054451909073155	73.7928797783098
12	9	10	10	27.20247819535836	74.93988662030497
12	10	10	10	24.950271235543244	62.75319641610864
12	11	15	15	44.193397854560004	131.77628085397396
12	12	5	5	14.816771332509973	44.22829804273147
12	13	5	5	13.878147139852617	39.09063110267578
12	14	5	5	14.521650727631021	42.29716696182278
12	15	5	5	14.906120301017555	44.78993652898556
12	17	5	5	13.895882224579863	39.260691793470194
12	19	5	5	16.742408949055136	56.24193462808303
13	0	4660	0	0.0	0.0
13	1	1032	683	1179.9488630562341	2426.564985915823
13	2	284	257	447.1206677639169	922.703224796498
13	3	76	73	146.36440744641527	333.02904205507093
13	4	52	52	98.99587381191625	212.5405809731596
13	5	4	4	11.458028050385831	34.20378172914352
13	6	24	24	56.77611525569422	139.37619515858427
13	7	16	16	40.89089202520847	106.79240636662377
13	8	8	8	18.879738933106847	45.299730543720884
13	9	8	8	21.22029372369783	57.432772158893414
13	10	8	8	19.89917668591132	50.46649381941485
13	11	12	12	33.45681907686637	95.18262934663456
13	12	4	4	10.644800575384107	28.698220061732574
13	13	4	4	11.650851913338526	34.15972263171179
13	14	4	4	11.586942970184055	34.04395689037043
13	15	4	4	12.095573154823658	36.88753577618947
13	17	4	4	11.40959854616636	32.607861878677035
13	19	4	4	13.202636705853276	43.7751140960046
14	0	2330	0	0.0	0.0
14	1	516	380	603.0847929773695	1162.9153459248323
14	2	142	132	236.2092158877897	492.58486534793303
14	3	38	36	68.66517688827012	146.8244737837615
14	4	26	26	57.093163839278766	132.15284542969408
14	5	2	2	4.549139391712213	10.347540551066263
14	6	12	12	28.560602808939706	70.45927199084227
14	7	8	8	21.813724336508923	59.68833835349354
14	8	4	4	9.80124768722117	25.141074420692984
14	9	4	4	10.844934076468839	29.418905249939307
14	10	4	4	10.61973293663	28.38390507527823
14	11	6	6	17.28157664178587	50.13809921065973
14	12	2	2	5.8358999247938765	17.07607548506212
14	13	2	2	5.825402329032402	16.97636936339748
14	14	2	2	5.828527178984966	16.99812700481113
14	15	2	2	6.458902454776394	20.86266409778895
14	17	2	2	5.633480839360601	16.080074339924742
14	19	2	2	6.252805401576584	19.593360766922032
15	0	3495	0	0.0	0.0
15	1	774	616	1008.3726778711039	2022.8866023988974
15	2	213	209	405.43667470556176	905.9045745533617
15	3	57	57	122.72881750418982	285.5771393230572
15	4	39	39	91.98191653221548	227.32896848400236
15	5	3	3	8.945363102021805	27.6758464934517
15	6	18	18	44.36625836380656	113.46188823201072
15	7	12	12	32.608449250561975	89.93466153339321
15	8	6	6	16.7912241478013	47.990863807108035
15	9	6	6	17.491383830120082	51.33891013091805
15	10	6	6	17.24712694909042	49.72913796453237
15	11	9	9	26.872092494601993	80.9124309338561
15	12	3	3	8.651502185410582	25.153677194544372
15	13	3	3	9.250166524558042	28.53000006114929
15	14	3	3	8.836211145018538	26.365981817015076
15	15	3	3	10.439832959903228	36.65517891176694
15	17	3	3	9.341594689729613	29.143975440559267
15	19	3	3	9.66311025544396	31.148909884182288
16	0	1165	0	0.0	0.0
16	1	258	191	329.76311049188075	644.1865840102002
16	2	71	68	124.12631710121713	254.1037896612866
16	3	19	19	36.113859915527584	78.26842220388659
16	4	13	13	31.409586129280346	81.13779113546343
16	5	1	1	3.2946326232041185	10.85460412188085
16	6	6	6	14.213106339535337	35.174162053115836
16	7	4	4	11.042999657956763	31.230174715834593
16	8	2	2	4.988105061765204	12.619730000803415
16	9	2	2	5.9429261063170165	17.80787183431881
16	10	2	2	5.45506229117294	14.900213367104062
16	11	3	3	8.331745877036674	23.275558952871233
16	12	1	1	2.7843687349998616	7.752709252444729
16	13	1	1	2.6292972040953217	6.913203787463476
16	14	1	1	2.630367132154376	6.918831249918036
16	15	1	1	3.2916393970294773	10.83488992007658
16	17	1	1	2.990834745816798	8.945092476785032
