source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	8649	0	0.0	0.0
0	1	93	0	0.0	0.0
0	2	93	0	0.0	0.0
0	3	186	0	0.0	0.0
0	8	186	0	0.0	0.0
0	16	93	0	0.0	0.0
0	31	93	0	0.0	0.0
0	37	93	0	0.0	0.0
0	45	93	0	0.0	0.0
0	51	93	0	0.0	0.0
0	54	93	0	0.0	0.0
0	73	93	0	0.0	0.0
0	108	93	0	0.0	0.0
0	132	93	0	0.0	0.0
0	143	93	0	0.0	0.0
0	160	93	0	0.0	0.0
0	248	93	0	0.0	0.0
0	250	2418	0	0.0	0.0
1	0	93	0	0.0	0.0
1	1	1	0	0.0	0.0
1	2	1	0	0.0	0.0
1	3	2	0	0.0	0.0
1	8	2	0	0.0	0.0
1	16	1	0	0.0	0.0
1	31	1	0	0.0	0.0
1	37	1	0	0.0	0.0
1	45	1	0	0.0	0.0
1	51	1	0	0.0	0.0
1	54	1	0	0.0	0.0
1	73	1	0	0.0	0.0
1	108	1	0	0.0	0.0
1	132	1	0	0.0	0.0
1	143	1	0	0.0	0.0
1	160	1	0	0.0	0.0
1	248	1	0	0.0	0.0
1	250	26	4	12.641602174136231	41.26588827545045
2	0	93	0	0.0	0.0
2	1	1	0	0.0	0.0
2	2	1	0	0.0	0.0
2	3	2	0	0.0	0.0
2	8	2	0	0.0	0.0
2	16	1	0	0.0	0.0
2	31	1	0	0.0	0.0
2	37	1	0	0.0	0.0
2	45	1	0	0.0	0.0
2	51	1	0	0.0	0.0
2	54	1	0	0.0	0.0
2	73	1	0	0.0	0.0
2	108	1	0	0.0	0.0
2	132	1	1	3.5120385797368225	12.334414985559837
2	143	1	0	0.0	0.0
2	160	1	0	0.0	0.0
2	248	1	1	1.9271426147065531	3.7138786574180105
2	250	26	5	14.556752116077952	44.83270248467268
4	0	186	0	0.0	0.0
4	1	2	0	0.0	0.0
4	2	2	0	0.0	0.0
4	3	4	0	0.0	0.0
4	8	4	0	0.0	0.0
4	16	2	0	0.0	0.0
4	31	2	0	0.0	0.0
4	37	2	0	0.0	0.0
4	45	2	0	0.0	0.0
4	51	2	0	0.0	0.0
4	54	2	0	0.0	0.0
4	73	2	0	0.0	0.0
4	108	2	0	0.0	0.0
4	132	2	0	0.0	0.0
4	143	2	0	0.0	0.0
4	160	2	0	0.0	0.0
4	248	2	0	0.0	0.0
4	250	52	5	15.994841657708655	52.08855171439536
5	0	93	0	0.0	0.0
5	1	1	0	0.0	0.0
5	2	1	0	0.0	0.0
5	3	2	0	0.0	0.0
5	8	2	0	0.0	0.0
5	16	1	0	0.0	0.0
5	31	1	0	0.0	0.0
5	37	1	1	2.423838707555204	5.874994080242883
5	45	1	0	0.0	0.0
5	51	1	0	0.0	0.0
5	54	1	0	0.0	0.0
5	73	1	0	0.0	0.0
5	108	1	0	0.0	0.0
5	132	1	0	0.0	0.0
5	143	1	0	0.0	0.0
5	160	1	1	2.9938258227731804	8.96299305710351
5	248	1	1	1.4479599505717602	2.0965880184597743
5	250	26	7	17.19652941694644	48.69387953522117
9	0	93	0	0.0	0.0
9	1	1	0	0.0	0.0
9	2	1	0	0.0	0.0
9	3	2	0	0.0	0.0
9	8	2	0	0.0	0.0
9	16	1	0	0.0	0.0
9	31	1	0	0.0	0.0
9	37	1	1	2.0143677223690455	4.057677320922256
9	45	1	0	0.0	0.0
9	51	1	0	0.0	0.0
9	54	1	1	4.213688563082981	17.75517130665631
9	73	1	0	0.0	0.0
9	108	1	0	0.0	0.0
9	132	1	0	0.0	0.0
9	143	1	0	0.0	0.0
9	160	1	1	1.5145539952971534	2.29387380467057
9	248	1	1	0.9368054958662211	0.8776045370851564
9	250	26	9	20.607234761683017	53.68522414667981
10	0	93	0	0.0	0.0
10	1	1	0	0.0	0.0
10	2	1	0	0.0	0.0
10	3	2	0	0.0	0.0
10	8	2	0	0.0	0.0
10	16	1	0	0.0	0.0
10	31	1	0	0.0	0.0
10	37	1	1	1.3488925441078379	1.8195110955497154
10	45	1	0	0.0	0.0
10	51	1	0	0.0	0.0
10	54	1	0	0.0	0.0
10	73	1	0	0.0	0.0
10	108	1	0	0.0	0.0
10	132	1	1	2.272687228837956	5.165107240123148
10	143	1	1	1.5568764126324082	2.4238641642111562
10	160	1	1	2.6685642946645616	7.121235394758569
10	248	1	1	0.8688915113320008	0.7549724584648085
10	250	26	24	49.70717959342451	117.69138332878451
24	0	93	0	0.0	0.0
24	1	1	0	0.0	0.0
24	2	1	0	0.0	0.0
24	3	2	0	0.0	0.0
24	8	2	1	2.8800481145415837	8.294677142074532
24	16	1	1	3.225047544180545	10.400931662224965
24	31	1	0	0.0	0.0
24	37	1	1	1.0721225596376711	1.1494467828840316
24	45	1	0	0.0	0.0
24	51	1	0	0.0	0.0
24	54	1	0	0.0	0.0
24	73	1	0	0.0	0.0
24	108	1	1	1.3423374545026943	1.8018698417607728
24	132	1	1	1.4542401504756197	2.114814415255353
24	143	1	1	3.3038249256252135	10.915259139182448
24	160	1	0	0.0	0.0
24	248	1	1	3.4355377421356574	11.802919577638571
24	250	26	23	56.96600486851572	157.89610199722367
27	0	93	0	0.0	0.0
27	1	1	0	0.0	0.0
27	2	1	0	0.0	0.0
27	3	2	1	2.492697993022879	6.21354328442029
27	8	2	0	0.0	0.0
27	16	1	1	2.086562231962564	4.353741947852597
27	31	1	0	0.0	0.0
27	37	1	0	0.0	0.0
27	45	1	0	0.0	0.0
27	51	1	1	1.0356845805080808	1.0726425503021992
27	54	1	0	0.0	0.0
27	73	1	0	0.0	0.0
27	108	1	1	3.534315816235528	12.491388288892606
27	132	1	1	4.22735162909257	17.870501795991604
27	143	1	0	0.0	0.0
27	160	1	1	1.0683319550891972	1.1413331662647064
27	248	1	1	2.4350799891870034	5.929614553738976
27	250	26	26	65.48261514775587	184.71675099253372
43	0	93	0	0.0	0.0
43	1	1	0	0.0	0.0
43	2	1	0	0.0	0.0
43	3	2	0	0.0	0.0
43	8	2	0	0.0	0.0
43	16	1	1	1.23380772717308	1.5222815076320015
43	31	1	0	0.0	0.0
43	37	1	0	0.0	0.0
43	45	1	0	0.0	0.0
43	51	1	0	0.0	0.0
43	54	1	0	0.0	0.0
43	73	1	1	1.4993853443544487	2.2481564108649086
43	108	1	1	2.092787250104032	4.379758474197996
43	132	1	0	0.0	0.0
43	143	1	0	0.0	0.0
43	160	1	1	1.56122675063547	2.437428966899788
43	248	1	1	2.6475749641519863	7.009653190804392
43	250	26	21	47.00722047539144	115.77361371558295
50	0	93	0	0.0	0.0
50	1	1	0	0.0	0.0
50	2	1	0	0.0	0.0
50	3	2	0	0.0	0.0
50	8	2	2	5.2575401663405295	15.649212988068335
50	16	1	0	0.0	0.0
50	31	1	1	2.569417649726441	6.6019070587257485
50	37	1	1	2.3898979174224877	5.711612055700344
50	45	1	1	4.240736194114295	17.983843468070997
50	51	1	1	1.7091063452017425	2.921044499208858
50	54	1	0	0.0	0.0
50	73	1	0	0.0	0.0
50	108	1	1	2.14856217086459	4.61631940207036
50	132	1	1	0.8559027998218103	0.7325696027428138
50	143	1	1	2.418950106459103	5.851319617538506
50	160	1	1	3.6718546163585377	13.482516323673504
50	248	1	1	2.7791501630670976	7.723675628875875
50	250	26	25	62.09297096419252	168.57770634202166
63	0	93	0	0.0	0.0
63	1	1	0	0.0	0.0
63	2	1	0	0.0	0.0
63	3	2	0	0.0	0.0
63	8	2	1	2.55957777912595	6.55143840739533
63	16	1	0	0.0	0.0
63	31	1	0	0.0	0.0
63	37	1	0	0.0	0.0
63	45	1	0	0.0	0.0
63	51	1	1	1.285128377777569	1.6515549473692062
63	54	1	1	2.696542917256026	7.2713437046036375
63	73	1	0	0.0	0.0
63	108	1	0	0.0	0.0
63	132	1	1	1.8535078994348009	3.435491533267208
63	143	1	1	2.189852819639623	4.795455371683607
63	160	1	1	0.9171167546114728	0.8411031415890804
63	248	1	1	2.717401131335153	7.3842689085815705
63	250	26	25	64.5736017198695	180.494852326531
74	0	93	0	0.0	0.0
74	1	1	0	0.0	0.0
74	2	1	0	0.0	0.0
74	3	2	0	0.0	0.0
74	8	2	0	0.0	0.0
74	16	1	1	3.0317005079687736	9.19120797001812
74	31	1	1	1.5040933450734422	2.262296790694217
74	37	1	0	0.0	0.0
74	45	1	0	0.0	0.0
74	51	1	0	0.0	0.0
74	54	1	1	2.7503815061546306	7.564598429397415
74	73	1	1	1.909425095313051	3.6459041946112536
74	108	1	1	2.1344254680826142	4.555772078799687
74	132	1	0	0.0	0.0
74	143	1	1	0.976220792298204	0.9530070353153332
74	160	1	1	2.774985214622644	7.700542941374282
74	248	1	1	3.1795998188084895	10.10985500776698
74	250	26	25	58.747450762520344	150.7977372130806
77	0	93	0	0.0	0.0
77	1	1	0	0.0	0.0
77	2	1	0	0.0	0.0
77	3	2	0	0.0	0.0
77	8	2	1	2.3422770829325215	5.486261933230882
77	16	1	1	2.5661538205566385	6.585145430757433
77	31	1	0	0.0	0.0
77	37	1	0	0.0	0.0
