source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	54195	0	0.0	0.0
0	1	2829	0	0.0	0.0
0	2	1434	0	0.0	0.0
0	3	762	0	0.0	0.0
0	4	501	0	0.0	0.0
0	5	390	0	0.0	0.0
0	6	339	0	0.0	0.0
0	7	279	0	0.0	0.0
0	8	195	0	0.0	0.0
0	9	168	0	0.0	0.0
0	10	159	0	0.0	0.0
0	11	102	0	0.0	0.0
0	12	114	0	0.0	0.0
0	13	66	0	0.0	0.0
0	14	117	0	0.0	0.0
0	15	72	0	0.0	0.0
0	16	93	0	0.0	0.0
0	17	57	0	0.0	0.0
0	18	84	0	0.0	0.0
0	19	30	0	0.0	0.0
0	20	66	0	0.0	0.0
0	21	48	0	0.0	0.0
0	22	51	0	0.0	0.0
0	23	30	0	0.0	0.0
0	24	27	0	0.0	0.0
0	25	39	0	0.0	0.0
0	26	36	0	0.0	0.0
0	27	30	0	0.0	0.0
0	28	30	0	0.0	0.0
0	29	18	0	0.0	0.0
0	30	27	0	0.0	0.0
0	31	33	0	0.0	0.0
0	32	12	0	0.0	0.0
0	33	18	0	0.0	0.0
0	34	27	0	0.0	0.0
0	35	12	0	0.0	0.0
0	36	21	0	0.0	0.0
0	37	12	0	0.0	0.0
0	38	21	0	0.0	0.0
0	39	18	0	0.0	0.0
0	40	21	0	0.0	0.0
0	41	24	0	0.0	0.0
0	42	9	0	0.0	0.0
0	43	9	0	0.0	0.0
0	44	15	0	0.0	0.0
0	45	6	0	0.0	0.0
0	46	3	0	0.0	0.0
0	47	3	0	0.0	0.0
0	48	6	0	0.0	0.0
0	49	6	0	0.0	0.0
0	50	3	0	0.0	0.0
0	51	6	0	0.0	0.0
0	53	6	0	0.0	0.0
0	54	18	0	0.0	0.0
0	56	6	0	0.0	0.0
0	57	18	0	0.0	0.0
0	58	3	0	0.0	0.0
0	59	3	0	0.0	0.0
0	61	6	0	0.0	0.0
0	62	9	0	0.0	0.0
0	63	9	0	0.0	0.0
0	64	6	0	0.0	0.0
0	65	6	0	0.0	0.0
0	66	9	0	0.0	0.0
0	70	3	0	0.0	0.0
0	72	3	0	0.0	0.0
0	73	6	0	0.0	0.0
0	76	3	0	0.0	0.0
0	77	3	0	0.0	0.0
0	79	3	0	0.0	0.0
0	80	3	0	0.0	0.0
0	81	6	0	0.0	0.0
0	83	3	0	0.0	0.0
0	84	6	0	0.0	0.0
0	85	3	0	0.0	0.0
0	88	3	0	0.0	0.0
0	94	3	0	0.0	0.0
0	95	3	0	0.0	0.0
0	116	3	0	0.0	0.0
0	117	3	0	0.0	0.0
0	127	3	0	0.0	0.0
0	164	3	0	0.0	0.0
1	0	90325	0	0.0	0.0
1	1	4715	5	38.11937922134237	291.94070631869454
1	2	2390	2	14.040155722348041	98.56298635389122
1	3	1270	0	0.0	0.0
1	4	835	0	0.0	0.0
1	5	650	1	6.561933693433248	43.05897379701451
1	6	565	1	6.470773314434083	41.870907286792246
1	7	465	1	6.393698373917787	40.879378896638954
1	8	325	1	7.613054455782992	57.958598146717264
1	9	280	0	0.0	0.0
1	10	265	3	18.646086300412644	115.89217810747868
1	11	170	2	13.880931852265002	97.53444599326436
1	12	190	1	6.12420212053093	37.50585161311553
1	13	110	0	0.0	0.0
1	14	195	1	6.146721724689044	37.78218796076426
1	15	120	1	6.012631543055774	36.151738072549264
1	16	155	0	0.0	0.0
1	17	95	2	11.90010154072869	70.80620833982667
1	18	140	2	11.842943925672879	70.12766041331606
1	19	50	0	0.0	0.0
1	20	110	2	11.737585007580456	68.88545090508875
1	21	80	1	5.844397821096146	34.156985891233376
1	22	85	0	0.0	0.0
1	23	50	1	5.798912730773114	33.62738885912249
1	24	45	0	0.0	0.0
1	25	65	0	0.0	0.0
1	26	60	2	11.47522553578621	65.84040054857995
1	27	50	1	5.718743003289443	32.70402153767196
1	28	50	1	7.2460701325730685	52.505532366167486
1	29	30	0	0.0	0.0
1	30	45	2	12.877637676759612	84.11107632169691
1	31	55	1	5.649669431595298	31.918764686302342
1	32	20	0	0.0	0.0
1	33	30	1	5.618410051874892	31.566531511008826
1	34	45	3	16.81045190905339	94.19709779553229
1	35	20	0	0.0	0.0
1	36	35	2	11.149811123063758	62.159144039998154
1	37	20	0	0.0	0.0
1	38	35	0	0.0	0.0
1	39	30	1	6.82099534904583	46.52597755170485
1	40	35	3	16.566680703696008	91.48496984607122
1	41	40	0	0.0	0.0
1	42	15	0	0.0	0.0
1	43	15	0	0.0	0.0
1	44	25	0	0.0	0.0
1	45	10	1	5.562929289573075	30.94618228079
1	46	5	0	0.0	0.0
1	47	5	0	0.0	0.0
1	48	10	0	0.0	0.0
1	49	10	0	0.0	0.0
1	50	5	1	5.410659119363993	29.275232105956743
1	51	10	1	5.400758205092181	29.168189189870517
1	53	10	3	16.24416892254546	87.96428695037108
1	54	30	0	0.0	0.0
1	56	10	1	5.353997172960981	28.665285728074178
1	57	30	1	6.89064728022458	47.4810199404664
1	58	5	1	5.336452311801682	28.477723276133514
1	59	5	0	0.0	0.0
1	61	10	0	0.0	0.0
1	62	15	0	0.0	0.0
1	63	15	1	5.295108450736589	28.038173505062044
1	64	10	1	5.287234671622577	27.954850472807898
1	65	10	0	0.0	0.0
1	66	15	0	0.0	0.0
1	70	5	1	5.242430988488031	27.48308266905959
1	72	5	0	0.0	0.0
1	73	10	2	10.442900174074406	54.52708202284163
1	76	5	1	5.201314335562616	27.053670817329177
1	77	5	1	5.294368295425931	28.03033564761128
1	79	5	1	6.727449387307308	45.25857525878148
1	80	5	0	0.0	0.0
1	81	10	0	0.0	0.0
1	83	5	1	5.157263497344297	26.597366781039927
1	84	10	1	5.151275801181427	26.535642379837352
1	85	5	1	5.145358971717934	26.47471894783824
1	88	5	1	5.128017390801149	26.29656236035902
1	94	5	1	5.095040803046648	25.95944078471023
1	95	5	0	0.0	0.0
1	116	5	0	0.0	0.0
1	117	5	0	0.0	0.0
1	127	5	1	4.944607829422175	24.449146586783073
1	164	5	0	0.0	0.0
2	0	18065	0	0.0	0.0
2	1	943	15	69.25107115643836	319.71405708760585
2	2	478	14	59.7836704630748	255.29194671696587
2	3	254	7	28.473390976663165	115.8191419585605
2	4	167	9	35.314954902507836	138.5717821962402
2	5	130	14	53.37373588009446	203.48254869986306
2	6	113	8	29.770772016673593	110.78735830859443
2	7	93	7	25.51058095871397	92.96996297872853
2	8	65	8	28.621604238145046	102.39952864562528
