source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	279	0	0.0	0.0
0	1	3	0	0.0	0.0
0	2	3	0	0.0	0.0
0	3	6	0	0.0	0.0
0	8	6	0	0.0	0.0
0	16	3	0	0.0	0.0
0	31	3	0	0.0	0.0
0	37	3	0	0.0	0.0
0	45	3	0	0.0	0.0
0	51	3	0	0.0	0.0
0	54	3	0	0.0	0.0
0	73	3	0	0.0	0.0
0	108	3	0	0.0	0.0
0	132	3	0	0.0	0.0
0	143	3	0	0.0	0.0
0	160	3	0	0.0	0.0
0	248	3	0	0.0	0.0
0	250	78	0	0.0	0.0
1	0	465	0	0.0	0.0
1	1	5	0	0.0	0.0
1	2	5	0	0.0	0.0
1	3	10	0	0.0	0.0
1	8	10	0	0.0	0.0
1	16	5	0	0.0	0.0
1	31	5	2	3.054112198240875	4.67355901465427
1	37	5	0	0.0	0.0
1	45	5	0	0.0	0.0
1	51	5	1	0.5678688807039174	0.32247506567191997
1	54	5	1	1.2050537163346393	1.4521544592519253
1	73	5	0	0.0	0.0
1	108	5	0	0.0	0.0
1	132	5	2	2.893137278349139	6.3703351520951905
1	143	5	2	1.3924415740474538	1.3143992848328303
1	160	5	1	3.416047395794222	11.669379810312487
1	248	5	2	0.967125569987536	0.470891561386453
1	250	130	26	23.91663120635715	32.050641693992205
2	0	93	0	0.0	0.0
2	1	1	0	0.0	0.0
2	2	1	0	0.0	0.0
2	3	2	0	0.0	0.0
2	8	2	0	0.0	0.0
2	16	1	0	0.0	0.0
2	31	1	0	0.0	0.0
2	37	1	0	0.0	0.0
2	45	1	0	0.0	0.0
2	51	1	0	0.0	0.0
2	54	1	0	0.0	0.0
2	73	1	0	0.0	0.0
2	108	1	0	0.0	0.0
2	132	1	0	0.0	0.0
2	143	1	1	0.15992647191694323	0.02557647641980083
2	160	1	0	0.0	0.0
2	248	1	1	0.5446988188094539	0.2966968032124143
2	250	26	18	12.244660629359315	19.260222864672677
3	0	279	0	0.0	0.0
3	1	3	0	0.0	0.0
3	2	3	0	0.0	0.0
3	3	6	0	0.0	0.0
3	8	6	0	0.0	0.0
3	16	3	0	0.0	0.0
3	31	3	1	1.001321231630939	1.0026442089149006
3	37	3	1	1.1321107525064877	1.281674755940806
3	45	3	1	0.5897901944970317	0.34785247352484655
3	51	3	3	4.393759599081931	8.194260873371615
3	54	3	2	0.959127449264221	0.4599750392433949
3	73	3	1	0.3801265629293231	0.14449620384446066
3	108	3	1	1.3879355978674734	1.926365223827741
3	132	3	2	0.637291995927108	0.21847595587618443
3	143	3	2	3.1540676120211764	5.286764922619015
3	160	3	2	2.962808405147636	5.931320643795194
3	248	3	2	1.938643511292077	1.9341945970148116
3	250	78	58	80.72772582535103	130.50025101517716
4	0	372	0	0.0	0.0
4	1	4	0	0.0	0.0
4	2	4	0	0.0	0.0
4	3	8	0	0.0	0.0
4	8	8	0	0.0	0.0
4	16	4	1	0.14235752496964102	0.020265664915481967
4	31	4	2	1.8230226747741318	3.050081065386942
4	37	4	2	0.7179647203825907	0.25923334557341643
4	45	4	1	0.1761928168397091	0.031043908705911283
4	51	4	2	1.0898439760845373	0.7388547886942985
4	54	4	0	0.0	0.0
4	73	4	0	0.0	0.0
4	108	4	1	0.31433046351171046	0.09880364029148674
4	132	4	3	4.022242326825225	8.158466341354861
4	143	4	2	0.5686203497086724	0.27473823790000795
4	160	4	2	3.484400210359066	9.933236580097493
4	248	4	3	0.7917050396363654	0.2975882277093831
4	250	104	83	69.17882208438985	112.59257753180049
5	0	93	0	0.0	0.0
5	1	1	0	0.0	0.0
5	2	1	0	0.0	0.0
5	3	2	0	0.0	0.0
5	8	2	0	0.0	0.0
5	16	1	1	0.2574585500317487	0.06628490498445046
5	31	1	0	0.0	0.0
5	37	1	1	0.540210694980433	0.2918275949712424
5	45	1	1	1.37224893518219	1.8830671401086545
5	51	1	1	0.10300749963048669	0.010610544980124717
5	54	1	1	0.6561129355649685	0.4304841842156805
5	73	1	1	1.2670144586298178	1.6053256383770103
5	108	1	0	0.0	0.0
5	132	1	1	0.6623539895255006	0.43871280744034696
5	143	1	1	0.5074865772629663	0.2575426261020807
5	160	1	0	0.0	0.0
5	248	1	1	1.1513941796937914	1.325708557032739
5	250	26	26	32.8414626757805	59.98305940614593
6	0	186	0	0.0	0.0
6	1	2	0	0.0	0.0
6	2	2	0	0.0	0.0
6	3	4	0	0.0	0.0
6	8	4	1	1.0805907943362365	1.1676764648042186
6	16	2	1	1.8687123252548046	3.4920857545592185
6	31	2	1	0.20722356534444078	0.04294160603406172
6	37	2	1	1.5303397348124717	2.341939703945906
6	45	2	1	0.3682881454146776	0.1356361580529827
6	51	2	1	0.1027459695715441	0.010556734263196666
6	54	2	1	0.7462435549011244	0.5568794432314674
6	73	2	1	1.3080083481082658	1.7108858387209143
6	108	2	2	2.267185418445432	2.6761208693662106
6	132	2	1	1.6738630377043069	2.80181746899269
6	143	2	1	0.30650844905110597	0.09394742933971442
6	160	2	2	0.9867681808531323	0.507943456270648
6	248	2	2	1.6330411508651996	1.4057620225698215
6	250	52	33	46.5041332241428	80.53485659131735
7	0	186	0	0.0	0.0
7	1	2	0	0.0	0.0
7	2	2	0	0.0	0.0
7	3	4	0	0.0	0.0
7	8	4	0	0.0	0.0
7	16	2	2	0.2558634839895011	0.03354627103452223
7	31	2	2	0.6831982397690737	0.4208973638049255
7	37	2	1	0.2526111873347492	0.06381241196667174
7	45	2	1	0.25344726722344524	0.06423551726303246
7	51	2	2	0.7131936101328805	0.2975895036512728
7	54	2	2	1.2425573565832992	1.2176890923625066
7	73	2	1	0.1375621515053753	0.018923345526787826
7	108	2	2	1.6228123198936482	1.3879849027014304
7	132	2	2	0.5944279973150371	0.1766917409326298
7	143	2	2	1.3096309550776053	0.8654373048361756
7	160	2	2	2.3139747311306014	2.743497861239941
7	248	2	2	1.5925107240885137	1.273747482942393
7	250	52	52	45.91081014457365	47.725998417738595
8	0	93	0	0.0	0.0
8	1	1	0	0.0	0.0
8	2	1	0	0.0	0.0
8	3	2	0	0.0	0.0
8	8	2	0	0.0	0.0
8	16	1	0	0.0	0.0
8	31	1	1	2.2180738466934224	4.919851589385356
8	37	1	1	1.0366798861440634	1.0747051863356682
8	45	1	0	0.0	0.0
8	51	1	1	0.2740608741879509	0.07510936276066385
8	54	1	0	0.0	0.0
8	73	1	0	0.0	0.0
8	108	1	1	1.2115357529599746	1.4678188807002928
8	132	1	0	0.0	0.0
8	143	1	1	0.9333092492961076	0.8710661548216639
8	160	1	0	0.0	0.0
8	248	1	1	2.2489835641001283	5.057927071592516
8	250	26	14	8.438457467657477	8.042731188459834
9	0	279	0	0.0	0.0
9	1	3	0	0.0	0.0
9	2	3	0	0.0	0.0
9	3	6	1	0.5184010667965145	0.2687396660557643
9	8	6	1	1.5509658836288005	2.405495172180466
9	16	3	2	0.7823994774530509	0.48959754137909955
9	31	3	1	0.4647136740359552	0.21595879883599603
9	37	3	3	1.2216771092648937	0.5931757445379273
9	45	3	2	1.940941326564257	3.0086800485991
9	51	3	3	0.42574127400421974	0.06748045918528904
9	54	3	2	2.4219341496620745	5.46027162034862
9	73	3	1	1.2785710040968585	1.634743812517249
9	108	3	2	1.5874360774572374	1.2743621819955075
9	132	3	3	1.9944940473116688	2.127360710598077
9	143	3	3	4.7445607036864965	8.81659503964603
9	160	3	2	1.1969371770940522	0.9321464290938004
9	248	3	3	3.659343025234362	6.912067262044502
9	250	78	76	92.89575235393136	141.4054739622973
12	0	279	0	0.0	0.0
12	1	3	0	0.0	0.0
12	2	3	1	0.9760400996633167	0.9526542761507772
12	3	6	0	0.0	0.0
12	8	6	1	0.5483324047024201	0.3006684260467386
12	16	3	2	0.8769927581385992	0.4136575366226284
12	31	3	3	2.1425939319176193	2.2706264749807965
12	37	3	3	3.399399835172575	8.550304742528375
12	45	3	3	1.6220486763040298	0.9378212525120407
12	51	3	3	1.7087216507580438	1.0243156016094463
12	54	3	3	1.8057044802722992	1.1870127022202634
12	73	3	3	1.0967925738082656	0.538319043957229
12	108	3	3	2.4781653019109537	2.708445726589888
12	132	3	3	2.7941189129606445	3.0658449656556774
12	143	3	3	3.1114911005625547	3.368648522793329
12	160	3	3	4.723957910389908	7.569113403933261
12	248	3	3	4.3522826952110005	7.043020554455769
12	250	78	77	101.23992828055863	154.67773552316106
13	0	279	0	0.0	0.0
13	1	3	0	0.0	0.0
13	2	3	0	0.0	0.0
13	3	6	1	0.8493196109353511	0.7213438015193763
13	8	6	0	0.0	0.0
13	16	3	2	2.8593828062689695	7.234464006188206
13	31	3	2	1.9178962290226826	1.8569965525653316
13	37	3	2	2.7362172230388233	6.312721108097284
13	45	3	2	2.1393247559574395	2.3747259323327574
13	51	3	3	2.8149530553656352	3.4102506166328044
13	54	3	2	1.4505041710654338	1.6617129731781681
13	73	3	1	1.4160770637916504	2.005274250596782
13	108	3	3	2.7976529493626088	3.8242437841225927
13	132	3	2	3.0954374865087875	5.014750197892209
13	143	3	3	2.7424446330544394	3.3383466306490686
13	160	3	3	1.389356465051002	0.8137724839279797
13	248	3	3	3.01492056412419	3.3162801043236216
13	250	78	72	76.76623307203563	109.92065599345413
14	0	186	0	0.0	0.0
14	1	2	0	0.0	0.0
14	2	2	0	0.0	0.0
14	3	4	0	0.0	0.0
14	8	4	2	1.4355189991944861	1.3464347379270614
14	16	2	2	0.616485536526776	0.29764382774555076
14	31	2	1	0.07318298381101601	0.005355749119483432
14	37	2	2	1.9539114440864225	2.437305086734007
14	45	2	2	1.3260983894744367	1.1655397868952881
14	51	2	2	2.7809771947089073	3.8725648879326915
14	54	2	2	0.8248012511414823	0.39981901361430355
14	73	2	2	1.413545573834022	1.3026332892703087
14	108	2	2	0.9501163841983715	0.6860513363089418
14	132	2	2	0.9434078166338219	0.7539766174654895
14	143	2	2	2.4171766784382145	3.7525470498415845
14	160	2	2	3.1407073355682193	5.12216147985732
14	248	2	2	2.731039086339651	3.8201481876577663
14	250	52	52	66.85443056875836	96.04228852349092
15	0	93	0	0.0	0.0
15	1	1	0	0.0	0.0
15	2	1	0	0.0	0.0
15	3	2	0	0.0	0.0
15	8	2	1	0.1733715769278907	0.030057703686463526
15	16	1	1	0.40671734748533883	0.16541900074550986
15	31	1	1	0.2951864744429754	0.08713505469407337
15	37	1	1	0.32170549773238344	0.10349442727124057
15	45	1	1	1.1329549324720727	1.2835868790127989
15	51	1	1	0.21039199304051207	0.044264790735558876
15	54	1	1	0.08565751628343606	0.007337210095847113
15	73	1	1	0.25125820446375036	0.06313068531034778
15	108	1	1	0.683531946488024	0.46721592186970684
15	132	1	1	0.5392775889791167	0.29082031797512914
15	143	1	1	2.283254049724684	5.213249055584169
15	160	1	1	1.2597992065554184	1.587094040837662
15	248	1	1	0.9751810492233782	0.9509780787644089
15	250	26	26	34.63287363200144	54.806803559559825
16	0	372	0	0.0	0.0
16	1	4	0	0.0	0.0
16	2	4	0	0.0	0.0
16	3	8	3	1.8508833413894281	1.156765339668749
16	8	8	2	2.303176891510363	4.612508361909018
16	16	4	3	1.6345011084812788	1.3231686134302607
16	31	4	3	3.719558556888911	4.742770807617329
16	37	4	4	1.3155105414145551	0.5324260284979137
16	45	4	3	4.024087273365238	6.193823414818803
16	51	4	4	2.821134269440531	2.0345380866918688
16	54	4	4	2.4275065153383824	2.1665258219409798
16	73	4	4	3.874407956938013	4.659853484673921
16	108	4	4	4.475734047122291	5.421112817093878
16	132	4	4	2.7169908465285353	2.601004788310938
16	143	4	4	5.432303340290609	7.825241470448567
16	160	4	3	2.843181020663447	2.7827218563981324
16	248	4	4	5.711702126200178	8.558834646683822
16	250	104	104	136.71604834178942	199.10543967740074
17	0	186	0	0.0	0.0
17	1	2	0	0.0	0.0
17	2	2	0	0.0	0.0
17	3	4	1	1.0311463427551293	1.0632627801772785
17	8	4	1	0.9951463408285703	0.9903162396644931
17	16	2	1	0.7239171538434666	0.5240560456288252
17	31	2	1	0.10274606448419935	0.01055675376699125
17	37	2	2	1.5115551202235407	1.7476448310580694
17	45	2	2	2.1096022824270557	2.68252732855294
17	51	2	2	1.6285710103652251	1.4221400735991083
17	54	2	2	1.9611348663052584	2.2171321529433476
17	73	2	1	1.058612003585525	1.1206593741353599
17	108	2	1	1.2172084177303883	1.4815963321937156
17	132	2	2	1.689892793582858	1.666752734300618
17	143	2	2	1.2410606027722408	1.1027611858660593
17	160	2	2	3.7082022499418037	6.883204945134664
17	248	2	2	2.1743177797118918	2.464953068964285
17	250	52	52	73.03049517107273	119.79388594933077
18	0	186	0	0.0	0.0
18	1	2	0	0.0	0.0
18	2	2	0	0.0	0.0
18	3	4	1	0.3743971144208941	0.14017319928669206
18	8	4	1	0.1583967351652921	0.025089525711023682
18	16	2	2	0.9353023157939931	0.7693492452383809
18	31	2	1	0.255636606310458	0.06535007448592808
18	37	2	1	0.29449233223308663	0.08672573374408267
18	45	2	2	2.6562866929809887	3.7429807099986636
18	51	2	2	0.31398477084374854	0.05074811451891704
18	54	2	2	0.3555302438563225	0.08302325985255013
18	73	2	2	0.5222329980466722	0.13833005750439148
18	108	2	2	2.296010519725421	2.7565326586038728
18	132	2	2	1.465707807264794	1.1085291036646074
18	143	2	2	1.9073267590715115	2.4414973022314754
18	160	2	2	2.351623628421981	2.8643287999883147
18	248	2	2	2.9267769906839582	4.318113865972058
18	250	52	51	57.5014461357051	77.83107893405311
19	0	186	0	0.0	0.0
19	1	2	0	0.0	0.0
19	2	2	1	0.8124587250478266	0.6600891799063399
19	3	4	0	0.0	0.0
19	8	4	2	1.9864753912814352	2.50971098790195
19	16	2	2	0.9330501144568643	0.6159525047010062
19	31	2	2	0.8905094188228555	0.6907758363011429
19	37	2	2	0.6835888496430135	0.2543428807452939
19	45	2	2	1.937254695674428	2.2048035337615794
19	51	2	2	2.214403239373946	2.45193765484732
19	54	2	2	2.520855106577739	6.304909514041732
19	73	2	2	1.7278736101387893	2.025145143159755
19	108	2	2	2.617751676197762	3.6572241768848484
19	132	2	2	2.098339731798636	2.286365640499278
19	143	2	2	1.8083356251486897	1.8198630121970618
19	160	2	2	0.7915026448261999	0.31324763466257677
19	248	2	2	3.7428697654459016	7.0077314703173865
19	250	52	51	74.13639413620407	122.58746364778875
21	0	93	0	0.0	0.0
21	1	1	0	0.0	0.0
21	2	1	0	0.0	0.0
21	3	2	1	1.6350851361415861	2.673503402431149
21	8	2	1	1.3844097183506803	1.9165902682638098
21	16	1	1	0.6857860868114141	0.4703025568641123
21	31	1	1	0.06518058709171426	0.004248508933620548
21	37	1	1	0.7638478140063573	0.5834634829622906
21	45	1	1	0.35135588821842495	0.12345096018575832
21	51	1	1	1.0356987339393893	1.072671867483654
21	54	1	0	0.0	0.0
21	73	1	1	0.3406851665690515	0.11606638272018237
21	108	1	1	1.4814061229573903	2.1945641011356467
21	132	1	1	0.9292291230510298	0.8634667631261859
21	143	1	1	1.3375258994417092	1.7889755316773532
21	160	1	1	0.9323934851203031	0.8693576110947848
21	248	1	1	1.2099551085519695	1.4639913647110083
21	250	26	26	33.03362536575967	46.21346339548434
23	0	279	0	0.0	0.0
23	1	3	0	0.0	0.0
23	2	3	2	1.5001305224398662	1.125195792177853
23	3	6	1	0.33282455017020157	0.11077218119599702
23	8	6	1	0.5124389578991234	0.2625936855727396
23	16	3	3	1.9482774065923083	1.7352648461866753
23	31	3	3	1.1433110864549678	0.6410139100929171
23	37	3	3	3.7794740538178884	5.459831635291368
23	45	3	3	3.6162214627898175	5.869495703806841
23	51	3	3	2.710068943455632	3.8709627276318126
23	54	3	3	2.5219501657278975	4.056400144272262
23	73	3	3	4.577571973932578	7.8450038737983006
23	108	3	3	4.305900255121307	7.3573831211774
23	132	3	3	3.7018368824492542	5.342250857954564
23	143	3	3	4.923910380084074	8.207025799506393
23	160	3	3	4.208947976040966	5.964925445508891
23	248	3	3	4.605971850879576	7.869550200968363
23	250	78	78	135.60969920561962	246.5700095479607
24	0	186	0	0.0	0.0
24	1	2	0	0.0	0.0
24	2	2	1	0.7366345005352043	0.5426303873787499
24	3	4	2	2.3243831337297207	3.3877708907241506
24	8	4	3	3.5737552100871994	6.5275536447208955
24	16	2	2	0.4558572263560888	0.16567487973076683
24	31	2	2	0.786117849657445	0.5680757670909926
24	37	2	2	0.9284653533206593	0.6287888486067553
24	45	2	2	1.8261284923767729	1.8873785657556204
24	51	2	2	3.3445161867284345	6.104883461286435
24	54	2	2	2.6704378057009137	3.569939460933849
24	73	2	2	0.5923636808500956	0.20717730719814817
24	108	2	2	2.5532926793383193	3.276600441211344
24	132	2	2	3.550143904405802	6.324404023754477
24	143	2	2	3.5156439806600024	7.77728749327623
24	160	2	2	2.3799087143053947	3.1728688701398746
24	248	2	2	3.0548129887373454	4.666837166287809
24	250	52	50	76.95604621749264	126.64248376065527
26	0	186	0	0.0	0.0
26	1	2	0	0.0	0.0
26	2	2	0	0.0	0.0
26	3	4	0	0.0	0.0
26	8	4	0	0.0	0.0
26	16	2	2	0.501654176755143	0.126807864164098
26	31	2	2	0.9266951720854912	0.4477023163773224
26	37	2	2	1.5848416742749591	1.3185201978763912
26	45	2	1	0.7738313815164326	0.5988150070196306
26	51	2	2	0.2115209261515818	0.024749864659756524
26	54	2	2	1.6688129738629605	1.8561761395893772
26	73	2	2	0.6272521490505738	0.2211193387405806
26	108	2	2	2.561703566076087	3.304175462240843
26	132	2	2	1.5728489097530722	1.262003230276128
26	143	2	2	1.7061819337438395	1.7768059275149095
26	160	2	2	1.919605493251566	2.2538833526667292
26	248	2	1	2.4307062292436403	5.908332772883837
26	250	52	52	74.38100650040585	113.16763142301339
27	0	186	0	0.0	0.0
27	1	2	0	0.0	0.0
27	2	2	0	0.0	0.0
27	3	4	0	0.0	0.0
27	8	4	2	0.5047893257305576	0.15760764035183794
27	16	2	2	0.30918806975663365	0.07001337669428948
27	31	2	2	2.585462151303037	3.5413022919160184
27	37	2	2	0.25778698428629837	0.03428054108596125
27	45	2	2	2.438991167963285	3.1806571401907298
27	51	2	2	1.0655665846109397	0.5734654656060922
27	54	2	2	0.9486598547741198	0.4526531103474444
27	73	2	2	2.888137813509334	4.176900159010983
27	108	2	2	2.1546428335812027	2.35129522526684
27	132	2	2	2.062168783021601	2.97639789119626
27	143	2	2	1.5807059367706457	1.2855517174462117
27	160	2	2	2.774256385796959	4.364322955315369
27	248	2	2	2.952130736048004	4.436353426186186
27	250	52	52	82.12230264068485	137.81677871698122
28	0	93	0	0.0	0.0
28	1	1	0	0.0	0.0
28	2	1	0	0.0	0.0
28	3	2	0	0.0	0.0
28	8	2	1	0.2377032937754308	0.05650285587168877
28	16	1	1	0.19137618259583056	0.03662484326495268
28	31	1	1	0.13128287227269478	0.017235192552168693
28	37	1	1	0.5243657748000985	0.2749594657817076
28	45	1	1	0.33183332190762393	0.11011335352824878
28	51	1	1	0.9971911737722992	0.9943902370493757
28	54	1	1	0.7523275012226736	0.5659966690959519
28	73	1	1	0.4976160191480643	0.2476217025127667
28	108	1	1	0.6602351738029828	0.4359104847266549
28	132	1	1	0.8866158627998326	0.7860876881682917
28	143	1	1	1.2131949879240829	1.4718420787241155
28	160	1	1	1.3543365939084229	1.8342276095994683
28	248	1	1	1.5427883738662518	2.3801959665368737
28	250	26	26	35.973954490595915	54.240694990445505
33	0	186	0	0.0	0.0
33	1	2	0	0.0	0.0
33	2	2	1	0.6416372330895966	0.41169833888687335
33	3	4	0	0.0	0.0
33	8	4	0	0.0	0.0
33	16	2	1	0.3302865138096706	0.10908918120454573
33	31	2	2	0.8280869385944514	0.46761791147551823
33	37	2	2	1.983246010243493	2.1153437013848384
33	45	2	2	1.7041602352498857	1.4733462532774295
33	51	2	2	2.8167636920953303	6.376414401314227
33	54	2	2	1.6016614980922461	1.2826600088466789
33	73	2	1	0.7132577476612585	0.5087366145988115
33	108	2	2	2.11335459121431	2.284186466277411
33	132	2	2	1.1161996718992298	1.0066183154565211
33	143	2	2	2.748676002148443	4.287383656236002
33	160	2	2	2.008203818569063	2.0193974705819775
33	248	2	2	4.29798617977784	9.346967870958004
33	250	52	52	88.3267684521407	161.71894774574105
34	0	186	0	0.0	0.0
34	1	2	0	0.0	0.0
34	2	2	1	0.6332314899589707	0.400982119875658
34	3	4	1	0.13612712779250727	0.018530594921037605
34	8	4	2	0.3846313288043659	0.07509862668109352
34	16	2	2	1.9411150949634515	2.0957691647185417
34	31	2	2	1.876403000928844	2.420673111110961
34	37	2	2	3.0449766530439586	8.030721687586382
34	45	2	2	3.276039005315911	6.164820063210032
34	51	2	2	3.6774654822843016	7.342382488798048
34	54	2	2	1.9083478479395095	2.8191774206209197
34	73	2	2	3.1978717837912956	5.134614350515433
34	108	2	2	2.407259187756564	2.903327133956438
34	132	2	2	2.4151220746848217	3.406498346975285
34	143	2	2	3.7403220149741205	7.0357826960076935
34	160	2	2	3.4784480716180957	6.129343822598552
34	248	2	2	4.0530675382181975	8.791194512082011
34	250	52	52	104.65643728698858	214.6430545644021
36	0	93	0	0.0	0.0
36	1	1	0	0.0	0.0
36	2	1	1	0.617376204969873	0.3811533784630026
36	3	2	1	1.7954373306262577	3.2235952082063415
36	8	2	0	0.0	0.0
36	16	1	1	1.3421189140776897	1.801283179525077
36	31	1	1	0.044816628871133614	0.002008530223372927
36	37	1	1	0.3789875356954524	0.1436315522125118
36	45	1	1	0.3320893476850269	0.11028333484586668
36	51	1	1	0.9446089263305817	0.8922860237034143
36	54	1	1	1.011394324866934	1.0229184803730411
36	73	1	1	1.5123002083393027	2.287051920143098
36	108	1	1	1.4652116010715934	2.146845035914782
36	132	1	1	0.7305799040856419	0.5337469962537857
36	143	1	1	1.8058153054066046	3.2609689172407488
36	160	1	1	0.878874110164877	0.7724197015181045
36	248	1	1	1.7141508821745155	2.9383132468596695
36	250	26	25	41.696665447427506	74.04289219306388
38	0	186	0	0.0	0.0
38	1	2	0	0.0	0.0
38	2	2	1	0.6026667071301677	0.3632071598831193
38	3	4	1	1.7828347023193898	3.1784995757942673
38	8	4	2	2.0357860905864147	2.932007562232051
38	16	2	2	1.3308646209175024	1.280271240738235
38	31	2	2	0.5993603739245648	0.19917047429658993
38	37	2	2	1.713548660300842	1.4681411755648093
38	45	2	2	0.7256812727993878	0.28800989567257873
38	51	2	2	1.6794106891444929	1.5593695819895785
38	54	2	2	1.8233730027538846	2.7251863179554863
38	73	2	2	1.7376765302697366	1.6844845881505868
38	108	2	2	1.289286982956189	0.849428600394694
38	132	2	2	3.126646844807353	5.0888432371720205
38	143	2	2	3.356163191325287	5.747386499868988
38	160	2	2	1.7012095974693076	1.9912202904029679
38	248	2	2	3.42981309362956	5.89881798469767
38	250	52	52	81.28087009884081	136.59994343710085
40	0	93	0	0.0	0.0
40	1	1	0	0.0	0.0
40	2	1	1	0.5889702057099401	0.34688590321400914
40	3	2	1	1.5176959296753787	2.303400934953212
40	8	2	0	0.0	0.0
40	16	1	1	0.3692187246791832	0.1363224666537225
40	31	1	1	0.26234980597547775	0.06882742069537082
40	37	1	1	0.8195613541476809	0.6716808132123805
40	45	1	1	1.0491386288429505	1.1006918625304662
40	51	1	1	1.9537191776321687	3.8170186250477176
40	54	1	1	0.17007924713369546	0.028926950305564657
40	73	1	1	1.55652825721554	2.422780215510446
40	108	1	1	1.4567920504122462	2.1222430781443165
40	132	1	1	1.1665139637772795	1.36075482768738
40	143	1	1	1.93707046084043	3.752241970260556
40	160	1	1	1.283022306945263	1.646146240119145
40	248	1	1	2.2301141264336133	4.973409016918758
40	250	26	25	39.312239886818375	66.6611788443818
41	0	93	0	0.0	0.0
41	1	1	0	0.0	0.0
41	2	1	0	0.0	0.0
41	3	2	1	0.2691789573435392	0.0724573110765549
41	8	2	1	0.38046503647945	0.14475364398330923
41	16	1	1	1.0868055304167596	1.1811462609444543
41	31	1	1	0.4490867962868606	0.20167895059919624
41	37	1	1	0.11476990407287094	0.013172130880895997
41	45	1	1	0.7704666096518953	0.5936187965884859
41	51	1	1	1.1437048262888092	1.3080607296763151
41	54	1	1	1.7750310513851888	3.1507352333816088
41	73	1	1	0.9252499971987926	0.8560875573163658
41	108	1	1	1.8688405498130507	3.4925650006255458
41	132	1	1	1.5996276977299333	2.5588087713447667
41	143	1	1	2.0131948148696894	4.0529533626182035
41	160	1	1	1.5573562237106966	2.425358407530441
41	248	1	1	2.10908283004222	4.448230383978901
41	250	26	26	47.68314149550465	89.87963861272385
42	0	279	0	0.0	0.0
42	1	3	0	0.0	0.0
42	2	3	0	0.0	0.0
42	3	6	2	0.9675136914439251	0.6271925668317668
42	8	6	6	7.191023186929061	18.598298719283136
42	16	3	3	3.78411193101955	5.193488997906445
42	31	3	3	2.4722848854253057	2.7108236113900506
42	37	3	3	3.3501642922865127	4.076864668371612
42	45	3	3	1.7042138738529302	1.1235766862691918
42	51	3	3	2.7631665879509164	2.5960045125939253
42	54	3	3	2.8661005460236764	3.186120764770263
42	73	3	3	3.4805925358965446	4.177803274619109
42	108	3	3	2.7034100070299285	2.530911245308583
42	132	3	3	3.9863777340817332	6.282330093218022
42	143	3	3	3.7269951329578563	5.898005271895185
42	160	3	3	4.997473759495707	8.506228359474456
42	248	3	3	4.673517897685751	7.358018441825945
42	250	78	78	142.72848675124007	271.25085314817863
44	0	186	0	0.0	0.0
44	1	2	0	0.0	0.0
44	2	2	1	0.5641847166162962	0.31830439446341047
44	3	4	1	0.9658530003702448	0.9328720183242041
44	8	4	3	1.9962970080323807	2.330679545141317
