source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	15048	0	0.0	0.0
0	1	3279	0	0.0	0.0
0	2	4470	0	0.0	0.0
0	3	4980	0	0.0	0.0
0	4	5376	0	0.0	0.0
0	5	5355	0	0.0	0.0
0	6	5202	0	0.0	0.0
0	7	4428	0	0.0	0.0
0	8	3648	0	0.0	0.0
0	9	2907	0	0.0	0.0
0	10	2241	0	0.0	0.0
0	11	1722	0	0.0	0.0
0	12	1188	0	0.0	0.0
0	13	864	0	0.0	0.0
0	14	684	0	0.0	0.0
0	15	489	0	0.0	0.0
0	16	324	0	0.0	0.0
0	17	240	0	0.0	0.0
0	18	147	0	0.0	0.0
0	19	117	0	0.0	0.0
0	20	54	0	0.0	0.0
0	21	24	0	0.0	0.0
0	22	30	0	0.0	0.0
0	23	9	0	0.0	0.0
0	24	9	0	0.0	0.0
1	0	25080	0	0.0	0.0
1	1	5465	1708	450.87678154183783	192.90406746618493
1	2	7450	3522	870.9664811049503	343.47995426568997
1	3	8300	4666	1193.7667372462226	465.77183141513643
1	4	8960	5572	1475.0710857130402	579.7533764692536
1	5	8925	5857	1620.4110933255415	658.668946022196
1	6	8670	5888	1723.3039481108149	722.3842712182247
1	7	7380	5202	1564.263224484463	662.3818891768526
1	8	6080	4379	1389.945991082577	618.8649671717894
1	9	4845	3559	1185.638423865038	541.5170528421788
1	10	3735	2765	953.3756793519187	449.27089124728764
1	11	2870	2151	760.0982416849101	363.5652425875995
1	12	1980	1505	554.6066058716858	275.2672798592756
1	13	1440	1096	416.09701695382694	214.33556179068995
1	14	1140	873	338.7628850602234	175.49957372868292
1	15	815	624	247.27844995172842	131.1077362251664
1	16	540	422	167.55424749019488	87.68753386946912
1	17	400	315	127.42436523597775	67.69187422590323
1	18	245	193	83.72819281333504	48.078964880391574
1	19	195	153	67.01198965337977	38.085784190159806
1	20	90	72	31.870017194437242	18.481616603476276
1	21	40	31	14.598977143368593	9.192678778304956
1	22	50	40	19.058852259503336	11.678322814487863
