source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	963945	0	0.0	0.0
0	1	150660	0	0.0	0.0
0	2	121551	0	0.0	0.0
0	3	88815	0	0.0	0.0
0	4	91140	0	0.0	0.0
0	5	83142	0	0.0	0.0
0	6	62031	0	0.0	0.0
0	7	59520	0	0.0	0.0
0	8	51615	0	0.0	0.0
0	9	38130	0	0.0	0.0
0	10	36735	0	0.0	0.0
0	11	25482	0	0.0	0.0
0	12	22878	0	0.0	0.0
0	13	23250	0	0.0	0.0
0	14	24366	0	0.0	0.0
0	15	15252	0	0.0	0.0
0	16	12369	0	0.0	0.0
0	17	10323	0	0.0	0.0
0	18	8556	0	0.0	0.0
0	19	8928	0	0.0	0.0
0	20	4743	0	0.0	0.0
0	21	5952	0	0.0	0.0
0	22	3906	0	0.0	0.0
0	23	3906	0	0.0	0.0
0	24	2790	0	0.0	0.0
0	25	3441	0	0.0	0.0
0	26	3255	0	0.0	0.0
0	27	2325	0	0.0	0.0
0	28	2232	0	0.0	0.0
0	29	1581	0	0.0	0.0
0	30	1767	0	0.0	0.0
0	31	1953	0	0.0	0.0
0	32	1581	0	0.0	0.0
0	33	1302	0	0.0	0.0
0	34	465	0	0.0	0.0
0	35	651	0	0.0	0.0
0	36	1395	0	0.0	0.0
0	37	465	0	0.0	0.0
0	38	651	0	0.0	0.0
0	39	279	0	0.0	0.0
0	40	651	0	0.0	0.0
0	41	651	0	0.0	0.0
0	42	372	0	0.0	0.0
0	43	186	0	0.0	0.0
0	44	372	0	0.0	0.0
0	45	465	0	0.0	0.0
0	47	186	0	0.0	0.0
0	48	372	0	0.0	0.0
0	49	186	0	0.0	0.0
0	50	186	0	0.0	0.0
0	52	186	0	0.0	0.0
0	53	186	0	0.0	0.0
0	54	93	0	0.0	0.0
0	55	93	0	0.0	0.0
0	59	93	0	0.0	0.0
0	62	93	0	0.0	0.0
0	65	93	0	0.0	0.0
0	66	93	0	0.0	0.0
1	0	10365	0	0.0	0.0
1	1	1620	66	158.91681785164076	398.0245910860011
1	2	1307	111	227.22241520650732	509.636221787172
1	3	955	114	211.52192604922897	424.0354039442339
1	4	980	171	293.8285686438776	543.3684086261924
1	5	894	176	297.5876195983191	546.8885624921509
1	6	667	165	269.8190596045846	495.7516497194798
1	7	640	162	256.39579687428886	474.49340965851
1	8	555	174	261.94582242649153	466.0946348714275
1	9	410	144	208.0716804575194	336.4208207643339
1	10	395	148	219.14054790406647	360.8147370506566
1	11	274	114	161.11022915179194	280.49339845495695
1	12	246	111	152.579238061112	253.3488282766396
1	13	250	114	149.33609931157326	225.44778004148526
1	14	262	125	158.01977400723553	241.08070399735345
1	15	164	93	126.98644084356323	216.02117221393235
1	16	133	77	102.82455269550869	160.14871861186487
1	17	111	60	73.75135600664905	104.70056613054759
1	18	92	50	58.57133353329237	79.12449594329678
1	19	96	63	77.40779025505462	112.50345164870518
1	20	51	28	34.97248355606864	51.985604748892555
1	21	64	43	52.377380828574445	76.47667180216226
1	22	42	32	40.68934808356876	61.57675066245231
1	23	42	24	34.831559928211995	61.44722085181245
1	24	30	22	27.204707165309497	38.88678131601958
1	25	37	27	33.332639755167286	46.78216453577823
1	26	35	25	30.72401339429096	42.16106285811294
1	27	25	19	20.84450922350441	27.150797493470524
1	28	24	19	22.764992954915215	31.890064996887688
