source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	372	0	0.0	0.0
0	1	4	0	0.0	0.0
0	2	4	0	0.0	0.0
0	4	8	0	0.0	0.0
0	5	4	0	0.0	0.0
0	9	4	0	0.0	0.0
0	10	4	0	0.0	0.0
0	24	4	0	0.0	0.0
0	27	4	0	0.0	0.0
0	43	4	0	0.0	0.0
0	50	4	0	0.0	0.0
0	63	4	0	0.0	0.0
0	74	4	0	0.0	0.0
0	77	4	0	0.0	0.0
0	163	4	0	0.0	0.0
0	190	4	0	0.0	0.0
0	235	4	0	0.0	0.0
0	250	108	0	0.0	0.0
4	0	279	0	0.0	0.0
4	1	3	1	0.9668305393634636	0.934761291845846
4	2	3	0	0.0	0.0
4	4	6	3	2.079561982794873	1.8212415814680167
4	5	3	1	0.3828747715799709	0.1465930907124149
4	9	3	2	1.5907641672603905	1.2652905906309333
4	10	3	2	1.7358073731021035	1.97144615058667
4	24	3	2	1.4447855482364966	1.0585891826772187
4	27	3	2	2.284967722912792	3.1126673128194473
4	43	3	2	3.3409538494511146	5.583350609302066
4	50	3	2	3.1739258723149906	5.043473617489658
4	63	3	2	3.296385131426974	5.681711677825007
4	74	3	2	3.3984770553384336	5.890927065098326
4	77	3	2	3.0235066504304333	4.603557697499352
4	163	3	2	4.1604109685920045	8.656941289602049
4	190	3	2	4.151150249144942	8.736232168678082
4	235	3	2	4.812208552533326	11.584210636757787
4	250	81	53	123.75184324973057	289.9924773602936
6	0	465	0	0.0	0.0
6	1	5	0	0.0	0.0
6	2	5	1	0.7586784750589183	0.5755930285177256
6	4	10	3	2.563115933328214	2.6294934506935634
6	5	5	2	1.8608921951957262	1.8614875922918823
6	9	5	3	3.1168426042720254	4.446506172844545
6	10	5	3	3.4227041872353903	4.66550154899482
6	24	5	3	4.575494139288038	8.221432731922203
6	27	5	3	5.12257959240744	9.878783847877031
6	43	5	3	5.165629705487044	9.37733369187097
6	50	5	3	5.192071893996045	10.464427361798306
6	63	5	3	5.471679107560959	10.978589576437852
6	74	5	3	6.300499614356513	14.423667100784069
6	77	5	3	5.453092836604219	10.278344792720395
6	163	5	3	7.200970560174648	17.812511661378014
6	190	5	3	7.332664188219931	18.61909447776591
6	235	5	3	7.421453061996108	19.119448484280458
6	250	135	80	208.46735703093077	565.2496694841277
7	0	93	0	0.0	0.0
7	1	1	1	0.7713588972226086	0.594994548324479
7	2	1	0	0.0	0.0
7	4	2	0	0.0	0.0
7	5	1	0	0.0	0.0
7	9	1	0	0.0	0.0
7	10	1	1	0.8181136547183719	0.6693099520366516
7	24	1	1	0.22759919320413832	0.051801392747174685
7	27	1	1	0.5458850730495273	0.2979905129782877
7	43	1	1	0.45015184417769105	0.20263668281657624
7	50	1	1	0.6987007987158774	0.48818280612620507
7	63	1	1	0.9816078869742596	0.9635540437700708
7	74	1	1	0.8930894394101896	0.7976087467860067
7	77	1	1	0.5645928914381863	0.31876513306253157
7	163	1	1	0.8524728602775606	0.7267099775098054
7	190	1	1	0.6961926175275412	0.4846841606998493
7	235	1	1	1.380414210802523	1.9055433933855526
7	250	27	27	30.611363325749124	35.474150623755975
8	0	558	0	0.0	0.0
8	1	6	0	0.0	0.0
8	2	6	1	0.9742401277459607	0.9491438265104658
8	4	12	6	3.7707205395227366	2.5261381245136567
8	5	6	2	1.4110194183307565	1.3679636030201718
8	9	6	4	1.9440649291668173	1.1283565829411693
8	10	6	4	2.9004172084771302	2.404636179397747
8	24	6	4	4.016198256575409	4.520756064884244
8	27	6	4	4.752388560882775	5.710430939098633
8	43	6	4	6.094012497506907	9.604722240483039
8	50	6	4	6.055170850517454	10.221563807102502
8	63	6	4	6.346979279460549	10.316227574762955
8	74	6	4	6.808150321433939	13.67889369157305
8	77	6	4	5.735913631161692	9.112993128209771
8	163	6	4	8.35433484944097	18.102278982932894
8	190	6	4	8.151248230916288	17.938785998992167
8	235	6	4	8.688465268881348	19.738317634580373
8	250	162	107	236.815258125882	548.0911327851626
9	0	372	0	0.0	0.0
9	1	4	3	1.9633855424757403	1.3592652927715014
9	2	4	1	0.8783738482043137	0.7715406172092548
9	4	8	3	1.8228164651154293	1.2381292379887099
9	5	4	2	1.3747396847566697	1.5084709741782611
9	9	4	3	1.3638797693474003	0.6626172680607513
