source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	5220	0	0.0	0.0
0	1	1218	0	0.0	0.0
0	2	435	0	0.0	0.0
0	3	348	0	0.0	0.0
0	4	609	0	0.0	0.0
0	5	174	0	0.0	0.0
0	6	348	0	0.0	0.0
0	7	435	0	0.0	0.0
0	8	261	0	0.0	0.0
0	9	435	0	0.0	0.0
0	10	261	0	0.0	0.0
0	11	435	0	0.0	0.0
0	12	87	0	0.0	0.0
0	13	174	0	0.0	0.0
0	14	87	0	0.0	0.0
0	15	261	0	0.0	0.0
0	16	261	0	0.0	0.0
0	21	261	0	0.0	0.0
0	22	87	0	0.0	0.0
0	25	87	0	0.0	0.0
0	28	87	0	0.0	0.0
0	29	87	0	0.0	0.0
0	37	87	0	0.0	0.0
0	51	87	0	0.0	0.0
0	68	87	0	0.0	0.0
1	0	600	0	0.0	0.0
1	1	140	0	0.0	0.0
1	2	50	0	0.0	0.0
1	3	40	0	0.0	0.0
1	4	70	1	3.2185998023534483	10.359384687709657
1	5	20	0	0.0	0.0
1	6	40	2	8.769533943073458	38.478424973034976
1	7	50	2	6.993181518240494	25.071906013223497
1	8	30	2	7.409167479248841	28.82888043944033
1	9	50	0	0.0	0.0
1	10	30	2	7.0267476479569915	25.81418321955634
1	11	50	2	6.711058252699785	23.33820900874848
1	12	10	2	7.450112287818326	28.205050317219403
1	13	20	1	3.8354072121647986	14.710348483125752
1	14	10	0	0.0	0.0
1	15	30	3	12.038261929761193	51.75669005896605
1	16	30	3	12.672694825136357	54.50186479684319
1	21	30	3	9.262410205068322	29.350232121157628
1	22	10	3	11.864966958039883	47.24981879118658
1	25	10	3	10.836643588250745	39.190352127873766
1	28	10	2	5.620137455066168	16.408953674653905
1	29	10	2	7.687195066541144	29.928961709059124
1	37	10	1	2.1192210412537382	4.491097821692579
1	51	10	1	3.0662057025482863	9.40161741033963
1	68	10	4	18.176168443886354	85.56843593832495
2	0	480	0	0.0	0.0
2	1	112	2	9.541010941495378	45.51544489286726
2	2	40	0	0.0	0.0
2	3	32	2	8.769606314439521	38.705369158175586
2	4	56	6	22.3624073657523	84.94461963250218
2	5	16	1	4.071491986155319	16.577046993326984
2	6	32	1	4.657403313198711	21.69140562179433
2	7	40	5	15.172792144509664	47.553665233026734
2	8	24	1	2.9012336351956214	8.4171566059904
2	9	40	4	13.399887278597763	52.13826978699706
2	10	24	5	18.38495761766016	70.64960183708678
2	11	40	8	29.99515177182488	115.47546396429254
2	12	8	0	0.0	0.0
2	13	16	3	10.271721771592317	36.790500497026045
2	14	8	2	8.002347100002556	32.018779554459655
2	15	24	7	29.388986472845787	129.76938794843468
2	16	24	4	14.182756341504948	52.42437019731415
2	21	24	5	16.693179236847712	65.58881297188694
2	22	8	3	8.310392528748434	23.29600890853921
