source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	9660	0	0.0	0.0
0	1	600	0	0.0	0.0
0	2	420	0	0.0	0.0
0	3	780	0	0.0	0.0
0	4	720	0	0.0	0.0
0	5	240	0	0.0	0.0
0	6	360	0	0.0	0.0
0	7	420	0	0.0	0.0
0	8	360	0	0.0	0.0
0	9	360	0	0.0	0.0
0	10	240	0	0.0	0.0
0	11	120	0	0.0	0.0
0	12	180	0	0.0	0.0
0	14	480	0	0.0	0.0
0	15	180	0	0.0	0.0
0	16	180	0	0.0	0.0
0	17	240	0	0.0	0.0
0	19	60	0	0.0	0.0
0	20	120	0	0.0	0.0
0	21	60	0	0.0	0.0
0	22	120	0	0.0	0.0
0	23	60	0	0.0	0.0
0	24	120	0	0.0	0.0
0	25	60	0	0.0	0.0
0	26	60	0	0.0	0.0
0	30	120	0	0.0	0.0
0	31	60	0	0.0	0.0
0	34	60	0	0.0	0.0
0	36	240	0	0.0	0.0
0	37	60	0	0.0	0.0
0	40	60	0	0.0	0.0
0	42	60	0	0.0	0.0
0	46	60	0	0.0	0.0
0	50	60	0	0.0	0.0
0	52	60	0	0.0	0.0
0	53	60	0	0.0	0.0
0	54	60	0	0.0	0.0
0	55	120	0	0.0	0.0
0	56	120	0	0.0	0.0
0	58	60	0	0.0	0.0
0	65	60	0	0.0	0.0
0	66	60	0	0.0	0.0
0	69	60	0	0.0	0.0
0	71	60	0	0.0	0.0
0	72	60	0	0.0	0.0
0	78	60	0	0.0	0.0
0	89	60	0	0.0	0.0
0	94	60	0	0.0	0.0
0	97	60	0	0.0	0.0
0	99	60	0	0.0	0.0
0	101	60	0	0.0	0.0
0	103	60	0	0.0	0.0
0	105	60	0	0.0	0.0
0	106	60	0	0.0	0.0
0	108	60	0	0.0	0.0
0	109	60	0	0.0	0.0
0	113	60	0	0.0	0.0
0	118	120	0	0.0	0.0
0	124	60	0	0.0	0.0
0	134	60	0	0.0	0.0
0	136	60	0	0.0	0.0
0	155	60	0	0.0	0.0
0	160	60	0	0.0	0.0
0	181	60	0	0.0	0.0
0	189	60	0	0.0	0.0
0	201	60	0	0.0	0.0
0	293	60	0	0.0	0.0
0	306	60	0	0.0	0.0
0	344	60	0	0.0	0.0
0	351	60	0	0.0	0.0
0	366	60	0	0.0	0.0
0	434	60	0	0.0	0.0
0	562	60	0	0.0	0.0
0	573	60	0	0.0	0.0
0	679	60	0	0.0	0.0
0	698	60	0	0.0	0.0
0	988	60	0	0.0	0.0
0	1014	60	0	0.0	0.0
0	1222	60	0	0.0	0.0
0	1511	60	0	0.0	0.0
0	1532	60	0	0.0	0.0
0	1560	60	0	0.0	0.0
0	1605	60	0	0.0	0.0
0	1687	60	0	0.0	0.0
0	1850	60	0	0.0	0.0
0	2045	60	0	0.0	0.0
0	2713	60	0	0.0	0.0
0	2810	60	0	0.0	0.0
0	3071	60	0	0.0	0.0
0	3245	60	0	0.0	0.0
0	3710	60	0	0.0	0.0
0	3957	60	0	0.0	0.0
0	4197	60	0	0.0	0.0
0	4228	60	0	0.0	0.0
0	4465	60	0	0.0	0.0
0	4543	60	0	0.0	0.0
0	4702	60	0	0.0	0.0
0	4942	60	0	0.0	0.0
0	4958	60	0	0.0	0.0
0	5015	60	0	0.0	0.0
0	5109	60	0	0.0	0.0
0	5523	60	0	0.0	0.0
0	5587	60	0	0.0	0.0
0	5671	60	0	0.0	0.0
0	5788	60	0	0.0	0.0
0	5954	60	0	0.0	0.0
0	5968	60	0	0.0	0.0
0	5980	60	0	0.0	0.0
0	6178	60	0	0.0	0.0
0	6208	60	0	0.0	0.0
0	6378	60	0	0.0	0.0
0	6725	60	0	0.0	0.0
