source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	45945	0	0.0	0.0
0	1	12474	0	0.0	0.0
0	2	3153	0	0.0	0.0
0	3	822	0	0.0	0.0
0	4	315	0	0.0	0.0
0	5	93	0	0.0	0.0
0	6	21	0	0.0	0.0
0	7	3	0	0.0	0.0
0	8	6	0	0.0	0.0
0	9	3	0	0.0	0.0
1	0	76575	0	0.0	0.0
1	1	20790	3620	6338.021599734961	12224.875129540373
1	2	5255	1664	2566.3164596344377	4547.289384782513
1	3	1370	659	943.4736033095332	1585.6531556393863
1	4	525	295	407.1652274600899	669.1341833861572
1	5	155	99	130.14844916983677	204.98068179642732
1	6	35	22	26.73375035052651	38.44195048519751
1	7	5	5	6.923049704038018	11.755170904931887
1	8	10	6	10.114041551312155	21.714980157585792
1	9	5	4	6.173733965722359	11.052154057955864
2	0	15315	0	0.0	0.0
2	1	4158	0	0.0	0.0
2	2	1051	0	0.0	0.0
2	3	274	0	0.0	0.0
2	4	105	0	0.0	0.0
2	5	31	0	0.0	0.0
2	6	7	0	0.0	0.0
2	7	1	0	0.0	0.0
2	8	2	0	0.0	0.0
2	9	1	0	0.0	0.0
3	0	45945	0	0.0	0.0
3	1	12474	1641	3191.334493285133	7222.890886917351
3	2	3153	833	1416.108429856769	2901.450204783083
3	3	822	317	504.16733590818285	1011.7713920595136
3	4	315	155	234.3440049135339	444.3435121449695
3	5	93	60	84.429594541649	156.58813334090252
3	6	21	10	11.54636212199527	16.465753724147028
3	7	3	1	2.3229357537150404	5.396030515887663
3	8	6	2	4.158551066926817	8.900955881003203
3	9	3	2	2.5485521765505252	3.2478091076656384
4	0	61260	0	0.0	0.0
4	1	16632	5650	9009.650920460866	17019.35804403095
4	2	4204	2329	3498.492145244657	6290.770702009063
4	3	1096	765	1181.5300598736835	2189.245990484924
4	4	420	317	485.3167058378176	865.5772596446758
4	5	124	103	164.69875820109212	298.00150741925273
4	6	28	24	39.75460568219888	72.70618116629862
4	7	4	3	3.833166591497734	4.913242110057774
4	8	8	6	10.679424644406387	20.969369242762433
4	9	4	3	5.333096794300332	10.697870026960045
5	0	15315	0	0.0	0.0
5	1	4158	2147	3471.2127194637014	6216.458440953093
5	2	1051	828	1312.48795237719	2341.42843126632
5	3	274	244	399.82024088022234	738.3902818169624
5	4	105	101	173.77469089033278	323.4260951069648
5	5	31	30	61.23136245906666	129.4648171812823
5	6	7	7	13.404761994936063	27.22043056375916
5	7	1	1	0.4716501086643088	0.22245382500305427
5	8	2	2	3.7848727392721275	7.467228986914341
5	9	1	1	2.5513180848224057	6.509223969941869
6	0	30630	0	0.0	0.0
6	1	8316	3008	4175.298776139614	8614.753799660297
6	2	2102	1195	1633.2829120421775	3333.4548943390882
6	3	548	404	573.2688017346552	1200.8278218816504
6	4	210	178	262.1859591138269	553.3723448783521
6	5	62	58	93.9694578593902	209.589919031297
6	6	14	13	16.775288585149816	31.272785580994448
6	7	2	1	3.175992556235548	10.086928717263612
6	8	4	4	4.7025497991194465	5.972844283492421
6	9	2	2	4.430003397188923	10.099029499131152
7	0	30630	0	0.0	0.0
7	1	8316	2668	4203.261837264777	8826.37624333981
