source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	1098	0	0.0	0.0
0	1037	3	0	0.0	0.0
0	1180	3	0	0.0	0.0
0	1563	3	0	0.0	0.0
0	1656	3	0	0.0	0.0
0	1658	3	0	0.0	0.0
0	1815	3	0	0.0	0.0
0	1858	3	0	0.0	0.0
0	2055	3	0	0.0	0.0
0	2069	3	0	0.0	0.0
0	2125	3	0	0.0	0.0
0	2285	3	0	0.0	0.0
0	2294	3	0	0.0	0.0
0	2299	3	0	0.0	0.0
0	2436	3	0	0.0	0.0
0	2469	3	0	0.0	0.0
0	2543	3	0	0.0	0.0
0	2545	3	0	0.0	0.0
0	2617	3	0	0.0	0.0
0	2626	3	0	0.0	0.0
0	2642	3	0	0.0	0.0
0	2645	3	0	0.0	0.0
0	2739	3	0	0.0	0.0
0	2812	3	0	0.0	0.0
0	2841	3	0	0.0	0.0
0	2846	3	0	0.0	0.0
0	2869	3	0	0.0	0.0
0	2872	3	0	0.0	0.0
0	3113	3	0	0.0	0.0
0	3210	3	0	0.0	0.0
0	3441	3	0	0.0	0.0
0	3728	3	0	0.0	0.0
0	3845	3	0	0.0	0.0
0	4461	3	0	0.0	0.0
0	4623	3	0	0.0	0.0
0	4939	3	0	0.0	0.0
0	5092	3	0	0.0	0.0
1	0	1830	0	0.0	0.0
1	1037	5	1	0.613755500369199	0.37669581423344584
1	1180	5	1	0.4841453710737634	0.23439674033215205
1	1563	5	0	0.0	0.0
1	1656	5	1	1.7647441238507289	3.114321822665677
1	1658	5	1	0.4127599409968044	0.17037076889168545
1	1815	5	1	0.48878313637960724	0.23890895440908574
1	1858	5	1	0.4835013161413355	0.23377352271040366
1	2055	5	1	0.6937290552584312	0.4812600021097555
1	2069	5	0	0.0	0.0
1	2125	5	2	3.3693299961996512	8.200823865117641
1	2285	5	1	1.9551898717815375	3.822767434717105
1	2294	5	2	2.39143687841817	4.007350027246139
1	2299	5	1	0.9824830089611236	0.9652728628973033
1	2436	5	2	2.5330300790079994	4.301109365597036
1	2469	5	1	0.5240193510608192	0.2745962802862021
1	2543	5	2	2.561168799460261	3.9516325825982808
1	2545	5	1	0.4056279761443147	0.1645340550309327
1	2617	5	1	2.236412982124473	5.001543026614878
1	2626	5	1	1.666725423360917	2.777973636877628
1	2642	5	2	0.8971596939745581	0.40544372939545403
1	2645	5	1	1.834231537723181	3.3644053339783455
1	2739	5	1	0.6114487794691323	0.37386960991429163
1	2812	5	1	2.0020164948381773	4.008070045604142
1	2841	5	2	2.3380606675272215	3.9628198974170528
1	2846	5	2	4.094209580791345	8.38645380121562
1	2869	5	1	0.3174088396631993	0.10074837149633858
1	2872	5	2	2.2398285874601207	3.562458363296778
1	3113	5	2	3.0613290950720096	4.692440588768646
1	3210	5	2	3.7723559355378504	7.132663244771645
1	3441	5	3	1.5278073260374014	0.9185170058411192
1	3728	5	2	2.707430252303964	5.728675639720701
1	3845	5	3	2.3587626541229962	2.617591603509132
1	4461	5	2	3.460823730166429	6.0054024362374925
1	4623	5	3	5.117258718286651	11.674432630277911
1	4939	5	4	5.733047592460514	10.006453001787548
1	5092	5	3	2.5452605374902815	3.025703283421706
2	0	366	0	0.0	0.0
2	1037	1	0	0.0	0.0
2	1180	1	0	0.0	0.0
2	1563	1	0	0.0	0.0
2	1656	1	0	0.0	0.0
2	1658	1	0	0.0	0.0
2	1815	1	0	0.0	0.0
2	1858	1	0	0.0	0.0
2	2055	1	0	0.0	0.0
2	2069	1	0	0.0	0.0
2	2125	1	0	0.0	0.0
2	2285	1	0	0.0	0.0
2	2294	1	0	0.0	0.0
2	2299	1	0	0.0	0.0
2	2436	1	0	0.0	0.0
2	2469	1	0	0.0	0.0
2	2543	1	0	0.0	0.0
2	2545	1	0	0.0	0.0
2	2617	1	0	0.0	0.0
2	2626	1	0	0.0	0.0
2	2642	1	0	0.0	0.0
2	2645	1	0	0.0	0.0
2	2739	1	0	0.0	0.0
2	2812	1	0	0.0	0.0
2	2841	1	0	0.0	0.0
2	2846	1	0	0.0	0.0
2	2869	1	0	0.0	0.0
2	2872	1	0	0.0	0.0
2	3113	1	0	0.0	0.0
2	3210	1	0	0.0	0.0
2	3441	1	0	0.0	0.0
2	3728	1	0	0.0	0.0
2	3845	1	0	0.0	0.0
2	4461	1	0	0.0	0.0
2	4623	1	0	0.0	0.0
2	4939	1	0	0.0	0.0
2	5092	1	0	0.0	0.0
3	0	1098	0	0.0	0.0
3	1037	3	0	0.0	0.0
3	1180	3	0	0.0	0.0
3	1563	3	1	2.8048471913307975	7.867167766716263
3	1656	3	2	4.314127528281369	11.453097134702517
3	1658	3	2	3.569805547447218	7.254836558740859
3	1815	3	1	0.3006316320002147	0.09037937815911251
3	1858	3	1	2.009688535783659	4.038848010860267
3	2055	3	1	2.7011497442612673	7.29620994092271
3	2069	3	2	2.0300563735465387	2.9286043526426484
3	2125	3	2	3.2970784635254997	5.839380345896174
3	2285	3	1	2.049046959821686	4.198593443554493
3	2294	3	3	2.5455354456163883	2.3176333477668347
3	2299	3	2	5.147649303368389	13.295117569624114
3	2436	3	2	2.7582832819659227	4.2242017389412805
3	2469	3	2	3.7562317177202447	8.720342125367415
3	2543	3	1	2.660729921055547	7.079483712800257
3	2545	3	2	1.2996358827400996	1.2038135755572972
