source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	108345	0	0.0	0.0
0	1	23994	0	0.0	0.0
0	2	6603	0	0.0	0.0
0	3	1767	0	0.0	0.0
0	4	1209	0	0.0	0.0
0	5	93	0	0.0	0.0
0	6	558	0	0.0	0.0
0	7	372	0	0.0	0.0
0	8	186	0	0.0	0.0
0	9	186	0	0.0	0.0
0	10	186	0	0.0	0.0
0	11	279	0	0.0	0.0
0	12	93	0	0.0	0.0
0	13	93	0	0.0	0.0
0	14	93	0	0.0	0.0
0	15	93	0	0.0	0.0
0	17	93	0	0.0	0.0
0	19	93	0	0.0	0.0
1	0	1165	0	0.0	0.0
1	1	258	0	0.0	0.0
1	2	71	0	0.0	0.0
1	3	19	0	0.0	0.0
1	4	13	0	0.0	0.0
1	5	1	0	0.0	0.0
1	6	6	0	0.0	0.0
1	7	4	0	0.0	0.0
1	8	2	0	0.0	0.0
1	9	2	0	0.0	0.0
1	10	2	0	0.0	0.0
1	11	3	0	0.0	0.0
1	12	1	0	0.0	0.0
1	13	1	0	0.0	0.0
1	14	1	0	0.0	0.0
1	15	1	0	0.0	0.0
1	17	1	0	0.0	0.0
1	19	1	0	0.0	0.0
2	0	1165	0	0.0	0.0
2	1	258	5	26.43035269153487	139.71270867978495
2	2	71	3	14.818567698865351	73.19664954861851
2	3	19	1	4.7368156285271485	22.437422298659044
2	4	13	0	0.0	0.0
2	5	1	0	0.0	0.0
2	6	6	0	0.0	0.0
2	7	4	0	0.0	0.0
2	8	2	0	0.0	0.0
2	9	2	0	0.0	0.0
2	10	2	0	0.0	0.0
2	11	3	0	0.0	0.0
2	12	1	0	0.0	0.0
2	13	1	0	0.0	0.0
2	14	1	1	3.966874757438192	15.736095341200315
2	15	1	0	0.0	0.0
2	17	1	0	0.0	0.0
2	19	1	1	3.814311876497737	14.548975091191688
3	0	2330	0	0.0	0.0
3	1	516	1	5.24658304109035	27.526633607056866
3	2	142	3	14.70011152249346	72.03109292458166
3	3	38	0	0.0	0.0
3	4	26	2	9.107038047353457	41.469070997971734
3	5	2	0	0.0	0.0
3	6	12	1	4.350841900196365	18.929825240504318
3	7	8	0	0.0	0.0
3	8	4	0	0.0	0.0
3	9	4	0	0.0	0.0
3	10	4	1	4.095539921818935	16.773447251212644
3	11	6	0	0.0	0.0
3	12	2	0	0.0	0.0
3	13	2	0	0.0	0.0
3	14	2	0	0.0	0.0
3	15	2	0	0.0	0.0
3	17	2	0	0.0	0.0
3	19	2	0	0.0	0.0
8	0	2330	0	0.0	0.0
8	1	516	9	36.31506082331471	146.55304681291955
8	2	142	6	22.13248297143938	81.65547037819792
8	3	38	3	11.100978474231482	41.447878882461175
8	4	26	1	3.4118466946964974	11.640697868111413
8	5	2	0	0.0	0.0
8	6	12	3	10.063486976158888	34.127790378797165
8	7	8	1	3.132852692997288	9.81476599602036
8	8	4	0	0.0	0.0
8	9	4	0	0.0	0.0
8	10	4	1	2.9553271333738387	8.73395846525563
8	11	6	0	0.0	0.0
8	12	2	0	0.0	0.0
8	13	2	0	0.0	0.0
8	14	2	1	2.788170503402834	7.773894756045613
8	15	2	1	2.7539433956675414	7.5842042265408685
8	17	2	0	0.0	0.0
8	19	2	1	2.6368241540147017	6.952841619195348
16	0	1165	0	0.0	0.0
16	1	258	38	119.739272799073	386.8237121261343
16	2	71	23	67.69707250776534	207.67285907048142
16	3	19	5	15.798958976048818	53.78055723843263
16	4	13	9	26.647633551075447	82.06045124407808
16	5	1	0	0.0	0.0
16	6	6	3	11.0143685865593	41.69961211030862
16	7	4	4	10.914460885496151	33.322133321400706
16	8	2	2	3.978036314034018	8.003480420107756
16	9	2	1	1.7201777417683857	2.959011463275383
16	10	2	2	7.953011484601026	31.682474563311274
16	11	3	3	6.483299817731077	14.729197708157976
16	12	1	1	2.4190132152383	5.851624935497538
16	13	1	1	4.061548177136888	16.49617359520398
16	14	1	1	3.7450503777117827	14.025402331599166
