source_degree	target_degree	n	nnz	sum	sum_of_squares
0	1	16368	0	0.0	0.0
0	2	5208	0	0.0	0.0
0	3	2790	0	0.0	0.0
0	4	1674	0	0.0	0.0
0	5	930	0	0.0	0.0
0	6	1302	0	0.0	0.0
0	7	1023	0	0.0	0.0
0	8	558	0	0.0	0.0
0	9	558	0	0.0	0.0
0	10	279	0	0.0	0.0
0	11	186	0	0.0	0.0
0	12	186	0	0.0	0.0
0	13	93	0	0.0	0.0
0	14	279	0	0.0	0.0
0	16	93	0	0.0	0.0
0	18	186	0	0.0	0.0
0	19	93	0	0.0	0.0
0	20	93	0	0.0	0.0
0	22	186	0	0.0	0.0
1	1	176	0	0.0	0.0
1	2	56	0	0.0	0.0
1	3	30	0	0.0	0.0
1	4	18	0	0.0	0.0
1	5	10	0	0.0	0.0
1	6	14	0	0.0	0.0
1	7	11	0	0.0	0.0
1	8	6	0	0.0	0.0
1	9	6	0	0.0	0.0
1	10	3	0	0.0	0.0
1	11	2	0	0.0	0.0
1	12	2	0	0.0	0.0
1	13	1	0	0.0	0.0
1	14	3	0	0.0	0.0
1	16	1	0	0.0	0.0
1	18	2	0	0.0	0.0
1	19	1	0	0.0	0.0
1	20	1	0	0.0	0.0
1	22	2	0	0.0	0.0
2	1	176	0	0.0	0.0
2	2	56	0	0.0	0.0
2	3	30	0	0.0	0.0
2	4	18	0	0.0	0.0
2	5	10	0	0.0	0.0
2	6	14	0	0.0	0.0
2	7	11	0	0.0	0.0
2	8	6	0	0.0	0.0
2	9	6	0	0.0	0.0
2	10	3	0	0.0	0.0
2	11	2	0	0.0	0.0
2	12	2	0	0.0	0.0
2	13	1	0	0.0	0.0
2	14	3	0	0.0	0.0
2	16	1	0	0.0	0.0
2	18	2	0	0.0	0.0
2	19	1	0	0.0	0.0
2	20	1	0	0.0	0.0
2	22	2	0	0.0	0.0
3	1	352	0	0.0	0.0
3	2	112	0	0.0	0.0
3	3	60	0	0.0	0.0
3	4	36	0	0.0	0.0
3	5	20	0	0.0	0.0
3	6	28	0	0.0	0.0
3	7	22	0	0.0	0.0
3	8	12	0	0.0	0.0
3	9	12	0	0.0	0.0
3	10	6	0	0.0	0.0
3	11	4	0	0.0	0.0
3	12	4	0	0.0	0.0
3	13	2	0	0.0	0.0
3	14	6	0	0.0	0.0
3	16	2	0	0.0	0.0
3	18	4	0	0.0	0.0
3	19	2	0	0.0	0.0
3	20	2	0	0.0	0.0
3	22	4	0	0.0	0.0
8	1	352	3	13.680784684273394	62.80956285767772
8	2	112	6	24.76808797521369	105.61144621292692
8	3	60	2	6.599542325443965	21.846958238725904
8	4	36	1	4.241203032866449	17.98780316599556
8	5	20	1	2.858617616873048	8.171694679496945
8	6	28	3	10.04226728751245	33.97587357918742
8	7	22	2	5.756111699784076	16.63587530813712
8	8	12	1	3.063184818060161	9.383101229594262
8	9	12	3	11.645818721497214	49.25738725196994
8	10	6	0	0.0	0.0
8	11	4	2	6.144995674463237	19.39741919354575
8	12	4	0	0.0	0.0
8	13	2	0	0.0	0.0
8	14	6	2	5.76606301111805	16.64541857036259
8	16	2	1	2.2841772151067343	5.217465550012756
8	18	4	1	3.443824491058949	11.859927125217428
8	19	2	0	0.0	0.0
8	20	2	0	0.0	0.0
8	22	4	2	7.168859802592037	27.04710340421949
16	1	176	5	15.084193205827512	47.098141859964755
16	2	56	4	10.090219368807569	27.334134666715297
16	3	30	9	25.794771955160236	81.5899853970561
16	4	18	2	5.847647183217059	17.810300790572967
16	5	10	3	7.887601819271704	22.445698619806972
16	6	14	3	7.441746947062194	18.46077106684087
16	7	11	4	10.273365928771339	33.20709588822065
16	8	6	2	4.36667946636301	10.418701093790144
16	9	6	2	7.7788391377200945	30.677660037035558
16	10	3	1	3.5836336722065427	12.84243029657255
16	11	2	1	2.690480074599592	7.238683031817425
16	12	2	0	0.0	0.0
16	13	1	0	0.0	0.0
