source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	3272	0	0.0	0.0
0	1	436	0	0.0	0.0
0	2	356	0	0.0	0.0
0	3	256	0	0.0	0.0
0	4	256	0	0.0	0.0
0	5	208	0	0.0	0.0
0	6	168	0	0.0	0.0
0	7	72	0	0.0	0.0
0	8	116	0	0.0	0.0
0	9	68	0	0.0	0.0
0	10	52	0	0.0	0.0
0	11	84	0	0.0	0.0
0	12	28	0	0.0	0.0
0	13	20	0	0.0	0.0
0	14	28	0	0.0	0.0
0	15	32	0	0.0	0.0
0	16	16	0	0.0	0.0
0	17	20	0	0.0	0.0
0	18	28	0	0.0	0.0
0	19	20	0	0.0	0.0
0	20	4	0	0.0	0.0
0	21	16	0	0.0	0.0
0	22	24	0	0.0	0.0
0	23	4	0	0.0	0.0
0	24	8	0	0.0	0.0
0	25	16	0	0.0	0.0
0	26	20	0	0.0	0.0
0	27	12	0	0.0	0.0
0	28	28	0	0.0	0.0
0	29	12	0	0.0	0.0
0	30	8	0	0.0	0.0
0	31	16	0	0.0	0.0
0	32	16	0	0.0	0.0
0	34	8	0	0.0	0.0
0	35	8	0	0.0	0.0
0	37	8	0	0.0	0.0
0	38	16	0	0.0	0.0
0	39	4	0	0.0	0.0
0	40	4	0	0.0	0.0
0	41	8	0	0.0	0.0
0	42	16	0	0.0	0.0
0	43	8	0	0.0	0.0
0	44	12	0	0.0	0.0
0	47	12	0	0.0	0.0
0	49	8	0	0.0	0.0
0	50	4	0	0.0	0.0
0	51	8	0	0.0	0.0
0	53	4	0	0.0	0.0
0	54	4	0	0.0	0.0
0	55	4	0	0.0	0.0
0	56	8	0	0.0	0.0
0	62	8	0	0.0	0.0
0	63	4	0	0.0	0.0
0	64	4	0	0.0	0.0
0	66	4	0	0.0	0.0
0	68	4	0	0.0	0.0
0	70	8	0	0.0	0.0
0	75	4	0	0.0	0.0
0	76	4	0	0.0	0.0
0	77	4	0	0.0	0.0
0	83	8	0	0.0	0.0
0	84	4	0	0.0	0.0
0	86	4	0	0.0	0.0
0	89	4	0	0.0	0.0
0	90	4	0	0.0	0.0
0	91	4	0	0.0	0.0
0	93	12	0	0.0	0.0
0	97	8	0	0.0	0.0
0	98	4	0	0.0	0.0
0	99	4	0	0.0	0.0
0	101	4	0	0.0	0.0
0	103	4	0	0.0	0.0
0	104	4	0	0.0	0.0
0	127	8	0	0.0	0.0
0	145	4	0	0.0	0.0
0	146	4	0	0.0	0.0
0	149	4	0	0.0	0.0
0	152	4	0	0.0	0.0
0	156	8	0	0.0	0.0
0	164	12	0	0.0	0.0
0	173	4	0	0.0	0.0
0	181	4	0	0.0	0.0
0	219	4	0	0.0	0.0
0	222	4	0	0.0	0.0
0	225	4	0	0.0	0.0
0	226	4	0	0.0	0.0
0	236	4	0	0.0	0.0
0	240	4	0	0.0	0.0
0	248	4	0	0.0	0.0
0	250	152	0	0.0	0.0
4	0	2454	0	0.0	0.0
4	1	327	11	19.71244885512791	40.65501339766904
4	2	267	19	25.207139972733795	36.12222208333502
4	3	192	16	21.46221027127437	35.01265310063687
4	4	192	26	31.82842913880818	42.96833807715349
4	5	156	16	21.394227777945595	36.78105799965489
4	6	126	20	22.27444359877201	30.690405259244542
4	7	54	9	10.835848626246744	16.478351871795077
4	8	87	16	20.50866406069052	33.07689439666019
4	9	51	10	10.682984520257788	13.821364480568782
4	10	39	9	8.15270087258588	7.733126777479947
4	11	63	15	16.782535551696828	21.274771784672794
4	12	21	5	5.859292637405507	7.471731235366355
4	13	15	4	5.567951673591409	8.973674834237025
4	14	21	5	5.721216207379252	7.973399714048156
4	15	24	6	5.72327185160912	6.659863607491712
4	16	12	3	3.951020085845088	6.749914144293052
4	17	15	5	7.754018603915624	12.973517485641562
4	18	21	5	5.840597072961303	7.5588326965271335
4	19	15	4	6.404691458996945	11.622965251375778
4	20	3	1	2.07105520047281	4.289269643405472
4	21	12	3	3.8775821430326842	5.45546676535304
4	22	18	5	6.421580188958206	10.549250842641833
4	23	3	1	0.8734743108626775	0.7629573717370293
4	24	6	1	1.8155652726005622	3.296277259073154
4	25	12	4	4.0398720270050905	4.580919148427197
4	26	15	5	7.302846335777134	11.04921487836306
4	27	9	3	3.7448787415982396	6.9935574296599725
4	28	21	6	7.354607837026946	10.29517398763045
4	29	9	3	3.465272870950472	4.3919458503223
4	30	6	2	3.192743245548412	5.5828154584812095
4	31	12	4	5.326495495280101	8.083220538156825
4	32	12	4	5.579071286368632	9.761373907669743
4	34	6	2	2.8732317876375033	4.661042376758694
4	35	6	2	0.7467465485571101	0.2811139265767253
4	37	6	1	0.8859760122399688	0.7849534942646373
4	38	12	4	4.636176792952978	6.150778889664279
4	39	3	1	1.8966034229135882	3.597104543807539
4	40	3	1	1.951104810885253	3.8068099830595785
4	41	6	2	3.5265945218537462	6.257488183966339
4	42	12	4	7.927369723019215	15.786711329854375
4	43	6	2	1.9059871705027716	2.1105533413270727
4	44	9	3	4.071787536911382	5.985741324578418
4	47	9	3	6.589310166909783	15.017896668902551
4	49	6	2	3.0213736606916077	6.631935072817664
4	50	3	1	1.3113391656163027	1.719610407279261
4	51	6	2	2.8811109090527878	4.303743435532272
4	53	3	1	1.3663394535639823	1.866883502365522
4	54	3	1	1.3804625737771958	1.9056769175995598
4	55	3	1	1.9409763555767017	3.7673892129078146
4	56	6	2	4.441074426100181	10.190443716717796
4	62	6	2	3.499396137171297	6.445531683931014
4	63	3	1	1.7148708074737276	2.9407818863255946
4	64	3	1	1.5679565137218656	2.458487628922827
4	66	3	1	1.9207331872498092	3.689215976602811
4	68	3	1	0.7513663127350929	0.5645513359131294
4	70	6	2	2.805754291319721	3.976665480936756
4	75	3	1	1.482192886976181	2.1968957542027856
4	76	3	1	2.122734556602816	4.506001997795755
4	77	3	1	1.7353827481292305	3.0115532825045603
4	83	6	2	4.042384165383711	8.275763070030987
4	84	3	1	2.3470469510601566	5.5086293904807775
4	86	3	1	1.986054402648626	3.9444120902799904
4	89	3	1	1.6684516071538722	2.7837307654143393
4	90	3	1	2.206719594812501	4.869611370129449
4	91	3	1	2.088467115067175	4.3616948907170086
4	93	9	3	6.300771983272798	13.4541756131479
4	97	6	2	4.401599341292334	9.852154702590232
4	98	3	1	1.2997443149346586	1.689335284204965
4	99	3	1	2.1151905075272106	4.474030883133219
4	101	3	1	2.7856659482726283	7.759934775365641
4	103	3	1	0.9088992534246682	0.8260978528759192
4	104	3	1	1.4165999408969958	2.006755392549372
4	127	6	2	4.689795567730734	11.01026233529597
4	145	3	1	1.6339582430679431	2.6698195400896796
4	146	3	1	2.290638950444511	5.247026801293531
4	149	3	1	2.182899261430685	4.76504918555463
4	152	3	1	2.07125892290932	4.290113525731476
4	156	6	2	4.4181462147169945	9.843033437235306
4	164	9	3	7.076734269511533	16.923681159499058
4	173	3	1	2.4110729496995718	5.813272768772993
4	181	3	1	2.1963488792440873	4.823948399356758
4	219	3	1	2.6100200401880835	6.8122046101834055
4	222	3	1	2.3588882707348837	5.56435387381061
4	225	3	1	2.691542028502256	7.2443984911940404
4	226	3	1	2.6587361478719553	7.068877904001004
4	236	3	1	2.6349819131850745	6.943129682812475
4	240	3	1	2.4167614202245264	5.84073576228567
4	248	3	1	2.6218585610204808	6.874142313996386
4	250	114	38	96.57657981455118	248.24022288868147
6	0	4090	0	0.0	0.0
6	1	545	84	124.60571308929106	220.9699155371037
6	2	445	141	160.21449805476823	219.13481633628714
6	3	320	140	168.2452529460728	251.67575586155843
6	4	320	162	190.52232977125422	279.5631020718249
6	5	260	143	161.63662089309142	231.43230938901084
6	6	210	140	151.68910672150224	209.0586396414493
6	7	90	61	78.75513195226377	123.18598840252787
6	8	145	101	123.77840486509231	190.60576437693055
6	9	85	58	63.98232654580642	90.36424106555734
6	10	65	48	57.25513327000968	82.38682824533916
6	11	105	78	90.52784526721126	129.2162976033415
6	12	35	27	35.27128547810154	53.31862006010549
6	13	25	20	21.241939520544026	29.18832732719047
6	14	35	28	38.4619237475632	61.5864449237136
6	15	40	31	42.35219236274679	64.4704638513226
6	16	20	15	26.025063585843977	50.96566846893594
6	17	25	20	27.928025084757373	45.22845552924599
6	18	35	28	38.15394899568058	60.442077517910455
6	19	25	20	31.367837965775344	56.96950413356968
6	20	5	4	5.504919769468648	8.955802090722685
6	21	20	16	26.982000990274667	53.11588715889833
6	22	30	24	40.55776048698011	74.71825627622837
6	23	5	4	7.369925307822559	13.619774152395774
6	24	10	8	13.015851524685168	24.37477157734926
6	25	20	16	27.853692103123816	52.120377866684535
6	26	25	20	31.751250968767742	56.653303753196695
6	27	15	12	22.059157329712612	46.09646081364434
6	28	35	28	50.29604135466353	98.55342189201271
6	29	15	12	17.60640461781774	26.804319269816176
6	30	10	8	13.352867759283674	24.151682502476444
6	31	20	16	26.007424993083156	47.427021302785086
6	32	20	16	27.123795697570134	55.017663352646494
6	34	10	8	13.524712832204916	24.717858439389552
6	35	10	8	14.01831641530968	25.187814649000345
6	37	10	8	14.607546812986113	28.979226609337978
6	38	20	16	29.963037212104187	61.86494087547517
6	39	5	4	8.151889327183113	18.109830137690885
6	40	5	4	8.684446528811112	18.976763225892935
6	41	10	8	15.8245835054198	32.17460758773573
6	42	20	16	31.722079336273616	65.65786662807618
6	43	10	8	14.973584321773165	29.45058040935377
6	44	15	12	23.91603331274422	48.1479113883194
6	47	15	12	23.192156399843796	46.9432172270076
6	49	10	8	13.759639360020069	25.728460981796623
6	50	5	4	8.57970417026036	18.91561883299644
6	51	10	8	15.496603234674287	32.00955601398958
6	53	5	4	7.565764675029324	15.78151124104452
6	54	5	4	7.410618061377692	15.424772108471167
6	55	5	4	7.965508196782827	16.53145070873178
6	56	10	8	16.72426477911588	36.10246448202815
6	62	10	8	17.059266645426945	38.41811127615391
6	63	5	4	9.164208461082726	21.613289617083467
6	64	5	4	9.477487430677536	22.70725358065711
6	66	5	4	9.221961789604759	21.416609890647162
6	68	5	4	9.151404888691928	21.27072303127134
6	70	10	8	16.47124984049523	35.357471855164434
6	75	5	4	9.399169588858204	23.02929402342153
6	76	5	4	9.21440133689876	21.28035053062154
6	77	5	4	8.777808223152114	19.952994065040496
6	83	10	8	18.666609405407875	44.26352461038249
6	84	5	4	8.675502518578869	19.311105109814065
6	86	5	4	10.178029842778276	26.09948813421181
6	89	5	4	9.099784979508186	21.26036954472067
6	90	5	4	9.522548297267306	23.07427841225345
6	91	5	4	9.73034598027843	24.16172587471851
6	93	15	12	29.015249992913432	71.69480345087335
6	97	10	8	19.808482922564167	49.60433290173664
6	98	5	4	10.403308880680832	27.224080692480126
6	99	5	4	10.433155690805222	27.514602255243577
6	101	5	4	9.720002520143646	24.281845310506572
6	103	5	4	9.782298782176111	25.487984852758217
6	104	5	4	8.997897696404372	20.391693269453015
6	127	10	8	20.24452894541848	51.80283288703787
6	145	5	4	10.008103354798324	25.486837380974883
6	146	5	4	10.103880526562046	25.86507326948132
6	149	5	4	10.23406544141034	26.745322098818043
6	152	5	4	11.304253196960458	32.089827301457156
6	156	10	8	21.980588571708353	60.80023017097918
6	164	15	12	31.91754048865413	85.56602765259923
6	173	5	4	10.918052343148377	29.871083910007115
6	181	5	4	10.74727986445676	29.345663849149204
6	219	5	4	11.80086539884683	35.17876476518653
6	222	5	4	11.6788026474933	34.288733909011896
6	225	5	4	11.377312371960796	32.708297097447385
6	226	5	4	11.735305171471401	34.90534732288121
6	236	5	4	11.391577122827055	32.82361761708912
6	240	5	4	12.131508650741273	36.870462637735756
6	248	5	4	11.952595975592319	36.06429209978685
6	250	190	152	453.2513453941042	1364.819558719844
7	0	818	0	0.0	0.0
7	1	109	15	14.08902778875054	14.633574583797092
7	2	89	20	16.353323846719363	15.943560869540221
7	3	64	24	18.92866672582562	19.308233427042282
7	4	64	28	18.49782449655867	17.179117511035766
7	5	52	32	22.407335559159424	25.394109853829658
7	6	42	23	13.074081665860428	10.459425491832805
7	7	18	11	12.702543583072327	16.482575963913444
7	8	29	22	12.711487154197874	11.83923450341185
7	9	17	13	6.633879990547999	4.670760552418146
7	10	13	11	7.636674915581061	7.771961928667322
7	11	21	19	11.482143488710049	9.571149907110373
7	12	7	7	4.950306130971159	5.115221321113907
