source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	3272	0	0.0	0.0
0	1	436	0	0.0	0.0
0	2	356	0	0.0	0.0
0	3	256	0	0.0	0.0
0	4	256	0	0.0	0.0
0	5	208	0	0.0	0.0
0	6	168	0	0.0	0.0
0	7	72	0	0.0	0.0
0	8	116	0	0.0	0.0
0	9	68	0	0.0	0.0
0	10	52	0	0.0	0.0
0	11	84	0	0.0	0.0
0	12	28	0	0.0	0.0
0	13	20	0	0.0	0.0
0	14	28	0	0.0	0.0
0	15	32	0	0.0	0.0
0	16	16	0	0.0	0.0
0	17	20	0	0.0	0.0
0	18	28	0	0.0	0.0
0	19	20	0	0.0	0.0
0	20	4	0	0.0	0.0
0	21	16	0	0.0	0.0
0	22	24	0	0.0	0.0
0	23	4	0	0.0	0.0
0	24	8	0	0.0	0.0
0	25	16	0	0.0	0.0
0	26	20	0	0.0	0.0
0	27	12	0	0.0	0.0
0	28	28	0	0.0	0.0
0	29	12	0	0.0	0.0
0	30	8	0	0.0	0.0
0	31	16	0	0.0	0.0
0	32	16	0	0.0	0.0
0	34	8	0	0.0	0.0
0	35	8	0	0.0	0.0
0	37	8	0	0.0	0.0
0	38	16	0	0.0	0.0
0	39	4	0	0.0	0.0
0	40	4	0	0.0	0.0
0	41	8	0	0.0	0.0
0	42	16	0	0.0	0.0
0	43	8	0	0.0	0.0
0	44	12	0	0.0	0.0
0	47	12	0	0.0	0.0
0	49	8	0	0.0	0.0
0	50	4	0	0.0	0.0
0	51	8	0	0.0	0.0
0	53	4	0	0.0	0.0
0	54	4	0	0.0	0.0
0	55	4	0	0.0	0.0
0	56	8	0	0.0	0.0
0	62	8	0	0.0	0.0
0	63	4	0	0.0	0.0
0	64	4	0	0.0	0.0
0	66	4	0	0.0	0.0
0	68	4	0	0.0	0.0
0	70	8	0	0.0	0.0
0	75	4	0	0.0	0.0
0	76	4	0	0.0	0.0
0	77	4	0	0.0	0.0
0	83	8	0	0.0	0.0
0	84	4	0	0.0	0.0
0	86	4	0	0.0	0.0
0	89	4	0	0.0	0.0
0	90	4	0	0.0	0.0
0	91	4	0	0.0	0.0
0	93	12	0	0.0	0.0
0	97	8	0	0.0	0.0
0	98	4	0	0.0	0.0
0	99	4	0	0.0	0.0
0	101	4	0	0.0	0.0
0	103	4	0	0.0	0.0
0	104	4	0	0.0	0.0
0	127	8	0	0.0	0.0
0	145	4	0	0.0	0.0
0	146	4	0	0.0	0.0
0	149	4	0	0.0	0.0
0	152	4	0	0.0	0.0
0	156	8	0	0.0	0.0
0	164	12	0	0.0	0.0
0	173	4	0	0.0	0.0
0	181	4	0	0.0	0.0
0	219	4	0	0.0	0.0
0	222	4	0	0.0	0.0
0	225	4	0	0.0	0.0
0	226	4	0	0.0	0.0
0	236	4	0	0.0	0.0
0	240	4	0	0.0	0.0
0	248	4	0	0.0	0.0
0	250	152	0	0.0	0.0
4	0	2454	0	0.0	0.0
4	1	327	181	67.95105879540608	39.04503243192046
4	2	267	174	74.91861776384017	46.776092633963145
4	3	192	136	77.15981712165853	68.02279235393772
4	4	192	133	77.35050405025692	57.575778583719874
4	5	156	114	74.13547959300615	61.46601635885362
4	6	126	91	62.72761117757653	51.24566290869543
4	7	54	41	36.370226588522385	37.971216288719894
4	8	87	60	49.062200539219866	45.657555005641896
4	9	51	39	28.86668297363317	24.17243042077826
4	10	39	28	24.970242994759584	25.46044348067731
4	11	63	44	42.83334132568195	47.33355482794677
4	12	21	15	15.016069471166162	16.276542276466557
4	13	15	11	9.55944592403379	8.979708418659902
4	14	21	16	14.98390209418945	16.326662985534988
4	15	24	17	16.950615095400636	18.478407226408635
4	16	12	9	9.44602566475849	11.235704015794514
4	17	15	11	11.213676241775229	12.287414514072589
4	18	21	15	14.924486268819393	16.494082411564534
4	19	15	12	13.03844309583982	16.13402417630905
4	20	3	3	2.751121582761151	2.882542164206804
4	21	12	10	10.7282532562016	13.424777648446408
4	22	18	17	17.241160037701032	21.123090827623717
4	23	3	2	2.6594285321490387	3.5415215626886347
4	24	6	5	7.509689315500092	11.699892549350455
4	25	12	12	13.234384413508625	15.86816851949943
4	26	15	15	13.70209528021354	16.330706322066177
4	27	9	8	9.751167143382537	13.573271457452195
4	28	21	20	21.278692033167385	27.034153162086017
4	29	9	8	8.194762174951844	10.270223225676611
4	30	6	5	5.384892243546	6.945613444003256
4	31	12	12	11.92290663282194	14.173674127157158
4	32	12	12	13.222418456145292	17.695498796561505
4	34	6	6	6.133994961376537	7.2259830237832015
4	35	6	6	6.742622652738426	8.790999679685243
4	37	6	5	5.612803464040332	7.5699106473781725
4	38	12	11	14.429969085362876	20.307754547192392
4	39	3	3	3.090803881900904	4.285684620665908
4	40	3	3	3.5306865358935147	5.146214425665672
4	41	6	6	6.668023078363268	8.967188920422124
4	42	12	12	14.758111018510887	22.600828651470323
4	43	6	5	7.386972621617106	11.287669861526759
4	44	9	8	10.405799359760774	16.139167132095373
4	47	9	7	9.943217737595122	14.975121200701686
4	49	6	5	5.7073738388803	7.937553413355468
4	50	3	2	3.2138133219631673	5.347128705302556
4	51	6	6	7.60926129387492	12.045261007035736
4	53	3	3	4.142484498441247	7.099000376759397
4	54	3	3	3.6146567476522176	5.525784370877114
4	55	3	3	3.4632169035774067	4.677714275207561
4	56	6	5	6.955126718802511	12.075894010455283
4	62	6	6	8.803439542138092	14.69038805746356
4	63	3	2	3.738100024751046	7.098502479194566
4	64	3	3	4.580960246982031	7.545849074257224
4	66	3	3	3.551952573625498	5.591751587053882
4	68	3	3	3.900307502697564	6.469822657404764
4	70	6	6	8.180485649417239	12.3093418374063
4	75	3	3	3.7405726869669964	5.698018698974692
4	76	3	3	4.603040399407435	7.774026188181682
4	77	3	3	5.209753214900234	9.407540194918557
4	83	6	6	8.784941225707788	15.096249416975027
4	84	3	3	4.870889433642644	8.367057001398488
4	86	3	3	5.395601213440379	10.400081851738218
4	89	3	3	3.97781797528169	7.649071563519367
4	90	3	3	4.396768745481179	7.470131886229509
4	91	3	3	4.516254988953229	7.717465327842756
4	93	9	9	12.63584113902749	21.393373581955455
4	97	6	6	11.082106370451841	21.98987947894147
4	98	3	3	4.948861347836808	9.753030759108958
4	99	3	3	5.196600283856846	9.6381423675975
4	101	3	3	5.0169786229514415	8.909093828197825
4	103	3	3	5.731953590974645	11.093787379347148
4	104	3	3	5.305242536541782	9.85175026323815
4	127	6	6	10.30627204717535	20.39076681472737
4	145	3	3	5.737394931569044	11.234157532777587
4	146	3	3	4.711560547736069	9.779439255552845
4	149	3	3	5.727924578684901	11.639311899483303
4	152	3	3	6.120186592776648	13.125256348096915
4	156	6	6	11.681383239499418	24.07091701751645
4	164	9	9	14.83354680474628	30.117994197887363
4	173	3	3	4.593840882212504	9.731977771401757
4	181	3	3	6.024919490744811	12.598368546290164
4	219	3	3	5.079277975556126	11.19454668560838
4	222	3	3	6.168668172630582	13.691203589072561
4	225	3	3	6.147193945073143	14.073833638639115
4	226	3	3	6.061028840086765	13.754869538779666
4	236	3	3	6.231863233461388	14.262031199497333
4	240	3	3	6.424003118025762	14.398396353239452
4	248	3	3	6.242042713824105	13.927493410807552
4	250	114	114	238.48295552845883	545.8478089587351
6	0	4090	0	0.0	0.0
6	1	545	340	168.4109277886591	140.66229702494633
6	2	445	386	206.67350082818717	161.55580088796142
6	3	320	297	173.74950601963005	152.29573093339528
6	4	320	311	205.96863742758939	179.67084118287158
6	5	260	253	160.30005289948605	134.93226572431917
6	6	210	208	161.9339908781613	150.69329464768245
6	7	90	90	84.09770653571802	102.65596922144994
6	8	145	145	129.32376088664643	137.81053612561487
6	9	85	85	73.40740194860335	76.11561717703837
6	10	65	65	60.35631085848232	64.88831319610621
6	11	105	105	104.07198873195962	122.32785755485189
6	12	35	35	36.38410463089047	42.32340478233801
6	13	25	25	24.727588489995405	27.751646044091864
6	14	35	35	36.731904334333464	47.29101004545662
6	15	40	40	43.67481454644141	54.13290567219547
6	16	20	20	26.078816414991827	37.98119147324918
6	17	25	25	27.523085085765473	33.95713371434737
6	18	35	35	40.62387988643532	50.40035755919404
6	19	25	25	34.720081647279315	51.77561187315827
6	20	5	5	6.039792758545074	7.829200922268284
6	21	20	20	29.743764901771517	45.834297577836516
6	22	30	30	40.09053213095374	57.65561583777314
6	23	5	5	7.8604486949164905	12.689853710747753
6	24	10	10	15.495135486420626	25.188016398350467
6	25	20	20	27.266804237974966	39.54658614241119
6	26	25	25	35.29161505917493	53.077649467876675
6	27	15	15	22.153563865268396	35.086021342090845
6	28	35	35	54.27782057295333	87.59082988310443
6	29	15	15	20.04047181980501	28.419677924589053
6	30	10	10	14.522588996567944	22.064142228005128
6	31	20	20	25.753151364717606	34.92674882636105
6	32	20	20	31.168023033724317	51.73148811211455
6	34	10	10	14.461702109738429	21.86164085882148
6	35	10	10	14.743779879999709	22.658650550106138
6	37	10	10	13.853041958869206	20.522436709683916
6	38	20	20	29.646463245280636	46.29081274711854
6	39	5	5	7.853582120093106	12.610048930199666
6	40	5	5	8.759018917285395	16.02371111281939
6	41	10	10	14.94117560155184	23.1417953084893
6	42	20	20	32.83256594594275	55.983169728221334
6	43	10	10	15.86794787840752	25.98586942162592
6	44	15	15	24.324436447158416	41.27148292237834
6	47	15	15	25.223859714963204	43.50961051754346
6	49	10	10	16.335820353676976	28.141743786766202
6	50	5	5	8.198517165694241	13.896665033436049
6	51	10	10	17.22889266817406	31.258006093508975
6	53	5	5	9.366939319015753	17.874497982581406
6	54	5	5	9.020394102470387	16.57117196686272
6	55	5	5	7.537739341714007	11.993657641647111
6	56	10	10	18.162611870245946	34.421329894514905
6	62	10	10	18.762377890190553	35.897242772760315
6	63	5	5	10.03123544369433	20.390859215519555
6	64	5	5	9.601602156635169	18.79952702020622
6	66	5	5	9.857358777607201	19.725988474341605
6	68	5	5	9.233296123270355	17.73105273172493
6	70	10	10	18.287845027323947	34.48867766924104
6	75	5	5	10.059340441723602	20.547357515140423
6	76	5	5	9.889728825975288	19.981704956226224
6	77	5	5	9.803100955522078	19.69878889668344
6	83	10	10	20.403250482146536	42.573401843420065
6	84	5	5	9.544951724149433	18.799965949200963
6	86	5	5	11.356476026665195	26.065064657101047
6	89	5	5	10.783123733503452	23.60474660380239
6	90	5	5	9.32919522724284	17.744673781417248
6	91	5	5	10.083811923845799	20.79889189634499
6	93	15	15	30.53766130322965	63.36989573682982
6	97	10	10	22.15581948262254	49.84615201378551
6	98	5	5	10.881009959405318	24.218552933456127
6	99	5	5	10.710199616356087	23.48725427884682
6	101	5	5	10.506203426783294	22.422430492491806
6	103	5	5	10.375832432596686	22.114167131281537
6	104	5	5	10.554294891856483	22.774685168423282
6	127	10	10	22.81261279778789	52.66963904855729
6	145	5	5	11.321022971317094	26.087426262983325
6	146	5	5	11.792337822840276	28.11348175356119
6	149	5	5	12.38145982663234	31.032341556949877
6	152	5	5	12.11078163427353	29.69964041386134
6	156	10	10	23.121183582237435	54.19790340728222
6	164	15	15	35.0168512252711	83.44396246638225
6	173	5	5	11.727955290037293	27.877200621642203
6	181	5	5	12.083516027810838	29.6303693012348
6	219	5	5	12.801753849137224	33.23823940985968
6	222	5	5	13.006234601332636	34.237769843123814
6	225	5	5	13.468821006914656	36.59916378691971
6	226	5	5	13.241465872184802	35.366395625028055
6	236	5	5	12.855404586272801	33.54473354344287
6	240	5	5	12.965275499106806	34.04412945419225
6	248	5	5	13.328484722196247	36.00921474810936
6	250	190	190	500.4245157770186	1334.293031702104
7	0	818	0	0.0	0.0
7	1	109	107	44.88547278116885	33.22866373894782
7	2	89	88	49.26522674098289	39.05166536586883
7	3	64	64	40.63798989158565	32.86730078133998
7	4	64	64	49.59073599158028	45.278914397218884
7	5	52	52	44.67212767018797	46.785498245764046
7	6	42	42	38.157638941520375	38.323899155244945
7	7	18	18	18.495941149890783	20.898026090260053
7	8	29	29	31.11039597545539	35.4000014583961
7	9	17	17	16.582216373339758	17.95244170818308
7	10	13	13	14.779470016296493	18.061142289802614
7	11	21	21	26.668847794415	38.051613172251756
7	12	7	7	8.265885849917538	10.184458807346187
7	13	5	5	6.210937388824309	7.815164280740529
7	14	7	7	8.156995834738007	10.007842617413647
