source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	1083900	0	0.0	0.0
0	1	56580	0	0.0	0.0
0	2	28680	0	0.0	0.0
0	3	15240	0	0.0	0.0
0	4	10020	0	0.0	0.0
0	5	7800	0	0.0	0.0
0	6	6780	0	0.0	0.0
0	7	5580	0	0.0	0.0
0	8	3900	0	0.0	0.0
0	9	3360	0	0.0	0.0
0	10	3180	0	0.0	0.0
0	11	2040	0	0.0	0.0
0	12	2280	0	0.0	0.0
0	13	1320	0	0.0	0.0
0	14	2340	0	0.0	0.0
0	15	1440	0	0.0	0.0
0	16	1860	0	0.0	0.0
0	17	1140	0	0.0	0.0
0	18	1680	0	0.0	0.0
0	19	600	0	0.0	0.0
0	20	1320	0	0.0	0.0
0	21	960	0	0.0	0.0
0	22	1020	0	0.0	0.0
0	23	600	0	0.0	0.0
0	24	540	0	0.0	0.0
0	25	780	0	0.0	0.0
0	26	720	0	0.0	0.0
0	27	600	0	0.0	0.0
0	28	600	0	0.0	0.0
0	29	360	0	0.0	0.0
0	30	540	0	0.0	0.0
0	31	660	0	0.0	0.0
0	32	240	0	0.0	0.0
0	33	360	0	0.0	0.0
0	34	540	0	0.0	0.0
0	35	240	0	0.0	0.0
0	36	420	0	0.0	0.0
0	37	240	0	0.0	0.0
0	38	420	0	0.0	0.0
0	39	360	0	0.0	0.0
0	40	420	0	0.0	0.0
0	41	480	0	0.0	0.0
0	42	180	0	0.0	0.0
0	43	180	0	0.0	0.0
0	44	300	0	0.0	0.0
0	45	120	0	0.0	0.0
0	46	60	0	0.0	0.0
0	47	60	0	0.0	0.0
0	48	120	0	0.0	0.0
0	49	120	0	0.0	0.0
0	50	60	0	0.0	0.0
0	51	120	0	0.0	0.0
0	53	120	0	0.0	0.0
0	54	360	0	0.0	0.0
0	56	120	0	0.0	0.0
0	57	360	0	0.0	0.0
0	58	60	0	0.0	0.0
0	59	60	0	0.0	0.0
0	61	120	0	0.0	0.0
0	62	180	0	0.0	0.0
0	63	180	0	0.0	0.0
0	64	120	0	0.0	0.0
0	65	120	0	0.0	0.0
0	66	180	0	0.0	0.0
0	70	60	0	0.0	0.0
0	72	60	0	0.0	0.0
0	73	120	0	0.0	0.0
0	76	60	0	0.0	0.0
0	77	60	0	0.0	0.0
0	79	60	0	0.0	0.0
0	80	60	0	0.0	0.0
0	81	120	0	0.0	0.0
0	83	60	0	0.0	0.0
0	84	120	0	0.0	0.0
0	85	60	0	0.0	0.0
0	88	60	0	0.0	0.0
0	94	60	0	0.0	0.0
0	95	60	0	0.0	0.0
0	116	60	0	0.0	0.0
0	117	60	0	0.0	0.0
0	127	60	0	0.0	0.0
0	164	60	0	0.0	0.0
1	0	252910	0	0.0	0.0
1	1	13202	49	346.43436735110913	2469.660244619452
1	2	6692	25	174.0251004662693	1225.256645420105
1	3	3556	21	139.11798901052762	932.5745223080582
1	4	2338	28	183.86623120262342	1226.6459144889443
1	5	1820	18	116.13912218300707	758.1153643811559
1	6	1582	21	129.39949631099483	803.8658869381438
1	7	1302	23	135.17536811559103	796.3763532049154
1	8	910	21	125.19076572459726	750.7189308154764
1	9	784	18	105.26665749381911	619.1862955077065
1	10	742	12	70.61261159351831	418.1161682417702
1	11	476	10	60.134139127770354	365.84725845531466
1	12	532	16	94.33297232805494	562.2562667448849
1	13	308	5	27.506342776269655	151.3202771211058
1	14	546	21	122.3629348391694	718.9800186617942
1	15	336	12	66.590631936963	371.37994142387026
1	16	434	16	89.50516127356299	503.446117039825
1	17	266	10	55.113276256744996	305.5646669004841
1	18	392	20	116.35578120017077	688.5263964986596
1	19	140	8	46.97477731010324	278.7064734562714
1	20	308	16	89.1753216922776	502.94161457089524
1	21	224	12	70.47318191249231	418.8263734568598
1	22	238	13	68.12460963994667	356.9989376135193
1	23	140	7	39.387888121547064	224.496884072919
1	24	126	6	34.02844927790316	195.6744288200025
1	25	182	10	56.02936444607829	318.16465733482175
1	26	168	12	70.60774000414024	420.53444844044225
1	27	140	10	52.96284845511856	281.59076479391956
1	28	140	7	38.87270131187252	217.9068176147853
1	29	84	1	5.085483492623825	25.86214235374942
1	30	126	11	60.7758678805035	340.20939954318493
1	31	154	10	52.1202620711041	273.4661800415266
1	32	56	5	25.243804937299316	127.45061174707229
1	33	84	4	20.094224825598335	100.94455359393243
1	34	126	9	46.6220843211342	243.3083720596266
1	35	56	10	55.59496353278212	315.44660869951707
1	36	98	11	57.772183021594444	306.7257954972333
1	37	56	6	32.31711613151115	179.13174528588405
1	38	98	10	53.51693163766215	292.9993776953246
1	39	84	8	42.44673195300952	228.26283466519732
1	40	98	7	37.420762403245895	202.9368055303823
1	41	112	13	69.58824926923016	379.5724496230907
1	42	42	3	14.748213813295141	72.50342412643226
1	43	42	7	41.264286713021804	247.81703983335714
1	44	70	6	32.18876081942487	175.39187413440547
1	45	28	1	4.891707722569482	23.928804443045905
1	46	14	1	4.880719522001725	23.82142305244875
1	47	14	2	9.698855528101541	47.03395644565346
1	48	28	2	9.703690979411206	47.08092473258653
1	49	28	2	12.521132341047023	78.38937755100686
1	50	14	2	11.074305235967646	62.33774702829787
1	51	28	5	25.71965515101662	133.1097656732074
1	53	28	5	28.624094028485707	166.82721903613765
