source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	1571655	0	0.0	0.0
0	1	82041	0	0.0	0.0
0	2	41586	0	0.0	0.0
0	3	22098	0	0.0	0.0
0	4	14529	0	0.0	0.0
0	5	11310	0	0.0	0.0
0	6	9831	0	0.0	0.0
0	7	8091	0	0.0	0.0
0	8	5655	0	0.0	0.0
0	9	4872	0	0.0	0.0
0	10	4611	0	0.0	0.0
0	11	2958	0	0.0	0.0
0	12	3306	0	0.0	0.0
0	13	1914	0	0.0	0.0
0	14	3393	0	0.0	0.0
0	15	2088	0	0.0	0.0
0	16	2697	0	0.0	0.0
0	17	1653	0	0.0	0.0
0	18	2436	0	0.0	0.0
0	19	870	0	0.0	0.0
0	20	1914	0	0.0	0.0
0	21	1392	0	0.0	0.0
0	22	1479	0	0.0	0.0
0	23	870	0	0.0	0.0
0	24	783	0	0.0	0.0
0	25	1131	0	0.0	0.0
0	26	1044	0	0.0	0.0
0	27	870	0	0.0	0.0
0	28	870	0	0.0	0.0
0	29	522	0	0.0	0.0
0	30	783	0	0.0	0.0
0	31	957	0	0.0	0.0
0	32	348	0	0.0	0.0
0	33	522	0	0.0	0.0
0	34	783	0	0.0	0.0
0	35	348	0	0.0	0.0
0	36	609	0	0.0	0.0
0	37	348	0	0.0	0.0
0	38	609	0	0.0	0.0
0	39	522	0	0.0	0.0
0	40	609	0	0.0	0.0
0	41	696	0	0.0	0.0
0	42	261	0	0.0	0.0
0	43	261	0	0.0	0.0
0	44	435	0	0.0	0.0
0	45	174	0	0.0	0.0
0	46	87	0	0.0	0.0
0	47	87	0	0.0	0.0
0	48	174	0	0.0	0.0
0	49	174	0	0.0	0.0
0	50	87	0	0.0	0.0
0	51	174	0	0.0	0.0
0	53	174	0	0.0	0.0
0	54	522	0	0.0	0.0
0	56	174	0	0.0	0.0
0	57	522	0	0.0	0.0
0	58	87	0	0.0	0.0
0	59	87	0	0.0	0.0
0	61	174	0	0.0	0.0
0	62	261	0	0.0	0.0
0	63	261	0	0.0	0.0
0	64	174	0	0.0	0.0
0	65	174	0	0.0	0.0
0	66	261	0	0.0	0.0
0	70	87	0	0.0	0.0
0	72	87	0	0.0	0.0
0	73	174	0	0.0	0.0
0	76	87	0	0.0	0.0
0	77	87	0	0.0	0.0
0	79	87	0	0.0	0.0
0	80	87	0	0.0	0.0
0	81	174	0	0.0	0.0
0	83	87	0	0.0	0.0
0	84	174	0	0.0	0.0
0	85	87	0	0.0	0.0
0	88	87	0	0.0	0.0
0	94	87	0	0.0	0.0
0	95	87	0	0.0	0.0
0	116	87	0	0.0	0.0
0	117	87	0	0.0	0.0
0	127	87	0	0.0	0.0
0	164	87	0	0.0	0.0
1	0	180650	0	0.0	0.0
1	1	9430	1	9.907772293772027	98.16395182523661
1	2	4780	1	9.561198705970721	91.41652069505619
1	3	2540	2	18.562781631442025	172.28843094830071
1	4	1670	1	9.1375497823869	83.49481602559888
1	5	1300	2	18.82217852835616	177.43382363342806
1	6	1130	2	18.716932312508614	175.40200409474227
1	7	930	1	9.627964401663316	92.69769851969606
1	8	650	4	35.318055487913654	311.8472014693503
1	9	560	2	18.311467213695455	167.89514225448383
1	10	530	1	8.756479769583013	76.67593795511658
1	11	340	2	18.110796524429972	164.24070186743728
1	12	380	1	9.358466154395307	87.58088876296249
1	13	220	1	9.318444801178206	86.83341351260513
1	14	390	0	0.0	0.0
1	15	240	1	9.652359483541476	93.16804359951307
1	16	310	1	9.214625120648083	84.9093161140787
1	17	190	2	16.9823313228052	144.19978857876532
1	18	280	1	8.385511124483667	70.31679681883934
1	19	100	2	16.716955033480616	139.72829279570647
1	20	220	1	8.409906204089715	70.72652236158669
1	21	160	2	16.693946917729043	139.34690214932021
1	22	170	0	0.0	0.0
1	23	100	0	0.0	0.0
