source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	64	0	0.0	0.0
0	1	64	0	0.0	0.0
0	2	88	0	0.0	0.0
0	3	112	0	0.0	0.0
0	4	88	0	0.0	0.0
0	5	72	0	0.0	0.0
0	6	72	0	0.0	0.0
0	7	56	0	0.0	0.0
0	8	72	0	0.0	0.0
0	9	56	0	0.0	0.0
0	10	32	0	0.0	0.0
0	11	40	0	0.0	0.0
0	12	24	0	0.0	0.0
0	13	40	0	0.0	0.0
0	14	24	0	0.0	0.0
0	15	48	0	0.0	0.0
0	16	40	0	0.0	0.0
0	17	16	0	0.0	0.0
0	18	16	0	0.0	0.0
0	19	16	0	0.0	0.0
0	20	16	0	0.0	0.0
0	22	8	0	0.0	0.0
0	23	8	0	0.0	0.0
0	25	8	0	0.0	0.0
0	28	8	0	0.0	0.0
0	33	8	0	0.0	0.0
1	0	64	0	0.0	0.0
1	1	64	1	5.743074261433009	32.9829019723343
1	2	88	1	5.39651094227595	29.12233035010406
1	3	112	0	0.0	0.0
1	4	88	1	5.049957893292405	25.50207472402627
1	5	72	1	4.938396387808858	24.387758883123574
1	6	72	0	0.0	0.0
1	7	56	0	0.0	0.0
1	8	72	0	0.0	0.0
1	9	56	0	0.0	0.0
1	10	32	0	0.0	0.0
1	11	40	0	0.0	0.0
1	12	24	0	0.0	0.0
1	13	40	0	0.0	0.0
1	14	24	0	0.0	0.0
1	15	48	1	4.3891929278114645	19.265014557550177
1	16	40	0	0.0	0.0
1	17	16	0	0.0	0.0
1	18	16	0	0.0	0.0
1	19	16	1	4.271039603659418	18.241779296027193
1	20	16	2	8.490806443790682	36.04689703295868
1	22	8	0	0.0	0.0
1	23	8	0	0.0	0.0
1	25	8	0	0.0	0.0
1	28	8	0	0.0	0.0
1	33	8	0	0.0	0.0
2	0	88	0	0.0	0.0
2	1	88	1	5.39651094227595	29.12233035010406
2	2	121	0	0.0	0.0
2	3	154	1	4.847245879269028	23.495792614090576
2	4	121	2	9.40685076361659	44.24442064447702
2	5	99	1	4.591874143650973	21.085308151130352
2	6	99	2	9.00146780297715	40.51321130401713
2	7	77	1	4.423679096544497	19.568936749204735
2	8	99	1	4.35693393393693	18.982873304691136
2	9	77	0	0.0	0.0
2	10	44	0	0.0	0.0
2	11	55	2	8.39553732380869	35.242523477732384
2	12	33	0	0.0	0.0
2	13	55	0	0.0	0.0
2	14	33	3	12.231747646935329	49.871883499435995
2	15	66	1	4.042773304757183	16.34401599365732
2	16	55	1	4.010524567780475	16.084307308770768
2	17	22	0	0.0	0.0
2	18	22	1	3.951674093346715	15.615728140027581
2	19	22	1	3.924661002514276	15.402963984656362
2	20	22	0	0.0	0.0
2	22	11	2	7.702841634500879	29.666884623100085
2	23	11	0	0.0	0.0
2	25	11	0	0.0	0.0
2	28	11	0	0.0	0.0
2	33	11	2	7.297827712177117	26.629144658310146
3	0	112	0	0.0	0.0
3	1	112	0	0.0	0.0
3	2	154	0	0.0	0.0
3	3	196	1	4.644544132888155	21.571790202345788
3	4	154	0	0.0	0.0
3	5	126	0	0.0	0.0
3	6	126	1	4.298062948548751	18.473345109687585
3	7	98	4	16.884073619696956	71.26798549883667
