source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	5220	0	0.0	0.0
0	1	1218	0	0.0	0.0
0	2	435	0	0.0	0.0
0	3	348	0	0.0	0.0
0	4	609	0	0.0	0.0
0	5	174	0	0.0	0.0
0	6	348	0	0.0	0.0
0	7	435	0	0.0	0.0
0	8	261	0	0.0	0.0
0	9	435	0	0.0	0.0
0	10	261	0	0.0	0.0
0	11	435	0	0.0	0.0
0	12	87	0	0.0	0.0
0	13	174	0	0.0	0.0
0	14	87	0	0.0	0.0
0	15	261	0	0.0	0.0
0	16	261	0	0.0	0.0
0	21	261	0	0.0	0.0
0	22	87	0	0.0	0.0
0	25	87	0	0.0	0.0
0	28	87	0	0.0	0.0
0	29	87	0	0.0	0.0
0	37	87	0	0.0	0.0
0	51	87	0	0.0	0.0
0	68	87	0	0.0	0.0
1	0	600	0	0.0	0.0
1	1	140	0	0.0	0.0
1	2	50	0	0.0	0.0
1	3	40	0	0.0	0.0
1	4	70	0	0.0	0.0
1	5	20	0	0.0	0.0
1	6	40	0	0.0	0.0
1	7	50	0	0.0	0.0
1	8	30	0	0.0	0.0
1	9	50	0	0.0	0.0
1	10	30	0	0.0	0.0
1	11	50	0	0.0	0.0
1	12	10	0	0.0	0.0
1	13	20	0	0.0	0.0
1	14	10	0	0.0	0.0
1	15	30	0	0.0	0.0
1	16	30	0	0.0	0.0
1	21	30	0	0.0	0.0
1	22	10	0	0.0	0.0
1	25	10	0	0.0	0.0
1	28	10	0	0.0	0.0
1	29	10	0	0.0	0.0
1	37	10	0	0.0	0.0
1	51	10	0	0.0	0.0
1	68	10	0	0.0	0.0
2	0	480	0	0.0	0.0
2	1	112	0	0.0	0.0
2	2	40	2	12.014589873164082	72.17518491016845
2	3	32	1	5.804565410105801	33.69297960019673
2	4	56	0	0.0	0.0
2	5	16	0	0.0	0.0
2	6	32	0	0.0	0.0
2	7	40	1	5.3809285899485895	28.954392490126114
2	8	24	0	0.0	0.0
2	9	40	2	10.510554861322705	55.23588174643717
2	10	24	0	0.0	0.0
2	11	40	1	5.154948137673514	26.573490302103625
2	12	8	0	0.0	0.0
2	13	16	0	0.0	0.0
2	14	8	0	0.0	0.0
2	15	24	1	4.999882782678147	24.99882784052137
2	16	24	1	4.967616549329768	24.67721418117499
2	21	24	2	10.559156411248413	56.1491448476079
2	22	8	0	0.0	0.0
2	25	8	0	0.0	0.0
2	28	8	2	10.82074869757567	58.60435291844938
2	29	8	0	0.0	0.0
2	37	8	1	4.548515519406528	20.688993430282036
2	51	8	1	5.283855123878333	27.919124970135318
2	68	8	1	4.793483382962522	22.977482942737826
3	0	180	0	0.0	0.0
3	1	42	0	0.0	0.0
3	2	15	0	0.0	0.0
3	3	12	1	6.497705778576932	42.22018038495205
3	4	21	0	0.0	0.0
