source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	3600	0	0.0	0.0
0	1	840	0	0.0	0.0
0	2	300	0	0.0	0.0
0	3	240	0	0.0	0.0
0	4	420	0	0.0	0.0
0	5	120	0	0.0	0.0
0	6	240	0	0.0	0.0
0	7	300	0	0.0	0.0
0	8	180	0	0.0	0.0
0	9	300	0	0.0	0.0
0	10	180	0	0.0	0.0
0	11	300	0	0.0	0.0
0	12	60	0	0.0	0.0
0	13	120	0	0.0	0.0
0	14	60	0	0.0	0.0
0	15	180	0	0.0	0.0
0	16	180	0	0.0	0.0
0	21	180	0	0.0	0.0
0	22	60	0	0.0	0.0
0	25	60	0	0.0	0.0
0	28	60	0	0.0	0.0
0	29	60	0	0.0	0.0
0	37	60	0	0.0	0.0
0	51	60	0	0.0	0.0
0	68	60	0	0.0	0.0
1	0	840	0	0.0	0.0
1	1	196	2	9.467962447294559	44.82115645168999
1	2	70	0	0.0	0.0
1	3	56	1	4.695506885642196	22.047784913113276
1	4	98	3	13.541848025780203	63.06383829074843
1	5	28	0	0.0	0.0
1	6	56	2	8.698033497483344	37.827893361671165
1	7	70	3	12.056150831489344	48.64843220143412
1	8	42	4	14.779203974586038	54.60621753060493
1	9	70	3	12.690368605711717	53.84879741047561
1	10	42	3	11.665792770289258	45.922507507325875
1	11	70	2	6.881346806949858	23.6764669387595
1	12	14	2	6.984753854228224	24.393393202078013
1	13	28	1	3.8085962391471537	14.505405312845843
1	14	14	0	0.0	0.0
1	15	42	0	0.0	0.0
1	16	42	4	15.686748434349719	61.690654834492996
1	21	42	7	24.283083947437163	84.69576002979478
1	22	14	2	7.200069371370617	26.430369184649514
1	25	14	3	11.313039059673528	42.77101035335388
1	28	14	0	0.0	0.0
1	29	14	1	2.9576473475654126	8.74767783256072
1	37	14	3	9.302884472830764	29.02061107410991
1	51	14	4	11.347830293423222	32.31111668329876
1	68	14	6	17.608877610726267	52.47454759695078
2	0	300	0	0.0	0.0
2	1	70	0	0.0	0.0
2	2	25	0	0.0	0.0
2	3	20	1	3.197840454270967	10.226183570971944
2	4	35	1	3.054554279594059	9.33030184698638
2	5	10	0	0.0	0.0
2	6	20	1	4.002610002574667	16.02088683271078
2	7	25	0	0.0	0.0
2	8	15	1	2.710190962094928	7.345135051021032
2	9	25	4	13.190102498698424	44.05056411934209
2	10	15	0	0.0	0.0
2	11	25	0	0.0	0.0
2	12	5	0	0.0	0.0
2	13	10	1	3.3292830227601864	11.084125445639204
2	14	5	1	3.2923275868074584	10.839420938853422
2	15	15	5	14.002053754992424	40.45684567418197
2	16	15	2	4.73598915282397	11.214796627833154
2	21	15	2	4.469469445497305	9.988078562116993
2	22	5	1	2.212013506220659	4.893003751702613
2	25	5	1	2.1497080307726146	4.621244617568273
2	28	5	1	2.0946472167464902	4.387546962623818
2	29	5	3	9.607052196580531	33.26453451691939
2	37	5	2	4.7687117666507035	11.730367057823537
2	51	5	2	4.741953203211604	11.879461957683892
2	68	5	2	4.463844945475824	10.590700230307112
3	0	240	0	0.0	0.0
3	1	56	1	4.695506885642196	22.047784913113276
3	2	20	1	3.197840454270967	10.226183570971944
3	3	16	0	0.0	0.0
3	4	28	4	13.814870905046254	49.07540872227564
3	5	8	1	4.296355033271433	18.458666571916776
3	6	16	1	3.80004420918301	14.440335991745327
3	7	20	2	5.996628075325911	18.008563070940916
3	8	12	3	8.37347962059591	23.51933641079949
3	9	20	3	7.958740631669979	21.174652185628556
3	10	12	3	8.582926280873004	24.593762743677047
3	11	20	3	9.130397497592723	27.92314902818767
3	12	4	2	6.469962619730324	21.708707674275423
3	13	8	3	10.582394543052345	38.883222634738104
3	14	4	1	2.5349003834626376	6.425719954079027
3	15	12	5	12.292935902058852	30.957449474084804
3	16	12	5	12.672435670664555	32.80590065234207
3	21	12	4	9.823012147988681	25.00347128515432
3	22	4	2	5.8223265509373485	18.555417841199734
3	25	4	3	7.2915350944572666	18.414611518869496
3	28	4	2	5.335122134159357	15.412218640466678
3	29	4	2	4.74343852131131	11.728707869922786
3	37	4	2	3.825987647715629	7.3617702027555065
3	51	4	2	4.198131140677053	9.27687734891931
3	68	4	2	4.988459552419005	14.477063942054485
4	0	420	0	0.0	0.0
4	1	98	3	13.541848025780205	63.063838290748436
4	2	35	1	3.054554279594059	9.33030184698638
4	3	28	4	13.814870905046252	49.07540872227564
4	4	49	8	25.509970861591235	81.35610936730454
4	5	14	1	4.152575797460429	17.243885753654116
4	6	28	6	17.28151153321445	50.00368517793943
4	7	35	5	14.752524483625423	44.068790019536095
4	8	21	8	23.284521659369638	68.71072173213125
4	9	35	13	36.43508566263746	104.53724323975695
4	10	21	11	31.626706150965834	91.55994132960583
4	11	35	11	29.79226278827547	81.16071054411036
4	12	7	2	4.747255406809273	11.28641845189064
4	13	14	2	5.784721389837057	16.832355300148308
4	14	7	2	5.464576084162131	15.491337968800622
4	15	21	11	30.207192156616998	85.8812821143557
4	16	21	6	15.233872354447529	41.51702775988058
4	21	21	11	28.24924950299743	76.5748116854811
