source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	279	0	0.0	0.0
0	1	3	0	0.0	0.0
0	2	3	0	0.0	0.0
0	4	6	0	0.0	0.0
0	5	3	0	0.0	0.0
0	9	3	0	0.0	0.0
0	10	3	0	0.0	0.0
0	24	3	0	0.0	0.0
0	27	3	0	0.0	0.0
0	43	3	0	0.0	0.0
0	50	3	0	0.0	0.0
0	63	3	0	0.0	0.0
0	74	3	0	0.0	0.0
0	77	3	0	0.0	0.0
0	163	3	0	0.0	0.0
0	190	3	0	0.0	0.0
0	235	3	0	0.0	0.0
0	250	81	0	0.0	0.0
1	0	465	0	0.0	0.0
1	1	5	0	0.0	0.0
1	2	5	0	0.0	0.0
1	4	10	0	0.0	0.0
1	5	5	0	0.0	0.0
1	9	5	0	0.0	0.0
1	10	5	0	0.0	0.0
1	24	5	0	0.0	0.0
1	27	5	0	0.0	0.0
1	43	5	0	0.0	0.0
1	50	5	0	0.0	0.0
1	63	5	0	0.0	0.0
1	74	5	0	0.0	0.0
1	77	5	0	0.0	0.0
1	163	5	0	0.0	0.0
1	190	5	0	0.0	0.0
1	235	5	0	0.0	0.0
1	250	135	1	4.022294509866726	16.17885312410401
2	0	93	0	0.0	0.0
2	1	1	0	0.0	0.0
2	2	1	0	0.0	0.0
2	4	2	0	0.0	0.0
2	5	1	0	0.0	0.0
2	9	1	0	0.0	0.0
2	10	1	0	0.0	0.0
2	24	1	0	0.0	0.0
2	27	1	0	0.0	0.0
2	43	1	0	0.0	0.0
2	50	1	0	0.0	0.0
2	63	1	0	0.0	0.0
2	74	1	0	0.0	0.0
2	77	1	0	0.0	0.0
2	163	1	0	0.0	0.0
2	190	1	0	0.0	0.0
2	235	1	0	0.0	0.0
2	250	27	4	11.005340964099362	30.27938243402087
3	0	279	0	0.0	0.0
3	1	3	0	0.0	0.0
3	2	3	0	0.0	0.0
3	4	6	0	0.0	0.0
3	5	3	0	0.0	0.0
3	9	3	0	0.0	0.0
3	10	3	0	0.0	0.0
3	24	3	0	0.0	0.0
3	27	3	0	0.0	0.0
3	43	3	0	0.0	0.0
3	50	3	0	0.0	0.0
3	63	3	0	0.0	0.0
3	74	3	0	0.0	0.0
3	77	3	0	0.0	0.0
3	163	3	0	0.0	0.0
3	190	3	0	0.0	0.0
3	235	3	0	0.0	0.0
3	250	81	5	19.16874292644855	74.41433657961102
4	0	372	0	0.0	0.0
4	1	4	0	0.0	0.0
4	2	4	0	0.0	0.0
4	4	8	0	0.0	0.0
4	5	4	0	0.0	0.0
4	9	4	0	0.0	0.0
4	10	4	1	4.220937762938831	17.816315598603065
4	24	4	0	0.0	0.0
4	27	4	0	0.0	0.0
4	43	4	0	0.0	0.0
4	50	4	0	0.0	0.0
4	63	4	0	0.0	0.0
4	74	4	1	4.049400082300055	16.397641026531694
4	77	4	0	0.0	0.0
4	163	4	0	0.0	0.0
4	190	4	0	0.0	0.0
4	235	4	0	0.0	0.0
4	250	108	9	25.36473024295903	73.43114815034815
5	0	93	0	0.0	0.0
5	1	1	0	0.0	0.0
5	2	1	0	0.0	0.0
5	4	2	0	0.0	0.0
5	5	1	0	0.0	0.0
5	9	1	0	0.0	0.0
5	10	1	0	0.0	0.0
5	24	1	0	0.0	0.0
5	27	1	0	0.0	0.0
5	43	1	0	0.0	0.0
5	50	1	0	0.0	0.0
5	63	1	0	0.0	0.0
5	74	1	0	0.0	0.0
5	77	1	0	0.0	0.0
5	163	1	0	0.0	0.0
5	190	1	0	0.0	0.0
5	235	1	1	2.703382449164369	7.3082766664499434
5	250	27	6	13.920316552743726	32.66901188691718
6	0	186	0	0.0	0.0
6	1	2	0	0.0	0.0
6	2	2	0	0.0	0.0
6	4	4	0	0.0	0.0
6	5	2	0	0.0	0.0
6	9	2	0	0.0	0.0
6	10	2	0	0.0	0.0
6	24	2	0	0.0	0.0
6	27	2	0	0.0	0.0
6	43	2	0	0.0	0.0
6	50	2	0	0.0	0.0
6	63	2	0	0.0	0.0
6	74	2	0	0.0	0.0
6	77	2	1	2.2486676366306195	5.056506140029936
6	163	2	1	2.561615843673384	6.561875730558502
6	190	2	0	0.0	0.0
6	235	2	0	0.0	0.0
6	250	54	8	17.312638536060277	42.83439529378091
7	0	186	0	0.0	0.0
7	1	2	0	0.0	0.0
7	2	2	0	0.0	0.0
7	4	4	0	0.0	0.0
7	5	2	0	0.0	0.0
7	9	2	0	0.0	0.0
7	10	2	0	0.0	0.0
7	24	2	0	0.0	0.0
7	27	2	0	0.0	0.0
7	43	2	0	0.0	0.0
7	50	2	0	0.0	0.0
7	63	2	0	0.0	0.0
7	74	2	0	0.0	0.0
7	77	2	0	0.0	0.0
7	163	2	1	4.067885781223744	16.54769472908231
7	190	2	0	0.0	0.0
7	235	2	1	2.266434917673445	5.136727236049436
7	250	54	11	27.397407814026423	70.75313913697734
8	0	93	0	0.0	0.0
8	1	1	0	0.0	0.0
8	2	1	0	0.0	0.0
8	4	2	0	0.0	0.0
8	5	1	0	0.0	0.0
8	9	1	0	0.0	0.0
8	10	1	0	0.0	0.0
8	24	1	0	0.0	0.0
8	27	1	0	0.0	0.0
8	43	1	0	0.0	0.0
8	50	1	0	0.0	0.0
8	63	1	0	0.0	0.0
8	74	1	0	0.0	0.0
8	77	1	0	0.0	0.0
8	163	1	0	0.0	0.0
8	190	1	0	0.0	0.0
8	235	1	0	0.0	0.0
8	250	27	4	11.10699779827042	33.708228323384276
9	0	279	0	0.0	0.0
9	1	3	0	0.0	0.0
9	2	3	0	0.0	0.0
9	4	6	0	0.0	0.0
9	5	3	0	0.0	0.0
9	9	3	0	0.0	0.0
9	10	3	0	0.0	0.0
9	24	3	0	0.0	0.0
9	27	3	0	0.0	0.0
9	43	3	0	0.0	0.0
9	50	3	0	0.0	0.0
9	63	3	0	0.0	0.0
9	74	3	0	0.0	0.0
9	77	3	0	0.0	0.0
9	163	3	0	0.0	0.0
9	190	3	0	0.0	0.0
9	235	3	0	0.0	0.0
9	250	81	10	28.378176328455204	86.5279816902464
12	0	279	0	0.0	0.0
12	1	3	0	0.0	0.0
12	2	3	0	0.0	0.0
12	4	6	0	0.0	0.0
12	5	3	0	0.0	0.0
12	9	3	0	0.0	0.0
12	10	3	0	0.0	0.0
12	24	3	0	0.0	0.0
12	27	3	0	0.0	0.0
12	43	3	0	0.0	0.0
12	50	3	0	0.0	0.0
12	63	3	0	0.0	0.0
12	74	3	0	0.0	0.0
12	77	3	0	0.0	0.0
12	163	3	0	0.0	0.0
12	190	3	0	0.0	0.0
12	235	3	0	0.0	0.0
12	250	81	15	38.67828899853901	109.43061312534334
13	0	279	0	0.0	0.0
13	1	3	0	0.0	0.0
13	2	3	0	0.0	0.0
13	4	6	0	0.0	0.0
13	5	3	0	0.0	0.0
13	9	3	0	0.0	0.0
13	10	3	2	7.2641900191717035	26.384228317316897
13	24	3	0	0.0	0.0
13	27	3	0	0.0	0.0
13	43	3	0	0.0	0.0
13	50	3	0	0.0	0.0
13	63	3	0	0.0	0.0
13	74	3	0	0.0	0.0
13	77	3	0	0.0	0.0
13	163	3	0	0.0	0.0
13	190	3	1	1.8986634152773934	3.6049227645128155
13	235	3	1	2.683950688653445	7.203591299123302
13	250	81	17	33.51736525058812	71.07932171316189
14	0	186	0	0.0	0.0
14	1	2	0	0.0	0.0
14	2	2	0	0.0	0.0
14	4	4	0	0.0	0.0
14	5	2	0	0.0	0.0
14	9	2	0	0.0	0.0
14	10	2	0	0.0	0.0
14	24	2	0	0.0	0.0
14	27	2	0	0.0	0.0
14	43	2	0	0.0	0.0
14	50	2	0	0.0	0.0
14	63	2	0	0.0	0.0
14	74	2	0	0.0	0.0
14	77	2	0	0.0	0.0
14	163	2	0	0.0	0.0
14	190	2	0	0.0	0.0
14	235	2	1	2.1965167463120046	4.824685816829075
14	250	54	22	45.987743544480054	101.04061582268699
15	0	93	0	0.0	0.0
15	1	1	0	0.0	0.0
15	2	1	0	0.0	0.0
15	4	2	0	0.0	0.0
15	5	1	0	0.0	0.0
15	9	1	0	0.0	0.0
15	10	1	0	0.0	0.0
15	24	1	0	0.0	0.0
15	27	1	0	0.0	0.0
15	43	1	0	0.0	0.0
15	50	1	0	0.0	0.0
15	63	1	0	0.0	0.0
15	74	1	0	0.0	0.0
15	77	1	0	0.0	0.0
15	163	1	0	0.0	0.0
15	190	1	0	0.0	0.0
15	235	1	1	2.0481593838471435	4.194956861641111
15	250	27	11	23.931010461728572	56.72405971732736
16	0	372	0	0.0	0.0
16	1	4	0	0.0	0.0
16	2	4	0	0.0	0.0
16	4	8	0	0.0	0.0
16	5	4	0	0.0	0.0
16	9	4	0	0.0	0.0
16	10	4	0	0.0	0.0
16	24	4	0	0.0	0.0
16	27	4	0	0.0	0.0
16	43	4	0	0.0	0.0
16	50	4	0	0.0	0.0
16	63	4	0	0.0	0.0
16	74	4	1	3.5007010074655627	12.254907543670406
16	77	4	0	0.0	0.0
16	163	4	1	1.4127741315576923	1.9959307467985916
16	190	4	3	7.464225867699803	19.288135994060077
16	235	4	3	6.81502650964341	17.733873717631507
16	250	108	47	114.4309707817336	300.63517159456563
17	0	186	0	0.0	0.0
17	1	2	0	0.0	0.0
17	2	2	0	0.0	0.0
17	4	4	0	0.0	0.0
17	5	2	0	0.0	0.0
17	9	2	0	0.0	0.0
17	10	2	0	0.0	0.0
17	24	2	0	0.0	0.0
17	27	2	0	0.0	0.0
17	43	2	0	0.0	0.0
17	50	2	0	0.0	0.0
17	63	2	0	0.0	0.0
17	74	2	0	0.0	0.0
17	77	2	0	0.0	0.0
17	163	2	0	0.0	0.0
17	190	2	0	0.0	0.0
17	235	2	0	0.0	0.0
17	250	54	10	27.161265685816346	75.27502134509801
18	0	186	0	0.0	0.0
18	1	2	0	0.0	0.0
18	2	2	0	0.0	0.0
18	4	4	0	0.0	0.0
18	5	2	0	0.0	0.0
18	9	2	0	0.0	0.0
18	10	2	0	0.0	0.0
18	24	2	0	0.0	0.0
18	27	2	0	0.0	0.0
18	43	2	0	0.0	0.0
18	50	2	0	0.0	0.0
18	63	2	1	2.41262446908821	5.820756828843168
18	74	2	0	0.0	0.0
18	77	2	0	0.0	0.0
18	163	2	0	0.0	0.0
18	190	2	0	0.0	0.0
18	235	2	1	1.9122541337346484	3.6567158719852504
18	250	54	23	53.75446451477665	134.00778062631682
19	0	186	0	0.0	0.0
19	1	2	0	0.0	0.0
19	2	2	0	0.0	0.0
19	4	4	1	3.9772216514945677	15.818292065117177
19	5	2	0	0.0	0.0
19	9	2	0	0.0	0.0
19	10	2	0	0.0	0.0
19	24	2	0	0.0	0.0
19	27	2	0	0.0	0.0
19	43	2	0	0.0	0.0
19	50	2	1	3.121417505307209	9.743247242438281
19	63	2	0	0.0	0.0
19	74	2	0	0.0	0.0
19	77	2	1	3.2516532593015657	10.573248918726495
19	163	2	0	0.0	0.0
19	190	2	0	0.0	0.0
19	235	2	1	1.886405269860138	3.5585248421560998
19	250	54	26	63.393636731998036	162.0464118392542
21	0	93	0	0.0	0.0
21	1	1	0	0.0	0.0
21	2	1	0	0.0	0.0
21	4	2	0	0.0	0.0
21	5	1	0	0.0	0.0
21	9	1	0	0.0	0.0
21	10	1	0	0.0	0.0
21	24	1	0	0.0	0.0
21	27	1	0	0.0	0.0
21	43	1	0	0.0	0.0
21	50	1	0	0.0	0.0
21	63	1	0	0.0	0.0
21	74	1	0	0.0	0.0
21	77	1	0	0.0	0.0
21	163	1	0	0.0	0.0
21	190	1	0	0.0	0.0
21	235	1	0	0.0	0.0
21	250	27	13	32.08718906920787	84.25844984892245
23	0	279	0	0.0	0.0
23	1	3	0	0.0	0.0
23	2	3	0	0.0	0.0
23	4	6	0	0.0	0.0
23	5	3	0	0.0	0.0
23	9	3	0	0.0	0.0
23	10	3	0	0.0	0.0
23	24	3	0	0.0	0.0
23	27	3	1	3.5678350522979088	12.729446960405621
23	43	3	1	2.6221066060163607	6.875443053314638
23	50	3	1	2.103058870534445	4.422856612933614
23	63	3	0	0.0	0.0
23	74	3	0	0.0	0.0
23	77	3	0	0.0	0.0
23	163	3	0	0.0	0.0
23	190	3	2	5.904235622674085	17.826345664217627
23	235	3	1	1.2055316297932759	1.453306510432032
23	250	81	32	71.03986633287226	172.61560202590059
24	0	186	0	0.0	0.0
24	1	2	0	0.0	0.0
24	2	2	0	0.0	0.0
24	4	4	0	0.0	0.0
24	5	2	0	0.0	0.0
24	9	2	0	0.0	0.0
24	10	2	0	0.0	0.0
24	24	2	0	0.0	0.0
24	27	2	0	0.0	0.0
24	43	2	0	0.0	0.0
24	50	2	0	0.0	0.0
24	63	2	0	0.0	0.0
24	74	2	0	0.0	0.0
24	77	2	0	0.0	0.0
24	163	2	0	0.0	0.0
24	190	2	0	0.0	0.0
24	235	2	1	2.7476784902935694	7.549737086021948
24	250	54	20	47.42954667960323	124.08741195742232
26	0	186	0	0.0	0.0
26	1	2	0	0.0	0.0
26	2	2	0	0.0	0.0
26	4	4	0	0.0	0.0
26	5	2	0	0.0	0.0
26	9	2	0	0.0	0.0
26	10	2	0	0.0	0.0
26	24	2	0	0.0	0.0
26	27	2	1	3.9642431443605073	15.715223707609281
26	43	2	0	0.0	0.0
26	50	2	0	0.0	0.0
26	63	2	0	0.0	0.0
26	74	2	1	3.8068360023754053	14.492000348981557
26	77	2	0	0.0	0.0
26	163	2	0	0.0	0.0
26	190	2	2	4.220101567799472	9.480725740617585
26	235	2	0	0.0	0.0
26	250	54	24	54.092146641633214	135.9269332368359
27	0	186	0	0.0	0.0
27	1	2	0	0.0	0.0
27	2	2	0	0.0	0.0
27	4	4	0	0.0	0.0
27	5	2	0	0.0	0.0
27	9	2	0	0.0	0.0
27	10	2	0	0.0	0.0
27	24	2	0	0.0	0.0
27	27	2	0	0.0	0.0
27	43	2	0	0.0	0.0
27	50	2	0	0.0	0.0
27	63	2	0	0.0	0.0
27	74	2	0	0.0	0.0
27	77	2	0	0.0	0.0
27	163	2	1	1.1876437402958868	1.410497653864004
27	190	2	1	1.5560608548269024	2.4213253839246303
27	235	2	2	4.866021090409938	12.855739975070529
27	250	54	21	49.35327335716009	127.7994790705796
28	0	93	0	0.0	0.0
28	1	1	0	0.0	0.0
28	2	1	0	0.0	0.0
28	4	2	0	0.0	0.0
28	5	1	0	0.0	0.0
28	9	1	0	0.0	0.0
28	10	1	0	0.0	0.0
28	24	1	0	0.0	0.0
28	27	1	0	0.0	0.0
28	43	1	0	0.0	0.0
28	50	1	0	0.0	0.0
28	63	1	0	0.0	0.0
28	74	1	0	0.0	0.0
28	77	1	0	0.0	0.0
28	163	1	0	0.0	0.0
28	190	1	0	0.0	0.0
28	235	1	0	0.0	0.0
28	250	27	9	23.68163778570454	64.99886685329362
33	0	186	0	0.0	0.0
33	1	2	0	0.0	0.0
33	2	2	0	0.0	0.0
33	4	4	0	0.0	0.0
33	5	2	0	0.0	0.0
33	9	2	0	0.0	0.0
33	10	2	0	0.0	0.0
33	24	2	0	0.0	0.0
33	27	2	0	0.0	0.0
33	43	2	0	0.0	0.0
33	50	2	0	0.0	0.0
33	63	2	0	0.0	0.0
33	74	2	0	0.0	0.0
33	77	2	0	0.0	0.0
33	163	2	2	4.011452441696284	9.665870875063327
33	190	2	0	0.0	0.0
33	235	2	2	5.47082024354542	15.843932464976163
33	250	54	31	67.44193816534123	163.09474996323522
34	0	186	0	0.0	0.0
34	1	2	0	0.0	0.0
34	2	2	0	0.0	0.0
34	4	4	0	0.0	0.0
34	5	2	0	0.0	0.0
34	9	2	0	0.0	0.0
34	10	2	1	3.1525177650136693	9.938368258726781
34	24	2	0	0.0	0.0
34	27	2	0	0.0	0.0
34	43	2	1	2.429175074005294	5.900891540168627
34	50	2	0	0.0	0.0
34	63	2	0	0.0	0.0
34	74	2	2	5.7618231049786015	16.619594315547047
34	77	2	1	2.1439089087115395	4.596345408852704
34	163	2	0	0.0	0.0
34	190	2	0	0.0	0.0
34	235	2	2	5.033042371214208	13.171185041212933
34	250	54	31	65.43440947801295	155.04219243437936
36	0	93	0	0.0	0.0
36	1	1	0	0.0	0.0
36	2	1	0	0.0	0.0
36	4	2	0	0.0	0.0
36	5	1	0	0.0	0.0
36	9	1	0	0.0	0.0
36	10	1	0	0.0	0.0
36	24	1	0	0.0	0.0
36	27	1	0	0.0	0.0
36	43	1	0	0.0	0.0
36	50	1	0	0.0	0.0
36	63	1	0	0.0	0.0
36	74	1	0	0.0	0.0
36	77	1	1	2.1161257459731218	4.477988172770301
36	163	1	1	2.3618310120785386	5.578245729615934
36	190	1	0	0.0	0.0
36	235	1	1	2.603701252927914	6.7792602144983904
36	250	27	22	43.003521472077765	97.12393301604094
38	0	186	0	0.0	0.0
38	1	2	0	0.0	0.0
38	2	2	0	0.0	0.0
38	4	4	0	0.0	0.0
38	5	2	0	0.0	0.0
38	9	2	0	0.0	0.0
38	10	2	0	0.0	0.0
38	24	2	0	0.0	0.0
38	27	2	0	0.0	0.0
38	43	2	2	6.197375341372814	20.45117742672144
38	50	2	0	0.0	0.0
38	63	2	1	3.3517164534871693	11.234003184576608
38	74	2	0	0.0	0.0
38	77	2	0	0.0	0.0
38	163	2	1	2.67718734992669	7.167332106607493
38	190	2	1	1.402122304820538	1.9659469576752577
38	235	2	0	0.0	0.0
38	250	54	24	47.05181595430977	107.78845111479448
40	0	93	0	0.0	0.0
40	1	1	0	0.0	0.0
40	2	1	0	0.0	0.0
40	4	2	0	0.0	0.0
40	5	1	0	0.0	0.0
40	9	1	0	0.0	0.0
40	10	1	0	0.0	0.0
40	24	1	0	0.0	0.0
40	27	1	0	0.0	0.0
40	43	1	0	0.0	0.0
40	50	1	0	0.0	0.0
40	63	1	0	0.0	0.0
40	74	1	0	0.0	0.0
40	77	1	0	0.0	0.0
40	163	1	1	2.8528670033284524	8.138850138680263
40	190	1	1	1.899658384999456	3.608701979698741
40	235	1	1	2.1314911372285636	4.543254468083916
40	250	27	15	37.070143234739255	96.1199797985316
41	0	93	0	0.0	0.0
41	1	1	0	0.0	0.0
41	2	1	0	0.0	0.0
41	4	2	0	0.0	0.0
41	5	1	0	0.0	0.0
41	9	1	0	0.0	0.0
41	10	1	0	0.0	0.0
41	24	1	0	0.0	0.0
41	27	1	0	0.0	0.0
41	43	1	0	0.0	0.0
41	50	1	0	0.0	0.0
41	63	1	0	0.0	0.0
41	74	1	0	0.0	0.0
41	77	1	1	3.6565842559785513	13.370608421070216
41	163	1	1	2.0492076262033945	4.199251895290151
41	190	1	0	0.0	0.0
41	235	1	0	0.0	0.0
41	250	27	23	51.59184312756488	122.14592170089371
42	0	279	0	0.0	0.0
42	1	3	0	0.0	0.0
42	2	3	0	0.0	0.0
42	4	6	0	0.0	0.0
42	5	3	0	0.0	0.0
42	9	3	0	0.0	0.0
42	10	3	0	0.0	0.0
42	24	3	0	0.0	0.0
42	27	3	0	0.0	0.0
42	43	3	1	2.259911940179985	5.107201977368065
42	50	3	0	0.0	0.0
42	63	3	0	0.0	0.0
42	74	3	1	3.2215747485691075	10.378543860618109
42	77	3	2	3.739710247278333	7.562477761227716
42	163	3	0	0.0	0.0
42	190	3	1	1.8763563304409854	3.52071307878596
42	235	3	3	7.481451134564267	18.97412818318565
42	250	81	51	112.2641633571281	279.52278393121156
44	0	186	0	0.0	0.0
44	1	2	0	0.0	0.0
44	2	2	0	0.0	0.0
44	4	4	0	0.0	0.0
44	5	2	0	0.0	0.0
44	9	2	0	0.0	0.0
44	10	2	0	0.0	0.0
44	24	2	0	0.0	0.0
44	27	2	0	0.0	0.0
44	43	2	0	0.0	0.0
44	50	2	1	1.7918599945716647	3.2107622401463662
44	63	2	1	1.9770218669293498	3.9086154623168117
44	74	2	0	0.0	0.0
44	77	2	0	0.0	0.0
44	163	2	1	3.3354735766725616	11.125383980680851
44	190	2	0	0.0	0.0
44	235	2	1	2.6242313270268	6.886590057748839
44	250	54	44	94.9686051817103	224.82559455001635
46	0	93	0	0.0	0.0
46	1	1	0	0.0	0.0
46	2	1	0	0.0	0.0
46	4	2	0	0.0	0.0
46	5	1	0	0.0	0.0
46	9	1	0	0.0	0.0
46	10	1	0	0.0	0.0
46	24	1	0	0.0	0.0
46	27	1	0	0.0	0.0
46	43	1	0	0.0	0.0
46	50	1	0	0.0	0.0
46	63	1	1	3.054454284697269	9.329690977305505
46	74	1	1	2.831401428503026	8.016834049328976
46	77	1	0	0.0	0.0
46	163	1	1	0.9765872254130429	0.9537226088399454
46	190	1	1	1.3184114135799725	1.7382086554579412
46	235	1	0	0.0	0.0
46	250	27	12	27.72221482051287	69.95739554610729
48	0	93	0	0.0	0.0
48	1	1	0	0.0	0.0
48	2	1	0	0.0	0.0
48	4	2	0	0.0	0.0
48	5	1	0	0.0	0.0
48	9	1	0	0.0	0.0
48	10	1	0	0.0	0.0
48	24	1	0	0.0	0.0
48	27	1	0	0.0	0.0
48	43	1	0	0.0	0.0
48	50	1	0	0.0	0.0
48	63	1	0	0.0	0.0
48	74	1	1	2.127782277251055	4.527457419383685
48	77	1	0	0.0	0.0
48	163	1	1	3.5113044368048976	12.32925884792576
48	190	1	1	2.485958330473493	6.179988820850557
48	235	1	1	0.9175498178697543	0.8418976682728193
48	250	27	16	29.13179899917921	58.914789313919634
49	0	186	0	0.0	0.0
49	1	2	0	0.0	0.0
49	2	2	0	0.0	0.0
49	4	4	0	0.0	0.0
49	5	2	0	0.0	0.0
49	9	2	0	0.0	0.0
49	10	2	0	0.0	0.0
49	24	2	0	0.0	0.0
49	27	2	0	0.0	0.0
49	43	2	0	0.0	0.0
49	50	2	1	2.540442636931526	6.453848791539604
49	63	2	0	0.0	0.0
49	74	2	2	6.08772048945937	18.550533560295314
49	77	2	1	2.2385874133097543	5.011273607028857
49	163	2	1	2.16293656632799	4.678294589958716
49	190	2	1	2.7844222502161746	7.753007267498905
49	235	2	2	5.4605295795769075	15.088440144826409
49	250	54	39	90.87075918681069	226.083027234606
52	0	93	0	0.0	0.0
52	1	1	0	0.0	0.0
52	2	1	0	0.0	0.0
52	4	2	0	0.0	0.0
52	5	1	0	0.0	0.0
52	9	1	0	0.0	0.0
52	10	1	0	0.0	0.0
52	24	1	0	0.0	0.0
52	27	1	1	3.415656626277475	11.666710188633223
52	43	1	0	0.0	0.0
52	50	1	0	0.0	0.0
52	63	1	0	0.0	0.0
52	74	1	0	0.0	0.0
52	77	1	0	0.0	0.0
52	163	1	1	1.934724263563808	3.7431579760225193
52	190	1	0	0.0	0.0
52	235	1	1	1.4646984932100051	2.1453416760116593
52	250	27	19	45.298711369687226	114.58838752001745
54	0	186	0	0.0	0.0
54	1	2	1	5.246385163353136	27.524557282251916
54	2	2	0	0.0	0.0
54	4	4	0	0.0	0.0
54	5	2	1	4.46603758704501	19.945491728898816
54	9	2	1	3.9453868339907303	15.566077269827398
54	10	2	1	2.922277077498376	8.53970331767245
54	24	2	0	0.0	0.0
54	27	2	0	0.0	0.0
54	43	2	0	0.0	0.0
54	50	2	1	3.6376122388183063	13.23222280000073
54	63	2	1	3.522236251238548	12.40614820953898
54	74	2	1	3.0963711854404985	9.587514518026198
54	77	2	2	2.4569016406561	3.0181828359293177
54	163	2	1	2.3618310120785386	5.578245729615934
54	190	2	2	3.1656367197065878	5.232604088120252
54	235	2	2	5.219505918143945	13.63666614949948
54	250	54	37	74.19577529842134	166.28150585184557
55	0	186	0	0.0	0.0
55	1	2	0	0.0	0.0
55	2	2	0	0.0	0.0
55	4	4	0	0.0	0.0
55	5	2	0	0.0	0.0
55	9	2	0	0.0	0.0
55	10	2	1	2.8468100490091786	8.104327455139641
55	24	2	0	0.0	0.0
55	27	2	0	0.0	0.0
55	43	2	0	0.0	0.0
55	50	2	1	2.0974118755064244	4.399136575515377
55	63	2	1	3.1673906025976115	10.03236322942366
55	74	2	0	0.0	0.0
55	77	2	1	2.283732497984486	5.215434122350461
55	163	2	1	1.5821749309408675	2.5032775120977386
55	190	2	1	1.7485445760956155	3.0574081345933957
55	235	2	1	2.529355419106359	6.397638836162706
55	250	54	39	91.21338565507787	235.919683381381
58	0	186	0	0.0	0.0
58	1	2	0	0.0	0.0
58	2	2	0	0.0	0.0
58	4	4	0	0.0	0.0
58	5	2	0	0.0	0.0
58	9	2	0	0.0	0.0
58	10	2	0	0.0	0.0
58	24	2	0	0.0	0.0
58	27	2	0	0.0	0.0
58	43	2	0	0.0	0.0
58	50	2	2	5.763860370459372	16.670335560726606
58	63	2	0	0.0	0.0
58	74	2	0	0.0	0.0
58	77	2	0	0.0	0.0
58	163	2	0	0.0	0.0
58	190	2	1	2.7008081965432824	7.294364914515378
58	235	2	2	5.737354160233169	17.782794274939544
58	250	54	34	75.1056879785428	186.33372344274204
59	0	93	0	0.0	0.0
59	1	1	0	0.0	0.0
59	2	1	0	0.0	0.0
59	4	2	0	0.0	0.0
59	5	1	0	0.0	0.0
59	9	1	0	0.0	0.0
59	10	1	0	0.0	0.0
59	24	1	0	0.0	0.0
59	27	1	0	0.0	0.0
59	43	1	0	0.0	0.0
59	50	1	0	0.0	0.0
59	63	1	1	2.7877366550712677	7.77147565802794
59	74	1	1	2.256358443226683	5.09115342432034
59	77	1	1	3.377916355553	11.41031890511246
59	163	1	0	0.0	0.0
59	190	1	1	1.3989845489012924	1.9571577680645527
59	235	1	1	0.8446454601504751	0.7134259533528079
59	250	27	17	44.7097112007328	126.81144251337417
62	0	93	0	0.0	0.0
62	1	1	0	0.0	0.0
62	2	1	0	0.0	0.0
62	4	2	0	0.0	0.0
