source_degree	target_degree	n	nnz	sum	sum_of_squares
0	1	10560	0	0.0	0.0
0	2	3360	0	0.0	0.0
0	3	1800	0	0.0	0.0
0	4	1080	0	0.0	0.0
0	5	600	0	0.0	0.0
0	6	840	0	0.0	0.0
0	7	660	0	0.0	0.0
0	8	360	0	0.0	0.0
0	9	360	0	0.0	0.0
0	10	180	0	0.0	0.0
0	11	120	0	0.0	0.0
0	12	120	0	0.0	0.0
0	13	60	0	0.0	0.0
0	14	180	0	0.0	0.0
0	16	60	0	0.0	0.0
0	18	120	0	0.0	0.0
0	19	60	0	0.0	0.0
0	20	60	0	0.0	0.0
0	22	120	0	0.0	0.0
1	1	2464	2	12.85258255341331	82.64036373412478
1	2	784	3	19.79236607215239	131.0206332512211
1	3	420	1	6.231252765786214	38.82851103111834
1	4	252	2	10.796443254705654	58.44260200251141
1	5	140	0	0.0	0.0
1	6	196	1	6.231252765786214	38.82851103111834
1	7	154	1	5.807608994245576	33.72832223004211
1	8	84	0	0.0	0.0
1	9	84	1	5.479227608691838	30.02193518785088
1	10	42	0	0.0	0.0
1	11	28	0	0.0	0.0
1	12	28	0	0.0	0.0
1	13	14	0	0.0	0.0
1	14	42	1	5.258320904568224	27.649938735419187
1	16	14	1	4.805000238827986	23.088027295137007
1	18	28	0	0.0	0.0
1	19	14	0	0.0	0.0
1	20	14	0	0.0	0.0
1	22	28	1	4.262277292708588	18.167007719939253
2	1	880	2	13.561113306366178	92.19212222010276
2	2	280	1	6.780556330763849	45.97594415466171
2	3	150	1	5.681954359401667	32.28460534232361
2	4	90	0	0.0	0.0
2	5	50	0	0.0	0.0
2	6	70	0	0.0	0.0
2	7	55	0	0.0	0.0
2	8	30	0	0.0	0.0
2	9	30	1	5.681954359401667	32.28460534232361
2	10	15	0	0.0	0.0
2	11	10	0	0.0	0.0
2	12	10	0	0.0	0.0
2	13	5	0	0.0	0.0
2	14	15	0	0.0	0.0
2	16	5	2	9.852775006432559	48.976436900649276
2	18	10	0	0.0	0.0
2	19	5	0	0.0	0.0
2	20	5	0	0.0	0.0
2	22	10	0	0.0	0.0
3	1	704	5	28.355390352328676	162.20343940652498
3	2	224	1	6.231252765786214	38.82851103111834
3	3	120	0	0.0	0.0
3	4	72	0	0.0	0.0
3	5	40	1	5.773113203328107	33.32883605844131
3	6	56	1	5.479227608691838	30.02193518785088
3	7	44	1	5.402155170412448	29.18328048521395
3	8	24	0	0.0	0.0
3	9	24	2	10.755731368156537	57.86342711149598
3	10	12	0	0.0	0.0
3	11	8	0	0.0	0.0
3	12	8	0	0.0	0.0
3	13	4	0	0.0	0.0
3	14	12	0	0.0	0.0
3	16	4	0	0.0	0.0
