source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	16	0	0.0	0.0
0	4	12	0	0.0	0.0
0	6	20	0	0.0	0.0
0	7	4	0	0.0	0.0
0	8	24	0	0.0	0.0
0	9	16	0	0.0	0.0
0	11	12	0	0.0	0.0
0	12	20	0	0.0	0.0
0	13	4	0	0.0	0.0
0	14	24	0	0.0	0.0
0	15	12	0	0.0	0.0
0	16	24	0	0.0	0.0
0	17	16	0	0.0	0.0
0	18	16	0	0.0	0.0
0	19	4	0	0.0	0.0
0	20	16	0	0.0	0.0
0	21	20	0	0.0	0.0
0	22	20	0	0.0	0.0
0	23	20	0	0.0	0.0
0	24	24	0	0.0	0.0
0	25	8	0	0.0	0.0
0	26	8	0	0.0	0.0
0	27	16	0	0.0	0.0
0	28	16	0	0.0	0.0
0	29	20	0	0.0	0.0
0	31	4	0	0.0	0.0
0	32	4	0	0.0	0.0
0	33	4	0	0.0	0.0
0	34	8	0	0.0	0.0
0	35	4	0	0.0	0.0
0	36	12	0	0.0	0.0
0	37	4	0	0.0	0.0
0	38	12	0	0.0	0.0
0	39	16	0	0.0	0.0
0	40	4	0	0.0	0.0
0	41	4	0	0.0	0.0
0	42	4	0	0.0	0.0
0	43	4	0	0.0	0.0
0	44	8	0	0.0	0.0
0	48	4	0	0.0	0.0
0	49	12	0	0.0	0.0
0	52	4	0	0.0	0.0
0	55	4	0	0.0	0.0
0	57	4	0	0.0	0.0
0	58	4	0	0.0	0.0
0	59	4	0	0.0	0.0
0	63	4	0	0.0	0.0
0	66	4	0	0.0	0.0
0	76	4	0	0.0	0.0
0	89	4	0	0.0	0.0
0	91	4	0	0.0	0.0
0	101	4	0	0.0	0.0
0	128	4	0	0.0	0.0
4	0	12	0	0.0	0.0
4	4	9	0	0.0	0.0
4	6	15	0	0.0	0.0
4	7	3	0	0.0	0.0
4	8	18	1	1.4020330365964566	1.9656966357078811
4	9	12	1	1.3502071970791674	1.8230594750443816
4	11	9	3	4.328231155589878	6.339483265778975
4	12	15	3	5.685953933425892	12.131152060649743
4	13	3	1	1.8167313898217807	3.300512942763779
4	14	18	4	5.173559859662541	6.804538533247316
4	15	9	2	2.883550962585688	4.346352775019293
4	16	18	1	1.1083577637857882	1.2284569325442332
4	17	12	0	0.0	0.0
4	18	12	2	2.8506375580658556	4.327733805812365
4	19	3	0	0.0	0.0
4	20	12	1	1.6149271675516437	2.6079897564963748
4	21	15	3	5.2377579915485555	9.55280762170856
4	22	15	1	1.3704487721570302	1.8781298371067117
4	23	15	3	3.711693025152429	4.883640982218402
4	24	18	7	7.772615618200131	8.872293557013009
4	25	6	0	0.0	0.0
4	26	6	2	2.639716339161074	3.545383887526425
4	27	12	3	4.921714987073127	9.209041256519273
4	28	12	2	2.5320314886956203	3.20559172987308
4	29	15	4	4.095250771777884	4.430265664347088
4	31	3	0	0.0	0.0
4	32	3	2	2.3706296091900647	3.0365409990908314
