source_degree	target_degree	n	nnz	sum	sum_of_squares
0	1	528	0	0.0	0.0
0	2	168	0	0.0	0.0
0	3	90	0	0.0	0.0
0	4	54	0	0.0	0.0
0	5	30	0	0.0	0.0
0	6	42	0	0.0	0.0
0	7	33	0	0.0	0.0
0	8	18	0	0.0	0.0
0	9	18	0	0.0	0.0
0	10	9	0	0.0	0.0
0	11	6	0	0.0	0.0
0	12	6	0	0.0	0.0
0	13	3	0	0.0	0.0
0	14	9	0	0.0	0.0
0	16	3	0	0.0	0.0
0	18	6	0	0.0	0.0
0	19	3	0	0.0	0.0
0	20	3	0	0.0	0.0
0	22	6	0	0.0	0.0
1	1	880	0	0.0	0.0
1	2	280	0	0.0	0.0
1	3	150	0	0.0	0.0
1	4	90	0	0.0	0.0
1	5	50	0	0.0	0.0
1	6	70	0	0.0	0.0
1	7	55	0	0.0	0.0
1	8	30	0	0.0	0.0
1	9	30	0	0.0	0.0
1	10	15	0	0.0	0.0
1	11	10	0	0.0	0.0
1	12	10	0	0.0	0.0
1	13	5	0	0.0	0.0
1	14	15	0	0.0	0.0
1	16	5	0	0.0	0.0
1	18	10	0	0.0	0.0
1	19	5	0	0.0	0.0
1	20	5	0	0.0	0.0
1	22	10	0	0.0	0.0
2	1	176	1	3.506770993732646	12.29744280248465
2	2	56	0	0.0	0.0
2	3	30	0	0.0	0.0
2	4	18	0	0.0	0.0
2	5	10	1	2.7056280455500223	7.320423120866834
2	6	14	0	0.0	0.0
2	7	11	0	0.0	0.0
2	8	6	0	0.0	0.0
2	9	6	0	0.0	0.0
2	10	3	0	0.0	0.0
2	11	2	0	0.0	0.0
2	12	2	0	0.0	0.0
2	13	1	0	0.0	0.0
2	14	3	1	2.539165683512529	6.447362368327648
2	16	1	0	0.0	0.0
2	18	2	0	0.0	0.0
2	19	1	0	0.0	0.0
2	20	1	0	0.0	0.0
2	22	2	0	0.0	0.0
3	1	528	3	6.405335234175482	13.981336845404043
3	2	168	3	6.489799936930578	14.092461792030873
3	3	90	6	16.761550803159455	52.07602387343291
3	4	54	1	2.918159139045356	8.515652760793932
3	5	30	0	0.0	0.0
3	6	42	0	0.0	0.0
3	7	33	0	0.0	0.0
3	8	18	0	0.0	0.0
3	9	18	3	5.553218640709922	11.523375479678922
3	10	9	1	1.4821975612665945	2.1969096106246404
3	11	6	0	0.0	0.0
3	12	6	0	0.0	0.0
3	13	3	0	0.0	0.0
3	14	9	1	2.9964262551233642	8.97857030239263
3	16	3	0	0.0	0.0
3	18	6	1	0.7154388784983524	0.5118527888669803
3	19	3	1	1.247143672154942	1.5553673389961136
3	20	3	0	0.0	0.0
3	22	6	1	1.421925488926401	2.0218720960585848
4	1	704	12	36.239290583271625	118.8005594395603
4	2	224	8	18.9986374221583	47.269339980537
4	3	120	8	19.626159965641662	49.81688162367497
4	4	72	2	8.124990366517757	33.708449009162265
4	5	40	5	10.223395452694326	23.33528588543861
4	6	56	1	1.0692587858076248	1.143314351026796
4	7	44	5	10.19237878014172	24.598658315441753
4	8	24	0	0.0	0.0
