source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	7569	0	0.0	0.0
0	1	870	0	0.0	0.0
0	2	696	0	0.0	0.0
0	3	261	0	0.0	0.0
0	4	261	0	0.0	0.0
0	5	348	0	0.0	0.0
0	6	174	0	0.0	0.0
0	7	174	0	0.0	0.0
0	8	87	0	0.0	0.0
0	9	174	0	0.0	0.0
0	10	261	0	0.0	0.0
0	14	174	0	0.0	0.0
0	15	174	0	0.0	0.0
0	16	87	0	0.0	0.0
0	18	87	0	0.0	0.0
0	20	87	0	0.0	0.0
0	22	87	0	0.0	0.0
0	24	87	0	0.0	0.0
0	25	87	0	0.0	0.0
0	28	87	0	0.0	0.0
0	30	87	0	0.0	0.0
1	0	870	0	0.0	0.0
1	1	100	0	0.0	0.0
1	2	80	0	0.0	0.0
1	3	30	0	0.0	0.0
1	4	30	1	5.028814914271778	25.28897944200227
1	5	40	1	4.917253852359083	24.179385448540245
1	6	20	0	0.0	0.0
1	7	20	1	6.001733253347022	36.02080204433143
1	8	10	1	5.529512070507822	30.575503737891705
1	9	20	1	5.470622520696123	29.927710763947605
1	10	30	1	5.130277464728265	26.319746865098676
1	14	20	0	0.0	0.0
1	15	20	0	0.0	0.0
1	16	10	2	9.924198114902685	50.02936446021573
1	18	10	0	0.0	0.0
1	20	10	0	0.0	0.0
1	22	10	3	13.936463592686744	65.1127796848188
1	24	10	2	9.518825671451456	46.08843289077204
1	25	10	3	14.437843642069279	70.30068370864134
1	28	10	1	4.615530723268624	21.30312385743659
1	30	10	0	0.0	0.0
2	0	696	0	0.0	0.0
2	1	80	0	0.0	0.0
2	2	64	2	12.563077046397852	78.9154524368643
2	3	24	0	0.0	0.0
2	4	24	1	5.018714435217306	25.187494582258562
2	5	32	1	5.823398405472806	33.911968988863215
2	6	16	1	5.732239376461119	32.85856826905136
2	7	16	1	4.556651447668145	20.7630724155362
2	8	8	0	0.0	0.0
2	9	16	1	4.43102571147756	19.633988855775222
2	10	24	0	0.0	0.0
2	14	16	3	14.093488957897378	66.76837909865199
2	15	16	2	9.737354888391462	47.408040111240545
2	16	8	0	0.0	0.0
2	18	8	0	0.0	0.0
2	20	8	1	5.130277464728266	26.319746865098686
2	22	8	0	0.0	0.0
2	24	8	1	3.940847074905528	15.530275667791457
2	25	8	2	8.02310501201749	32.20170569260821
2	28	8	0	0.0	0.0
2	30	8	1	3.8293696484714617	14.664071904634445
3	0	261	0	0.0	0.0
3	1	30	0	0.0	0.0
3	2	24	0	0.0	0.0
3	3	9	0	0.0	0.0
3	4	9	0	0.0	0.0
3	5	12	2	10.430453076994063	54.562677005692585
3	6	6	1	4.8364121191371465	23.390882186136665
3	7	6	0	0.0	0.0
3	8	3	1	3.8820027350260764	15.069945234749937
3	9	6	2	7.646328568824556	29.23317029121129
3	10	9	2	9.855151037717416	48.80217294116318
3	14	6	2	8.302978055988515	35.072471399194384
3	15	6	1	5.2255305578380025	27.306169610898746
3	16	3	0	0.0	0.0
3	18	3	1	5.1343755627380405	26.36181241924157
3	20	3	2	9.529750529351272	45.46100678561662
3	22	3	1	4.186938498907557	17.530453993634264
3	24	3	1	3.3335446544685166	11.112519963335622
3	25	3	2	8.246106559426229	33.99913669470614
3	28	3	1	3.2566809940340784	10.605971096902794
3	30	3	0	0.0	0.0
4	0	261	0	0.0	0.0
4	1	30	1	5.028814914271778	25.28897944200227
4	2	24	1	5.018714435217306	25.187494582258562
4	3	9	0	0.0	0.0
4	4	9	0	0.0	0.0
4	5	12	2	8.784901994722322	38.64382301589214
4	6	6	1	4.692592071514331	22.020420349639156
4	7	6	1	4.392442258439022	19.293548993720897
4	8	3	0	0.0	0.0
4	9	6	0	0.0	0.0
4	10	9	1	5.130277464728266	26.319746865098686
4	14	6	3	13.05409861700013	57.36257539590297
4	15	6	1	4.5221628816907975	20.449957128542017
4	16	3	1	3.643162769193312	13.272634962836282
4	18	3	1	3.9204518043700483	15.369942350388367
4	20	3	1	4.0908014992836135	16.73465690654106
4	22	3	1	3.4841924441279617	12.13959698771838
4	24	3	1	4.943873332014114	24.44188352300034
4	25	3	2	7.987248523291239	32.555232527084556
4	28	3	1	4.210188017211476	17.7256831402711
4	30	3	1	4.917462119991045	24.181433701546823
5	0	348	0	0.0	0.0
5	1	40	1	4.917253852359083	24.179385448540245
5	2	32	1	5.823398405472806	33.911968988863215
5	3	12	2	10.430453076994063	54.562677005692585
5	4	12	2	8.784901994722322	38.64382301589214
5	5	16	0	0.0	0.0
5	6	8	0	0.0	0.0
5	7	8	1	4.280908731930278	18.326179571116903
5	8	4	1	3.6268728507456247	13.154206675475695
5	9	8	3	12.20752971717909	51.18124252578099
5	10	12	1	4.32569841932033	18.711666814910398
5	14	8	3	11.950234249757976	48.25044338113858
5	15	8	2	8.246106559426229	33.99913669470614
5	16	4	2	7.622563541739478	29.208000031073073
5	18	4	2	8.533834388995807	36.832580744375306
5	20	4	1	3.1697863310339205	10.047545384409483
5	22	4	1	3.37285565737925	11.376155285515214
5	24	4	2	6.4084344833441085	20.56538612119118
5	25	4	2	7.176914324475369	25.910131468237957
5	28	4	3	11.317440975409905	43.824667883361045
5	30	4	2	7.33063466246886	26.8939330996992
6	0	174	0	0.0	0.0
6	1	20	0	0.0	0.0
6	2	16	1	5.732239376461119	32.85856826905136
6	3	6	1	4.8364121191371465	23.390882186136665
6	4	6	1	4.692592071514331	22.020420349639156
6	5	8	0	0.0	0.0
6	6	4	0	0.0	0.0
6	7	4	1	4.189786198293733	17.554308387412654
6	8	2	0	0.0	0.0
6	9	4	0	0.0	0.0
6	10	6	0	0.0	0.0
6	14	4	2	7.686883968984887	29.544092576318423
6	15	4	1	4.724856085056237	22.32426502449295
6	16	2	1	4.692592071514331	22.020420349639156
6	18	2	0	0.0	0.0
6	20	2	1	4.581041283138892	20.985939237822823
6	22	2	1	3.6177113740995868	13.08783558628952
6	24	2	1	4.48990149070236	20.159215396211277
6	25	2	1	4.469495739725924	19.976392167428187
6	28	2	0	0.0	0.0
6	30	2	1	4.3783611915090335	19.170046723312403
7	0	174	0	0.0	0.0
7	1	20	1	6.001733253347022	36.02080204433143
7	2	16	1	4.556651447668145	20.7630724155362
7	3	6	0	0.0	0.0
7	4	6	1	4.392442258439022	19.293548993720897
7	5	8	1	4.280908731930278	18.326179571116903
7	6	4	1	4.189786198293733	17.554308387412654
7	7	4	0	0.0	0.0
7	8	2	0	0.0	0.0
7	9	4	2	7.792166501726189	30.37552238668465
7	10	6	2	8.379633536975259	35.23947553154896
7	14	4	2	7.532886136704519	28.37218677427757
7	15	4	0	0.0	0.0
7	16	2	0	0.0	0.0
7	18	2	2	8.602640808889369	37.04771226588608
7	20	2	1	3.5883347626697675	12.876146368984296
7	22	2	2	8.507836044846117	37.20883714771118
7	24	2	1	3.315407883875144	10.991929436461461
7	25	2	1	3.295051771636972	10.857366177767949
7	28	2	1	3.643162769193312	13.272634962836282
7	30	2	2	8.833689008268356	39.1145800851876
8	0	87	0	0.0	0.0
8	1	10	1	5.529512070507822	30.575503737891705
8	2	8	0	0.0	0.0
8	3	3	1	3.8820027350260764	15.069945234749937
8	4	3	0	0.0	0.0
8	5	4	1	3.6268728507456247	13.154206675475695
8	6	2	0	0.0	0.0
8	7	2	0	0.0	0.0
8	8	1	0	0.0	0.0
8	9	2	2	8.498430513909835	37.788565904392506
8	10	3	2	8.469162690792647	35.90470362985346
8	14	2	1	4.290198137012819	18.405800054828262
8	15	2	1	3.8882087533606913	15.118167309710701
8	16	1	0	0.0	0.0
8	18	1	0	0.0	0.0
8	20	1	1	2.935840013741388	8.619156586285031
8	22	1	1	3.6969082601838785	13.667130684215792
8	24	1	1	4.020833942060997	16.167105589629777
8	25	1	0	0.0	0.0
8	28	1	1	4.151324033652413	17.233491232380143
8	30	1	0	0.0	0.0
9	0	174	0	0.0	0.0
9	1	20	1	5.470622520696123	29.927710763947605
9	2	16	1	4.43102571147756	19.633988855775222
9	3	6	2	7.646328568824556	29.23317029121129
9	4	6	0	0.0	0.0
9	5	8	3	12.20752971717909	51.18124252578099
9	6	4	0	0.0	0.0
9	7	4	2	7.792166501726189	30.37552238668465
9	8	2	2	8.498430513909835	37.788565904392506
9	9	4	2	6.549623817677972	21.448786076547286
9	10	6	2	7.840923242924328	30.764895710887167
9	14	4	3	9.973211162475764	33.59145886781051
9	15	4	0	0.0	0.0
9	16	2	0	0.0	0.0
9	18	2	0	0.0	0.0
9	20	2	2	7.370939211696733	28.471649986063426
9	22	2	2	7.968815405491784	31.99087644495858
9	24	2	2	7.51572367374996	30.129090473388175
9	25	2	1	3.169786331033921	10.047545384409485
