source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	1413600	0	0.0	0.0
0	1	402969	0	0.0	0.0
0	2	99045	0	0.0	0.0
0	3	23808	0	0.0	0.0
0	4	6510	0	0.0	0.0
0	5	1302	0	0.0	0.0
0	6	651	0	0.0	0.0
1	0	15200	0	0.0	0.0
1	1	4333	1	9.44994099770904	89.30138486018214
1	2	1065	0	0.0	0.0
1	3	256	0	0.0	0.0
1	4	70	0	0.0	0.0
1	5	14	0	0.0	0.0
1	6	7	0	0.0	0.0
2	0	15200	0	0.0	0.0
2	1	4333	2	18.20673482724369	165.74259653478416
2	2	1065	0	0.0	0.0
2	3	256	0	0.0	0.0
2	4	70	0	0.0	0.0
2	5	14	0	0.0	0.0
2	6	7	0	0.0	0.0
3	0	30400	0	0.0	0.0
3	1	8666	5	44.5031743288027	396.10650506796077
3	2	2130	0	0.0	0.0
3	3	512	0	0.0	0.0
3	4	140	1	8.207487740935594	67.36285501760807
3	5	28	0	0.0	0.0
3	6	14	0	0.0	0.0
8	0	30400	0	0.0	0.0
8	1	8666	8	67.28176216174855	565.8544399487623
8	2	2130	5	40.31823364740406	325.111992889333
8	3	512	2	15.72182844993788	123.58794490463805
8	4	140	1	7.717073238285251	59.55321936505841
8	5	28	0	0.0	0.0
8	6	14	0	0.0	0.0
16	0	15200	0	0.0	0.0
16	1	4333	8	64.5091738358465	520.1791886229328
16	2	1065	6	46.302439429711505	357.31931619035043
16	3	256	1	7.514340783315551	56.46531740779937
16	4	70	0	0.0	0.0
16	5	14	0	0.0	0.0
16	6	7	1	7.167767490288549	51.3768907948374
31	0	15200	0	0.0	0.0
31	1	4333	19	146.92600404374556	1136.1710875927758
31	2	1065	7	51.70461928062032	381.90966499341357
31	3	256	5	35.91820910433768	258.0235490525852
31	4	70	0	0.0	0.0
31	5	14	0	0.0	0.0
31	6	7	0	0.0	0.0
37	0	15200	0	0.0	0.0
37	1	4333	24	183.467574343845	1402.5146181505952
37	2	1065	7	51.085362322256294	372.8163205137432
37	3	256	4	28.380706313031194	201.36612270663215
37	4	70	2	13.902671542328322	96.64213800693288
37	5	14	0	0.0	0.0
37	6	7	0	0.0	0.0
45	0	15200	0	0.0	0.0
45	1	4333	28	211.30508070856848	1594.63704047338
45	2	1065	12	86.40044056440874	622.0863441436607
45	3	256	3	20.991913314963284	146.88680820764426
45	4	70	1	6.853463680769421	46.96996442362554
45	5	14	1	6.7418921837863	45.4531102177988
45	6	7	0	0.0	0.0
51	0	15200	0	0.0	0.0
51	1	4333	30	224.52085472956958	1680.3204736165494
51	2	1065	15	107.061828248054	764.1490045210543
51	3	256	2	13.869445956627612	96.180765571907
51	4	70	4	27.163529031674287	184.46432736365296
51	5	14	0	0.0	0.0
51	6	7	0	0.0	0.0
54	0	15200	0	0.0	0.0
54	1	4333	30	223.66347907931987	1667.511729128845
54	2	1065	15	106.63314070160337	758.0417797258626
54	3	256	5	34.53071913564338	238.4741128049375
54	4	70	2	13.524606250623298	91.45748711719939
54	5	14	1	6.650731684063073	44.23223193340044
54	6	7	1	6.559571240074289	43.02797485360975
73	0	15200	0	0.0	0.0
73	1	4333	46	336.0167392586711	2454.5054143919515
73	2	1065	22	153.07904886574357	1065.1452364382144
73	3	256	1	6.755406482823742	45.63551674817704
73	4	70	2	13.223131797337071	87.42560726487336
73	5	14	2	12.999989150163003	84.4998589521779
73	6	7	0	0.0	0.0
108	0	15200	0	0.0	0.0
108	1	4333	64	454.9680669935077	3234.311593497014
108	2	1065	27	182.58218438341453	1234.6760760821917
108	3	256	12	78.71485488089147	516.335698243317
108	4	70	4	25.662923490655118	164.64641052180457
108	5	14	1	6.304159765820713	39.74243035299266
108	6	7	0	0.0	0.0
132	0	15200	0	0.0	0.0
132	1	4333	71	497.60640018448726	3487.4947817544235
132	2	1065	40	266.4787229933047	1775.27274520356
132	3	256	15	96.88854507330424	625.8260110947806
132	4	70	4	25.26158447773655	159.53691258145508
132	5	14	1	6.203825161214773	38.487446630921504
132	6	7	1	6.112665200253531	37.36467585039054
143	0	15200	0	0.0	0.0
143	1	4333	82	571.4186040801014	3981.9417205957525
143	2	1065	35	231.76814000326976	1534.7563063021498
143	3	256	16	102.70744301989822	659.3011782303525
143	4	70	9	56.47837534269156	354.42298681666097
143	5	14	1	6.163804147976472	37.99248157461196
143	6	7	0	0.0	0.0
160	0	15200	0	0.0	0.0
160	1	4333	93	642.8490219510463	4443.600699176526
160	2	1065	51	334.8549062404327	2198.584475162529
160	3	256	12	76.35661094502859	485.86100291753826
160	4	70	4	24.876843466776304	154.7143352176227
160	5	14	0	0.0	0.0
160	6	7	0	0.0	0.0
248	0	15200	0	0.0	0.0
248	1	4333	151	1010.6774512901341	6764.694771829942
248	2	1065	60	380.7993659854667	2416.802618915557
248	3	256	24	147.45420195588173	905.9475697685813
248	4	70	8	48.00068464842785	288.00821583972714
248	5	14	4	23.5540613646944	138.69845169294737
248	6	7	1	5.797356098546772	33.60933773335745
250	0	395200	0	0.0	0.0
250	1	112658	3671	24556.097548529302	164260.94437834024
250	2	27690	1828	11594.345990707096	73538.7631029681
250	3	6656	666	4089.179415846528	25107.189632106536
250	4	1820	238	1427.0645516495863	8556.778296532919
250	5	364	59	347.18545971782794	2043.012600669144
250	6	182	38	220.14692330635793	1275.3859958225116
