source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	16	0	0.0	0.0
0	1	4	0	0.0	0.0
0	3	12	0	0.0	0.0
0	4	8	0	0.0	0.0
0	5	16	0	0.0	0.0
0	6	8	0	0.0	0.0
0	7	32	0	0.0	0.0
0	8	24	0	0.0	0.0
0	10	4	0	0.0	0.0
0	11	8	0	0.0	0.0
0	12	20	0	0.0	0.0
0	13	16	0	0.0	0.0
0	14	8	0	0.0	0.0
0	15	12	0	0.0	0.0
0	16	4	0	0.0	0.0
0	17	20	0	0.0	0.0
0	18	20	0	0.0	0.0
0	19	20	0	0.0	0.0
0	20	8	0	0.0	0.0
0	21	16	0	0.0	0.0
0	22	12	0	0.0	0.0
0	23	12	0	0.0	0.0
0	24	28	0	0.0	0.0
0	25	36	0	0.0	0.0
0	26	20	0	0.0	0.0
0	27	8	0	0.0	0.0
0	28	4	0	0.0	0.0
0	29	4	0	0.0	0.0
0	30	4	0	0.0	0.0
0	31	8	0	0.0	0.0
0	32	8	0	0.0	0.0
0	33	8	0	0.0	0.0
0	34	16	0	0.0	0.0
0	35	8	0	0.0	0.0
0	38	8	0	0.0	0.0
0	40	8	0	0.0	0.0
0	42	4	0	0.0	0.0
0	43	8	0	0.0	0.0
0	44	4	0	0.0	0.0
0	45	4	0	0.0	0.0
0	50	4	0	0.0	0.0
0	51	4	0	0.0	0.0
0	52	4	0	0.0	0.0
0	53	4	0	0.0	0.0
0	55	4	0	0.0	0.0
0	59	4	0	0.0	0.0
0	61	4	0	0.0	0.0
0	63	4	0	0.0	0.0
0	64	4	0	0.0	0.0
0	65	4	0	0.0	0.0
0	72	4	0	0.0	0.0
0	78	4	0	0.0	0.0
0	79	4	0	0.0	0.0
0	88	4	0	0.0	0.0
0	116	4	0	0.0	0.0
1	0	4	0	0.0	0.0
1	1	1	0	0.0	0.0
1	3	3	0	0.0	0.0
1	4	2	0	0.0	0.0
1	5	4	0	0.0	0.0
1	6	2	0	0.0	0.0
1	7	8	0	0.0	0.0
1	8	6	0	0.0	0.0
1	10	1	0	0.0	0.0
1	11	2	0	0.0	0.0
1	12	5	0	0.0	0.0
1	13	4	1	2.2050119467175153	4.862077685166967
1	14	2	0	0.0	0.0
1	15	3	0	0.0	0.0
1	16	1	0	0.0	0.0
1	17	5	0	0.0	0.0
1	18	5	1	2.0468881369480556	4.189751045178682
1	19	5	1	2.0207645528413836	4.083489378020237
1	20	2	0	0.0	0.0
1	21	4	0	0.0	0.0
1	22	3	1	1.9501782579947717	3.8031952379555225
1	23	3	0	0.0	0.0
1	24	7	0	0.0	0.0
1	25	9	0	0.0	0.0
1	26	5	0	0.0	0.0
1	27	2	0	0.0	0.0
1	28	1	0	0.0	0.0
1	29	1	0	0.0	0.0
1	30	1	0	0.0	0.0
1	31	2	1	1.7867237865500443	3.192381889423728
1	32	2	0	0.0	0.0
1	33	2	0	0.0	0.0
1	34	4	0	0.0	0.0
1	35	2	0	0.0	0.0
1	38	2	0	0.0	0.0
1	40	2	0	0.0	0.0
1	42	1	0	0.0	0.0
1	43	2	1	1.633521702995434	2.668393154157103
1	44	1	0	0.0	0.0
1	45	1	0	0.0	0.0
1	50	1	0	0.0	0.0
1	51	1	0	0.0	0.0
1	52	1	0	0.0	0.0
1	53	1	0	0.0	0.0
1	55	1	1	1.520552057585472	2.312078559827413
1	59	1	1	1.4887506312254895	2.2163784419742933
1	61	1	0	0.0	0.0
1	63	1	0	0.0	0.0
1	64	1	0	0.0	0.0
1	65	1	0	0.0	0.0
1	72	1	1	1.399700538352432	1.9591615970640877
1	78	1	0	0.0	0.0
1	79	1	0	0.0	0.0
1	88	1	0	0.0	0.0
1	116	1	1	1.1946383115913608	1.4271606955218572
3	0	12	0	0.0	0.0
3	1	3	0	0.0	0.0
3	3	9	0	0.0	0.0
3	4	6	0	0.0	0.0
3	5	12	1	1.8367904087786424	3.3737990057812124
3	6	6	1	1.3234240195829265	1.7514511356090303
3	7	24	2	2.7454818419007503	3.768835272103368
3	8	18	3	4.423938293661363	6.812491818988424
3	10	3	0	0.0	0.0
3	11	6	0	0.0	0.0
3	12	15	4	5.855618721865366	10.620753275055439
3	13	12	2	2.3722382950111376	2.902287877744664
3	14	6	1	1.9455120655260865	3.7850171971075794
3	15	9	1	1.054639506423813	1.1122644885098638
3	16	3	0	0.0	0.0
3	17	15	2	1.8841982155449468	1.7833200436255925
3	18	15	2	1.7159611505233128	1.4722613350526457
3	19	15	6	6.615736259513319	7.794405176541364
3	20	6	1	0.9451759011543607	0.8933574841229578
3	21	12	3	4.329887417789756	8.156561461911318
3	22	9	4	3.6890071573864027	3.4928539630232214
3	23	9	2	1.9553932484284648	1.9732616566596417
3	24	21	5	6.734625455700694	11.169633284376342
3	25	27	5	4.92471074535829	5.449845941201145
3	26	15	7	7.428254797884249	8.415909195354322
3	27	6	2	1.5886226902960217	1.2657479714696642
3	28	3	0	0.0	0.0
3	29	3	0	0.0	0.0
3	30	3	1	0.692491470505203	0.47954443672245844
3	31	6	1	0.6827130398632894	0.46609709479937333
3	32	6	2	2.0560066753496757	2.2350747292231534
3	33	6	2	2.207274465648214	2.821968175409932
3	34	12	5	4.359829170223266	4.440325965772999
3	35	6	5	4.0600808622885065	3.5309794215108585
3	38	6	1	1.7773894441416234	3.159113236146069
3	40	6	3	2.6597401250660027	2.6377469251080434
3	42	3	1	1.4340536896338114	2.056509984752348
3	43	6	5	4.7925034827201936	5.405293766201541
3	44	3	0	0.0	0.0
3	45	3	1	1.9288133167860486	3.720320811011198
3	50	3	1	1.127297395437815	1.2707994177608812
3	51	3	3	2.9639568105644485	3.8676211887260443
3	52	3	1	2.1247250807048164	4.514456668576089
3	53	3	1	0.8378789437136043	0.7020411243186252
3	55	3	0	0.0	0.0
3	59	3	1	0.5116088710493978	0.2617436369364393
3	61	3	2	1.3137557029089535	0.898771497540284
3	63	3	1	0.5154012670958998	0.2656384661240591
3	64	3	3	3.4754397942052786	4.4526050437612
3	65	3	3	2.3014867860258894	1.8984884665815356
3	72	3	2	1.7983600254856313	1.8638691406658559
3	78	3	2	1.5689116520759894	1.3620619112112964
3	79	3	2	1.4138924269038446	1.117522749769197
3	88	3	2	1.3516111458089572	1.0235062826784496
3	116	3	3	2.1960536097050785	1.6347285379889467
4	0	8	0	0.0	0.0
4	1	2	0	0.0	0.0
4	3	6	0	0.0	0.0
4	4	4	0	0.0	0.0
4	5	8	0	0.0	0.0
4	6	4	0	0.0	0.0
4	7	16	2	3.189515147618569	5.630423681675988
4	8	12	2	2.394500712433432	2.9288450347652653
4	10	2	0	0.0	0.0
4	11	4	0	0.0	0.0
4	12	10	0	0.0	0.0
4	13	8	3	4.226596591626059	6.239280333695925
4	14	4	1	1.1858548220674459	1.4062516590206138
