source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	115797	0	0.0	0.0
0	1	11832	0	0.0	0.0
0	2	3741	0	0.0	0.0
0	3	1479	0	0.0	0.0
0	4	1305	0	0.0	0.0
0	5	609	0	0.0	0.0
0	6	87	0	0.0	0.0
0	7	87	0	0.0	0.0
0	9	87	0	0.0	0.0
1	0	13310	0	0.0	0.0
1	1	1360	2	16.95004172949423	143.6519573157979
1	2	430	2	16.25689463597458	132.1433116025895
1	3	170	2	15.8514296149067	125.63391041817057
1	4	150	2	15.563747629495191	121.1151201373086
1	5	70	1	7.670302082610622	58.833534038500844
1	6	10	0	0.0	0.0
1	7	10	0	0.0	0.0
1	9	10	1	7.376408924240028	54.41140861760793
2	0	10648	0	0.0	0.0
2	1	1088	7	56.89913122591103	462.50159060906327
2	2	344	5	38.90936907373798	302.78780034327144
2	3	136	1	7.57914134773377	57.443383568927665
2	4	120	3	22.30590119564434	165.85107604994917
2	5	56	0	0.0	0.0
2	6	8	0	0.0	0.0
2	7	8	0	0.0	0.0
2	9	8	0	0.0	0.0
3	0	3993	0	0.0	0.0
3	1	408	4	31.7028592298134	251.26782083634114
3	2	129	1	7.57914134773377	57.443383568927665
3	3	51	2	14.752817848480056	108.82281723521587
3	4	45	2	14.465136037148856	104.62008028661126
3	5	21	0	0.0	0.0
3	6	3	0	0.0	0.0
3	7	3	0	0.0	0.0
3	9	3	0	0.0	0.0
4	0	3993	0	0.0	0.0
4	1	408	8	62.254990517980765	484.4604805492344
4	2	129	2	14.870600797096225	110.56738403329945
4	3	51	0	0.0	0.0
4	4	45	0	0.0	0.0
4	5	21	1	6.977155554851956	48.68069963660151
4	6	3	0	0.0	0.0
4	7	3	0	0.0	0.0
4	9	3	1	6.683262918720851	44.666003240749156
5	0	5324	0	0.0	0.0
5	1	544	6	46.02181249566373	353.0012042310051
5	2	172	6	43.94237225958731	321.82201330002465
5	3	68	3	21.362989120432687	152.12576805324176
5	4	60	3	20.93146666455587	146.04209890980454
5	5	28	2	13.731167993589986	94.27248723409502
5	6	4	0	0.0	0.0
5	7	4	0	0.0	0.0
5	9	4	0	0.0	0.0
6	0	2662	0	0.0	0.0
6	1	272	6	45.474848086402616	344.660301413566
6	2	86	1	7.232568018574428	52.31004014330563
6	3	34	0	0.0	0.0
6	4	30	3	20.65798485160531	142.25077937638483
6	5	14	2	13.548846871996032	91.78562578039833
6	6	2	0	0.0	0.0
6	7	2	0	0.0	0.0
6	9	2	0	0.0	0.0
7	0	2662	0	0.0	0.0
7	1	272	5	37.5103302567013	281.4049751933602
7	2	86	5	35.77746382850482	256.0053835999941
7	3	34	0	0.0	0.0
7	4	30	2	13.617839569403019	92.7227772689993
7	5	14	1	6.6973483136842455	44.854474434809205
7	6	2	0	0.0	0.0
7	7	2	0	0.0	0.0
7	9	2	1	6.403456199789767	41.00425130262601
8	0	1331	0	0.0	0.0
8	1	136	1	7.4353003985481125	55.283692016649724
8	2	43	2	14.177454312857689	100.50010539658355
8	3	17	2	13.771989901070206	94.83385291758988
8	4	15	1	6.7421542624691915	45.456644098931484
8	5	7	1	6.6305828349717	43.96462873142135
8	6	1	0	0.0	0.0
8	7	1	1	6.4623474129792315	41.76193408603937
8	9	1	0	0.0	0.0
9	0	2662	0	0.0	0.0
9	1	272	8	59.011271393920225	435.29126894086346
9	2	86	3	21.089507176922318	148.255770988486
9	3	34	4	27.308414253067784	186.43737225428893
9	4	30	1	6.683262918720851	44.666003240749156
9	5	14	1	6.571691534743083	43.187129627813896
9	6	2	0	0.0	0.0
9	7	2	0	0.0	0.0
9	9	2	1	6.277799769004764	39.41076993971627
10	0	3993	0	0.0	0.0
10	1	408	8	58.58982967944975	429.09601773336624
10	2	129	6	41.86293332911174	292.0841978196091
10	3	51	5	33.87211717999008	229.46406445099583
10	4	45	4	26.5223313398868	175.8585149256854
10	5	21	3	19.557034483540804	127.49253259680138
10	6	3	1	6.427851151315062	41.31727042346237
10	7	3	2	12.701552493198607	80.66471786873987
10	9	3	1	6.225119902852886	38.75211780489513
14	0	2662	0	0.0	0.0
14	1	272	14	100.1768987198135	716.8150740799836
14	2	86	3	20.42675935410453	139.08416590349896
14	3	34	3	19.818563519780493	130.9251533291914
14	4	30	3	19.387042238937696	125.28580225811811
14	5	14	4	25.403104986397214	161.32943573747974
14	6	2	0	0.0	0.0
14	7	2	0	0.0	0.0
14	9	2	1	6.056885351245816	36.68586015813615
15	0	2662	0	0.0	0.0
15	1	272	10	71.20996373477561	507.0858935108058
15	2	86	8	54.195387487984135	367.1425031215934
15	3	34	1	6.571691534743083	43.187129627813896
15	4	30	6	38.56710690789038	247.90362254077422
15	5	14	3	18.94884008536365	119.68618019356143
15	6	2	0	0.0	0.0
15	7	2	1	6.148045215733291	37.79845997470101
15	9	2	1	6.0223893071770735	36.26917296720075
16	0	1331	0	0.0	0.0
16	1	136	4	28.354908625715378	201.0002107931671
16	2	43	3	20.226462787407574	136.36993229679445
16	3	17	2	13.078844809467947	85.52809077507332
16	4	15	5	31.977910324127468	204.51734973958762
16	5	7	1	6.284010985484343	39.488794065687905
16	6	1	0	0.0	0.0
16	7	1	1	6.115776259801285	37.402719259948995
16	9	1	0	0.0	0.0
18	0	1331	0	0.0	0.0
18	1	136	4	28.11934290256309	197.67436131798132
18	2	43	2	13.366525837441705	89.33200648149833
18	3	17	3	19.441593444074943	125.99185188156594
18	4	15	6	38.02014537093277	240.9219090044767
18	5	7	2	12.450239805705772	77.50423560979026
18	6	1	1	6.133959907808597	37.62546415060325
18	7	1	0	0.0	0.0
18	9	1	0	0.0	0.0
20	0	1331	0	0.0	0.0
20	1	136	7	48.840088883963695	340.7648974562106
20	2	43	3	19.8917485049151	131.89388619426404
20	3	17	3	19.28355345394519	123.95181127038711
20	4	15	1	6.284010985484343	39.488794065687905
20	5	7	5	30.86220040110069	190.49508271953994
20	6	1	1	6.081280172213787	36.98196853296054
20	7	1	0	0.0	0.0
20	9	1	0	0.0	0.0
22	0	1331	0	0.0	0.0
22	1	136	7	48.50650386392907	336.1258453001951
22	2	43	4	26.331711676596836	173.33975995485653
22	3	17	2	12.76039264506338	81.41381022809381
22	4	15	5	31.18178121869807	194.46069599415034
22	5	7	3	18.37435627654072	112.53898952575042
22	6	1	0	0.0	0.0
22	7	1	1	5.956551222056844	35.480502460986884
22	9	1	0	0.0	0.0
24	0	1331	0	0.0	0.0
24	1	136	5	34.42997475267552	237.08463229397472
24	2	43	9	58.854801642605764	384.87640848782996
24	3	17	3	19.010072685466383	120.46095450223834
24	4	15	3	18.5785527102056	115.05420693529595
24	5	7	2	12.162560344427574	73.96393706592109
24	6	1	1	5.990120438282561	35.881542865130456
24	7	1	0	0.0	0.0
24	9	1	1	5.7873910176060965	33.49389479066773
25	0	1331	0	0.0	0.0
25	1	136	10	68.65583996794993	471.3624361704751
25	2	43	7	45.63308046159521	297.4825760592033
25	3	17	4	25.2651201138182	159.58157359141524
25	4	15	3	18.517320240660414	114.29704963172395
25	5	7	0	0.0	0.0
25	6	1	1	5.96970970213836	35.637433927804864
25	7	1	0	0.0	0.0
25	9	1	0	0.0	0.0
28	0	1331	0	0.0	0.0
28	1	136	9	61.280278062313585	417.25249771049687
28	2	43	7	45.23643189085462	292.33353860227555
28	3	17	6	37.55769646487034	235.09676062455563
28	4	15	4	24.46310503920514	149.61087703979598
28	5	7	1	6.004205702688512	36.05048612019724
28	6	1	1	5.91304614283141	34.96411468725342
28	7	1	0	0.0	0.0
28	9	1	0	0.0	0.0
30	0	1331	0	0.0	0.0
30	1	136	11	74.51865779597817	504.82094179219087
30	2	43	7	44.99495805920544	289.22089296423655
30	3	17	5	31.125599514264426	193.76058902447556
30	4	15	3	18.24384051664136	110.94590559888164
30	5	7	2	11.93941940427672	71.27486785560973
30	6	1	0	0.0	0.0
30	7	1	1	5.801476194975769	33.65712604087052
30	9	1	1	5.675821591962877	32.21495074379201
