source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	23577	0	0.0	0.0
0	1	14703	0	0.0	0.0
0	2	9657	0	0.0	0.0
0	3	9570	0	0.0	0.0
0	4	8178	0	0.0	0.0
0	5	6003	0	0.0	0.0
0	6	5481	0	0.0	0.0
0	7	5916	0	0.0	0.0
0	8	4698	0	0.0	0.0
0	9	5046	0	0.0	0.0
0	10	4089	0	0.0	0.0
0	11	2958	0	0.0	0.0
0	12	3654	0	0.0	0.0
0	13	2697	0	0.0	0.0
0	14	2175	0	0.0	0.0
0	15	1392	0	0.0	0.0
0	16	1827	0	0.0	0.0
0	17	2001	0	0.0	0.0
0	18	2001	0	0.0	0.0
0	19	1566	0	0.0	0.0
0	20	957	0	0.0	0.0
0	21	1305	0	0.0	0.0
0	22	1044	0	0.0	0.0
0	23	1044	0	0.0	0.0
0	24	1479	0	0.0	0.0
0	25	1566	0	0.0	0.0
0	26	609	0	0.0	0.0
0	27	1479	0	0.0	0.0
0	28	435	0	0.0	0.0
0	29	696	0	0.0	0.0
0	30	870	0	0.0	0.0
0	31	870	0	0.0	0.0
0	32	957	0	0.0	0.0
0	33	435	0	0.0	0.0
0	34	1131	0	0.0	0.0
0	35	435	0	0.0	0.0
0	36	348	0	0.0	0.0
0	37	522	0	0.0	0.0
0	38	261	0	0.0	0.0
0	39	261	0	0.0	0.0
0	40	261	0	0.0	0.0
0	42	87	0	0.0	0.0
0	43	87	0	0.0	0.0
0	44	87	0	0.0	0.0
0	48	174	0	0.0	0.0
0	50	174	0	0.0	0.0
0	53	87	0	0.0	0.0
0	55	87	0	0.0	0.0
0	58	87	0	0.0	0.0
1	0	2710	0	0.0	0.0
1	1	1690	0	0.0	0.0
1	2	1110	2	12.418387138434984	77.10816956002371
1	3	1100	1	6.070770993820279	36.85426045940966
1	4	940	2	11.853863470687932	70.25703959085487
1	5	690	4	24.455398625045234	149.95658881031613
1	6	630	4	23.99960017084956	144.38425331420603
1	7	680	3	17.062857928995506	97.05687694126932
1	8	540	2	11.708301451854506	68.77077412446138
1	9	580	8	44.74672683041129	250.68733655388195
1	10	470	6	34.9498631165701	205.8692401119327
1	11	340	4	21.98467550391687	120.8573734817194
1	12	420	6	33.30430916306385	185.38030314244799
1	13	310	5	27.513099260503566	151.70943681528382
1	14	250	1	5.946934123788764	35.36602547268323
1	15	160	2	12.151460346105152	75.14008254903091
1	16	210	2	10.40330698896225	54.11646570598984
1	17	230	4	22.07221002553354	122.19199364348589
1	18	230	1	5.110613627262036	26.118371647156422
1	19	180	4	21.237904013328247	113.07547731539108
1	20	110	0	0.0	0.0
1	21	150	3	15.293543752003476	77.96416016481484
1	22	120	0	0.0	0.0
1	23	120	2	10.161892360402984	51.64928292609335
1	24	170	2	9.933569440488395	49.337900914502455
1	25	180	5	25.63544099075455	131.7893162905927
1	26	70	0	0.0	0.0
1	27	170	5	26.998045082164364	147.91364832444958
1	28	50	0	0.0	0.0
1	29	80	3	16.728491204441227	94.09077821118953
1	30	100	2	9.710450146707643	47.146421025847246
1	31	100	3	14.766560006308088	72.70156317406594
1	32	110	3	14.654641269847975	71.60917518951649
1	33	50	0	0.0	0.0
1	34	130	3	15.152895855472398	76.84571777991742
1	35	50	0	0.0	0.0
1	36	40	0	0.0	0.0
1	37	60	2	10.211394013820493	52.38878568517114
1	38	30	0	0.0	0.0
1	39	30	0	0.0	0.0
1	40	30	1	4.77570318151818	22.80734087796287
1	42	10	0	0.0	0.0
1	43	10	0	0.0	0.0
1	44	10	0	0.0	0.0
1	48	20	0	0.0	0.0
1	50	20	1	4.664149179423142	21.754287567913572
1	53	10	0	0.0	0.0
1	55	10	0	0.0	0.0
1	58	10	0	0.0	0.0
2	0	2168	0	0.0	0.0
2	1	1352	3	20.27954706535499	137.4716530129886
2	2	888	4	23.994784506621844	144.92694383498284
2	3	880	9	51.94434403102558	301.7464455566643
2	4	752	8	45.09072647327773	254.5645129604139
2	5	552	4	21.45997658825908	116.4259243469647
2	6	504	11	58.63667651318293	314.8753231566388
2	7	544	12	66.81181099689216	373.663102908726
2	8	432	11	55.95883487907819	285.99390772023156
2	9	464	14	72.4221836887804	378.8698470139841
2	10	376	9	48.14828005695668	258.56905182112735
2	11	272	7	35.536659620802155	181.00571216991295
2	12	336	10	50.36620320650299	254.68364554424844
2	13	248	7	37.35883252624667	199.72948102588376
2	14	200	7	33.123060990101294	157.54867871678687
2	15	128	5	22.990816214223567	106.10775680288411
2	16	168	8	38.50276007742656	187.05119415854028
2	17	184	5	25.220765576227002	127.2933278497654
2	18	184	8	36.99242653711238	171.83395207057765
2	19	144	9	42.68689620805168	206.26654318316966
2	20	88	5	23.489221888891006	110.91445538565165
2	21	120	4	21.469066140373776	117.70231116782841
2	22	96	5	24.424920064230392	122.14501933580702
2	23	96	7	33.38416679793406	160.55145394407796
