source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	16260	0	0.0	0.0
0	1	10140	0	0.0	0.0
0	2	6660	0	0.0	0.0
0	3	6600	0	0.0	0.0
0	4	5640	0	0.0	0.0
0	5	4140	0	0.0	0.0
0	6	3780	0	0.0	0.0
0	7	4080	0	0.0	0.0
0	8	3240	0	0.0	0.0
0	9	3480	0	0.0	0.0
0	10	2820	0	0.0	0.0
0	11	2040	0	0.0	0.0
0	12	2520	0	0.0	0.0
0	13	1860	0	0.0	0.0
0	14	1500	0	0.0	0.0
0	15	960	0	0.0	0.0
0	16	1260	0	0.0	0.0
0	17	1380	0	0.0	0.0
0	18	1380	0	0.0	0.0
0	19	1080	0	0.0	0.0
0	20	660	0	0.0	0.0
0	21	900	0	0.0	0.0
0	22	720	0	0.0	0.0
0	23	720	0	0.0	0.0
0	24	1020	0	0.0	0.0
0	25	1080	0	0.0	0.0
0	26	420	0	0.0	0.0
0	27	1020	0	0.0	0.0
0	28	300	0	0.0	0.0
0	29	480	0	0.0	0.0
0	30	600	0	0.0	0.0
0	31	600	0	0.0	0.0
0	32	660	0	0.0	0.0
0	33	300	0	0.0	0.0
0	34	780	0	0.0	0.0
0	35	300	0	0.0	0.0
0	36	240	0	0.0	0.0
0	37	360	0	0.0	0.0
0	38	180	0	0.0	0.0
0	39	180	0	0.0	0.0
0	40	180	0	0.0	0.0
0	42	60	0	0.0	0.0
0	43	60	0	0.0	0.0
0	44	60	0	0.0	0.0
0	48	120	0	0.0	0.0
0	50	120	0	0.0	0.0
0	53	60	0	0.0	0.0
0	55	60	0	0.0	0.0
0	58	60	0	0.0	0.0
1	0	3794	0	0.0	0.0
1	1	2366	7	38.97891905780523	219.3468394776316
1	2	1554	2	11.442456830877067	66.42756284693255
1	3	1540	6	33.15115218563177	186.8503977869363
1	4	1316	7	35.41007141236977	182.62779726177
1	5	966	5	24.4569416949589	121.63912936293616
1	6	882	2	10.422056105774583	55.779919163115636
1	7	952	5	23.49132953696396	112.47180707364826
1	8	756	7	32.05916025954333	148.29505302428203
1	9	812	5	24.48110636680891	123.04521239941663
1	10	658	6	26.967269476466825	123.2921464718719
1	11	476	6	28.492935444825576	140.22249700743407
1	12	588	4	17.992652093353684	82.94082824951633
1	13	434	2	9.57090565507749	46.76346385083337
1	14	350	7	33.05656586498272	160.61882269253826
1	15	224	4	16.140688384879375	65.13075112817876
1	16	294	5	19.71091450656044	77.72493898524488
1	17	322	4	17.238616565507943	76.57291483586117
1	18	322	2	9.26545240166621	43.85916426958961
1	19	252	5	22.25879313114023	102.06420275230468
1	20	154	1	3.896398612011121	15.18192214368219
1	21	210	5	22.133258838423032	100.79400307910913
1	22	168	1	3.7044205403489854	13.722731539759469
1	23	168	0	0.0	0.0
1	24	238	2	7.46629022200474	27.883163363710118
1	25	252	7	32.4748591378286	155.9000943860329
1	26	98	1	3.7454917829682164	14.028708696282429
1	27	238	4	14.966115078006354	55.99644557737391
1	28	70	3	13.495752145971013	61.691436165013045
1	29	112	3	11.092715399698758	41.01637422016522
1	30	140	6	25.87964055533835	114.56908896780371
1	31	140	3	14.238946574500165	69.29831826537192
1	32	154	5	19.569612613729042	78.78211402497655
1	33	70	1	3.6264364096464377	13.151041033209346
1	34	182	7	24.822644099412393	88.05613224662918
1	35	70	1	3.4726253432387613	12.059126774504124
1	36	56	1	3.5829950454942265	12.837853496036175
1	37	84	1	4.956167158906778	24.563592907026084
1	38	42	2	7.151685472676179	25.57330255004375
1	39	42	1	3.5430380035959788	12.55311829492538
1	40	42	1	3.5502372933815436	12.604184839317108
1	42	14	0	0.0	0.0
1	43	14	1	3.4943044987793224	12.210163930189411
1	44	14	0	0.0	0.0
1	48	28	2	8.141096435151386	34.280262285340285
1	50	28	2	9.342723976942827	47.43364201198083
1	53	14	0	0.0	0.0
1	55	14	1	3.3913192974560493	11.501046577297792
1	58	14	0	0.0	0.0
2	0	1355	0	0.0	0.0
2	1	845	0	0.0	0.0
2	2	555	5	28.310390492833797	164.4599033405621
2	3	550	1	5.4245216530445735	29.42543516434943
2	4	470	2	9.586118335897957	46.42239435764393
2	5	345	2	9.36302677645761	44.30865911420618
2	6	315	3	14.274014172503026	70.49166707418802
2	7	340	2	11.338829368787465	65.17835318684014
2	8	270	1	4.934139396306639	24.345731582185245
2	9	290	1	4.875254352054852	23.768104997229774
2	10	235	2	10.007153510002667	52.74431528306258
2	11	170	2	9.549863902198899	45.59995027526079
2	12	210	5	23.04427834175027	109.82123181603968
2	13	155	2	10.373263894258654	54.29277590397139
2	14	125	0	0.0	0.0
2	15	80	1	4.619880378990477	21.343294716181198
2	16	105	4	18.712660532349307	90.24584160576146
2	17	115	1	4.557311752780836	20.769090412034338
2	18	115	2	7.108058461674891	25.26224754729401
2	19	90	1	3.5270410511745856	12.440018576670726
2	20	55	1	4.476071704990474	20.03521790821633
2	21	75	2	7.92877326025393	31.907638395563602
2	22	60	3	13.647676424474845	64.77975098705275
2	23	60	2	7.837905244456448	31.191219106559362
2	24	85	7	29.470512564852342	131.23215176065992
2	25	90	2	6.780190168570143	22.98548936098761
2	26	35	1	5.3352840580400835	28.46525597997666
2	27	85	1	4.326064710604206	18.714835880335055
2	28	25	0	0.0	0.0
2	29	40	0	0.0	0.0
2	30	50	4	17.802833210599424	82.89265795354774
2	31	50	1	5.247343189739878	27.534610550909477
2	32	55	5	21.221895003858847	92.00344861895587
2	33	25	1	5.562643653062699	30.943004410958725
2	34	65	5	20.80572583091258	93.22450182164644
2	35	25	1	5.186666333139986	26.901507651327783
2	36	20	0	0.0	0.0
2	37	30	2	7.363207179202449	27.582719354395003
2	38	15	2	6.362658951740263	20.241714468080254
2	39	15	3	12.78978629652817	57.21790794928601
2	40	15	0	0.0	0.0
2	42	5	0	0.0	0.0
2	43	5	1	3.119748974286104	9.7328336625592
2	44	5	1	3.108299492017773	9.661525732077944
2	48	10	0	0.0	0.0
2	50	10	0	0.0	0.0
2	53	5	1	3.015655567674832	9.094178502848212
2	55	5	0	0.0	0.0
2	58	5	0	0.0	0.0
3	0	1084	0	0.0	0.0
3	1	676	3	18.3856056504268	113.48684448425539
3	2	444	1	6.415005643260951	41.152297403069845
3	3	440	1	5.585902991118197	31.202312226183224
3	4	376	0	0.0	0.0
3	5	276	0	0.0	0.0
3	6	252	4	22.2100966454487	123.71442684294416
3	7	272	3	14.194223574341278	67.43712787445563
3	8	216	1	5.721866500030094	32.73975624416664
3	9	232	4	18.55423440397955	86.80417992522796
3	10	188	1	4.983949405708199	24.839751678659116
3	11	136	2	10.49894265671258	55.31005226439355
3	12	168	4	20.177639097828614	102.89456256697605
3	13	124	2	9.68567749138479	47.715880095090796
3	14	100	2	9.978004852127897	49.840335669042005
3	15	64	5	23.24013595668512	109.15949073281851
3	16	84	3	15.846119057254743	83.752018700742
3	17	92	4	18.228498755627406	83.38269698056222
3	18	92	4	18.114213054462468	82.34432190879217
3	19	72	1	4.663064650843498	21.74417193794619
3	20	44	4	19.522531995678676	95.558059503485
3	21	60	3	12.546848655851967	52.75278797986678
3	22	48	2	8.879964236633153	39.91954332327582
3	23	48	1	3.92145641169978	15.377820388861315
3	24	68	3	14.265143109319618	68.09293804405986
3	25	72	3	12.931548425630957	56.019923176293844
3	26	28	1	4.506268680786216	20.306457423434747
3	27	68	6	27.278540858826247	128.41877015468
3	28	20	2	8.93844813644413	39.94792754395077
3	29	32	3	12.40950461498237	51.9886798238472
3	30	40	0	0.0	0.0
3	31	40	2	8.816970842616417	39.67883321509326
3	32	44	1	3.7564890690151174	14.111210125630063
3	33	20	0	0.0	0.0
3	34	52	4	14.904843439162606	55.53858948648715
3	35	20	0	0.0	0.0
3	36	16	1	3.6976657510673596	13.67273200661654
3	37	24	3	12.690289287032263	54.188533282586334
3	38	12	1	4.316580107056987	18.63286382064011
3	39	12	1	3.6576955379890927	13.378736648625319
3	40	12	1	3.6450536791737713	13.286416324058246
3	42	4	0	0.0	0.0
3	43	4	0	0.0	0.0
3	44	4	1	3.5974667612681577	12.941767098429208
3	48	8	0	0.0	0.0
3	50	8	1	4.179417911844213	17.467534081844246
3	53	4	1	3.504568957512592	12.282003577960895
3	55	4	0	0.0	0.0
3	58	4	0	0.0	0.0
4	0	1897	0	0.0	0.0
4	1	1183	6	31.505250957846613	170.66862807675398
4	2	777	8	42.96297393754949	236.82361855110395
4	3	770	10	47.64440073417739	236.50314059329003
4	4	658	14	63.98344465318197	301.7831003577345
4	5	483	6	30.69465634713172	160.20680414311818
4	6	441	5	20.493859121787906	86.27888771707052
4	7	476	6	24.559939230442737	102.56376330053153
4	8	378	12	54.71977764140706	257.465694271903
4	9	406	6	24.626821336704722	103.19225892155104
4	10	329	6	28.90740298151157	143.44480094077238
4	11	238	10	40.72654096980176	170.49414341846727
4	12	294	6	24.799186623198892	106.5170353831634
4	13	217	6	28.09916428421166	132.667496010032
4	14	175	9	33.29439321192771	125.91471648941886
4	15	112	3	12.232021321480982	51.075152011754156
4	16	147	13	51.11582487470335	208.02960469439836
4	17	161	10	38.760024441074314	157.44055314791123
4	18	161	5	17.7818515530647	65.48953042648648
4	19	126	10	39.420046869824446	163.8729418723122
4	20	77	3	12.669738796590403	56.07084735024591
4	21	105	8	31.800247202530063	133.15654461501492
4	22	84	7	28.854943078238236	122.86899754768874
4	23	84	4	17.16789265502735	76.42349197081221
4	24	119	12	42.434833404450515	157.751155841924
4	25	126	12	46.03775944550117	189.28560638653482
4	26	49	1	3.660969893273832	13.402700559457413
4	27	119	7	28.837808950365392	123.19211216040861
4	28	35	2	6.0324176317840195	18.21232150023223
4	29	56	2	6.944305381668615	24.75322909180081
4	30	70	4	12.595472317795124	40.40591304161648
4	31	70	6	24.964783331352294	106.71179144801201
4	32	77	9	31.936589801502766	119.31053996587484
4	33	35	2	7.391234711412615	28.208227189281516
4	34	91	10	34.663675543077716	126.41366403572799
4	35	35	3	9.597164747281798	31.29736002714371
4	36	28	4	16.72305844658916	73.51879717309446
4	37	42	4	12.72597088315939	42.178388658693294
4	38	21	5	16.732909708399674	60.057987428535185
4	39	21	2	5.7678653907508775	16.64142152477793
4	40	21	3	11.25237465567322	43.54842196505295
4	42	7	1	2.907448228503427	8.453255201427716
4	43	7	2	7.747302038881571	32.42389945402859
4	44	7	1	4.03128475068802	16.25125674112977
4	48	14	1	2.6258404998133966	6.8950383304602685
4	50	14	2	5.241223578890343	13.735660217308943
4	53	7	2	8.02186532738713	32.18571324251484
4	55	7	2	6.49231376423738	21.5218106122639
4	58	7	1	3.564469482065353	12.705442688575245
5	0	542	0	0.0	0.0
5	1	338	0	0.0	0.0
5	2	222	1	5.61029740343962	31.47543695504134
5	3	220	3	16.569278184744686	91.59373071444564
5	4	188	1	5.263737208169832	27.70692939667154
5	5	138	3	16.640023779973443	92.31058982568078
5	6	126	0	0.0	0.0
5	7	136	2	10.804834287476314	58.38256626882733
5	8	108	0	0.0	0.0
5	9	116	0	0.0	0.0
5	10	94	0	0.0	0.0
5	11	68	1	5.45107556107225	29.71422477251915
5	12	84	0	0.0	0.0
5	13	62	4	18.87037266454291	89.52645925762369
5	14	50	0	0.0	0.0
5	15	32	1	5.093284797733982	25.941550030828086
5	16	42	0	0.0	0.0
5	17	46	1	5.03070824908304	25.308025487392147
5	18	46	2	8.50307846004736	36.286634927860334
5	19	36	1	4.484765344569621	20.113120195852673
5	20	22	1	4.94945631843134	24.49711784805991
5	21	30	1	4.434737005727742	19.666892309971058
5	22	24	2	9.659789881793891	46.66611275329306
5	23	24	1	4.735761097539994	22.42743317297321
5	24	34	0	0.0	0.0
5	25	36	1	5.040608725598709	25.40773632458184
5	26	14	0	0.0	0.0
5	27	34	2	9.311206329912682	43.349281659103
5	28	10	2	9.072183122008939	41.27244909849814
5	29	16	0	0.0	0.0
5	30	20	1	4.256459784068059	18.117449893388706
5	31	20	1	3.7197248397056106	13.836352883122931
5	32	22	1	3.703869433990909	13.718648784052137
5	33	10	0	0.0	0.0
5	34	26	1	4.540364771150235	20.614912255102123
5	35	10	1	4.66968609239556	21.805968201512517
5	36	8	0	0.0	0.0
5	37	12	1	4.151646372402049	17.236167601479096
5	38	6	0	0.0	0.0
5	39	6	0	0.0	0.0
5	40	6	1	4.4591253926613845	19.883799267477546
5	42	2	0	0.0	0.0
5	43	2	0	0.0	0.0
5	44	2	0	0.0	0.0
5	48	4	1	4.021578437408307	16.17309312822744
5	50	4	0	0.0	0.0
5	53	2	1	4.462259362264844	19.911758616120256
5	55	2	0	0.0	0.0
5	58	2	0	0.0	0.0
6	0	1084	0	0.0	0.0
6	1	676	2	10.710370549192682	58.82522228692895
6	2	444	3	16.207413568641414	88.0255883695358
6	3	440	4	19.803701157360283	100.17718193934948
6	4	376	6	27.859858935749706	132.33520559127103
6	5	276	10	50.47492031648363	260.7911398680797
6	6	252	3	11.78933002180475	47.050979107952784
6	7	272	5	21.192168297074097	91.85943945444905
6	8	216	10	46.00888531768922	217.52836854506148
6	9	232	14	62.61259565435883	289.10787468451474
6	10	188	8	33.2880986303322	144.44557439338348
6	11	136	8	33.545793673173215	143.4338961843812
6	12	168	11	45.73892598862665	196.56390336789497
6	13	124	2	8.816749947402258	39.00915292320494
6	14	100	2	8.419517294505912	37.564225532404485
6	15	64	7	29.62567269426504	131.763168238428
6	16	84	6	23.513153677821833	94.93274485677746
6	17	92	5	18.957043644537475	73.93685622727446
6	18	92	4	14.162092259832491	53.1259030384473
6	19	72	6	25.011188359627557	109.20453495242005
6	20	44	5	17.956226970027583	67.84512934135941
6	21	60	7	28.302075644922418	118.64824484620125
6	22	48	4	18.096709335672095	82.46669415066866
6	23	48	3	13.146640804001114	58.985270445609835
6	24	68	4	13.570484384905555	47.00689151295022
6	25	72	4	18.551482815493884	86.21932927792625
6	26	28	1	2.852389369734415	8.136125116573893
6	27	68	5	16.525860041390516	58.79302461625608
6	28	20	3	9.427382503778205	30.22832702120993
6	29	32	2	7.269581624330637	27.75803449982742
6	30	40	6	21.208139341064296	76.99502756573987
6	31	40	2	7.48289034041947	29.827171789292745
6	32	44	8	30.572639764238666	121.3499449026792
6	33	20	2	8.326687406429356	34.974102096660026
6	34	52	6	21.55899990062745	81.92491295326977
6	35	20	1	2.7049105089691663	7.316540861531834
6	36	16	1	3.7279419578940334	13.897551241426799
6	37	24	4	13.72565813726769	47.86246692846477
