source_degree	target_degree	n	nnz	sum	sum_of_squares
0	0	5220	0	0.0	0.0
0	1	600	0	0.0	0.0
0	2	480	0	0.0	0.0
0	3	180	0	0.0	0.0
0	4	180	0	0.0	0.0
0	5	240	0	0.0	0.0
0	6	120	0	0.0	0.0
0	7	120	0	0.0	0.0
0	8	60	0	0.0	0.0
0	9	120	0	0.0	0.0
0	10	180	0	0.0	0.0
0	14	120	0	0.0	0.0
0	15	120	0	0.0	0.0
0	16	60	0	0.0	0.0
0	18	60	0	0.0	0.0
0	20	60	0	0.0	0.0
0	22	60	0	0.0	0.0
0	24	60	0	0.0	0.0
0	25	60	0	0.0	0.0
0	28	60	0	0.0	0.0
0	30	60	0	0.0	0.0
1	0	1218	0	0.0	0.0
1	1	140	0	0.0	0.0
1	2	112	0	0.0	0.0
1	3	42	2	10.7798749285359	58.10285173743844
1	4	42	0	0.0	0.0
1	5	56	0	0.0	0.0
1	6	28	0	0.0	0.0
1	7	28	1	5.6874711131683595	32.34732766312454
1	8	14	0	0.0	0.0
1	9	28	0	0.0	0.0
1	10	42	2	9.575999248064452	45.849880799465474
1	14	28	0	0.0	0.0
1	15	28	0	0.0	0.0
1	16	14	2	9.106078856576937	41.46033607109877
1	18	14	0	0.0	0.0
1	20	14	0	0.0	0.0
1	22	14	0	0.0	0.0
1	24	14	2	8.700724715983558	37.85130529166358
1	25	14	2	8.659916591104151	37.49707768244047
1	28	14	0	0.0	0.0
1	30	14	0	0.0	0.0
2	0	435	0	0.0	0.0
2	1	50	0	0.0	0.0
2	2	40	0	0.0	0.0
2	3	15	0	0.0	0.0
2	4	15	0	0.0	0.0
2	5	20	0	0.0	0.0
2	6	10	0	0.0	0.0
2	7	10	0	0.0	0.0
2	8	5	0	0.0	0.0
2	9	10	0	0.0	0.0
2	10	15	0	0.0	0.0
2	14	10	2	9.152588783340057	41.88494071846112
2	15	10	0	0.0	0.0
2	16	5	0	0.0	0.0
2	18	5	0	0.0	0.0
2	20	5	0	0.0	0.0
2	22	5	0	0.0	0.0
2	24	5	0	0.0	0.0
2	25	5	0	0.0	0.0
2	28	5	0	0.0	0.0
2	30	5	2	8.39069082209073	35.20184623595881
3	0	348	0	0.0	0.0
3	1	40	0	0.0	0.0
3	2	32	0	0.0	0.0
3	3	12	0	0.0	0.0
3	4	12	0	0.0	0.0
3	5	16	0	0.0	0.0
3	6	8	0	0.0	0.0
3	7	8	0	0.0	0.0
3	8	4	0	0.0	0.0
3	9	8	0	0.0	0.0
3	10	12	0	0.0	0.0
3	14	8	0	0.0	0.0
3	15	8	0	0.0	0.0
3	16	4	0	0.0	0.0
3	18	4	1	5.601837397366922	31.380582226538614
3	20	4	0	0.0	0.0
3	22	4	0	0.0	0.0
3	24	4	0	0.0	0.0
3	25	4	1	5.437590662003779	29.567392207510697
3	28	4	0	0.0	0.0
3	30	4	0	0.0	0.0
4	0	609	0	0.0	0.0
4	1	70	1	7.2497427108452435	52.55876937345374
4	2	56	0	0.0	0.0
4	3	21	0	0.0	0.0
4	4	21	0	0.0	0.0
4	5	28	1	6.098454705780294	37.191149798453814
4	6	14	0	0.0	0.0
4	7	14	0	0.0	0.0
4	8	7	0	0.0	0.0
4	9	14	0	0.0	0.0
4	10	21	1	5.5491586532959944	30.793161759449816
4	14	14	1	4.229826718517326	17.891434068683047
4	15	14	1	5.549158653295995	30.793161759449823
4	16	7	0	0.0	0.0
4	18	7	0	0.0	0.0
4	20	7	0	0.0	0.0
4	22	7	0	0.0	0.0
4	24	7	0	0.0	0.0
4	25	7	1	4.398002316875898	19.342424379245767
4	28	7	0	0.0	0.0
4	30	7	1	3.848998662501808	14.814790703940707
5	0	174	0	0.0	0.0
5	1	20	0	0.0	0.0
5	2	16	0	0.0	0.0
5	3	6	1	4.58530175273823	21.024992163664287
5	4	6	0	0.0	0.0
5	5	8	0	0.0	0.0
5	6	4	0	0.0	0.0
5	7	4	0	0.0	0.0
5	8	2	1	4.095060485928639	16.7695203834141
5	9	4	0	0.0	0.0
5	10	6	1	5.814848277361731	33.8124604887367
5	14	4	1	4.1183078888074185	16.960459867013416
5	15	4	0	0.0	0.0
5	16	2	1	3.748764083803705	14.05323215601663
5	18	2	0	0.0	0.0
5	20	2	1	3.637330815863819	13.230175464032556
5	22	2	1	3.5897449582534326	12.886268865305938
5	24	2	1	3.5463084876813453	12.57630388980075
5	25	2	2	8.195586422653623	34.23786868062129
5	28	2	0	0.0	0.0
5	30	2	2	7.17248452951023	25.76804932362894
6	0	348	0	0.0	0.0
6	1	40	0	0.0	0.0
6	2	32	0	0.0	0.0
6	3	12	1	4.494161782265385	20.19749012517478
6	4	12	0	0.0	0.0
6	5	16	0	0.0	0.0
6	6	8	0	0.0	0.0
6	7	8	0	0.0	0.0
6	8	4	0	0.0	0.0
6	9	8	0	0.0	0.0
6	10	12	1	3.892466554756566	15.151295879898452
6	14	8	0	0.0	0.0
6	15	8	0	0.0	0.0
6	16	4	2	7.932328759212545	31.65120290212771
6	18	4	0	0.0	0.0
6	20	4	0	0.0	0.0
6	22	4	0	0.0	0.0
6	24	4	1	3.4553137737128297	11.939193274809595
6	25	4	1	5.564078080205205	30.958964882620034
6	28	4	0	0.0	0.0
6	30	4	1	3.960479719983794	15.68539961240291
7	0	435	0	0.0	0.0
7	1	50	0	0.0	0.0
7	2	40	0	0.0	0.0
7	3	15	1	4.417107248977168	19.51083644896665
7	4	15	0	0.0	0.0
7	5	20	0	0.0	0.0
7	6	10	0	0.0	0.0
7	7	10	3	13.725735754929886	62.91510057724534
7	8	5	0	0.0	0.0
7	9	10	1	5.871329971079594	34.472515629297504
7	10	15	3	15.961897094626181	84.99029464410395
7	14	10	2	8.907485551968932	40.178805127319706
7	15	10	1	3.91570766284719	15.332766500880203
7	16	5	1	3.5807495502359505	12.821767341514962
7	18	5	0	0.0	0.0
7	20	5	1	3.7719989022177134	14.227975718331635
7	22	5	1	5.077878347844575	25.784848515508745
7	24	5	1	3.378404415591559	11.413616395288544
7	25	5	3	11.594657591749513	45.19736455950374
7	28	5	1	5.709308154345342	32.596199601274215
7	30	5	1	3.5695307420491016	12.74154971843361
8	0	261	0	0.0	0.0
8	1	30	0	0.0	0.0
8	2	24	0	0.0	0.0
8	3	9	0	0.0	0.0
8	4	9	0	0.0	0.0
8	5	12	0	0.0	0.0
8	6	6	0	0.0	0.0
8	7	6	0	0.0	0.0
8	8	3	0	0.0	0.0
8	9	6	0	0.0	0.0
8	10	9	0	0.0	0.0
8	14	6	1	3.8834648615960012	15.081299331250849
8	15	6	0	0.0	0.0
8	16	3	1	4.1308381528270255	17.06382384485139
8	18	3	0	0.0	0.0
8	20	3	0	0.0	0.0
8	22	3	0	0.0	0.0
8	24	3	0	0.0	0.0
8	25	3	0	0.0	0.0
8	28	3	0	0.0	0.0
8	30	3	1	4.364730248529717	19.05087014243028
9	0	435	0	0.0	0.0
9	1	50	0	0.0	0.0
9	2	40	0	0.0	0.0
9	3	15	0	0.0	0.0
9	4	15	0	0.0	0.0
9	5	20	1	5.6929959051140315	32.410202375645135
9	6	10	0	0.0	0.0
9	7	10	2	8.75991232201657	38.455389335311864
9	8	5	3	11.404166767299238	43.351673218790786
9	9	10	0	0.0	0.0
9	10	15	1	4.541805522551758	20.62799740468165
9	14	10	0	0.0	0.0
9	15	10	1	3.7901638310017525	14.36534186583388
9	16	5	1	4.071978903324643	16.581012189120965
9	18	5	1	4.248002976209562	18.045529285885294
9	20	5	3	12.093464132492256	49.520620558271084
9	22	5	3	9.889380753355308	32.599950561611465
9	24	5	1	4.104230013344458	16.844704002437453
9	25	5	3	9.698190240873522	31.351631316058146
9	28	5	2	8.656164103885747	37.645648457352834
9	30	5	4	13.183568363469865	43.73625565200628
10	0	261	0	0.0	0.0
10	1	30	0	0.0	0.0
10	2	24	1	5.751886161463391	33.08419441443406
10	3	9	1	4.238832189093519	17.967698327295356
10	4	9	0	0.0	0.0
10	5	12	0	0.0	0.0
10	6	6	0	0.0	0.0
10	7	6	1	4.1183078888074185	16.960459867013416
10	8	3	1	3.748764083803705	14.05323215601663
10	9	6	1	5.881218749931662	34.588733984547744
10	10	9	1	5.185953270180541	26.894111320496243
10	14	6	1	3.771998902217714	14.227975718331638
10	15	6	2	8.8285762427697	39.88785460040971
10	16	3	1	4.450511051091546	19.807048615887975
10	18	3	0	0.0	0.0
10	20	3	1	4.146433166178029	17.192908001581152
10	22	3	1	3.243931976280873	10.52309466673753
10	24	3	1	3.2005643940949353	10.243612440748281
10	25	3	2	6.360444857122024	20.227629390245003
10	28	3	1	4.432488664892458	19.646955764400122
10	30	3	3	10.186248260568053	34.776241571125524
11	0	435	0	0.0	0.0
11	1	50	0	0.0	0.0
11	2	40	0	0.0	0.0
11	3	15	0	0.0	0.0
11	4	15	0	0.0	0.0
11	5	20	1	5.592663080326299	31.27788033004485
11	6	10	0	0.0	0.0
11	7	10	4	17.1186350400938	73.43660612011351
11	8	5	1	3.701164403892152	13.698617944638348
11	9	10	0	0.0	0.0
11	10	15	2	10.28948805300218	52.9573296278014
11	14	10	3	12.52667176357497	53.52711019062299
11	15	10	4	17.813205805427298	81.71849634454398
11	16	5	1	3.9717080828773748	15.774465095593472
11	18	5	0	0.0	0.0
11	20	5	3	10.336548951643564	35.67570244633903
11	22	5	1	3.196428800175283	10.217157074589998
11	24	5	0	0.0	0.0
11	25	5	3	10.917672965041108	40.11665076221034
11	28	5	0	0.0	0.0
11	30	5	4	13.38765429641014	44.99693366938799
12	0	87	0	0.0	0.0
12	1	10	1	6.007294936582041	36.08759245508423
12	2	8	0	0.0	0.0
12	3	3	0	0.0	0.0
12	4	3	1	4.967616549329768	24.67721418117499
12	5	4	1	5.737380310945094	32.91753283242042
