year	drug.trtmnt	drug.trtmnt.DrugBankID	roa	class	class.abbrev	halflife.hrs	halflife.hrs.min	therapeutic.area	therapeutic.area.DOID	therapeutic.area.bin	subjects	timepoints	effect	randomized	controlled	notes	reference
1997	oxaliplatin, fluorouracil, folinic acid	DB00526, DB00544, NA	iv	chemotherapy	CT	0.5	0.5	colorectal cancer	DOID:9256	cancer	186	2	less tox, more eff	yes	yes	circadian pump  vs constant rate infusion	F. Lévi, R. Zidani, J.-L. Misset, Randomised multicentre trial of chronotherapy with oxaliplatin, fluorouracil, and folinic acid in metastatic colorectal cancer, Lancet 350, 681–686 (1997).
1993	oxaliplatin	DB00526	iv	chemotherapy	CT	0.5	0.5	colorectal cancer	DOID:9256	cancer	29	1		no	no	circadian pump infusion	F. Levi, B. Perpoint, C. Garufi, C. Focan, P. Chollet, P. Depres-Brummer, R. Zidani, S. Brienza, M. Itzhaki, S. Iacobelli, Oxaliplatin activity against metastatic colorectal cancer. A phase II study of 5-day continuous venous infusion at circadian rhythm modulated rate, Eur. J. Cancer 29A, 1280–1284 (1993).
1990	oxaliplatin	DB00526	iv	chemotherapy	CT	0.5	0.5	mixed cancers (breast carcinoma, hepatocellular carcinoma, cholangiocarcinoma)		cancer	23	2	less tox	yes	yes	circadian pump vs constant rate infusion	J. P. Caussanel, F. Lévi, S. Brienza, J. L. Misset, M. Itzhaki, R. Adam, G. Milano, B. Hecquet, G. Mathé, Phase I trial of 5-day continuous venous infusion of oxaliplatin at circadian rhythm-modulated rate compared with constant rate, J. Natl. Cancer Inst. 82, 1046–1050 (1990).
1992	oxaliplatin, fluorouracil, folinic acid	DB00526, DB00544, NA	iv	chemotherapy	CT	0.5	0.5	colorectal cancer	DOID:9256	cancer	93	1		no	no	circadian pump infusion	F. Lévi, J. L. Misset, S. Brienza, R. Adam, G. Metzger, M. Itzakhi, J. P. Caussanel, F. Kunstlinger, S. Lecouturier, A. Descorps-Declère, A chronopharmacologic phase II clinical trial with 5-fluorouracil, folinic acid, and oxaliplatin using an ambulatory multichannel programmable pump. High antitumor effectiveness against metastatic colorectal cancer, Cancer 69, 893–900 (1992).
1994	oxaliplatin, fluorouracil, folinic acid	DB00526, DB00544, NA	iv	chemotherapy	CT	0.5	0.5	colorectal cancer	DOID:9256	cancer	92	2	less tox, more eff	yes	yes	circadian pump  vs constant rate infusion	F. A. Lévi, R. Zidani, J. M. Vannetzel, B. Perpoint, C. Focan, R. Faggiuolo, P. Chollet, C. Garufi, M. Itzhaki, L. Dogliotti, Chronomodulated versus fixed-infusion-rate delivery of ambulatory chemotherapy with oxaliplatin, fluorouracil, and folinic acid (leucovorin) in patients with colorectal cancer metastases: a randomized multi-institutional trial, J. Natl. Cancer Inst. 86, 1608–1617 (1994).
1996	oxaliplatin, fluorouracil, folinic acid	DB00526, DB00544, NA	iv	chemotherapy	CT	0.5	0.5	colorectal cancer	DOID:9256	cancer	50	1		no	no	circadian pump infusion	F. Bertheault-Cvitkovic, A. Jami, M. Ithzaki, P. D. Brummer, S. Brienza, R. Adam, F. Kunstlinger, H. Bismuth, J. L. Misset, F. Lévi, Biweekly intensified ambulatory chronomodulated chemotherapy with oxaliplatin, fluorouracil, and leucovorin in patients with metastatic colorectal cancer, J. Clin. Oncol. 14, 2950–2958 (1996).
2000	granulocyte-macrophage-colony stimulating factor	NA	sq	granulocyte-macrophage-colony stimulating factor (GM-CSF) 	GM-CSF			soft tissue or bone sarcoma	DOID:1155	cancer	24	2	less tox	yes	yes	10AM treatment had shorter duration of Grade 3-4 neutropenia (5.3 +/- 0.4 days) compared to 10PM 6.5 +/- 0.3 treatment arm (P = 0.017). 	Dinçol D., Samur M., Pamir A., et al. Prospective randomized comparison of morning versus night daily single subcutaneous administration of granulocyte-macrophage-colony stimulating factor in patients with soft tissue or bone sarcoma. Cancer 2000;88(9):2033–6.
2006	oxaliplatin, fluorouracil, folinic acid	DB00526, DB00544, NA	iv	chemotherapy	CT	0.5	0.5	colorectal cancer	DOID:9256	cancer	564	2	more eff	yes	yes	circadian pump  vs constant rate infusion: chrono pump improved OS for men, worsened for women  	Giacchetti S., Bjarnason G., Garufi C., et al. Phase III trial comparing 4-day chronomodulated therapy versus 2-day conventional delivery of fluorouracil, leucovorin, and oxaliplatin as first-line chemotherapy of metastatic colorectal cancer: the European Organisation for Research and Treatment of Cancer Chronotherapy Group. J Clin Oncol 2006;24(22):3562–9.
2009	radiotherapy	NA	radio	radiotherapy	RT			head and neck cancer	DOID:11934	cancer	216	2	less tox	yes	yes	morning RT (8-10 AM) was associated with significantly less weight loss after 5 months and an apparent reduction in oral mucositis in a subset of patients receiving >/=66 Gy and in patients who smoked during therapy compared to afternoon RT (4-6 PM)	Bjarnason GA., Mackenzie RG., Nabid A., et al. Comparison of toxicity associated with early morning versus late afternoon radiotherapy in patients with head-and-neck cancer: a prospective randomized trial of the National Cancer Institute of Canada Clinical Trials Group (HN3). Int J Radiat Oncol Biol Phys 2009;73(1):166–72.
2009	radiotherapy	NA	radio	radiotherapy	RT			head and neck cancer	DOID:11934	cancer	212	2	none	yes	yes	The grades of mucositis were marginally higher in the evening-irradiated group than in the morning-irradiated group (8-11AM) 38% vs. 26% (p = 0.08) compared to the evening group (3P-6PM) but not statistically significant.	Goyal M., Shukla P., Gupta D., et al. Oral mucositis in morning vs. evening irradiated patients: a randomised prospective study. Int J Radiat Biol 2009;85(6):504–9.
2010	oxaliplatin, capecitabine	DB00526, DB01101	iv	chemotherapy	CT	0.5	0.5	metastatic colorectal cancer (mCRC)	DOID:9256	cancer	141	2	none	yes	yes	XELOX(30Chron) did not reduce toxicity or improve efficacy compared to 30-min infusion of oxaliplatin (XELOX30)	Qvortrup C., Jensen BV., Fokstuen T., et al. A randomized study comparing short-time infusion of oxaliplatin in combination with capecitabine XELOX(30) and chronomodulated XELOX(30) as first-line therapy in patients with advanced colorectal cancer. Ann Oncol 2010;21(1):87–91.
2010	radiotherapy	NA	radio	radiotherapy	RT			cervical carcinoma	DOID:4362	cancer	229	2	less tox	yes	yes	Overall (grade I-IV) as well as higher grade (III and IV) diarrhea was found to be significantly increased in the morning arm (8-10AM) as compared with the evening arm (6-8PM) (overall: 87.39 % vs 68.18 %, P < .01; higher grade: 14.29% vs 5.45%, P < .05). Other radiation-induced toxicity was also higher in the morning arm, but its occurrence in the 2 arms did not differ significantly (13.45% vs 12.73%, P > .05). After completion of treatment, patients' response to radiation in the 2 arms was similar (P > .05).	Shukla P., Gupta D., Bisht SS., et al. Circadian variation in radiation-induced intestinal mucositis in patients with cervical carcinoma. Cancer 2010;116(8):2031–5.
2011	radiotherapy-gamma knife	NA	radio	radiotherapy	RT			brain metastasis in nonsmall cell lung cancer (NSCLC)	DOID:3910	cancer	97	2	more eff	no	yes	Retrospective: Morning group (10AM-12.30PM) experienced significantly improved 3-month local control, median overall survival and less CNS-related deaths than afternoon group (12.30-3PM)	Rahn DA 3rd., Ray DK., Schlesinger DJ., et al. Gamma knife radiosurgery for brain metastasis of nonsmall cell lung cancer: is there a difference in outcome between morning and afternoon treatment? Cancer 2011;117(2):414–20.
2013	radiotherapy-stereotactic (SRS)	NA	radio	radiotherapy	RT			brain metastasis in nonsmall cell lung cancer (NSCLC)	DOID:3910	cancer	437	2	none	no	yes	Retrospective. Although earlier treatment (before 11.41AM) appears to be associated with improved LC and OS compared to later treatment (after 11.41AM), treatment time failed to remain significant when accounting for confounding variables.	Badiyan SN., Ferraro DJ., Yaddanapudi S., et al. Impact of time of day on outcomes after stereotactic radiosurgery for non-small cell lung cancer brain metastases. Cancer 2013;119(19):3563–9.
2013	cisplatin, fluorouracil	DB00515, DB00544	iv	chemotherapy	CT	0.5	0.5	advanced nasopharyngeal carcinoma (NPC)	DOID:9261	cancer	124	2	more eff	yes	yes	Chronochemotherapy significantly reduced stomatitis, but was not superior to standard constant-rate chemo in terms of hematologic toxicities and therapeutic response	Lin H-X., Hua Y-J., Chen Q-Y., et al. Randomized study of sinusoidal chronomodulated versus flat intermittent induction chemotherapy with cisplatin and 5-fluorouracil followed by traditional radiotherapy for locoregionally advanced nasopharyngeal carcinoma. Chin J Cancer 2013;32(9):502–11.
2014	radiotherapy	NA	radio	radiotherapy	RT			breast cancer	DOID:1612	cancer	395	2	less tox	no	yes	Retrospective. Grade 2 or higher acute skin reaction according to the Radiation Therapy Oncology Group criteria was observed in 39 (9.9%) patients, with a higher frequency in the afternoon (after 3PM) RT group than the morning RT group (before 10AM) (13.7% vs 5.8%, respectively; P = 0.0088). There was no difference in the failure patterns or survival outcomes between the treatment groups.	Comparison of acute skin reaction following morning versus late afternoon radiotherapy in patients with breast cancer who have undergone curative surgical resection. J Radiat Res 2014;55(3):553–8.
2015	cisplatin	DB00515	iv	chemotherapy	CT	0.5	0.5	NSCLC	DOID:3910	cancer	61	2	less tox	yes	yes	6AM vs 6PM	Li J., Chen R., Ji M., et al. Cisplatin-based chronotherapy for advanced non-small cell lung cancer patients: a randomized controlled study and its pharmacokinetics analysis. Cancer Chemother Pharmacol 2015;76(3):651–5.
2015	docetaxel, cisplatin, fluorouracil	DB01248, DB00515, DB00544	iv	chemotherapy	CT	0.5	0.5	locally advanced nasopharyngeal carcinoma	DOID:9261	cancer	66	2	more eff /less tox	yes	yes	Chronochemo regimen had better partial tumor response (80.6%) compared to conventional chemo (50%) (P=0.009). Chrono-regimen also had significantly better CR rate, rates of adverse reactions including bone marrow suppression, nausea, vomiting, diarrhea, constipation, oral mucositis, fatigue, anorexia. Finally, the CD4+ /CD8+ ratio was significantly lower in the chrono-regimen compared to conventional chemo. The lymphocytes CD19+ and CD4+/CD8+ were decreased and CD3+, CD4+, CD8+, CD16++CD56+ were increased in the chronochemotherapy group, while only CD3+ and CD8+ were increased in the conventional chemotherapy group.	Bi T., Jin F., Wu W., et al. [Phase II clinical trial of two different modes of administration of the induction chemotherapy for locally advanced nasopharyngeal carcinoma]. Zhonghua Zhong Liu Za Zhi 2015;37(9):676–81.
2016	radiotherapy	NA	radio	radiotherapy	RT			prostate adenocarcinoma	DOID:10283	cancer	409	2	less tox	no	yes	Retrospective. Evening (after 5PM) HDRT showed more GI complications, especially in older patients, and worse BFFS in patients with T2b-T3 disease, compared to afternoon (before 5PM)	Hsu F-M., Hou W-H., Huang C-Y., et al. Differences in toxicity and outcome associated with circadian variations between patients undergoing daytime and evening radiotherapy for prostate adenocarcinoma. Chronobiol Int 2016;33(2):210–9.
2016	radiotherapy	NA	radio	whole-brain radiotherapy	RT			multiple brain metastases		cancer	755	3	more eff	no	yes	Retrospective. 3 treatment time cohorts - 8:00-11:00 AM, 11:01 AM-2:00 PM, 2:01-5:00 PM. Treatment time was not associated with OS for all patients or males only. In elderly female patients (>65 years), a significant difference in OS was found among treatment cohorts (P=0.02). Treatment time (when ≥80% or ≥70% of treatment times were in one time frame), age, and Karnofsky performance status (KPS) were significant predictive factors of OS in univariate analysis for females. 	Chan S., Rowbottom L., McDonald R., et al. Could time of whole brain radiotherapy delivery impact overall survival in patients with multiple brain metastases? Ann Palliat Med 2016;5(4):267–79.
2017	radiotherapy	NA	radio	radiotherapy	RT			painful bone metastases		cancer	194	3	more eff	no	yes	Retrospective.  Females in the 11:01 AM-2:00 PM cohort exhibited a significantly higher response rate (P=0.02) and differing proportions of response types (P=0.03) compared to the 8:00 AM- 11:00 AM and 2:01 PM-5:00 PM cohorts when allocated using all treatment times. No significant differences in response were seen between cohorts when all patients were analysed together or analysed for males only.	Chan S., Zhang L., Rowbottom L., et al. Effects of circadian rhythms and treatment times on the response of radiotherapy for painful bone metastases. Ann Palliat Med 2017;6(1):14–25.
2018	docetaxel, cisplatin, fluorouracil	DB01248, DB00515, DB00544	iv	chemotherapy	CT	0.5	0.5	oral squamous cell carcinoma	DOID:0050866	cancer	9	2	less tox	yes	yes	10:30AM (Morning dosing) vs 6:30PM (Evening-dosing) for 5 days by a cross-over design. AE were assessed for 14 days after an initiation of each dosing. The grades of nausea, vomiting and neutropenia were smaller during evening compared to morning-dosing.	Tsuchiya Y., Ushijima K., Noguchi T., et al. Influence of a dosing-time on toxicities induced by docetaxel, cisplatin and 5-fluorouracil in patients with oral squamous cell carcinoma; a cross-over pilot study. Chronobiol Int 2018;35(2):289–94.
2018	cisplatin	DB00515	iv	chemotherapy	CT	0.5	0.5	locoregionally advanced nasopharyngeal carcinoma (NPC)	DOID:9261	cancer	148	2	less tox	yes	yes	Chronochemotherapy (chronomodulated infusion w/peak delivery of DDP at 4PM) significantly reduced the incidence of adverse reactions and enhanced the tolerance for treatment without affecting survival compared to constant rate infusion.	Zhang PX., Jin F., Li ZL., et al. A randomized phase II trial of induction chemotherapy followed by cisplatin chronotherapy versus constant rate delivery combined with radiotherapy. Chronobiol Int 2018;35(2):240–8.
2016	influenza vaccination	NA	inj	vaccine	vaccine (flu)			influenza	DOID:8469	other	276	2	more eff	yes	yes	10AM vs 4PM	J. E. Long, M. T. Drayson, A. E. Taylor, K. M. Toellner, J. M. Lord, A. C. Phillips, Morning vaccination enhances antibody response over afternoon vaccination: A cluster-randomised trial, Vaccine 34, 2679–2685 (2016).
1992	prednisone	DB00635	oral	corticosteroid	CORT	2.5	2.5	asthma	DOID:2841	asthma	8	3	more eff	yes	yes	8AM, 3PM, 8PM	W. R. Beam, D. E. Weiner, R. J. Martin, Timing of prednisone and alterations of airways inflammation in nocturnal asthma, Am. Rev. Respir. Dis. 146, 1524–1530 (1992).
